Date,Open,High,Low,Close,Volume
9-Dec-16,31.31,32.11,31.04,32.05,4344295
8-Dec-16,31.28,31.84,30.80,31.31,3064978
7-Dec-16,31.30,31.89,30.77,30.90,5778259
6-Dec-16,30.71,31.19,30.21,31.15,3248595
5-Dec-16,29.03,31.28,28.89,31.22,7034136
2-Dec-16,28.86,29.62,28.73,29.04,3870822
1-Dec-16,28.84,29.42,28.60,28.88,5006186
30-Nov-16,30.06,30.44,28.85,28.97,5131689
29-Nov-16,30.02,30.50,29.73,29.73,4928175
28-Nov-16,31.48,31.80,30.70,30.86,5121935
25-Nov-16,31.24,32.19,31.11,31.70,3109628
23-Nov-16,31.00,31.93,30.00,31.51,4112265
22-Nov-16,31.10,31.91,30.54,31.34,4182754
21-Nov-16,30.89,30.98,29.50,30.69,2986107
18-Nov-16,31.73,31.77,30.16,30.42,4421730
17-Nov-16,31.30,32.02,30.77,31.85,4693213
16-Nov-16,29.69,31.69,29.66,31.42,6152964
15-Nov-16,28.94,30.23,28.83,30.21,3668883
14-Nov-16,29.50,29.94,28.61,29.62,5156737
11-Nov-16,29.18,29.99,27.63,29.30,5337239
10-Nov-16,29.08,29.70,28.30,29.10,8189887
9-Nov-16,26.83,29.14,26.00,28.72,10675856
8-Nov-16,24.30,26.59,24.30,26.40,6471269
7-Nov-16,25.54,26.41,24.89,25.08,8377025
4-Nov-16,23.82,25.50,23.56,25.20,6878720
3-Nov-16,22.96,24.35,22.94,24.15,8084230
2-Nov-16,22.67,23.26,22.64,22.91,10755328
1-Nov-16,22.10,23.55,21.78,23.00,32220953
31-Oct-16,21.29,22.10,20.81,21.44,1937231
28-Oct-16,22.00,22.00,20.76,21.40,616841
27-Oct-16,21.00,21.75,20.71,21.20,71878
26-Oct-16,21.00,21.00,20.00,21.00,117516
25-Oct-16,22.16,22.50,20.64,21.25,165157
24-Oct-16,21.00,21.00,20.98,21.00,5930
21-Oct-16,21.20,21.20,20.89,21.00,10963
20-Oct-16,22.50,24.25,20.13,21.00,6639
19-Oct-16,-,-,-,22.50,0
18-Oct-16,22.50,22.50,22.50,22.50,1000
