Date,Open,High,Low,Close,Volume
9-Dec-16,77.19,79.22,77.02,78.90,1790907
8-Dec-16,76.24,77.64,75.68,76.88,2567162
7-Dec-16,78.19,78.19,73.86,76.38,4493498
6-Dec-16,79.90,80.10,78.54,78.87,2374826
5-Dec-16,78.89,79.98,78.51,79.54,2611163
2-Dec-16,78.15,79.58,77.66,78.80,1733280
1-Dec-16,77.88,78.70,77.61,77.80,1505641
30-Nov-16,77.72,78.92,77.45,77.99,5158879
29-Nov-16,78.65,79.36,77.53,77.63,2493695
28-Nov-16,78.61,79.58,77.81,79.05,2124611
25-Nov-16,79.07,80.48,78.35,78.57,1159047
23-Nov-16,78.07,78.90,77.76,78.70,1324555
22-Nov-16,78.77,78.77,77.77,78.41,1910352
21-Nov-16,78.62,79.34,77.84,78.45,2607501
18-Nov-16,79.91,79.91,78.91,79.21,3644028
17-Nov-16,78.20,80.25,77.71,80.16,3045300
16-Nov-16,79.16,80.21,78.66,78.86,2962264
15-Nov-16,81.50,81.66,78.84,79.53,4285568
14-Nov-16,82.16,82.58,79.38,81.33,4404177
11-Nov-16,79.41,79.85,77.24,78.92,5221526
10-Nov-16,77.09,80.80,77.09,79.59,4612159
9-Nov-16,72.98,76.15,71.75,75.61,5516306
8-Nov-16,71.03,71.16,68.70,69.03,4787219
7-Nov-16,71.52,72.34,70.99,71.93,3629531
4-Nov-16,71.69,73.32,70.27,70.47,4999820
3-Nov-16,75.87,77.47,71.21,72.32,7258555
2-Nov-16,70.27,76.69,70.18,75.96,6161115
1-Nov-16,69.85,71.18,69.65,69.79,4264212
31-Oct-16,69.51,70.94,69.51,70.32,4437023
28-Oct-16,69.13,71.41,68.38,69.14,9767107
27-Oct-16,79.56,79.84,79.11,79.50,1595088
26-Oct-16,80.01,80.24,79.10,79.37,2134630
25-Oct-16,79.60,80.56,79.45,80.39,1688735
24-Oct-16,80.34,80.88,79.94,80.04,1308294
21-Oct-16,80.16,80.53,79.93,80.02,1210526
20-Oct-16,80.28,81.76,80.23,80.74,2312897
19-Oct-16,81.20,81.20,80.35,80.35,1645716
18-Oct-16,80.46,81.24,80.16,81.09,1914247
17-Oct-16,79.75,79.91,79.23,79.74,2187491
14-Oct-16,80.49,80.88,79.79,79.79,1285780
13-Oct-16,80.28,80.93,79.93,80.38,2493977
12-Oct-16,79.69,81.05,79.42,80.61,2368027
11-Oct-16,79.60,80.04,79.26,79.61,2409049
10-Oct-16,79.07,80.01,78.78,79.64,1281821
7-Oct-16,80.43,80.55,78.70,79.39,1837066
6-Oct-16,79.58,80.29,78.90,80.14,2249064
5-Oct-16,80.71,80.86,79.88,80.03,1745300
4-Oct-16,81.26,81.72,80.25,80.53,1680972
3-Oct-16,80.68,80.94,79.99,80.12,1563127
30-Sep-16,81.29,81.64,79.34,80.78,3001798
29-Sep-16,82.92,83.28,81.25,81.25,1625347
28-Sep-16,83.25,83.30,82.46,83.20,1310409
27-Sep-16,82.75,83.74,82.46,83.25,1583508
26-Sep-16,83.07,83.56,82.67,82.72,1339953
23-Sep-16,83.55,83.78,82.97,83.33,1829170
22-Sep-16,83.26,83.95,83.05,83.59,2270372
21-Sep-16,82.20,83.15,81.79,83.02,2813172
20-Sep-16,83.65,83.68,82.07,82.08,2484426
19-Sep-16,83.91,84.96,83.07,83.26,2335948
16-Sep-16,83.96,84.39,83.01,84.11,3459904
15-Sep-16,83.54,84.54,83.06,84.20,2438533
14-Sep-16,85.38,85.48,83.42,83.85,5896191
13-Sep-16,86.20,86.55,84.98,85.25,2722591
12-Sep-16,85.01,87.14,84.95,86.95,2380689
9-Sep-16,86.63,86.82,85.22,85.31,2470512
8-Sep-16,87.40,87.67,87.14,87.27,2195185
7-Sep-16,87.60,88.44,87.45,87.75,1513718
6-Sep-16,87.30,87.80,87.00,87.63,1652301
2-Sep-16,87.55,87.87,87.25,87.44,1217443
1-Sep-16,87.01,87.72,86.58,87.15,1331095
31-Aug-16,86.13,87.08,85.73,86.97,2682035
30-Aug-16,86.50,86.87,85.68,86.04,1736837
29-Aug-16,85.82,86.44,85.31,86.31,1352356
26-Aug-16,85.67,86.56,85.15,85.75,1872825
25-Aug-16,88.15,88.26,85.39,85.51,3351527
24-Aug-16,88.90,89.09,88.10,88.39,1338571
23-Aug-16,89.14,89.23,88.83,88.99,638202
22-Aug-16,88.80,88.93,88.47,88.75,1011750
19-Aug-16,88.53,89.00,88.26,88.85,2089408
18-Aug-16,88.54,88.99,88.11,88.97,1444667
17-Aug-16,89.29,89.52,88.36,88.94,1496073
16-Aug-16,88.99,90.12,88.99,89.46,1555381
15-Aug-16,88.95,89.41,88.64,89.39,1796956
12-Aug-16,89.14,89.19,88.33,88.91,1319515
11-Aug-16,87.97,89.05,87.47,88.95,1669302
10-Aug-16,88.79,88.83,87.66,87.90,1621783
9-Aug-16,88.78,89.36,88.37,88.62,1491750
8-Aug-16,89.71,89.71,88.47,88.67,1596276
5-Aug-16,89.37,90.48,89.25,89.35,1527972
4-Aug-16,89.71,89.81,88.44,88.98,1897447
3-Aug-16,89.34,89.89,88.37,89.89,2565249
2-Aug-16,88.64,90.54,87.58,89.43,5179162
1-Aug-16,85.28,86.32,85.11,85.54,2930407
29-Jul-16,84.34,85.38,84.12,85.19,1935906
28-Jul-16,85.05,85.06,84.24,84.82,2434584
27-Jul-16,85.71,85.80,84.66,85.42,1839847
26-Jul-16,85.28,86.04,84.62,85.71,1646102
25-Jul-16,85.90,85.93,85.01,85.41,1858653
22-Jul-16,86.01,86.21,85.19,85.86,1331479
21-Jul-16,86.38,86.90,85.53,85.81,1672006
20-Jul-16,86.39,87.05,86.01,86.64,1248823
19-Jul-16,85.76,86.15,85.10,85.92,1978415
18-Jul-16,85.73,86.12,85.55,86.03,1113576
15-Jul-16,86.26,86.52,84.92,85.55,2384258
14-Jul-16,85.35,86.12,85.26,85.95,2035706
13-Jul-16,84.53,85.35,84.33,84.93,2492179
12-Jul-16,82.25,84.41,82.24,84.18,2842055
11-Jul-16,81.97,82.60,81.85,82.18,1429336
8-Jul-16,81.71,82.08,81.25,81.92,1597452
7-Jul-16,81.09,81.53,80.53,80.99,2508864
6-Jul-16,79.94,81.55,79.60,81.19,2457714
5-Jul-16,79.86,80.68,79.39,80.36,2377153
1-Jul-16,79.29,80.43,79.11,80.16,2763283
30-Jun-16,77.61,79.33,77.43,79.32,3196307
29-Jun-16,76.08,77.50,76.03,77.26,1926778
28-Jun-16,74.32,75.45,74.06,75.32,2811318
27-Jun-16,75.14,75.18,73.44,73.85,2231984
24-Jun-16,75.08,75.85,75.04,75.44,4480624
23-Jun-16,77.66,77.77,77.03,77.55,2646996
22-Jun-16,76.57,77.48,76.07,77.13,1935264
21-Jun-16,76.49,76.78,76.05,76.57,1277332
20-Jun-16,76.25,77.22,76.13,76.37,2448138
17-Jun-16,76.01,76.33,75.16,75.70,3056969
16-Jun-16,75.67,76.25,75.05,76.00,2112075
15-Jun-16,75.95,76.73,75.87,76.12,2394921
14-Jun-16,76.08,76.45,74.96,75.51,2961488
13-Jun-16,76.44,77.18,76.21,76.41,2860557
10-Jun-16,75.87,77.24,75.37,76.46,2818140
9-Jun-16,76.22,76.42,75.90,76.17,3146459
8-Jun-16,76.31,76.64,75.87,76.25,2048296
7-Jun-16,76.39,76.54,75.92,76.22,1679403
6-Jun-16,76.30,76.64,75.95,76.45,1492281
3-Jun-16,76.70,77.00,76.27,76.54,1912637
2-Jun-16,75.81,77.23,75.66,77.08,3043678
1-Jun-16,74.76,75.94,74.59,75.64,2851495
31-May-16,74.20,75.05,73.89,74.98,4431248
27-May-16,73.78,74.11,73.62,74.03,1945946
26-May-16,74.04,74.07,73.31,73.69,1460585
25-May-16,74.59,74.75,73.87,74.04,1666345
24-May-16,74.37,74.59,73.89,74.34,1949125
23-May-16,75.00,75.05,73.91,73.94,1729530
20-May-16,75.14,75.33,74.36,74.82,2544887
19-May-16,74.46,75.31,74.34,75.05,3019032
18-May-16,74.20,75.27,74.08,75.15,3252394
17-May-16,74.40,75.06,74.06,74.53,2971403
16-May-16,73.76,74.67,73.73,74.59,2991684
13-May-16,74.71,75.07,73.54,73.66,2374897
12-May-16,75.92,75.92,74.63,74.78,3464667
11-May-16,76.48,76.82,75.50,75.76,3426284
10-May-16,77.78,78.29,76.40,76.68,3666865
9-May-16,76.43,78.48,76.27,77.37,3961274
6-May-16,77.96,78.15,75.35,76.52,6820231
5-May-16,77.95,79.68,76.82,78.00,11878192
4-May-16,84.98,85.30,84.00,84.29,2255994
3-May-16,84.93,86.07,84.43,85.48,1949324
2-May-16,85.19,85.37,84.51,85.23,1621387
29-Apr-16,86.13,86.49,84.37,85.10,3904806
28-Apr-16,89.61,89.61,86.18,86.42,5342208
27-Apr-16,91.32,91.65,90.29,90.64,1707736
26-Apr-16,91.73,92.00,91.13,91.28,1126636
25-Apr-16,91.75,91.99,90.98,91.51,2236917
22-Apr-16,92.03,92.42,91.15,91.89,1941408
21-Apr-16,91.63,92.48,91.52,91.83,2346389
20-Apr-16,89.92,91.97,89.64,91.86,3145279
19-Apr-16,89.41,90.24,89.22,89.49,2041505
18-Apr-16,88.04,88.72,87.64,88.66,1746791
15-Apr-16,86.60,87.88,86.49,87.83,2361347
14-Apr-16,84.70,87.14,84.63,86.70,2126537
13-Apr-16,85.33,85.78,84.65,85.17,1929821
12-Apr-16,84.61,85.15,84.05,84.90,1735067
11-Apr-16,85.16,85.54,84.36,84.44,1868574
8-Apr-16,86.75,86.89,85.12,85.31,2483567
7-Apr-16,87.30,88.00,86.60,86.66,2216097
6-Apr-16,85.76,87.60,85.72,87.54,2816776
5-Apr-16,86.37,87.01,85.58,85.69,2548841
4-Apr-16,86.74,88.10,86.61,87.16,2271410
1-Apr-16,86.61,86.85,86.00,86.51,2033286
31-Mar-16,87.13,87.74,86.30,86.55,1716159
30-Mar-16,86.50,87.44,86.42,87.09,1659918
29-Mar-16,86.55,86.86,85.73,86.42,1411587
28-Mar-16,87.04,87.40,85.71,86.48,1463831
24-Mar-16,86.86,87.23,85.95,86.17,2449692
23-Mar-16,87.50,87.84,87.09,87.27,1325694
22-Mar-16,87.27,87.53,86.62,87.16,1685369
21-Mar-16,87.58,87.84,86.80,87.13,1626498
18-Mar-16,86.12,87.78,85.41,87.48,3675449
17-Mar-16,87.07,87.47,85.73,85.88,3023176
16-Mar-16,86.29,87.34,85.94,87.07,1397340
15-Mar-16,87.50,88.13,86.11,86.30,2220405
14-Mar-16,89.06,89.77,87.88,87.96,1454111
11-Mar-16,87.02,89.64,86.56,89.55,3536431
10-Mar-16,88.01,88.16,85.81,86.18,3419134
9-Mar-16,87.79,88.01,87.37,87.57,1817728
8-Mar-16,88.33,88.34,87.14,87.82,1831814
7-Mar-16,87.36,88.25,87.19,88.10,1756956
4-Mar-16,88.17,88.47,87.78,88.00,1667303
3-Mar-16,87.63,88.34,87.13,88.22,1908021
2-Mar-16,87.43,87.96,87.04,87.63,1628391
1-Mar-16,86.80,87.73,86.47,87.43,1942517
29-Feb-16,87.27,87.51,86.44,86.62,2589790
26-Feb-16,87.85,88.57,87.47,87.54,1160699
25-Feb-16,87.55,88.03,86.88,87.60,1264426
24-Feb-16,86.52,87.28,85.80,87.08,2737266
23-Feb-16,87.69,88.19,86.86,87.35,1671621
22-Feb-16,86.86,87.89,86.83,87.70,2193539
19-Feb-16,86.74,87.05,86.28,86.84,1653391
18-Feb-16,87.03,87.49,86.59,86.69,2224635
17-Feb-16,86.06,87.83,85.72,87.49,3574078
16-Feb-16,86.11,86.23,85.00,85.61,2227184
12-Feb-16,84.60,85.61,84.49,85.61,1878618
11-Feb-16,84.25,85.09,84.19,84.55,2751675
10-Feb-16,85.44,86.35,85.22,85.60,2708273
9-Feb-16,82.69,85.04,82.62,84.75,2596968
8-Feb-16,83.89,84.24,82.72,83.62,4594618
5-Feb-16,84.00,86.13,82.66,84.70,4849092
4-Feb-16,80.51,87.97,80.50,84.40,8035344
3-Feb-16,88.34,88.54,86.87,87.99,3997601
2-Feb-16,88.60,89.89,87.95,88.14,2847694
1-Feb-16,89.11,89.38,87.66,89.00,3036308
29-Jan-16,87.55,89.60,87.28,89.56,3758059
28-Jan-16,90.50,90.50,87.09,87.29,6053068
27-Jan-16,91.29,91.52,89.73,90.18,2843547
