Date,Open,High,Low,Close,Volume
9-Dec-16,132.32,132.97,131.49,132.48,1244563
8-Dec-16,132.43,132.99,131.55,132.20,1951468
7-Dec-16,130.43,132.15,129.92,132.08,2454502
6-Dec-16,128.97,130.29,128.41,130.09,2318099
5-Dec-16,128.31,129.08,128.00,128.72,1399241
2-Dec-16,128.58,128.96,127.78,127.82,1663870
1-Dec-16,128.32,129.09,127.71,129.03,1811290
30-Nov-16,128.94,129.57,127.54,128.00,2924199
29-Nov-16,127.01,128.59,126.21,128.24,1722887
28-Nov-16,126.25,126.95,125.70,126.76,1576243
25-Nov-16,127.05,127.12,126.07,126.65,534232
23-Nov-16,126.65,127.50,125.95,126.69,1082194
22-Nov-16,127.59,127.59,126.05,126.41,1645668
21-Nov-16,126.86,127.25,126.16,127.05,1622202
18-Nov-16,125.63,126.73,125.00,126.30,1989656
17-Nov-16,125.24,125.98,124.48,125.34,1257866
16-Nov-16,124.62,125.58,124.10,125.42,2151413
15-Nov-16,126.21,126.34,124.82,125.12,1962939
14-Nov-16,127.42,127.93,126.44,126.90,1914102
11-Nov-16,126.24,126.98,125.47,126.85,1781297
10-Nov-16,126.36,126.67,124.38,126.46,3074456
9-Nov-16,124.69,126.34,123.50,125.85,2500413
8-Nov-16,124.53,125.84,124.07,125.38,1846526
7-Nov-16,124.58,124.96,123.99,124.50,1893205
4-Nov-16,124.84,125.38,123.08,123.11,1565411
3-Nov-16,125.14,125.83,124.26,124.45,1146961
2-Nov-16,125.54,126.00,124.68,124.72,1227161
1-Nov-16,127.25,127.44,124.80,125.49,1381431
31-Oct-16,128.04,128.37,126.88,127.00,1615230
28-Oct-16,127.38,128.56,126.24,127.51,2234528
27-Oct-16,127.27,127.73,126.78,127.01,2114234
26-Oct-16,124.36,127.19,123.57,127.00,3248565
25-Oct-16,122.37,123.04,121.88,122.45,1508778
24-Oct-16,122.60,123.27,122.03,122.28,1302155
21-Oct-16,122.00,122.27,121.48,121.90,2094293
20-Oct-16,125.64,125.64,122.92,123.03,2238825
19-Oct-16,125.71,126.31,125.34,126.03,915263
18-Oct-16,126.49,126.75,125.23,125.34,1491540
17-Oct-16,125.90,126.31,125.46,125.68,869599
14-Oct-16,126.02,126.63,125.65,125.85,1403419
13-Oct-16,124.13,125.43,123.43,125.22,1211380
12-Oct-16,123.99,125.12,123.73,124.93,925952
11-Oct-16,124.47,124.74,123.35,123.74,1389571
10-Oct-16,125.44,125.57,124.62,124.88,945230
7-Oct-16,122.51,125.09,122.51,124.43,2489654
6-Oct-16,123.26,123.50,121.58,121.88,2308213
5-Oct-16,123.70,123.98,122.75,123.17,1189776
4-Oct-16,124.57,124.91,122.63,122.96,1585153
3-Oct-16,125.44,125.53,123.82,124.21,1033233
30-Sep-16,124.80,126.12,124.69,125.65,1646157
29-Sep-16,125.50,125.84,124.02,124.39,899215
28-Sep-16,124.80,125.73,124.45,125.68,865264
27-Sep-16,124.46,125.88,124.27,125.28,1132431
26-Sep-16,124.85,125.07,124.12,124.38,1451310
23-Sep-16,126.42,126.67,125.48,125.48,1477480
22-Sep-16,126.93,127.54,126.69,127.45,953442
21-Sep-16,125.53,126.57,125.26,126.49,1449844
20-Sep-16,126.32,126.53,125.14,125.16,781123
19-Sep-16,125.40,125.91,124.70,125.29,917651
16-Sep-16,124.79,125.47,123.88,124.71,1995221
15-Sep-16,124.43,125.82,124.18,125.42,1198760
14-Sep-16,125.87,125.90,124.37,124.65,1258469
