Date,Open,High,Low,Close,Volume
9-Dec-16,129.56,129.93,126.81,128.91,2069441
8-Dec-16,128.65,130.52,127.24,129.30,2449135
7-Dec-16,128.28,129.92,126.43,128.65,4004340
6-Dec-16,129.96,130.10,127.50,128.54,3015110
5-Dec-16,133.58,133.58,127.34,129.45,4283455
2-Dec-16,134.91,136.50,132.98,133.49,3522666
1-Dec-16,130.78,136.14,130.30,134.90,4291307
30-Nov-16,132.36,132.36,130.37,130.84,3998025
29-Nov-16,129.68,132.57,129.68,132.03,2914015
28-Nov-16,128.91,129.48,127.47,128.39,1864651
25-Nov-16,129.31,131.08,129.16,129.57,1281217
23-Nov-16,127.86,129.42,127.31,129.33,1933519
22-Nov-16,127.06,128.73,127.00,128.42,2852821
21-Nov-16,124.93,127.34,124.80,126.86,2467821
18-Nov-16,126.11,126.15,124.73,124.88,2848947
17-Nov-16,123.45,126.33,123.11,126.20,2574072
16-Nov-16,123.50,124.40,122.74,123.30,2522790
15-Nov-16,124.54,124.98,122.41,123.59,2364976
14-Nov-16,119.14,124.29,118.47,123.98,5106960
11-Nov-16,122.66,124.23,119.09,119.28,7150236
10-Nov-16,119.11,122.14,119.11,119.90,5350913
9-Nov-16,111.93,118.56,110.29,118.02,7868016
8-Nov-16,109.29,113.14,109.12,112.77,2668867
7-Nov-16,107.64,110.64,107.44,109.74,3731206
4-Nov-16,105.54,106.93,105.39,106.10,2980086
3-Nov-16,105.92,106.84,104.59,105.20,2548335
2-Nov-16,105.89,107.93,105.28,105.70,2248337
1-Nov-16,107.71,107.71,104.83,105.82,3165728
31-Oct-16,107.72,107.95,106.75,107.35,2299281
28-Oct-16,110.27,110.49,106.07,107.39,3994726
27-Oct-16,111.19,111.70,106.44,110.83,4308507
26-Oct-16,111.59,112.02,110.78,111.01,2823759
25-Oct-16,112.08,112.48,111.26,111.64,1988983
24-Oct-16,111.71,112.07,111.43,112.02,2189571
21-Oct-16,110.08,112.02,109.86,111.25,2409614
20-Oct-16,110.95,111.44,110.55,110.93,1669435
19-Oct-16,111.56,112.15,110.98,111.06,2518697
18-Oct-16,110.50,111.98,110.25,111.43,3601754
17-Oct-16,109.72,109.85,108.35,108.49,2461387
14-Oct-16,110.46,111.06,109.59,109.64,2294180
13-Oct-16,109.85,110.25,109.20,109.78,3795784
12-Oct-16,112.11,112.69,109.57,110.37,5450235
11-Oct-16,114.32,114.45,111.83,112.07,2275295
10-Oct-16,114.16,114.99,114.05,114.71,1703981
7-Oct-16,114.31,114.66,113.14,113.72,1873315
6-Oct-16,115.07,115.07,113.41,113.99,1469529
5-Oct-16,114.80,115.22,114.10,114.98,1770848
4-Oct-16,114.85,115.23,114.09,114.77,1386812
3-Oct-16,114.92,115.48,114.37,114.72,1332624
30-Sep-16,115.37,116.10,114.51,115.45,1839122
29-Sep-16,116.04,116.04,114.79,115.03,1523505
28-Sep-16,116.12,116.46,115.28,116.26,1100437
27-Sep-16,115.18,115.80,114.50,115.74,976259
26-Sep-16,115.26,115.51,114.60,114.93,1419301
23-Sep-16,116.89,116.92,115.63,115.63,1815146
22-Sep-16,116.78,117.39,116.50,116.93,1506802
21-Sep-16,114.81,116.69,114.59,116.69,1760923
20-Sep-16,115.29,115.45,114.61,114.63,959900
19-Sep-16,115.28,115.74,114.74,114.83,997284
16-Sep-16,114.00,115.44,113.97,115.06,2813048
15-Sep-16,112.48,114.52,111.88,114.43,2089115
14-Sep-16,114.07,114.18,112.50,112.81,2323217
13-Sep-16,115.36,116.02,113.88,113.99,2033221
12-Sep-16,115.00,116.48,114.87,116.22,1596783
9-Sep-16,115.89,116.49,115.36,115.55,1596115
8-Sep-16,119.11,119.11,115.80,116.54,1675670
7-Sep-16,115.92,116.90,115.00,116.47,1245887
