Date,Open,High,Low,Close,Volume
9-Dec-16,66.37,66.57,64.82,64.94,1224125
8-Dec-16,65.86,66.79,65.58,66.31,1099800
7-Dec-16,64.71,66.18,64.40,66.15,1310173
6-Dec-16,64.41,64.98,64.04,64.93,1235759
5-Dec-16,64.00,64.59,63.62,64.31,1972314
2-Dec-16,63.34,64.14,62.83,63.87,2284018
1-Dec-16,66.48,66.50,63.50,63.51,2888765
30-Nov-16,67.30,67.48,66.44,66.70,1752466
29-Nov-16,66.34,67.76,66.11,67.28,1897794
28-Nov-16,66.52,66.79,65.90,66.17,989736
25-Nov-16,66.70,66.97,66.10,66.95,439745
23-Nov-16,66.80,66.93,65.86,66.48,1361978
22-Nov-16,66.26,67.03,66.26,66.82,1892880
21-Nov-16,66.50,67.10,66.05,66.90,2356660
18-Nov-16,66.63,66.74,66.08,66.44,1515604
17-Nov-16,66.25,66.93,66.10,66.60,2343467
16-Nov-16,65.40,66.10,65.21,65.90,2153610
15-Nov-16,65.77,66.30,65.30,65.47,3692068
14-Nov-16,65.77,65.86,65.08,65.44,2375853
11-Nov-16,65.93,66.16,65.11,65.45,2926291
10-Nov-16,66.85,67.63,65.00,66.22,2153068
9-Nov-16,64.99,66.98,64.77,66.53,2761036
8-Nov-16,66.31,66.76,65.75,66.37,2761666
7-Nov-16,67.32,67.50,66.21,66.52,2617312
4-Nov-16,66.33,67.04,65.68,65.81,3087659
3-Nov-16,67.42,67.54,66.48,66.52,2483634
2-Nov-16,68.00,68.22,67.21,67.31,3685333
1-Nov-16,69.39,69.55,67.52,68.10,5326018
31-Oct-16,69.76,71.04,69.35,69.47,3711311
28-Oct-16,68.63,70.10,68.47,69.91,4018116
27-Oct-16,68.09,69.95,67.02,68.81,6585245
26-Oct-16,64.36,68.47,64.10,67.70,13754496
25-Oct-16,59.00,59.20,58.44,59.07,3407448
24-Oct-16,57.97,59.18,57.84,58.84,2852923
21-Oct-16,56.73,57.81,56.25,57.67,1800564
20-Oct-16,56.57,56.88,56.33,56.73,1072674
19-Oct-16,56.18,56.98,56.00,56.62,1697985
18-Oct-16,55.69,56.30,55.58,55.92,1937320
17-Oct-16,54.52,54.99,54.11,54.94,1265953
14-Oct-16,54.80,55.24,54.07,54.66,1521051
13-Oct-16,53.87,54.58,53.19,54.45,1400578
12-Oct-16,54.03,54.36,53.57,54.28,993833
11-Oct-16,55.30,55.30,53.61,54.13,1795787
10-Oct-16,55.22,55.74,55.07,55.31,1256995
7-Oct-16,55.33,55.33,54.58,54.95,1162359
6-Oct-16,55.80,55.91,54.60,54.86,1973496
5-Oct-16,54.90,56.05,54.73,55.98,2973634
4-Oct-16,53.75,54.78,53.20,54.64,2633563
3-Oct-16,52.96,53.74,52.63,53.71,1848293
30-Sep-16,52.63,53.19,52.13,52.99,1354713
29-Sep-16,52.27,53.64,52.27,52.41,2268609
28-Sep-16,52.57,52.70,51.36,52.28,1967070
27-Sep-16,51.85,52.83,51.80,52.65,1562407
26-Sep-16,51.84,52.25,51.51,51.76,1299109
23-Sep-16,52.11,52.63,52.11,52.25,1307373
22-Sep-16,52.70,52.93,52.17,52.43,2073632
21-Sep-16,51.48,52.30,51.28,52.21,1690189
20-Sep-16,51.98,52.26,51.36,51.36,1907517
19-Sep-16,51.18,51.90,51.14,51.62,2429964
16-Sep-16,51.20,51.40,50.76,50.98,2415117
15-Sep-16,51.31,51.71,50.91,51.38,3071969
14-Sep-16,51.81,52.46,51.33,51.65,2365671
13-Sep-16,52.50,52.82,51.43,51.87,1904962
12-Sep-16,52.38,53.28,52.31,53.09,2117054
9-Sep-16,53.04,53.73,52.43,52.50,2208981
8-Sep-16,53.90,54.31,53.24,53.50,3483993
7-Sep-16,55.37,55.43,53.91,54.08,2394807
6-Sep-16,55.29,55.82,55.08,55.50,1737377
2-Sep-16,55.40,55.78,55.00,55.33,1149093
1-Sep-16,54.82,55.08,54.16,55.07,1770093
31-Aug-16,54.97,55.14,54.29,54.90,1304417
30-Aug-16,55.05,55.56,54.61,54.89,1168802
29-Aug-16,55.25,55.30,54.66,55.04,1173252
26-Aug-16,54.56,55.94,54.18,55.31,2222253
25-Aug-16,53.80,54.68,53.76,54.56,1971270
24-Aug-16,53.68,54.44,53.63,53.98,1984640
23-Aug-16,53.06,54.28,52.95,53.60,1379082
22-Aug-16,52.81,53.00,52.25,52.98,1286074
19-Aug-16,52.30,52.96,52.00,52.95,1391247
18-Aug-16,52.35,52.64,52.00,52.35,1108053
17-Aug-16,52.24,52.40,51.98,52.34,1608480
16-Aug-16,52.07,52.63,52.00,52.00,1241019
15-Aug-16,52.05,53.01,52.02,52.05,1960670
12-Aug-16,52.19,52.57,51.96,51.97,1979593
11-Aug-16,52.15,52.30,51.30,51.41,1582287
10-Aug-16,50.35,52.06,50.35,52.02,2997435
9-Aug-16,50.17,50.95,50.16,50.22,1802561
8-Aug-16,50.78,50.94,50.05,50.21,1405299
5-Aug-16,49.73,50.87,49.16,50.66,2085659
4-Aug-16,49.28,49.70,48.92,49.43,1939228
3-Aug-16,49.86,49.98,49.16,49.44,1909039
2-Aug-16,50.46,50.69,49.21,49.96,3083522
1-Aug-16,50.56,50.71,50.19,50.60,3028327
29-Jul-16,50.64,50.83,49.76,50.53,3622526
28-Jul-16,50.45,51.12,50.21,50.69,4725013
27-Jul-16,51.23,51.44,47.80,50.51,19372284
26-Jul-16,58.00,58.47,57.69,58.09,3896212
25-Jul-16,57.83,58.33,57.56,57.90,1676791
22-Jul-16,57.45,58.14,57.24,57.89,1048026
21-Jul-16,57.89,58.12,57.01,57.20,1486517
20-Jul-16,57.71,57.89,57.42,57.83,1164647
19-Jul-16,57.24,57.96,57.24,57.45,1000052
18-Jul-16,57.39,57.86,57.28,57.47,937932
15-Jul-16,57.70,57.91,57.03,57.25,1137960
14-Jul-16,57.72,58.01,57.11,57.43,1611116
13-Jul-16,56.70,57.69,56.50,56.86,1789644
12-Jul-16,56.74,56.90,56.11,56.16,2018411
11-Jul-16,56.66,57.40,55.89,56.24,1498036
8-Jul-16,55.50,56.64,54.86,56.38,1919170
7-Jul-16,55.00,55.38,54.68,54.94,989553
6-Jul-16,54.18,55.03,53.72,54.96,1443457
5-Jul-16,55.10,55.50,53.81,54.25,1327230
1-Jul-16,55.81,56.33,55.20,55.50,1242377
30-Jun-16,54.79,55.94,53.99,55.93,1957599
29-Jun-16,53.09,54.84,52.80,54.56,1780193
28-Jun-16,51.96,53.43,51.88,53.05,1965723
27-Jun-16,52.70,52.88,50.91,51.16,2460302
24-Jun-16,54.96,55.74,53.17,53.35,3494509
23-Jun-16,55.24,57.17,55.12,57.17,2517337
22-Jun-16,54.66,55.24,54.57,54.70,1495909
21-Jun-16,54.42,54.74,54.14,54.70,1132152
20-Jun-16,54.04,54.82,53.50,54.14,1806855
17-Jun-16,53.73,53.99,53.16,53.19,2330298
