Date,Open,High,Low,Close,Volume
9-Dec-16,49.79,49.79,48.52,48.97,1026442
8-Dec-16,48.55,49.94,48.37,49.88,1518816
7-Dec-16,46.98,48.39,46.78,48.37,894430
6-Dec-16,45.49,47.18,45.06,46.86,1338009
5-Dec-16,45.13,46.02,44.67,45.58,969471
2-Dec-16,46.36,46.36,44.60,44.67,825580
1-Dec-16,44.95,47.12,44.88,46.34,1276624
30-Nov-16,44.38,44.95,44.04,44.66,823048
29-Nov-16,44.84,45.05,44.10,44.23,602763
28-Nov-16,44.79,44.92,43.98,44.64,685258
25-Nov-16,45.14,45.17,44.76,44.79,289530
23-Nov-16,44.83,45.16,44.42,44.92,579260
22-Nov-16,45.26,45.60,44.69,44.79,515016
21-Nov-16,44.30,45.17,43.99,45.03,981461
18-Nov-16,43.81,44.33,43.35,43.96,689596
17-Nov-16,44.14,44.18,43.43,44.08,716192
16-Nov-16,44.70,44.70,43.97,44.03,996741
15-Nov-16,46.30,46.68,44.33,44.73,969532
14-Nov-16,43.21,45.97,43.21,45.83,2646188
11-Nov-16,42.38,43.19,42.15,43.10,1167978
10-Nov-16,41.70,43.21,41.43,42.37,1016402
9-Nov-16,39.36,41.67,39.28,41.53,1181732
8-Nov-16,41.00,41.00,39.68,40.26,1153661
7-Nov-16,41.66,41.74,40.97,41.28,822002
4-Nov-16,40.78,41.49,40.46,40.86,1441126
3-Nov-16,41.75,42.21,40.79,40.97,2061741
2-Nov-16,42.87,42.89,41.77,41.93,2105458
1-Nov-16,43.61,44.21,42.60,42.95,1634456
31-Oct-16,43.25,44.06,43.25,43.87,1334189
28-Oct-16,44.50,44.78,43.26,44.15,2449131
27-Oct-16,46.84,46.97,45.76,46.05,912767
26-Oct-16,45.62,46.88,45.42,46.70,933426
25-Oct-16,46.83,46.86,45.41,45.81,1039314
24-Oct-16,47.25,47.65,46.84,47.21,432786
21-Oct-16,46.53,46.94,46.07,46.82,497088
20-Oct-16,47.63,47.91,46.72,46.85,993927
19-Oct-16,47.64,48.89,47.49,48.81,546568
18-Oct-16,48.49,48.49,47.66,47.90,456437
17-Oct-16,48.34,48.56,47.90,47.92,419314
14-Oct-16,48.43,48.96,48.08,48.32,655114
13-Oct-16,48.01,48.37,47.39,48.13,975299
12-Oct-16,48.28,48.68,48.11,48.48,411889
11-Oct-16,48.96,48.96,48.08,48.31,795744
10-Oct-16,49.68,49.88,48.98,49.06,674361
7-Oct-16,50.15,50.21,48.95,49.27,866805
6-Oct-16,50.00,50.46,49.43,50.16,1089823
5-Oct-16,49.02,50.29,48.79,49.76,1084896
4-Oct-16,49.00,49.64,48.71,48.88,944757
3-Oct-16,48.51,49.35,48.32,48.84,950497
30-Sep-16,47.51,48.94,47.29,48.71,956184
29-Sep-16,47.84,47.94,47.15,47.26,1220293
28-Sep-16,47.77,48.07,46.83,47.45,671648
27-Sep-16,47.91,48.13,47.25,47.66,885560
26-Sep-16,48.33,48.57,47.56,47.82,709722
23-Sep-16,47.97,48.72,47.70,48.53,510448
22-Sep-16,48.03,48.52,48.03,48.28,521265
21-Sep-16,47.34,47.96,47.15,47.62,1025741
20-Sep-16,48.59,48.72,47.67,48.00,459415
19-Sep-16,49.00,49.30,48.24,48.38,797548
16-Sep-16,49.01,49.36,48.53,48.84,1594183
15-Sep-16,48.42,49.31,48.25,49.14,647601
14-Sep-16,48.56,49.11,48.13,48.69,874267
13-Sep-16,48.18,48.92,47.77,48.52,949537
12-Sep-16,46.80,48.83,46.72,48.62,833661
9-Sep-16,48.81,48.85,47.15,47.16,880192
8-Sep-16,49.23,49.86,48.88,49.31,1103626
7-Sep-16,48.15,49.07,47.67,49.06,805343
6-Sep-16,48.29,48.32,47.68,48.05,889000
2-Sep-16,48.23,48.40,47.78,48.37,578461
1-Sep-16,47.34,48.41,47.34,48.02,864394
31-Aug-16,47.57,48.00,46.78,47.35,1202996
30-Aug-16,47.89,48.17,47.50,47.69,768487
29-Aug-16,47.74,48.03,47.66,47.96,691313
26-Aug-16,47.57,48.06,47.33,47.56,627190
25-Aug-16,47.74,47.98,47.41,47.56,742902
24-Aug-16,48.22,48.52,47.74,47.84,488707
23-Aug-16,48.40,48.91,48.28,48.36,568532
22-Aug-16,48.40,48.54,47.81,47.99,726741
19-Aug-16,48.61,48.63,48.10,48.40,687392
18-Aug-16,48.24,48.84,47.74,48.77,1061105
17-Aug-16,48.77,48.84,47.92,48.27,1110145
16-Aug-16,49.15,49.41,48.42,48.87,1293102
15-Aug-16,48.90,49.59,48.82,49.26,1678482
12-Aug-16,49.29,49.54,48.47,48.84,664207
11-Aug-16,49.01,50.06,49.01,49.46,810644
10-Aug-16,49.01,49.48,48.42,48.59,1151093
9-Aug-16,49.51,49.83,48.91,49.03,619787
8-Aug-16,50.21,50.66,49.72,49.77,612894
5-Aug-16,49.89,50.86,49.88,49.99,943498
4-Aug-16,49.38,50.06,49.09,49.46,868771
3-Aug-16,48.66,49.39,47.76,49.23,1195865
2-Aug-16,51.82,52.06,48.73,48.74,2312815
1-Aug-16,51.35,53.25,50.97,51.82,3151118
29-Jul-16,52.28,54.15,51.87,53.35,1923518
28-Jul-16,51.27,52.23,51.16,52.12,1530043
27-Jul-16,52.20,52.41,51.10,51.53,984803
26-Jul-16,51.66,52.61,50.90,52.20,846949
25-Jul-16,52.22,52.58,51.92,51.98,828232
22-Jul-16,51.71,52.15,51.06,52.08,760193
21-Jul-16,51.51,52.73,51.26,51.63,1534125
20-Jul-16,51.03,51.53,50.75,51.28,1246595
19-Jul-16,51.16,51.24,50.44,50.68,979571
18-Jul-16,50.90,51.79,50.63,51.43,818668
15-Jul-16,50.91,51.23,50.54,50.82,925768
14-Jul-16,51.05,51.50,50.79,50.79,952686
13-Jul-16,51.19,51.25,49.99,50.65,716132
12-Jul-16,51.19,51.56,50.55,50.89,1030204
11-Jul-16,51.20,52.42,50.73,50.78,1017112
8-Jul-16,49.37,51.00,49.33,50.77,1299386
7-Jul-16,47.56,49.59,47.54,48.72,1805481
6-Jul-16,45.71,47.16,45.19,46.86,2592353
5-Jul-16,47.66,47.66,45.51,45.71,1516355
1-Jul-16,47.14,48.84,47.03,47.83,1828847
30-Jun-16,47.75,47.75,45.83,46.98,1375609
29-Jun-16,47.39,47.84,46.96,47.57,918560
28-Jun-16,46.57,47.52,46.41,47.00,957551
27-Jun-16,46.40,46.57,45.69,46.07,1366941
24-Jun-16,46.76,47.33,46.37,47.03,2134871
23-Jun-16,48.21,49.08,47.83,48.73,627538
22-Jun-16,47.91,48.22,47.41,47.62,749855
21-Jun-16,48.99,49.11,47.79,47.89,1350598
20-Jun-16,48.64,49.92,48.64,49.36,1043764
17-Jun-16,47.28,48.55,47.19,48.08,1609243
16-Jun-16,47.05,47.52,46.05,47.40,673189
15-Jun-16,46.99,48.52,46.91,47.49,1211151
14-Jun-16,47.06,47.32,46.19,46.97,1081267
13-Jun-16,47.27,47.76,46.52,47.27,1103098
10-Jun-16,49.10,49.38,47.50,47.63,1333607
9-Jun-16,50.57,50.61,49.55,50.34,1461266
8-Jun-16,50.46,50.99,50.10,50.80,1063666
7-Jun-16,49.05,50.60,48.78,50.30,1203689
6-Jun-16,48.34,49.16,48.23,49.07,973480
3-Jun-16,49.26,49.45,47.64,48.50,1429742
2-Jun-16,49.55,49.96,48.98,49.51,981308
1-Jun-16,50.07,50.26,48.48,49.67,1890658
31-May-16,50.62,51.04,50.14,50.44,1647614
27-May-16,49.39,50.54,49.18,50.50,1076637
26-May-16,49.66,50.36,49.21,49.36,750746
25-May-16,48.08,49.73,48.08,49.52,1022761
24-May-16,47.22,48.26,46.75,47.99,809035
23-May-16,47.98,48.25,47.11,47.16,1103455
20-May-16,46.48,48.18,46.25,48.13,1595136
19-May-16,46.26,47.32,46.09,46.48,1023643
18-May-16,46.57,47.24,46.40,46.61,995313
17-May-16,46.62,47.56,46.40,46.95,1059149
16-May-16,46.47,46.85,46.15,46.67,1189790
13-May-16,46.69,47.27,46.20,46.40,1137969
12-May-16,47.11,47.44,46.40,46.95,1365565
11-May-16,48.64,48.64,47.06,47.09,1220736
10-May-16,48.46,49.16,48.02,49.03,1195403
9-May-16,48.19,49.04,48.08,48.35,1131716
6-May-16,48.10,48.62,47.84,48.32,1034915
5-May-16,48.62,49.15,48.03,48.20,983320
4-May-16,48.74,49.34,48.29,48.67,976332
3-May-16,49.36,49.69,48.25,49.14,967760
2-May-16,50.99,51.04,49.58,49.68,1550241
29-Apr-16,50.55,50.78,49.94,50.65,1217120
28-Apr-16,51.03,51.98,50.56,50.70,842279
27-Apr-16,50.81,51.97,50.48,51.34,1425889
26-Apr-16,49.48,52.04,49.22,51.08,2703267
25-Apr-16,49.32,50.63,48.87,49.54,2395252
22-Apr-16,46.17,50.24,45.50,49.49,4443950
21-Apr-16,48.35,48.58,46.81,48.05,4739702
20-Apr-16,48.18,48.94,47.98,48.70,1582639
19-Apr-16,48.12,48.77,47.91,48.23,1387675
18-Apr-16,47.02,47.97,46.80,47.95,1102228
15-Apr-16,47.22,47.89,46.90,47.12,697239
14-Apr-16,46.63,48.02,46.52,47.28,1927522
13-Apr-16,45.28,46.63,44.96,46.42,1255733
12-Apr-16,43.95,44.92,43.78,44.83,1269392
11-Apr-16,44.76,44.98,43.90,43.95,1607557
8-Apr-16,45.39,45.74,44.46,44.65,1104929
7-Apr-16,45.89,46.14,44.89,45.12,2790725
6-Apr-16,45.92,46.26,45.45,46.03,1498632
5-Apr-16,45.20,46.27,45.20,45.68,1483700
4-Apr-16,45.91,46.17,45.17,45.35,2521201
1-Apr-16,46.14,46.27,44.88,45.84,2275962
31-Mar-16,47.87,47.88,46.00,46.68,2489202
30-Mar-16,48.38,48.64,47.79,47.97,1247244
29-Mar-16,47.16,48.45,47.00,48.17,1255891
28-Mar-16,47.83,48.02,47.00,47.28,1188818
24-Mar-16,47.85,48.04,47.07,47.97,790665
23-Mar-16,48.48,48.52,47.72,47.98,890375
22-Mar-16,48.78,49.31,48.66,48.73,977425
21-Mar-16,48.48,49.29,48.42,49.16,1648333
18-Mar-16,47.53,48.70,47.45,48.51,2463411
17-Mar-16,47.82,47.99,47.06,47.42,2526512
16-Mar-16,48.40,48.42,46.93,48.08,2295828
15-Mar-16,49.46,49.59,47.74,48.45,1568769
14-Mar-16,50.90,51.19,49.78,49.83,816604
11-Mar-16,50.48,51.19,50.12,51.11,1034801
10-Mar-16,50.32,50.69,49.42,50.03,857445
9-Mar-16,49.98,50.30,49.44,50.07,886006
8-Mar-16,51.31,51.56,49.06,49.52,2257664
7-Mar-16,52.40,53.05,52.40,52.85,1043995
4-Mar-16,53.23,53.75,52.48,52.72,1277147
3-Mar-16,51.52,53.08,51.24,52.98,1565633
2-Mar-16,52.38,52.99,51.13,51.55,1902854
1-Mar-16,53.09,53.80,51.96,52.53,2490203
29-Feb-16,51.87,52.43,51.42,51.47,1209335
26-Feb-16,52.11,52.50,51.15,51.66,1266217
25-Feb-16,51.57,52.44,51.12,51.94,1316452
24-Feb-16,49.65,51.54,49.13,51.34,1744771
23-Feb-16,50.10,52.41,49.73,50.37,2042657
22-Feb-16,48.75,50.11,48.75,49.83,1870248
19-Feb-16,49.62,49.62,47.39,47.94,1587217
18-Feb-16,49.50,50.52,49.33,49.95,1527484
17-Feb-16,49.56,50.88,49.21,49.66,2229508
16-Feb-16,48.59,49.89,48.40,49.23,1834696
12-Feb-16,47.15,48.42,46.32,48.16,1954134
11-Feb-16,45.82,47.36,45.62,46.78,2030964
10-Feb-16,46.58,47.71,46.35,46.73,1554596
9-Feb-16,44.33,46.97,44.03,46.44,2607165
8-Feb-16,45.29,46.83,44.48,44.71,3909538
5-Feb-16,46.22,46.85,45.48,45.75,3253633
4-Feb-16,44.22,46.94,44.17,46.40,3439899
3-Feb-16,44.16,44.84,43.55,44.47,3190793
2-Feb-16,44.63,44.68,42.72,43.46,3403929
1-Feb-16,42.91,45.84,42.51,45.14,3360910
29-Jan-16,41.68,43.29,41.60,43.25,2293948
28-Jan-16,42.97,42.99,40.45,41.53,2959160
27-Jan-16,45.32,45.68,43.58,44.06,1834351
26-Jan-16,45.18,45.82,44.68,45.49,1149460
25-Jan-16,45.49,45.75,44.80,45.18,1093848
22-Jan-16,46.37,46.66,45.50,45.66,855697
21-Jan-16,46.01,47.19,45.52,45.81,1214921
20-Jan-16,43.78,46.58,43.64,46.01,2949523
19-Jan-16,46.75,47.49,43.53,44.55,1903777
15-Jan-16,47.58,47.59,45.51,46.55,1300811
14-Jan-16,46.96,48.25,46.09,47.57,1118373
