Date,Open,High,Low,Close,Volume
9-Dec-16,148.84,149.70,147.97,149.55,669851
8-Dec-16,148.61,149.15,148.09,149.06,836698
7-Dec-16,146.81,148.59,145.89,148.54,1159406
6-Dec-16,147.19,147.50,146.02,146.57,866225
5-Dec-16,146.21,147.85,145.76,147.33,1783653
2-Dec-16,144.00,145.06,143.45,144.55,1301682
1-Dec-16,144.42,145.37,143.79,144.07,1355741
30-Nov-16,143.65,145.26,142.90,144.46,2697948
29-Nov-16,140.97,144.17,140.53,143.47,2055316
28-Nov-16,141.43,142.39,140.76,141.78,1447687
25-Nov-16,141.00,141.54,140.72,141.54,283551
23-Nov-16,139.37,140.79,139.37,140.75,672406
22-Nov-16,140.24,140.88,138.78,139.71,1372498
21-Nov-16,142.80,142.80,139.01,139.74,1232414
18-Nov-16,138.00,138.53,137.60,137.96,1559209
17-Nov-16,138.93,139.34,137.88,138.00,1157879
16-Nov-16,138.08,138.79,137.43,138.74,1052870
15-Nov-16,137.79,138.35,136.86,138.14,856140
14-Nov-16,138.55,139.18,137.88,137.98,1304256
11-Nov-16,140.08,141.14,138.16,138.54,1642328
10-Nov-16,138.11,141.00,137.88,139.98,2003305
9-Nov-16,134.98,137.92,134.18,137.22,2378310
8-Nov-16,136.88,137.88,136.38,136.93,1505562
7-Nov-16,135.35,137.26,134.84,137.08,2233461
4-Nov-16,132.99,134.06,132.07,133.37,1147165
3-Nov-16,134.00,134.72,133.05,133.09,1375749
2-Nov-16,132.33,133.87,131.80,133.55,2102455
1-Nov-16,133.74,134.51,131.12,132.26,1695641
31-Oct-16,134.26,134.49,133.38,133.42,1625456
28-Oct-16,133.40,135.14,132.67,133.81,2100565
27-Oct-16,133.50,135.05,129.00,133.40,3603220
26-Oct-16,132.78,133.05,131.75,132.98,2757583
25-Oct-16,135.39,135.39,133.48,133.51,1510101
24-Oct-16,135.08,136.07,134.44,134.81,884279
21-Oct-16,133.35,134.64,132.77,134.44,999713
20-Oct-16,133.68,134.77,133.21,134.39,1184385
19-Oct-16,134.23,134.38,133.22,133.91,850674
18-Oct-16,133.91,134.52,133.46,133.82,905225
17-Oct-16,132.65,133.23,132.18,132.28,797368
14-Oct-16,133.27,133.27,132.00,132.65,1193732
13-Oct-16,131.34,132.56,129.90,132.26,1484309
12-Oct-16,132.27,133.15,131.99,132.81,1188309
11-Oct-16,135.01,135.03,131.73,132.65,1932760
