Date,Open,High,Low,Close,Volume
9-Dec-16,9.35,9.59,9.29,9.59,3362683
8-Dec-16,9.35,9.44,9.10,9.35,4256486
7-Dec-16,9.47,9.52,9.46,9.52,543106
6-Dec-16,9.49,9.51,9.47,9.51,862766
5-Dec-16,9.50,9.53,9.44,9.49,607876
2-Dec-16,9.50,9.54,9.45,9.49,606213
1-Dec-16,9.45,9.52,9.36,9.50,746009
30-Nov-16,9.48,9.50,9.43,9.43,358418
29-Nov-16,9.48,9.51,9.44,9.50,541719
28-Nov-16,9.44,9.50,9.43,9.50,407505
25-Nov-16,9.35,9.50,9.25,9.48,187213
23-Nov-16,9.50,9.51,9.41,9.51,784879
22-Nov-16,9.47,9.51,9.44,9.50,475883
21-Nov-16,9.45,9.50,9.35,9.49,696581
18-Nov-16,9.50,9.50,9.38,9.45,438372
17-Nov-16,9.40,9.50,9.39,9.48,956428
16-Nov-16,9.42,9.48,9.34,9.43,890632
15-Nov-16,9.50,9.50,9.24,9.43,1150979
14-Nov-16,9.45,9.48,9.24,9.47,516361
11-Nov-16,9.44,9.50,9.26,9.42,1206811
10-Nov-16,9.33,9.38,9.18,9.35,1057239
9-Nov-16,8.70,9.35,8.70,9.34,1199952
8-Nov-16,8.72,8.78,8.52,8.73,290745
7-Nov-16,8.80,8.83,8.71,8.73,237801
4-Nov-16,8.75,8.86,8.72,8.76,331514
3-Nov-16,8.82,8.82,8.72,8.72,216471
2-Nov-16,8.83,8.92,8.71,8.78,202078
1-Nov-16,8.88,8.93,8.74,8.80,380219
31-Oct-16,8.67,9.28,8.51,8.79,791188
28-Oct-16,8.74,8.74,8.59,8.67,325419
27-Oct-16,8.71,8.89,8.69,8.70,183531
26-Oct-16,8.59,8.74,8.50,8.67,247435
25-Oct-16,8.85,8.93,8.49,8.62,480946
24-Oct-16,8.87,8.95,8.84,8.90,286334
21-Oct-16,8.85,9.03,8.75,8.87,766769
20-Oct-16,8.52,8.59,8.43,8.49,385279
19-Oct-16,8.46,8.56,8.36,8.50,605393
18-Oct-16,8.55,8.56,8.44,8.46,351220
17-Oct-16,8.43,8.54,8.34,8.51,258905
14-Oct-16,8.34,8.47,8.28,8.46,272701
13-Oct-16,8.10,8.57,8.04,8.33,819193
12-Oct-16,8.12,8.24,8.02,8.11,144420
11-Oct-16,8.16,8.21,8.09,8.12,176050
10-Oct-16,8.02,8.22,7.99,8.17,166892
7-Oct-16,8.05,8.15,7.99,8.01,124120
6-Oct-16,8.04,8.07,7.96,8.05,173470
5-Oct-16,7.99,8.18,7.95,8.10,262105
4-Oct-16,8.23,8.27,7.88,7.95,358113
3-Oct-16,7.96,8.34,7.96,8.24,451720
30-Sep-16,7.85,7.98,7.83,7.95,367290
29-Sep-16,7.97,8.04,7.81,7.82,318549
28-Sep-16,8.08,8.13,7.95,8.03,385297
27-Sep-16,7.74,8.12,7.74,8.04,423020
26-Sep-16,7.58,7.86,7.56,7.71,669914
23-Sep-16,7.60,7.62,7.54,7.58,291485
22-Sep-16,7.60,7.68,7.56,7.64,433286
21-Sep-16,7.92,8.09,7.51,7.56,721633
20-Sep-16,8.00,8.07,7.90,7.91,1057869
19-Sep-16,8.00,8.02,7.94,7.98,511804
16-Sep-16,8.11,8.11,7.90,7.95,1205188
15-Sep-16,7.90,8.14,7.90,8.08,612088
14-Sep-16,8.13,8.17,7.88,7.90,1097033
13-Sep-16,8.39,8.40,8.10,8.12,1371763
12-Sep-16,7.98,8.40,7.98,8.39,994783
9-Sep-16,8.10,8.45,8.10,8.35,749847
8-Sep-16,8.58,8.66,8.11,8.25,1247460
7-Sep-16,8.89,8.93,8.57,8.61,1438203
6-Sep-16,8.88,8.96,8.87,8.89,268784
2-Sep-16,8.88,8.91,8.86,8.90,147538
1-Sep-16,8.87,8.95,8.86,8.89,420722
31-Aug-16,8.89,8.90,8.85,8.87,624936
30-Aug-16,8.86,8.90,8.84,8.88,310701
29-Aug-16,8.84,8.90,8.82,8.86,299862
26-Aug-16,8.86,8.88,8.81,8.83,462290
25-Aug-16,8.90,8.92,8.85,8.87,437208
24-Aug-16,8.91,8.92,8.84,8.90,289737
23-Aug-16,8.91,8.95,8.90,8.90,281342
22-Aug-16,8.93,8.98,8.88,8.89,160906
19-Aug-16,8.93,8.96,8.89,8.93,424386
18-Aug-16,8.97,8.97,8.90,8.95,508864
17-Aug-16,8.98,9.01,8.90,8.90,738435
16-Aug-16,9.02,9.03,8.96,8.99,398016
15-Aug-16,9.02,9.05,8.99,9.03,208263
12-Aug-16,9.02,9.04,8.98,9.04,162463
11-Aug-16,8.97,9.04,8.97,9.03,454662
10-Aug-16,8.98,9.04,8.92,8.96,429023
9-Aug-16,8.98,9.01,8.93,8.96,243897
8-Aug-16,8.91,8.99,8.91,8.98,248796
5-Aug-16,8.95,9.01,8.92,8.95,296469
4-Aug-16,8.96,8.97,8.92,8.94,288938
3-Aug-16,8.93,9.00,8.92,8.95,531199
2-Aug-16,8.97,9.01,8.92,8.93,379181
1-Aug-16,8.99,9.05,8.94,8.98,232581
29-Jul-16,8.97,9.05,8.95,8.99,489892
28-Jul-16,8.96,9.00,8.93,8.98,380963
27-Jul-16,8.99,9.01,8.92,8.96,311428
26-Jul-16,8.98,9.04,8.97,8.97,345370
25-Jul-16,8.98,9.04,8.95,8.99,237441
22-Jul-16,8.98,9.01,8.95,8.96,397029
21-Jul-16,9.01,9.04,8.95,8.97,467924
20-Jul-16,9.01,9.07,8.98,9.01,563429
19-Jul-16,9.07,9.09,9.00,9.01,525757
18-Jul-16,9.07,9.10,9.05,9.08,754160
15-Jul-16,9.10,9.10,9.04,9.04,679660
14-Jul-16,9.08,9.11,9.03,9.06,788917
13-Jul-16,9.12,9.14,9.03,9.04,549624
12-Jul-16,9.14,9.16,9.06,9.08,941976
11-Jul-16,9.07,9.11,9.02,9.11,632990
8-Jul-16,9.13,9.15,8.92,9.05,890936
7-Jul-16,9.05,9.09,8.92,9.04,644462
6-Jul-16,8.96,9.08,8.95,9.04,406709
5-Jul-16,9.10,9.11,8.89,8.97,596017
1-Jul-16,9.12,9.16,9.07,9.10,395644
30-Jun-16,9.06,9.12,9.01,9.12,371734
29-Jun-16,9.09,9.10,8.99,9.02,316045
28-Jun-16,9.07,9.11,8.99,9.00,447849
27-Jun-16,9.10,9.14,8.94,9.03,970135
24-Jun-16,9.10,9.17,9.03,9.11,895117
23-Jun-16,9.15,9.19,9.12,9.19,467545
