Date,Open,High,Low,Close,Volume
20-May-16,142.98,142.99,142.95,142.95,6627583
19-May-16,142.97,142.99,142.95,142.95,1354457
18-May-16,142.96,142.99,142.96,142.98,822828
17-May-16,142.91,142.98,142.90,142.96,1176450
16-May-16,142.94,143.02,142.90,142.91,904317
13-May-16,142.58,143.05,142.43,142.94,2107415
12-May-16,142.60,142.68,142.51,142.55,1216022
11-May-16,142.58,142.67,142.55,142.62,677586
10-May-16,142.60,142.70,142.57,142.60,517932
9-May-16,142.56,142.65,142.51,142.60,413577
6-May-16,142.60,142.72,142.53,142.60,344649
5-May-16,142.55,143.00,142.35,142.60,559904
4-May-16,142.50,142.69,142.43,142.47,690505
3-May-16,142.43,142.60,142.42,142.59,431925
2-May-16,142.41,142.66,142.39,142.52,591028
29-Apr-16,142.03,142.50,142.03,142.44,1121307
28-Apr-16,142.38,142.57,142.35,142.45,467775
27-Apr-16,142.14,142.50,142.14,142.50,531581
26-Apr-16,142.00,142.50,141.93,142.21,865852
25-Apr-16,141.85,141.96,141.85,141.89,441310
22-Apr-16,141.83,141.97,141.76,141.89,1045872
21-Apr-16,141.82,142.02,141.75,141.75,577847
20-Apr-16,141.85,141.90,141.75,141.79,420591
19-Apr-16,141.95,142.05,141.69,141.75,636878
18-Apr-16,141.90,142.00,141.78,141.91,443548
15-Apr-16,141.85,142.03,141.75,142.00,517206
14-Apr-16,141.75,141.94,141.75,141.77,825817
13-Apr-16,142.00,142.05,141.55,141.62,382697
12-Apr-16,142.05,142.14,141.80,142.00,392573
11-Apr-16,142.07,142.12,141.88,142.06,936056
8-Apr-16,141.97,142.05,141.77,142.05,368770
7-Apr-16,141.88,142.16,141.80,141.89,835412
6-Apr-16,141.73,141.98,141.73,141.98,338603
5-Apr-16,141.97,142.24,141.69,141.80,689154
4-Apr-16,141.95,142.19,141.91,142.05,389098
1-Apr-16,141.73,142.07,141.70,142.00,641191
31-Mar-16,141.81,141.90,141.64,141.64,616168
30-Mar-16,141.82,141.85,141.66,141.85,531607
29-Mar-16,141.75,141.88,141.67,141.76,380290
28-Mar-16,141.67,141.90,141.59,141.72,613360
24-Mar-16,141.68,141.86,141.51,141.86,381292
23-Mar-16,141.56,141.75,141.50,141.69,375120
22-Mar-16,141.50,141.62,141.45,141.59,503330
21-Mar-16,141.63,141.65,141.40,141.59,271260
18-Mar-16,141.67,141.72,141.23,141.57,1062529
17-Mar-16,141.40,141.70,141.33,141.50,621254
16-Mar-16,141.26,141.55,141.25,141.30,678097
15-Mar-16,141.41,141.49,141.25,141.35,448400
14-Mar-16,141.56,141.68,141.35,141.54,1043876
11-Mar-16,141.67,141.74,141.42,141.57,993553
10-Mar-16,141.80,141.89,141.68,141.87,838093
9-Mar-16,141.70,141.84,141.57,141.76,784632
8-Mar-16,141.43,141.63,141.33,141.60,542648
7-Mar-16,141.44,141.65,141.38,141.49,563682
4-Mar-16,141.60,141.64,141.23,141.50,1238176
3-Mar-16,141.55,141.78,141.55,141.55,675182
2-Mar-16,141.78,141.82,141.54,141.54,751892
1-Mar-16,141.55,141.81,141.48,141.80,947634
29-Feb-16,141.58,141.90,141.50,141.52,698671
26-Feb-16,141.72,141.92,141.62,141.81,382552
25-Feb-16,141.70,141.79,141.50,141.76,515430
24-Feb-16,141.40,141.73,141.27,141.70,507360
23-Feb-16,141.27,141.60,141.11,141.45,1175679
22-Feb-16,141.25,141.74,141.22,141.37,1003265
19-Feb-16,140.64,141.23,140.58,141.23,1164867
18-Feb-16,140.90,140.96,140.50,140.66,637743
17-Feb-16,140.61,141.00,140.56,140.85,1114547
16-Feb-16,141.03,141.03,140.08,140.48,1040974
12-Feb-16,140.09,140.28,139.96,140.10,973866
11-Feb-16,140.25,140.36,139.78,139.95,1280192
10-Feb-16,140.17,140.46,139.89,140.46,907810
9-Feb-16,140.20,140.33,139.44,140.14,750556
8-Feb-16,140.15,140.50,139.58,140.50,1588418
5-Feb-16,140.34,140.41,140.17,140.36,1107196
4-Feb-16,140.29,140.48,140.15,140.40,1774809
3-Feb-16,140.30,140.35,140.09,140.25,1095148
2-Feb-16,139.94,140.29,139.82,140.23,774978
1-Feb-16,140.00,140.27,139.61,140.22,1019297
29-Jan-16,139.54,140.23,139.37,140.00,1126147
28-Jan-16,138.60,139.70,138.60,139.56,1053370
27-Jan-16,138.68,138.88,138.56,138.60,1132461
26-Jan-16,138.07,138.84,138.07,138.59,1670414
25-Jan-16,138.60,138.65,137.85,137.91,1915734
22-Jan-16,138.72,138.75,138.41,138.60,950522
21-Jan-16,138.50,138.86,138.24,138.39,1124003
20-Jan-16,138.35,138.60,138.24,138.37,1926199
19-Jan-16,138.50,138.75,138.31,138.55,1121016
15-Jan-16,138.50,138.50,138.06,138.30,1507233
14-Jan-16,138.23,138.79,138.06,138.58,678918
13-Jan-16,138.49,138.80,138.14,138.18,1137123
12-Jan-16,138.50,138.59,138.03,138.50,1170408
11-Jan-16,137.74,138.65,137.74,138.42,1142695
8-Jan-16,138.15,138.29,137.70,137.80,796777
7-Jan-16,138.02,138.29,137.54,137.90,1308670
6-Jan-16,138.14,138.49,137.97,138.37,638137
5-Jan-16,138.18,138.49,138.10,138.46,631223
4-Jan-16,138.15,138.50,137.93,138.30,930058
31-Dec-15,138.45,138.75,138.16,138.32,706286
30-Dec-15,138.70,138.76,138.40,138.54,567285
29-Dec-15,138.45,139.04,138.43,138.68,465832
28-Dec-15,138.40,138.68,137.90,138.42,343991
24-Dec-15,138.40,138.85,138.40,138.48,214450
23-Dec-15,138.18,138.61,137.87,138.61,470800
22-Dec-15,137.76,138.34,137.69,138.02,520383
21-Dec-15,137.30,137.96,137.20,137.60,816380
18-Dec-15,137.26,137.89,137.14,137.14,1816301
17-Dec-15,137.46,138.30,137.32,137.49,1536601
16-Dec-15,136.66,138.09,136.55,137.55,1253328
15-Dec-15,136.34,136.92,136.34,136.66,1406850
14-Dec-15,136.39,136.60,136.13,136.28,1394599
