Date,Open,High,Low,Close,Volume
9-Dec-16,5.53,5.66,5.52,5.57,6146160
8-Dec-16,5.39,5.57,5.33,5.53,5305124
7-Dec-16,5.74,5.75,5.34,5.39,5779873
6-Dec-16,5.28,5.73,5.28,5.72,11425418
5-Dec-16,5.20,5.26,5.16,5.25,4104236
2-Dec-16,5.13,5.21,5.03,5.14,4573579
1-Dec-16,5.36,5.40,5.07,5.11,6886669
30-Nov-16,5.50,5.55,5.28,5.37,9032164
29-Nov-16,5.59,5.60,5.38,5.46,6737005
28-Nov-16,5.68,5.74,5.52,5.57,5807052
25-Nov-16,5.69,5.84,5.66,5.68,3652372
23-Nov-16,5.57,5.72,5.54,5.64,4951328
22-Nov-16,5.46,5.62,5.42,5.58,6468934
21-Nov-16,5.50,5.55,5.43,5.46,6509820
18-Nov-16,5.72,5.78,5.44,5.45,4936205
17-Nov-16,5.77,5.80,5.65,5.70,2940957
16-Nov-16,5.53,5.77,5.52,5.72,5054769
15-Nov-16,5.56,5.65,5.48,5.59,7303746
14-Nov-16,5.44,5.59,5.44,5.53,8103731
11-Nov-16,5.38,5.47,5.25,5.42,7316582
10-Nov-16,5.96,6.02,5.42,5.46,9936598
9-Nov-16,5.95,5.96,5.66,5.85,7414809
8-Nov-16,6.08,6.20,6.04,6.10,4519200
7-Nov-16,6.07,6.24,6.02,6.12,4272212
4-Nov-16,6.19,6.23,5.91,5.94,6608854
3-Nov-16,6.45,6.79,6.01,6.24,7229903
2-Nov-16,6.29,6.50,6.28,6.41,5920722
1-Nov-16,6.59,6.62,6.29,6.39,6313182
31-Oct-16,6.75,6.76,6.50,6.55,6113616
28-Oct-16,6.76,6.80,6.55,6.63,3758047
27-Oct-16,6.89,6.92,6.61,6.73,5378993
26-Oct-16,6.79,6.87,6.67,6.85,5313131
25-Oct-16,6.83,6.96,6.73,6.89,4418362
24-Oct-16,6.90,6.95,6.75,6.83,3054435
21-Oct-16,6.55,6.83,6.50,6.76,9736158
20-Oct-16,6.56,6.71,6.55,6.59,3614064
19-Oct-16,6.65,6.66,6.55,6.63,4454889
18-Oct-16,6.32,6.84,6.19,6.62,17036289
17-Oct-16,6.34,6.34,6.15,6.19,3368697
14-Oct-16,6.04,6.33,6.03,6.28,5565863
13-Oct-16,5.93,6.06,5.87,6.00,2532050
12-Oct-16,6.00,6.05,5.94,6.00,3172849
11-Oct-16,6.08,6.12,5.90,6.00,3850730
10-Oct-16,6.17,6.30,6.04,6.16,4327738
7-Oct-16,6.17,6.23,5.94,6.12,5282427
6-Oct-16,5.92,6.18,5.90,6.12,9607278
5-Oct-16,5.57,5.96,5.55,5.94,5672680
4-Oct-16,5.59,5.70,5.47,5.56,2916192
3-Oct-16,5.71,5.74,5.56,5.64,4488651
30-Sep-16,5.56,5.74,5.56,5.66,4571806
29-Sep-16,5.67,5.70,5.44,5.52,3508534
28-Sep-16,5.78,5.83,5.49,5.64,3339869
27-Sep-16,5.62,5.75,5.59,5.74,2735497
26-Sep-16,5.78,5.80,5.58,5.61,2645001
23-Sep-16,5.64,5.88,5.63,5.84,3446414
22-Sep-16,5.69,5.79,5.64,5.74,3640669
21-Sep-16,5.50,5.65,5.45,5.64,3675129
20-Sep-16,5.56,5.59,5.42,5.45,5852525
19-Sep-16,5.30,5.56,5.24,5.54,5033090
16-Sep-16,5.29,5.30,5.17,5.27,5283129
15-Sep-16,5.25,5.30,5.21,5.27,3700179
14-Sep-16,5.27,5.29,5.20,5.23,4425785
13-Sep-16,5.50,5.56,5.19,5.28,7650461
12-Sep-16,5.40,5.66,5.35,5.66,3022180
9-Sep-16,5.69,5.83,5.43,5.44,5894200
8-Sep-16,5.92,5.93,5.77,5.85,3749270
7-Sep-16,5.90,5.96,5.84,5.91,6531572
6-Sep-16,5.81,5.92,5.80,5.92,5900425
2-Sep-16,5.59,5.85,5.56,5.83,7205905
1-Sep-16,5.73,5.74,5.50,5.56,4410434
31-Aug-16,5.73,5.77,5.64,5.70,4124399
30-Aug-16,5.75,5.79,5.66,5.72,3019441
29-Aug-16,5.78,5.84,5.72,5.76,4457218
26-Aug-16,5.68,5.84,5.63,5.73,4897666
25-Aug-16,5.59,5.71,5.58,5.70,5434915
24-Aug-16,5.57,5.65,5.49,5.60,4106953
23-Aug-16,5.64,5.68,5.56,5.61,3899240
22-Aug-16,5.55,5.64,5.42,5.57,4892394
19-Aug-16,5.46,5.67,5.46,5.60,4147355
