Date,Open,High,Low,Close,Volume
9-Dec-16,44.21,44.87,44.09,44.84,2493568
8-Dec-16,43.93,44.20,43.75,44.08,2771435
7-Dec-16,43.63,44.27,43.13,44.12,5871303
6-Dec-16,44.08,44.45,43.47,43.99,5269885
5-Dec-16,44.14,44.32,43.50,43.89,7128076
2-Dec-16,43.78,44.20,43.69,44.01,5933939
1-Dec-16,44.42,44.78,43.32,43.63,8849683
30-Nov-16,44.68,44.78,43.24,44.37,9351070
29-Nov-16,46.68,46.78,44.68,44.76,10201452
28-Nov-16,46.58,46.94,46.53,46.61,2468027
25-Nov-16,46.78,47.04,46.62,46.72,1117020
23-Nov-16,46.02,46.80,46.00,46.56,2321098
22-Nov-16,46.89,46.89,45.60,46.18,5318725
21-Nov-16,47.22,47.43,46.92,47.06,1998681
18-Nov-16,47.10,47.19,46.80,46.98,2399253
17-Nov-16,46.09,47.15,46.04,47.10,4135600
16-Nov-16,46.08,46.67,45.98,46.04,4743799
15-Nov-16,45.19,46.19,45.03,46.07,4520285
14-Nov-16,46.91,47.00,44.96,45.02,5467225
11-Nov-16,47.79,48.02,46.79,46.82,3402757
10-Nov-16,47.03,47.98,46.87,47.84,4331075
9-Nov-16,47.86,48.00,45.80,46.60,7559689
8-Nov-16,47.51,48.35,47.35,48.08,4412688
7-Nov-16,47.61,49.29,47.42,47.62,2376455
4-Nov-16,47.05,47.42,46.88,46.99,3187388
3-Nov-16,46.93,47.28,46.84,46.88,3193520
2-Nov-16,46.85,47.34,46.67,46.74,5649907
1-Nov-16,47.65,47.66,46.58,46.89,7288040
31-Oct-16,47.20,47.70,46.77,47.59,4176464
28-Oct-16,46.91,47.75,46.75,47.20,4525080
27-Oct-16,47.67,47.67,46.55,46.82,5657172
26-Oct-16,49.13,49.19,47.30,47.44,6697618
25-Oct-16,49.94,50.16,48.91,49.16,9771390
24-Oct-16,48.55,48.90,48.30,48.44,5544883
21-Oct-16,47.81,48.24,47.59,48.18,3667025
