Date,Open,High,Low,Close,Volume
9-Dec-16,41.78,41.99,40.96,41.01,3141693
8-Dec-16,40.64,42.18,40.64,42.02,3916284
7-Dec-16,39.87,40.66,39.78,40.62,2095030
6-Dec-16,39.89,39.98,39.30,39.89,1917175
5-Dec-16,39.53,39.96,39.36,39.76,3223288
2-Dec-16,39.49,39.69,39.10,39.21,1586795
1-Dec-16,39.48,39.86,39.22,39.56,2066976
30-Nov-16,39.21,39.50,38.92,39.26,2512890
29-Nov-16,38.77,39.06,38.54,38.70,1476207
28-Nov-16,39.01,39.28,38.56,38.65,2452876
25-Nov-16,39.33,39.43,39.13,39.32,758626
23-Nov-16,38.98,39.40,38.67,39.27,2703094
22-Nov-16,39.49,39.50,38.83,39.16,2040353
21-Nov-16,39.22,39.40,38.92,39.31,1553038
18-Nov-16,38.97,39.17,38.70,38.89,1756757
17-Nov-16,38.50,39.11,38.17,38.84,3431959
16-Nov-16,38.50,38.96,38.43,38.50,2691084
15-Nov-16,38.50,38.98,38.18,38.91,4749247
14-Nov-16,37.47,38.96,37.44,38.72,6056381
11-Nov-16,37.45,37.85,36.88,37.22,6812249
10-Nov-16,38.67,40.69,37.43,37.85,10882198
9-Nov-16,34.75,39.19,34.75,38.49,14048195
8-Nov-16,34.29,34.40,33.87,34.25,3210452
7-Nov-16,34.34,34.62,34.09,34.43,3819796
4-Nov-16,33.39,34.48,33.34,33.80,3155305
3-Nov-16,33.24,33.58,33.22,33.45,2467737
2-Nov-16,33.53,33.66,33.02,33.18,2815963
1-Nov-16,33.89,34.15,33.15,33.70,3158371
31-Oct-16,34.32,34.36,33.63,33.66,4064427
28-Oct-16,34.54,34.80,33.87,34.19,3469439
27-Oct-16,35.22,35.22,34.28,34.43,4041227
26-Oct-16,34.69,35.50,33.79,35.10,6173221
25-Oct-16,34.81,35.10,34.49,34.82,4253812
24-Oct-16,34.78,34.94,34.55,34.73,1986244
21-Oct-16,34.24,34.62,34.15,34.48,2186774
20-Oct-16,34.69,34.98,34.44,34.58,2377525
19-Oct-16,34.42,34.96,34.35,34.84,2632755
18-Oct-16,34.38,34.42,33.88,34.23,2245930
17-Oct-16,34.08,34.16,33.79,33.82,1845170
14-Oct-16,34.84,34.87,34.09,34.09,2411301
13-Oct-16,34.32,34.59,33.77,34.40,2805123
12-Oct-16,34.76,35.16,34.48,34.75,2297521
11-Oct-16,36.00,36.01,34.75,34.78,4078953
10-Oct-16,36.21,36.57,36.16,36.38,1882306
7-Oct-16,36.20,36.26,35.67,35.92,2015714
6-Oct-16,36.63,36.83,36.14,36.20,2461047
