Date,Open,High,Low,Close,Volume
9-Dec-16,48.97,49.02,48.34,48.62,6458336
8-Dec-16,48.64,49.54,48.37,49.17,6025546
7-Dec-16,48.18,48.55,47.89,48.55,9183534
6-Dec-16,48.14,48.23,47.58,47.99,5772259
5-Dec-16,48.21,48.51,47.75,47.86,6645250
2-Dec-16,48.45,48.57,47.58,47.65,4578940
1-Dec-16,47.67,48.67,47.57,48.60,7570739
30-Nov-16,47.46,47.73,47.37,47.42,8375257
29-Nov-16,47.10,47.30,46.84,47.05,5635908
28-Nov-16,47.01,47.39,46.91,47.03,4615497
25-Nov-16,47.46,47.47,47.29,47.47,2329322
23-Nov-16,47.37,47.71,47.17,47.47,3950132
22-Nov-16,47.33,47.55,46.90,47.25,5700084
21-Nov-16,47.38,47.59,47.24,47.42,5023916
18-Nov-16,47.53,47.66,47.16,47.44,5808898
17-Nov-16,47.00,47.85,46.93,47.60,6400710
16-Nov-16,47.44,47.51,46.92,47.05,6371687
15-Nov-16,47.05,47.96,46.74,47.93,7965539
14-Nov-16,46.98,47.87,46.96,47.53,10084340
11-Nov-16,46.04,46.79,45.92,46.73,6637129
10-Nov-16,45.99,47.61,45.57,46.21,15596862
9-Nov-16,43.97,45.75,43.95,45.54,14031687
8-Nov-16,43.88,44.25,43.70,43.88,6070761
7-Nov-16,43.71,44.04,43.65,44.03,7611481
4-Nov-16,43.04,43.26,42.76,42.99,6580604
3-Nov-16,43.17,43.41,42.92,43.04,4872855
2-Nov-16,43.16,43.25,42.73,42.87,5350777
1-Nov-16,43.45,43.60,42.93,43.40,4664821
31-Oct-16,43.51,43.80,43.26,43.27,5475031
28-Oct-16,43.53,43.78,43.17,43.50,5587996
27-Oct-16,43.73,43.88,43.30,43.70,8129190
26-Oct-16,43.16,43.73,43.13,43.61,6747462
25-Oct-16,43.28,43.50,43.17,43.40,7745952
24-Oct-16,43.43,43.59,43.12,43.41,9148149
21-Oct-16,42.02,43.16,41.93,43.05,12004288
20-Oct-16,41.56,42.34,41.48,42.25,14251083
19-Oct-16,40.33,40.48,39.93,40.43,4790006
18-Oct-16,39.78,40.10,39.61,40.03,4206077
17-Oct-16,39.57,39.65,39.19,39.30,3419195
14-Oct-16,39.57,39.82,39.37,39.47,4718792
13-Oct-16,39.74,39.74,38.68,39.09,5866343
12-Oct-16,40.04,40.34,39.77,40.12,4022184
11-Oct-16,40.60,40.65,39.78,39.95,4092933
10-Oct-16,40.89,40.95,40.63,40.68,2933708
7-Oct-16,40.80,40.97,40.34,40.57,4048402
6-Oct-16,40.90,40.94,40.46,40.73,4367487
5-Oct-16,40.50,40.90,40.38,40.83,5721856
4-Oct-16,39.83,40.40,39.63,40.20,6533324
3-Oct-16,39.78,39.90,39.52,39.69,3666526
30-Sep-16,39.48,40.08,39.30,39.88,8674712
29-Sep-16,39.50,39.90,38.78,39.06,12859875
28-Sep-16,39.57,39.65,39.31,39.50,8115856
27-Sep-16,39.45,39.64,39.10,39.50,8473961
26-Sep-16,39.83,39.96,39.43,39.55,4418003
23-Sep-16,40.19,40.55,40.00,40.20,5712275
22-Sep-16,40.87,40.90,40.24,40.35,4540741
21-Sep-16,40.42,40.66,40.17,40.52,4393043
20-Sep-16,40.46,40.78,40.12,40.18,5032143
19-Sep-16,40.25,40.62,39.95,40.09,5218435
16-Sep-16,40.49,40.56,40.00,40.06,6281630
15-Sep-16,40.50,41.01,40.43,40.85,4501949
14-Sep-16,40.65,40.91,40.43,40.54,4259866
13-Sep-16,40.90,41.15,40.46,40.74,5339632
12-Sep-16,40.69,41.59,40.50,41.46,5022051
9-Sep-16,41.34,41.74,40.93,40.93,5830566
8-Sep-16,41.32,41.75,41.26,41.44,4161836
7-Sep-16,41.29,41.57,41.15,41.29,4372436
6-Sep-16,41.56,41.76,41.18,41.48,4117361
2-Sep-16,41.58,41.76,41.29,41.65,2493203
1-Sep-16,41.80,42.02,41.09,41.47,3357138
31-Aug-16,41.78,41.99,41.20,41.67,4433622
