Date,Open,High,Low,Close,Volume
9-Dec-16,391.90,391.95,386.20,388.54,934898
8-Dec-16,380.02,392.05,377.64,390.33,1115159
7-Dec-16,374.42,380.44,373.77,379.81,503808
6-Dec-16,375.34,375.38,371.40,373.97,644176
5-Dec-16,374.33,376.72,371.54,374.35,589242
2-Dec-16,377.21,377.46,369.40,371.36,569010
1-Dec-16,373.81,381.24,371.65,377.20,930236
30-Nov-16,372.57,372.93,368.61,370.79,621879
29-Nov-16,369.13,370.97,366.22,368.55,694626
28-Nov-16,370.98,372.80,368.21,368.65,501797
25-Nov-16,373.03,374.12,371.11,373.67,227062
23-Nov-16,372.38,373.77,370.50,372.99,517837
22-Nov-16,375.12,376.05,371.40,373.06,529095
21-Nov-16,374.44,375.08,372.10,374.57,375640
18-Nov-16,371.22,375.20,370.55,372.78,468931
17-Nov-16,368.45,372.15,367.07,371.37,567167
16-Nov-16,369.48,372.30,367.39,367.45,658965
15-Nov-16,373.82,374.22,367.51,372.15,1096757
14-Nov-16,373.78,375.44,369.79,373.81,772904
11-Nov-16,371.85,373.95,367.79,371.19,660012
10-Nov-16,368.84,380.30,367.11,375.01,1442262
9-Nov-16,352.92,365.94,349.04,364.42,1107351
8-Nov-16,356.04,356.84,351.95,353.49,777336
7-Nov-16,352.04,358.93,351.97,357.64,1080253
4-Nov-16,341.36,348.72,339.90,345.80,1034794
3-Nov-16,339.47,343.11,338.71,341.14,714039
2-Nov-16,340.86,341.72,337.43,338.61,668001
1-Nov-16,343.36,343.42,338.53,340.96,796002
31-Oct-16,341.49,343.14,339.02,341.24,809108
28-Oct-16,341.75,342.45,337.77,339.69,614011
27-Oct-16,341.63,342.57,337.15,340.28,703485
26-Oct-16,340.18,341.00,336.84,340.15,1149806
25-Oct-16,342.09,344.43,341.34,341.54,790381
24-Oct-16,349.32,349.40,342.38,343.14,987940
21-Oct-16,345.43,347.63,344.41,345.55,906905
20-Oct-16,352.61,354.71,348.78,349.17,1139050
19-Oct-16,356.74,357.18,352.72,352.72,813723
18-Oct-16,355.50,359.67,355.44,356.59,704718
17-Oct-16,355.42,356.97,352.95,354.60,624239
14-Oct-16,354.80,357.27,350.78,354.91,790278
13-Oct-16,348.52,350.94,344.42,349.34,576439
12-Oct-16,352.47,353.97,350.39,351.10,500433
11-Oct-16,357.26,357.26,350.39,351.87,557318
10-Oct-16,360.01,362.00,357.98,358.80,461423
7-Oct-16,356.99,358.60,355.50,357.21,789321
6-Oct-16,358.25,359.23,356.04,356.80,707818
5-Oct-16,357.63,359.72,355.67,358.24,705789
4-Oct-16,360.50,361.52,355.26,356.03,711532
3-Oct-16,361.70,364.13,357.73,360.07,623195
30-Sep-16,359.95,363.88,358.00,362.46,580414
