Date,Open,High,Low,Close,Volume
12-Apr-16,2.17,2.18,2.04,2.07,3485001
11-Apr-16,2.14,2.19,2.05,2.12,2645748
8-Apr-16,2.17,2.18,2.06,2.12,1638172
7-Apr-16,2.21,2.23,2.02,2.10,2477642
6-Apr-16,2.25,2.30,2.11,2.25,2038469
5-Apr-16,2.25,2.27,2.13,2.16,2864283
4-Apr-16,2.34,2.40,2.24,2.25,2053995
1-Apr-16,2.30,2.43,2.20,2.41,2134899
31-Mar-16,2.60,2.60,2.32,2.32,1875029
30-Mar-16,2.35,2.46,2.27,2.44,1932369
29-Mar-16,2.39,2.54,2.26,2.35,3554084
28-Mar-16,2.54,2.65,2.39,2.41,1716826
24-Mar-16,2.32,2.78,2.29,2.56,2534892
23-Mar-16,2.46,2.49,2.35,2.40,2105806
22-Mar-16,2.50,2.70,2.32,2.66,1772643
21-Mar-16,2.40,2.54,2.23,2.54,2518851
18-Mar-16,2.29,2.52,2.25,2.50,5351585
17-Mar-16,2.53,2.69,2.20,2.40,6475690
16-Mar-16,2.14,2.49,2.00,2.19,11824331
15-Mar-16,4.30,4.47,3.92,4.01,4892649
14-Mar-16,6.09,6.25,4.16,4.48,10748897
11-Mar-16,6.42,7.07,6.31,6.55,9408560
10-Mar-16,5.85,7.13,5.46,6.39,14739928
9-Mar-16,4.72,6.24,4.41,5.89,16000195
8-Mar-16,4.59,4.83,4.05,4.54,4494147
7-Mar-16,3.65,4.95,3.50,4.79,6517091
4-Mar-16,3.30,4.10,3.06,3.39,8603064
3-Mar-16,2.39,3.34,2.35,3.24,6004932
2-Mar-16,2.47,2.47,2.34,2.44,2135466
1-Mar-16,2.48,2.50,2.22,2.43,2078514
29-Feb-16,2.29,2.46,2.26,2.44,3487287
26-Feb-16,2.33,2.39,2.18,2.21,2395870
25-Feb-16,2.31,2.37,2.17,2.31,1711963
24-Feb-16,2.11,2.32,2.10,2.31,1605069
23-Feb-16,2.19,2.25,2.02,2.11,1429837
22-Feb-16,2.10,2.34,2.10,2.16,2285387
19-Feb-16,2.22,2.37,2.01,2.04,1949923
18-Feb-16,2.41,2.45,2.20,2.31,1849574
17-Feb-16,2.25,2.64,2.20,2.49,1737187
16-Feb-16,2.44,2.50,2.25,2.32,1324934
12-Feb-16,2.42,2.57,2.27,2.43,1444386
11-Feb-16,2.90,2.97,2.15,2.36,4022506
10-Feb-16,4.30,4.43,3.28,3.36,2765327
9-Feb-16,3.95,3.96,3.35,3.38,1069662
8-Feb-16,4.14,4.25,3.86,3.91,776398
5-Feb-16,4.55,4.66,4.13,4.24,759634
4-Feb-16,4.11,4.64,4.11,4.59,1109020
3-Feb-16,4.31,4.40,3.77,4.18,1030435
2-Feb-16,4.44,4.44,4.10,4.25,845337
1-Feb-16,4.53,4.74,4.14,4.55,1120713
29-Jan-16,4.00,4.60,4.00,4.45,1725642
28-Jan-16,4.26,4.26,3.80,4.00,913336
27-Jan-16,4.05,4.38,3.84,4.00,1920416
26-Jan-16,3.79,4.18,3.53,4.01,1739654
25-Jan-16,3.66,4.30,3.61,3.73,2570832
22-Jan-16,3.57,4.05,3.25,3.45,2513493
21-Jan-16,3.32,3.72,3.14,3.38,2067911
20-Jan-16,3.36,3.53,2.83,3.38,1529087
19-Jan-16,3.98,4.04,3.44,3.47,1558280
15-Jan-16,4.01,4.20,3.75,3.93,1374901
14-Jan-16,4.18,4.65,3.99,4.21,1526997
13-Jan-16,4.59,5.33,3.97,4.09,2049932
12-Jan-16,5.23,5.23,4.31,4.48,2345684
11-Jan-16,6.65,6.69,5.25,5.33,2390648
8-Jan-16,6.65,6.82,6.62,6.67,672853
7-Jan-16,7.12,7.16,6.50,6.66,1085212
6-Jan-16,7.34,7.59,7.17,7.34,992674
5-Jan-16,7.85,7.85,7.22,7.45,755207
4-Jan-16,7.60,7.87,7.33,7.75,902024
31-Dec-15,7.88,8.18,7.62,7.68,1059431
30-Dec-15,7.85,8.22,7.82,8.03,743598
29-Dec-15,8.53,8.56,7.90,8.17,725636
28-Dec-15,9.57,9.57,8.11,8.24,1135070
24-Dec-15,8.63,9.74,8.63,9.64,1004151
23-Dec-15,8.59,9.12,8.44,8.65,1347889
22-Dec-15,7.45,8.84,7.40,8.49,1595652
21-Dec-15,7.66,8.00,7.40,7.41,999032
18-Dec-15,7.48,7.86,7.41,7.64,2372722
17-Dec-15,7.99,7.99,7.36,7.49,513414
16-Dec-15,7.14,8.27,7.14,8.00,1252697
15-Dec-15,7.21,7.95,7.06,7.15,1033818
14-Dec-15,8.70,8.70,7.59,7.66,1137516
