Date,Open,High,Low,Close,Volume
9-Dec-16,128.67,129.68,127.77,128.74,628343
8-Dec-16,128.34,130.66,126.86,129.50,741621
7-Dec-16,126.19,129.05,126.19,128.84,770523
6-Dec-16,124.49,126.92,124.24,126.03,786366
5-Dec-16,123.62,124.47,122.83,124.12,834832
2-Dec-16,122.76,124.26,121.89,123.11,762497
1-Dec-16,123.17,123.45,121.18,121.79,1069624
30-Nov-16,124.53,125.10,123.11,123.88,1204051
29-Nov-16,124.09,126.06,123.75,125.26,1053051
28-Nov-16,122.55,124.38,122.55,123.78,987427
25-Nov-16,122.48,123.83,122.48,122.99,237263
23-Nov-16,122.08,122.50,121.35,122.43,450883
22-Nov-16,121.54,123.10,120.42,122.75,958689
21-Nov-16,121.29,122.67,120.62,120.93,873170
18-Nov-16,121.70,122.61,121.04,121.16,1582307
17-Nov-16,122.62,123.64,121.60,121.66,511043
16-Nov-16,124.40,125.02,121.95,122.76,914860
15-Nov-16,126.15,127.44,124.26,124.52,1683093
14-Nov-16,122.50,126.47,122.42,126.07,1613505
11-Nov-16,122.16,125.37,122.14,122.50,2278637
10-Nov-16,118.28,122.60,116.20,122.31,2173629
9-Nov-16,116.07,119.06,114.55,117.80,1052772
8-Nov-16,117.80,118.78,117.42,118.08,887378
7-Nov-16,117.94,118.58,116.68,118.01,1321193
4-Nov-16,114.45,116.21,113.76,116.08,1045251
3-Nov-16,114.15,114.97,113.69,114.07,933026
2-Nov-16,117.18,117.92,114.29,114.33,1274115
1-Nov-16,120.28,120.37,116.75,117.14,978397
31-Oct-16,119.28,120.71,118.41,120.48,880995
28-Oct-16,120.25,120.95,118.43,118.94,1023411
27-Oct-16,121.77,121.91,118.45,119.78,1502108
26-Oct-16,124.52,125.00,120.91,122.89,1102586
25-Oct-16,125.80,126.17,124.87,125.33,781639
24-Oct-16,126.61,127.31,125.63,126.18,606457
21-Oct-16,125.15,126.04,124.89,125.88,669524
20-Oct-16,127.42,127.90,125.56,126.10,597399
19-Oct-16,127.38,127.64,126.60,127.28,510810
18-Oct-16,127.16,127.91,125.98,127.18,849463
17-Oct-16,126.91,127.90,126.41,126.51,859979
14-Oct-16,128.08,128.91,126.50,126.90,1089353
13-Oct-16,127.40,129.04,127.40,128.76,1101124
12-Oct-16,127.55,128.29,127.36,128.18,790376
11-Oct-16,128.50,129.00,127.09,127.44,630071
10-Oct-16,129.24,130.33,128.39,128.71,559631
7-Oct-16,129.09,130.55,127.97,129.03,752882
6-Oct-16,127.22,129.15,126.22,128.89,1019764
5-Oct-16,132.07,132.08,128.15,128.33,738254
4-Oct-16,134.40,134.40,130.63,131.43,725139
3-Oct-16,135.42,135.47,133.00,133.39,515336
30-Sep-16,137.39,137.90,135.87,136.29,840669
29-Sep-16,137.49,138.48,136.31,136.31,678863
28-Sep-16,137.68,138.70,137.38,138.38,698153
27-Sep-16,139.41,139.49,137.67,138.12,581820
26-Sep-16,139.12,139.90,138.87,139.09,530938
23-Sep-16,138.65,140.26,137.60,139.68,671850
22-Sep-16,138.52,139.56,138.46,139.04,596864
21-Sep-16,135.52,137.44,133.38,137.15,533391
20-Sep-16,135.96,136.23,134.87,135.32,487543
19-Sep-16,135.45,135.95,134.90,135.24,514189
16-Sep-16,134.15,134.88,132.83,134.70,1299205
15-Sep-16,134.65,135.25,133.84,134.76,662053
14-Sep-16,135.13,135.94,134.21,134.79,408456
13-Sep-16,137.08,137.65,134.80,134.87,836732
12-Sep-16,134.73,138.88,134.73,138.43,1177948
9-Sep-16,140.47,140.47,135.21,135.22,1075477
8-Sep-16,142.49,142.84,141.26,141.82,1309137
7-Sep-16,142.49,143.30,141.83,143.17,367780
6-Sep-16,142.40,142.76,141.26,142.75,582614
2-Sep-16,141.57,143.65,141.38,142.30,509074
1-Sep-16,140.28,141.22,139.52,141.06,844430
31-Aug-16,140.09,140.39,139.20,140.13,1144928
30-Aug-16,140.69,140.69,138.93,140.45,556311
29-Aug-16,139.46,140.90,139.24,140.46,488195
26-Aug-16,140.85,141.51,138.07,139.17,577116
25-Aug-16,140.46,142.17,140.22,140.49,560370
24-Aug-16,141.62,141.62,140.18,140.35,473651
23-Aug-16,142.42,142.64,141.33,141.35,518096
22-Aug-16,141.47,142.29,140.99,141.87,468776
19-Aug-16,141.68,141.97,140.60,141.35,764779
18-Aug-16,142.95,143.35,141.76,142.37,640262
17-Aug-16,142.31,142.93,141.05,142.88,558234
16-Aug-16,142.90,142.90,141.70,142.35,429261
15-Aug-16,143.26,143.90,143.08,143.61,620927
12-Aug-16,142.47,143.94,142.47,142.82,317170
11-Aug-16,143.47,143.61,141.45,142.35,455016
10-Aug-16,143.62,144.02,142.81,143.39,610245
9-Aug-16,142.18,143.47,142.05,143.40,516257
8-Aug-16,142.00,142.97,141.37,142.80,640754
5-Aug-16,141.21,142.42,140.89,142.11,835413
4-Aug-16,140.69,141.12,139.51,140.87,586220
3-Aug-16,140.56,141.09,139.56,140.41,623910
2-Aug-16,139.34,142.93,139.34,140.64,680555
1-Aug-16,142.13,142.85,141.81,142.47,620081
29-Jul-16,139.17,142.63,139.17,142.13,834021
28-Jul-16,138.74,140.51,138.56,139.44,624825
27-Jul-16,138.86,139.32,137.37,138.65,747722
26-Jul-16,139.47,139.47,137.51,138.85,559240
25-Jul-16,138.84,139.11,138.00,139.07,429589
22-Jul-16,137.52,139.37,136.89,138.92,503863
21-Jul-16,136.68,137.59,136.34,137.56,360670
20-Jul-16,137.44,137.44,136.62,137.15,486161
19-Jul-16,136.52,137.61,136.02,137.45,618059
18-Jul-16,136.31,136.61,135.10,136.53,483997
15-Jul-16,136.04,136.22,134.71,136.05,571597
14-Jul-16,136.53,137.13,135.63,135.86,440443
13-Jul-16,136.53,136.65,135.55,136.61,544412
12-Jul-16,134.44,136.13,133.82,135.97,894795
11-Jul-16,134.00,134.81,132.75,134.53,460197
8-Jul-16,130.97,133.61,130.66,133.32,658039
7-Jul-16,131.29,131.29,129.49,130.03,803437
6-Jul-16,133.06,133.47,131.40,131.48,968680
5-Jul-16,131.91,133.62,131.78,133.47,883267
1-Jul-16,132.09,133.04,131.81,132.03,462029
30-Jun-16,131.63,131.99,130.20,131.90,818453
29-Jun-16,129.69,131.50,129.69,131.50,969416
28-Jun-16,126.77,128.96,126.51,128.93,986027
27-Jun-16,127.14,127.45,125.16,126.50,1180039
24-Jun-16,126.94,129.35,126.09,128.03,2652295
23-Jun-16,129.16,130.01,128.92,129.98,489295
22-Jun-16,128.01,129.49,127.65,128.17,795005
21-Jun-16,127.58,128.43,127.12,127.59,538037
20-Jun-16,127.66,128.82,126.73,126.85,913077
17-Jun-16,126.24,127.06,125.41,126.69,910028
16-Jun-16,126.17,126.75,125.43,126.56,839662
15-Jun-16,126.34,127.82,125.88,126.69,731442
14-Jun-16,126.98,127.56,125.53,126.22,747264
13-Jun-16,128.51,129.60,126.85,127.12,997247
10-Jun-16,128.21,129.10,127.58,128.23,638611
9-Jun-16,127.05,129.26,127.05,128.98,457560
8-Jun-16,127.78,128.28,127.62,128.07,481311
7-Jun-16,127.27,128.41,127.27,127.89,378224
6-Jun-16,127.67,128.00,126.18,127.06,761931
3-Jun-16,127.93,128.66,126.88,127.78,736955
2-Jun-16,126.76,127.41,125.84,127.26,624655
1-Jun-16,125.20,127.19,124.90,127.11,732079
31-May-16,125.90,126.66,125.08,125.63,948528
27-May-16,125.06,126.27,124.66,125.41,569895
26-May-16,125.26,125.37,124.47,124.80,628980
25-May-16,126.13,126.13,124.26,125.26,862918
24-May-16,125.43,127.08,124.78,125.86,765649
23-May-16,124.70,125.00,123.75,124.44,712778
20-May-16,124.71,125.18,123.69,124.39,1093690
19-May-16,125.44,126.17,123.45,123.71,1192805
18-May-16,129.90,130.72,125.76,127.25,1553575
17-May-16,130.37,131.09,129.54,130.39,922647
16-May-16,130.14,131.02,129.50,130.81,460308
13-May-16,130.97,130.97,129.42,130.06,629063
12-May-16,131.12,131.60,130.11,131.38,606108
11-May-16,133.00,133.00,130.38,130.90,964603
10-May-16,132.95,133.59,132.36,133.13,849148
9-May-16,131.22,132.32,130.85,132.27,758084
6-May-16,130.78,131.29,129.53,130.90,919777
5-May-16,130.50,131.14,129.90,130.86,594524
4-May-16,128.96,131.02,128.37,130.58,804090
3-May-16,130.29,131.06,129.11,129.94,487058
2-May-16,129.56,131.45,128.74,131.11,459977
29-Apr-16,128.99,129.68,128.04,128.86,812048
28-Apr-16,130.26,131.15,129.17,129.65,465048
27-Apr-16,130.30,131.58,128.92,130.60,612420
26-Apr-16,130.79,131.24,129.68,130.55,581558
25-Apr-16,128.60,130.16,128.12,130.00,563212
22-Apr-16,128.49,129.46,127.91,129.40,411973
21-Apr-16,128.68,129.74,127.44,127.90,658988
20-Apr-16,131.23,131.33,128.49,128.68,430126
19-Apr-16,130.30,131.16,129.69,131.14,433912
18-Apr-16,129.36,130.16,128.35,130.01,700833
15-Apr-16,128.42,129.80,127.72,129.58,538592
14-Apr-16,128.38,128.84,127.88,128.32,482655
13-Apr-16,129.84,129.88,127.80,128.35,724980
12-Apr-16,127.50,129.73,127.37,129.20,828576
11-Apr-16,127.52,127.99,126.62,126.90,466550
8-Apr-16,126.85,128.65,126.06,127.12,567485
7-Apr-16,127.34,127.79,125.71,126.21,597828
6-Apr-16,126.85,127.99,125.51,127.90,489863
5-Apr-16,127.10,128.06,126.66,127.03,519851
4-Apr-16,127.26,127.82,126.82,127.50,539724
1-Apr-16,126.72,127.94,126.17,127.29,604966
31-Mar-16,126.69,127.23,126.04,127.08,716157
30-Mar-16,126.99,127.77,126.48,126.72,600470
29-Mar-16,124.17,126.96,123.90,126.77,579034
28-Mar-16,124.01,125.46,123.70,124.93,502826
24-Mar-16,123.78,124.25,122.35,123.87,688752
23-Mar-16,125.25,125.73,124.18,124.25,850439
22-Mar-16,125.72,126.51,124.44,125.32,932007
21-Mar-16,126.10,127.00,125.36,125.95,1261036
18-Mar-16,127.12,127.52,126.25,126.66,1231283
17-Mar-16,125.61,127.64,124.70,127.00,877688
16-Mar-16,122.54,125.83,122.39,125.37,815363
15-Mar-16,122.12,123.74,121.54,123.37,782559
14-Mar-16,122.32,122.96,121.48,122.72,691962
11-Mar-16,117.90,122.86,117.02,122.70,1152574
10-Mar-16,118.07,118.56,115.69,117.12,356508
9-Mar-16,117.43,118.28,117.02,117.34,700990
8-Mar-16,118.22,118.91,116.90,117.10,584949
7-Mar-16,117.41,119.29,117.41,118.65,476768
4-Mar-16,118.33,118.74,117.75,118.58,775899
3-Mar-16,117.67,118.66,117.32,118.40,762884
2-Mar-16,117.52,118.10,116.78,118.03,580449
1-Mar-16,115.00,118.10,114.29,118.06,816132
29-Feb-16,114.09,116.10,113.66,114.14,1245417
26-Feb-16,114.91,115.09,113.76,113.90,685150
25-Feb-16,114.56,116.18,113.84,115.18,638445
24-Feb-16,113.72,114.39,112.38,113.72,701674
23-Feb-16,114.18,116.31,113.47,114.35,1434958
22-Feb-16,113.86,115.12,113.15,114.76,972609
19-Feb-16,111.04,113.17,109.96,112.40,870207
18-Feb-16,111.78,112.42,110.52,111.62,962372
17-Feb-16,111.51,113.30,111.41,111.97,744616
16-Feb-16,110.30,110.54,108.86,110.29,1088046
12-Feb-16,109.07,109.75,107.28,108.61,695812
11-Feb-16,109.58,109.91,107.81,108.18,793700
10-Feb-16,109.81,112.47,109.17,111.19,679441
9-Feb-16,110.32,110.91,107.99,108.97,1173929
8-Feb-16,114.99,115.13,110.05,111.14,1106402
5-Feb-16,116.03,117.25,115.00,115.09,856000
4-Feb-16,114.65,118.64,114.37,117.25,1091804
3-Feb-16,115.81,116.11,114.04,114.70,1088475
2-Feb-16,115.93,117.29,114.23,114.82,1265353
1-Feb-16,115.42,118.36,114.83,116.31,1099132
29-Jan-16,117.31,117.96,114.20,116.21,1882665
28-Jan-16,119.03,121.16,114.27,115.44,1832024
27-Jan-16,119.96,120.73,118.51,119.14,581804
26-Jan-16,118.44,120.69,118.44,120.35,725803
25-Jan-16,119.21,120.38,117.60,117.81,724229
22-Jan-16,117.46,119.74,117.45,119.20,647081
21-Jan-16,116.37,117.71,115.46,116.04,628875
20-Jan-16,118.17,118.40,113.84,115.85,1154071
19-Jan-16,119.82,120.41,118.21,119.33,602781
15-Jan-16,118.34,118.78,116.72,118.45,805585
14-Jan-16,119.35,121.02,119.08,119.87,929586
13-Jan-16,121.15,122.28,118.57,118.73,713747
12-Jan-16,123.40,124.07,120.47,121.01,903329
11-Jan-16,121.95,123.23,121.62,122.68,763429
8-Jan-16,125.00,125.77,121.27,121.48,803059
7-Jan-16,125.51,127.21,124.95,124.98,919129
6-Jan-16,126.66,127.33,126.29,127.24,796059
5-Jan-16,124.26,127.71,123.81,127.26,692577
4-Jan-16,125.28,125.93,122.90,124.20,799111
31-Dec-15,128.91,128.97,127.49,127.54,528575
30-Dec-15,129.44,130.04,128.48,128.60,425095
29-Dec-15,128.77,129.92,128.25,129.82,477430
28-Dec-15,128.78,129.71,128.15,129.62,473118
24-Dec-15,129.15,129.64,128.20,129.01,214440
23-Dec-15,127.42,129.01,127.31,128.95,555907
22-Dec-15,127.99,128.89,127.03,127.24,867679
21-Dec-15,128.08,129.21,126.08,127.07,640254
18-Dec-15,129.30,130.07,127.08,127.08,1462149
17-Dec-15,130.57,130.57,128.79,130.02,966071
16-Dec-15,127.35,130.68,126.90,130.15,1110072
15-Dec-15,126.26,127.86,125.97,127.01,1207969
14-Dec-15,122.95,125.58,122.10,125.34,1081503
