Date,Open,High,Low,Close,Volume
9-Dec-16,31.85,31.87,31.45,31.68,1460002
8-Dec-16,31.75,31.94,31.58,31.78,2198573
7-Dec-16,31.06,31.87,30.99,31.75,2450783
6-Dec-16,31.34,31.49,30.84,31.07,2517318
5-Dec-16,31.26,31.89,31.14,31.37,3729293
2-Dec-16,30.33,31.11,30.01,31.05,4219550
1-Dec-16,31.93,32.06,30.40,30.41,3942511
30-Nov-16,32.58,32.58,31.96,31.96,2786260
29-Nov-16,31.98,32.72,31.93,32.48,3540235
28-Nov-16,31.73,32.07,31.70,31.96,1889670
25-Nov-16,31.60,31.94,31.60,31.78,757950
23-Nov-16,31.58,31.73,31.50,31.60,1655459
22-Nov-16,31.44,31.60,31.30,31.58,1450610
21-Nov-16,31.14,31.46,30.94,31.41,2576544
18-Nov-16,31.40,31.46,30.84,31.01,2479628
17-Nov-16,31.39,31.71,31.14,31.48,2573927
16-Nov-16,31.33,31.56,31.27,31.56,1809262
15-Nov-16,31.05,31.62,31.01,31.48,2600481
14-Nov-16,32.19,32.37,31.22,31.33,4074235
11-Nov-16,31.80,32.23,31.74,32.07,3222694
10-Nov-16,31.90,32.21,31.27,31.89,2948446
9-Nov-16,30.90,31.94,30.70,31.74,3140172
8-Nov-16,31.51,31.63,31.22,31.56,1495515
7-Nov-16,31.14,31.64,31.08,31.51,1970588
4-Nov-16,30.55,31.01,30.53,30.68,1711707
3-Nov-16,30.99,31.10,30.63,30.70,1843555
2-Nov-16,30.78,30.99,30.57,30.84,3311283
1-Nov-16,30.85,30.98,30.52,30.78,3374505
31-Oct-16,30.69,30.96,30.64,30.74,2876219
28-Oct-16,32.50,32.89,30.45,30.74,4740280
27-Oct-16,32.47,32.59,31.88,32.07,2539877
26-Oct-16,32.32,32.54,32.18,32.33,1812394
25-Oct-16,32.47,32.71,32.25,32.41,2183680
24-Oct-16,32.44,32.64,32.37,32.62,1564516
21-Oct-16,32.01,32.22,31.86,32.20,1614387
20-Oct-16,32.17,32.20,31.87,32.07,3248579
19-Oct-16,32.13,32.35,32.04,32.16,2496311
18-Oct-16,32.59,32.81,32.00,32.16,4033686
17-Oct-16,32.03,32.18,31.90,32.13,2066494
14-Oct-16,32.20,32.42,32.03,32.08,2220402
13-Oct-16,32.23,32.28,32.02,32.12,1780894
12-Oct-16,32.35,32.56,32.15,32.42,1511147
11-Oct-16,32.90,32.90,32.34,32.39,2148224
10-Oct-16,33.10,33.26,32.91,32.96,1349092
7-Oct-16,33.36,33.36,32.76,32.98,1540182
6-Oct-16,33.32,33.36,33.01,33.24,1901319
5-Oct-16,33.16,33.40,33.07,33.29,1587552
4-Oct-16,33.08,33.19,32.80,33.03,1956945
3-Oct-16,32.88,33.14,32.76,33.09,2263387
30-Sep-16,32.95,33.37,32.90,33.08,2488579
29-Sep-16,33.30,33.33,32.80,32.83,1528562
28-Sep-16,32.65,33.35,32.50,33.33,2824641
27-Sep-16,32.47,32.70,32.41,32.67,1499549
26-Sep-16,32.43,32.54,32.34,32.45,1642310
23-Sep-16,32.81,33.00,32.63,32.63,1966939
22-Sep-16,32.96,33.00,32.60,32.76,1527101
21-Sep-16,32.36,32.75,32.32,32.72,1954008
20-Sep-16,32.32,32.62,32.23,32.32,2670816
19-Sep-16,32.06,32.33,31.99,32.13,2818653
16-Sep-16,32.40,32.40,31.33,31.95,5717373
15-Sep-16,32.17,32.50,31.97,32.47,2719490
14-Sep-16,32.10,32.55,32.02,32.24,3154305
13-Sep-16,32.99,33.12,32.05,32.13,4499033
12-Sep-16,32.86,33.36,32.44,33.25,3974516
9-Sep-16,33.80,33.92,33.04,33.07,2853999
8-Sep-16,34.28,34.28,33.99,34.08,1659955
7-Sep-16,34.11,34.35,34.06,34.35,1891158
6-Sep-16,34.11,34.20,33.91,34.08,1862263
2-Sep-16,34.11,34.26,34.00,34.19,1647125
1-Sep-16,33.95,34.06,33.64,33.91,2669996
31-Aug-16,34.17,34.24,33.88,33.91,2676872
30-Aug-16,34.38,34.38,34.06,34.28,1832443
29-Aug-16,34.05,34.40,33.82,34.29,1222579
26-Aug-16,33.98,34.36,33.90,34.08,2027438
25-Aug-16,34.02,34.16,33.91,33.91,2038059
24-Aug-16,34.16,34.25,34.04,34.11,1305248
23-Aug-16,34.06,34.33,33.95,34.25,2024488
22-Aug-16,34.10,34.17,33.95,34.07,1917318
19-Aug-16,33.98,34.27,33.95,34.16,1769583
18-Aug-16,33.95,34.16,33.95,34.03,1538673
17-Aug-16,34.12,34.12,33.72,33.93,2483699
16-Aug-16,34.22,34.32,34.00,34.16,1367328
15-Aug-16,34.20,34.48,34.04,34.35,1342572
12-Aug-16,34.23,34.31,34.11,34.20,1407665
11-Aug-16,34.27,34.49,33.75,34.35,1216685
10-Aug-16,34.11,34.31,34.09,34.22,1558853
9-Aug-16,33.92,34.23,33.89,34.03,1315585
8-Aug-16,34.09,34.19,33.82,33.87,1607190
5-Aug-16,33.95,34.09,33.91,34.05,1944699
4-Aug-16,33.73,33.93,33.71,33.74,2545361
3-Aug-16,33.64,33.94,33.54,33.63,2392122
2-Aug-16,34.65,34.84,33.58,33.60,4863434
1-Aug-16,34.69,34.99,34.58,34.85,2989123
29-Jul-16,34.52,34.75,34.34,34.65,3478490
28-Jul-16,34.15,34.56,33.83,34.46,3781090
27-Jul-16,34.62,34.72,34.43,34.55,4143697
26-Jul-16,34.57,34.74,34.38,34.68,2361253
25-Jul-16,34.38,34.52,34.19,34.52,2391354
22-Jul-16,34.15,34.42,34.03,34.40,1164629
21-Jul-16,34.23,34.28,34.01,34.07,1575242
20-Jul-16,34.13,34.37,34.02,34.27,2021979
19-Jul-16,34.19,34.38,33.86,33.97,1857786
18-Jul-16,34.10,34.31,34.06,34.18,2442836
15-Jul-16,34.25,34.34,34.04,34.17,2717895
14-Jul-16,34.07,34.36,34.03,34.23,2661711
13-Jul-16,34.44,34.47,34.28,34.34,2116985
12-Jul-16,34.17,34.34,34.08,34.30,2197255
11-Jul-16,33.80,34.13,33.78,34.03,1847046
8-Jul-16,33.37,33.80,33.16,33.77,2283969
7-Jul-16,32.98,33.26,32.30,33.13,2329650
6-Jul-16,32.75,33.05,32.44,32.99,2717097
5-Jul-16,32.73,32.90,32.63,32.83,2505816
1-Jul-16,32.73,32.88,32.65,32.78,2051302
30-Jun-16,32.37,32.83,32.19,32.83,2368954
29-Jun-16,31.77,32.32,31.68,32.25,2020620
28-Jun-16,31.48,31.66,31.24,31.62,2384487
27-Jun-16,31.81,32.00,31.08,31.26,2779303
24-Jun-16,32.31,32.90,31.99,32.00,4658880
23-Jun-16,33.37,33.58,33.24,33.58,1440974
22-Jun-16,33.14,33.45,33.10,33.22,1952471
21-Jun-16,33.04,33.19,32.96,33.10,1777004
20-Jun-16,32.99,33.27,32.95,33.04,1724775
17-Jun-16,33.00,33.00,32.54,32.71,3159980
16-Jun-16,32.57,33.05,32.42,32.98,2213515
15-Jun-16,32.70,32.84,32.56,32.64,1912857
14-Jun-16,32.62,32.81,32.50,32.55,4117342
13-Jun-16,32.83,33.00,32.63,32.76,3668636
10-Jun-16,32.61,33.04,32.50,32.99,2602439
9-Jun-16,32.89,33.12,32.73,32.93,2290187
8-Jun-16,32.69,33.09,32.57,33.09,2886102
7-Jun-16,32.76,32.89,32.69,32.74,1642739
6-Jun-16,32.53,32.80,32.53,32.71,1499095
3-Jun-16,32.61,32.65,32.26,32.58,2401941
2-Jun-16,32.28,32.81,32.19,32.80,2779603
1-Jun-16,32.23,32.50,32.09,32.48,2671072
31-May-16,32.07,32.38,32.00,32.32,4237945
27-May-16,32.08,32.19,31.94,32.07,3218115
26-May-16,31.77,32.09,31.56,32.02,3027236
25-May-16,31.52,31.92,31.44,31.78,4434197
24-May-16,31.01,31.49,31.01,31.46,3040905
23-May-16,31.30,31.33,30.97,31.05,3134958
20-May-16,31.24,31.56,31.21,31.31,2780280
19-May-16,31.17,31.40,30.92,31.19,2144374
18-May-16,31.18,31.52,31.07,31.36,2692072
17-May-16,31.34,31.58,31.03,31.19,3028445
16-May-16,31.49,31.79,31.32,31.49,3289625
13-May-16,31.41,31.82,31.35,31.53,3543266
12-May-16,31.25,31.80,31.11,31.48,6883505
11-May-16,29.98,30.23,29.81,29.96,2914973
10-May-16,29.91,30.18,29.83,30.15,2389250
9-May-16,29.68,29.91,29.59,29.81,2692853
6-May-16,29.28,29.71,29.12,29.71,1872134
5-May-16,29.47,29.62,29.34,29.36,2596698
4-May-16,29.52,29.68,29.37,29.41,2308605
3-May-16,29.28,29.87,29.28,29.67,4073593
2-May-16,29.67,29.77,29.35,29.61,3895989
29-Apr-16,29.83,29.87,29.49,29.66,4614571
28-Apr-16,30.66,30.77,29.96,30.11,2973183
27-Apr-16,30.56,30.87,30.48,30.79,2106739
26-Apr-16,30.38,30.84,30.32,30.60,2297014
25-Apr-16,30.10,30.41,30.10,30.22,2584288
