Date,Open,High,Low,Close,Volume
9-Dec-16,71.13,73.29,71.10,73.04,3048168
8-Dec-16,70.57,71.37,70.06,71.11,2362331
7-Dec-16,70.20,70.63,68.60,70.50,5534530
6-Dec-16,72.01,72.16,70.72,71.42,2726233
5-Dec-16,70.96,72.15,70.74,72.10,3302621
2-Dec-16,71.19,71.68,70.74,70.83,2362930
1-Dec-16,70.94,71.89,70.66,70.93,3332219
30-Nov-16,71.02,71.57,70.77,71.01,4885579
29-Nov-16,71.51,71.78,70.44,70.99,4099165
28-Nov-16,71.33,71.95,70.90,71.57,3038685
25-Nov-16,70.96,71.84,70.37,71.11,1035562
23-Nov-16,69.79,70.58,69.64,70.55,1806401
22-Nov-16,70.16,70.41,69.35,70.13,2747550
21-Nov-16,70.85,71.17,69.95,70.25,3712770
18-Nov-16,71.53,71.59,70.65,70.77,2653027
17-Nov-16,71.19,72.09,70.99,71.64,2355123
16-Nov-16,71.13,71.96,70.67,70.83,2491302
15-Nov-16,72.53,72.82,71.20,71.39,4890383
14-Nov-16,71.45,72.81,71.16,72.35,3144353
11-Nov-16,71.42,71.86,70.39,71.37,3162639
10-Nov-16,69.76,71.97,69.76,71.72,5995321
9-Nov-16,68.53,71.72,65.72,69.25,6758485
8-Nov-16,64.46,65.64,62.70,65.35,5774657
7-Nov-16,66.23,66.39,65.38,66.00,3356866
4-Nov-16,65.58,66.01,64.77,65.17,5803634
3-Nov-16,69.01,69.55,65.02,65.38,5542123
2-Nov-16,67.09,68.95,66.92,68.66,4877803
1-Nov-16,68.53,68.90,66.32,66.89,6047728
31-Oct-16,68.53,71.13,67.84,68.69,7407207
28-Oct-16,65.07,68.90,63.26,67.50,13666746
27-Oct-16,74.69,75.18,74.30,74.80,1756978
26-Oct-16,74.56,74.87,73.50,74.40,2151608
25-Oct-16,75.33,75.33,74.34,74.91,2252365
24-Oct-16,75.58,76.35,75.55,75.61,1427737
21-Oct-16,75.15,75.21,74.54,75.15,1690046
20-Oct-16,75.24,75.73,75.05,75.58,1209138
19-Oct-16,75.74,75.88,75.14,75.21,1697474
18-Oct-16,75.53,75.85,75.14,75.73,1295975
17-Oct-16,75.27,75.51,74.91,74.96,1050142
