Date,Open,High,Low,Close,Volume
9-Dec-16,65.70,66.37,65.64,66.29,2465595
8-Dec-16,65.66,66.00,65.30,65.70,3204399
7-Dec-16,65.13,65.95,64.92,65.93,6569993
6-Dec-16,64.78,65.12,64.51,65.03,4540751
5-Dec-16,64.95,65.20,64.52,64.63,4401771
2-Dec-16,65.18,65.47,64.46,64.72,4487018
1-Dec-16,65.23,65.38,64.64,65.08,4204687
30-Nov-16,66.27,66.67,65.23,65.23,4515892
29-Nov-16,66.65,66.75,66.26,66.53,2674141
28-Nov-16,66.39,66.69,66.04,66.43,3102201
25-Nov-16,66.33,66.70,66.30,66.53,1302337
23-Nov-16,66.01,66.28,65.87,65.99,2230739
22-Nov-16,66.43,66.73,66.24,66.33,3556114
21-Nov-16,65.93,66.38,65.82,66.22,3494646
18-Nov-16,65.74,66.00,65.50,65.86,4747547
17-Nov-16,66.65,66.83,65.92,65.99,3831561
16-Nov-16,66.93,66.94,66.33,66.74,3000760
15-Nov-16,66.67,67.00,66.22,66.59,5253209
14-Nov-16,67.14,67.36,66.53,66.58,3893975
11-Nov-16,67.24,67.77,66.82,67.42,4008392
10-Nov-16,69.76,69.90,66.64,67.20,9784878
9-Nov-16,70.40,70.62,69.37,70.37,4900954
8-Nov-16,70.51,71.73,70.36,71.59,4051396
7-Nov-16,70.26,70.69,70.06,70.54,3596734
4-Nov-16,70.75,70.91,69.56,69.57,3874255
3-Nov-16,71.32,71.38,70.40,70.57,4144354
2-Nov-16,70.94,71.42,70.84,71.18,3437007
1-Nov-16,71.46,71.58,70.80,70.99,2329725
31-Oct-16,71.28,71.69,71.02,71.36,2785943
28-Oct-16,70.75,71.33,70.61,71.17,3295140
27-Oct-16,71.72,71.87,70.25,70.57,4366803
26-Oct-16,71.30,71.35,70.71,71.26,2941251
25-Oct-16,71.37,71.72,71.18,71.31,2535620
24-Oct-16,71.00,71.36,70.86,71.03,2408601
21-Oct-16,70.94,71.15,70.61,70.92,3633052
20-Oct-16,71.32,71.62,70.86,70.92,3317215
19-Oct-16,71.81,72.02,71.45,71.70,2940977
18-Oct-16,72.64,72.64,71.93,71.93,2729867
17-Oct-16,72.41,72.72,72.05,72.08,2273438
14-Oct-16,72.40,72.90,72.16,72.31,2874972
13-Oct-16,72.07,72.49,71.76,72.16,2991573
12-Oct-16,72.15,72.60,72.02,72.43,2202775
11-Oct-16,72.54,72.63,71.89,72.20,2971861
10-Oct-16,73.36,73.50,72.40,72.61,2986404
7-Oct-16,73.40,73.61,72.46,73.05,3316007
6-Oct-16,72.87,73.52,72.67,73.28,2561692
5-Oct-16,73.02,73.10,72.59,72.97,2365496
4-Oct-16,73.64,73.73,72.58,72.80,3267330
3-Oct-16,73.93,74.06,73.42,73.62,2691080
30-Sep-16,73.55,74.50,73.51,74.14,4652275
29-Sep-16,73.56,73.62,73.04,73.29,2944761
28-Sep-16,73.86,73.95,72.99,73.60,2684990
27-Sep-16,73.34,73.71,73.03,73.46,2292236
26-Sep-16,73.05,73.39,72.81,73.11,2502847
23-Sep-16,73.52,73.53,73.09,73.25,3613090
22-Sep-16,73.20,73.62,73.15,73.53,2974249
21-Sep-16,72.48,73.09,72.15,73.00,3268352
20-Sep-16,72.66,72.90,72.46,72.48,2438173
19-Sep-16,72.02,72.50,71.93,72.19,2272044
16-Sep-16,71.83,72.08,71.38,71.96,3959683
15-Sep-16,71.85,72.32,71.57,72.10,3052931
14-Sep-16,72.03,72.26,71.65,71.85,3188490
13-Sep-16,72.32,72.32,71.71,71.84,4278259
12-Sep-16,71.39,72.84,71.28,72.78,5928696
9-Sep-16,72.35,72.48,70.86,70.86,5626326
8-Sep-16,73.73,73.75,72.94,72.99,3775417
7-Sep-16,74.96,75.00,73.68,73.76,3297835
6-Sep-16,74.70,75.28,74.62,75.27,2139264
2-Sep-16,74.61,75.35,74.59,74.89,2977638
1-Sep-16,74.38,74.43,73.87,74.27,3016327
31-Aug-16,74.47,74.58,74.00,74.34,2597445
30-Aug-16,74.71,74.80,74.34,74.50,2057939
29-Aug-16,74.44,74.93,74.43,74.81,2397578
26-Aug-16,74.64,75.35,74.20,74.47,2039972
25-Aug-16,74.43,74.93,74.22,74.63,1567581
24-Aug-16,74.40,74.46,74.00,74.36,1742691
23-Aug-16,74.48,74.84,74.42,74.54,1460644
22-Aug-16,74.38,74.65,74.11,74.50,1623762
19-Aug-16,74.33,74.51,74.09,74.49,2088609
18-Aug-16,74.58,74.86,74.48,74.59,2059550
17-Aug-16,74.39,74.65,73.90,74.58,1977912
16-Aug-16,74.50,74.85,74.27,74.32,1807368
15-Aug-16,75.00,75.24,74.64,74.71,2375818
12-Aug-16,75.00,75.38,74.84,74.97,1658325
11-Aug-16,74.95,75.26,74.79,74.89,2345121
10-Aug-16,74.82,75.07,74.58,74.84,1949897
9-Aug-16,74.55,75.03,74.47,74.78,1535955
8-Aug-16,74.48,74.51,73.94,74.43,2223383
5-Aug-16,74.70,74.88,74.21,74.58,2290176
4-Aug-16,74.21,75.06,74.21,74.78,3026978
3-Aug-16,75.03,75.09,73.89,74.08,2651941
2-Aug-16,75.25,75.34,74.46,74.87,3748049
1-Aug-16,74.44,75.14,74.43,75.11,2904222
29-Jul-16,73.12,74.97,73.07,74.43,4459782
28-Jul-16,74.75,74.75,73.06,73.25,4066751
27-Jul-16,74.17,74.17,72.91,73.28,3291666
26-Jul-16,74.04,74.64,73.80,73.98,2145552
25-Jul-16,74.40,74.57,73.99,74.23,1856675
22-Jul-16,74.12,74.62,73.94,74.61,3407185
21-Jul-16,73.88,74.09,73.61,73.87,2639782
20-Jul-16,74.27,74.51,74.09,74.12,2961822
19-Jul-16,74.21,74.56,74.09,74.56,3396525
18-Jul-16,74.78,74.92,74.44,74.50,2675831
15-Jul-16,74.94,75.29,74.50,74.72,4633487
14-Jul-16,74.49,75.32,74.33,74.71,5222848
13-Jul-16,74.18,74.50,73.89,74.47,2648269
12-Jul-16,74.26,74.40,73.72,73.95,3909961
11-Jul-16,74.05,74.58,73.72,74.49,3040713
8-Jul-16,73.77,74.27,73.42,74.25,2921180
7-Jul-16,73.28,73.71,73.08,73.40,2782297
6-Jul-16,73.32,73.45,72.78,73.28,2568609
5-Jul-16,72.69,73.68,72.63,73.28,3128028
1-Jul-16,73.15,73.42,72.86,72.95,2652641
30-Jun-16,71.90,73.20,71.86,73.20,3798772
29-Jun-16,71.36,71.93,71.32,71.86,2264071
28-Jun-16,70.37,71.15,70.03,71.13,2878554
27-Jun-16,70.14,70.23,69.71,69.99,3421856
24-Jun-16,71.11,71.80,70.15,70.58,11069978
