Date,Open,High,Low,Close,Volume
9-Dec-16,144.00,144.04,141.77,142.25,1375052
8-Dec-16,145.86,146.33,143.35,143.78,1946388
7-Dec-16,142.84,147.10,142.19,146.46,2470124
6-Dec-16,142.49,143.56,142.10,142.66,1451487
5-Dec-16,143.99,144.96,142.22,142.86,1776969
2-Dec-16,142.22,143.81,141.89,142.95,1028261
1-Dec-16,140.75,146.48,139.82,142.63,2240994
30-Nov-16,139.60,142.68,139.32,141.78,1967608
29-Nov-16,137.70,138.85,136.64,138.22,1055988
28-Nov-16,140.54,141.21,137.12,138.32,1693049
25-Nov-16,140.61,141.50,140.55,141.29,482866
23-Nov-16,140.00,141.57,139.85,140.80,1512534
22-Nov-16,137.81,139.57,137.20,139.35,1725910
21-Nov-16,136.07,137.31,135.51,136.83,1017844
18-Nov-16,135.32,136.41,134.60,135.03,1281410
17-Nov-16,136.20,136.57,135.01,135.43,1083388
16-Nov-16,137.44,137.44,135.75,136.87,1118795
15-Nov-16,134.88,137.80,134.15,137.78,1961861
14-Nov-16,138.67,139.29,133.16,134.74,4128552
11-Nov-16,137.00,138.13,135.75,136.99,1903933
10-Nov-16,137.66,141.65,137.19,137.81,3990534
9-Nov-16,132.41,138.39,130.86,136.85,3178336
8-Nov-16,129.70,131.52,129.08,130.86,1700320
7-Nov-16,127.02,130.49,126.95,130.34,2893844
4-Nov-16,121.92,125.56,121.43,124.31,1544782
3-Nov-16,121.84,123.59,121.22,121.75,1827062
2-Nov-16,121.79,122.95,121.35,121.72,1421838
1-Nov-16,123.33,126.04,121.58,122.29,3050336
31-Oct-16,126.73,128.00,126.53,127.82,1926995
28-Oct-16,126.55,127.99,126.34,126.62,1194745
27-Oct-16,126.83,127.04,125.51,126.26,1002702
26-Oct-16,125.17,127.47,125.06,126.52,837680
25-Oct-16,125.85,127.26,125.27,125.57,1314547
24-Oct-16,127.14,128.09,125.67,126.69,1149281
21-Oct-16,125.99,126.86,124.86,126.64,1375916
20-Oct-16,127.68,127.94,126.33,126.98,1543758
19-Oct-16,127.02,128.74,126.37,128.30,1026064
18-Oct-16,126.60,127.60,125.96,127.05,1335815
17-Oct-16,126.03,126.28,125.50,125.80,871168
14-Oct-16,126.40,128.43,125.76,125.76,1030723
13-Oct-16,126.47,126.47,124.75,126.13,1336606
12-Oct-16,127.96,128.40,127.36,127.77,1341040
11-Oct-16,130.52,131.04,127.48,127.86,2442512
10-Oct-16,129.36,129.39,127.81,128.17,974186
7-Oct-16,130.11,130.43,127.08,128.44,1961624
6-Oct-16,129.70,130.73,129.20,130.49,1199181
5-Oct-16,128.27,130.96,127.78,130.25,1320884
4-Oct-16,127.87,129.26,126.96,127.31,1104211
3-Oct-16,127.40,128.69,127.26,127.86,1125608
30-Sep-16,125.33,128.60,125.19,128.15,1760960
29-Sep-16,123.32,125.42,123.22,124.26,1199398
28-Sep-16,120.95,123.70,120.94,123.60,1217921
27-Sep-16,120.13,120.54,119.41,120.47,1081143
