Date,Open,High,Low,Close,Volume
9-Dec-16,40.51,41.19,40.51,41.12,1656587
8-Dec-16,40.32,40.76,40.01,40.61,1610706
7-Dec-16,40.08,40.59,39.98,40.57,2024864
6-Dec-16,40.08,40.20,39.85,39.92,1349418
5-Dec-16,39.77,39.99,39.42,39.92,1809698
2-Dec-16,39.94,40.33,39.72,39.94,1676853
1-Dec-16,39.95,40.08,39.48,39.69,2025284
30-Nov-16,41.24,41.31,40.21,40.22,3212627
29-Nov-16,41.40,42.17,41.40,41.84,3253791
28-Nov-16,40.79,41.56,40.72,41.52,1870802
25-Nov-16,39.88,40.65,39.88,40.60,787274
23-Nov-16,40.07,40.50,39.64,39.72,2730326
22-Nov-16,40.28,40.69,40.04,40.53,2249395
21-Nov-16,39.75,40.28,39.69,40.18,2186601
18-Nov-16,39.74,39.99,39.52,39.72,1257027
17-Nov-16,39.75,40.12,39.66,39.77,1355767
16-Nov-16,40.05,40.27,39.66,39.92,1978268
15-Nov-16,39.66,40.12,39.66,39.99,2240239
14-Nov-16,39.48,39.63,38.92,39.49,1935215
11-Nov-16,39.46,40.22,39.43,39.75,2732821
10-Nov-16,40.13,40.33,38.78,39.49,3427966
9-Nov-16,41.16,41.16,40.29,40.34,2385528
8-Nov-16,41.77,42.27,41.71,41.98,1381131
7-Nov-16,41.02,41.71,40.58,41.71,1615997
4-Nov-16,41.36,41.69,40.77,40.78,1561341
3-Nov-16,40.67,41.30,40.59,41.16,1595208
2-Nov-16,41.20,41.21,40.47,40.87,1630075
1-Nov-16,42.14,42.20,41.46,41.53,2530640
31-Oct-16,41.47,42.54,41.44,42.15,2134677
28-Oct-16,41.24,41.52,41.12,41.30,2264236
27-Oct-16,41.52,41.80,41.19,41.36,2074497
26-Oct-16,41.60,41.87,41.28,41.65,2032946
25-Oct-16,41.27,41.62,41.25,41.61,1293555
24-Oct-16,41.36,41.53,41.06,41.38,1420362
21-Oct-16,41.15,41.31,40.89,41.16,1154207
20-Oct-16,41.47,41.86,41.25,41.35,1808404
19-Oct-16,41.34,41.53,41.05,41.36,2138608
18-Oct-16,41.17,41.60,40.83,41.42,1698168
17-Oct-16,40.83,41.08,40.75,41.04,1270872
14-Oct-16,40.73,41.11,40.51,40.70,1449634
13-Oct-16,40.47,41.24,40.38,40.85,2216582
12-Oct-16,40.07,40.54,40.05,40.41,1552430
11-Oct-16,40.45,40.59,40.03,40.11,2098974
10-Oct-16,40.36,40.67,40.29,40.61,1711517
7-Oct-16,40.77,41.15,40.22,40.26,1747166
6-Oct-16,40.23,40.59,40.01,40.45,1794797
5-Oct-16,40.52,40.98,40.15,40.38,2452340
4-Oct-16,41.35,41.40,40.22,40.46,2091802
3-Oct-16,41.92,41.92,41.12,41.40,1307344
30-Sep-16,42.38,42.66,41.72,42.01,2221250
29-Sep-16,42.87,42.87,41.98,42.31,1887503
28-Sep-16,43.23,43.40,42.56,43.00,1839461
27-Sep-16,44.15,44.44,43.20,43.26,2087112
26-Sep-16,43.87,44.15,43.67,44.02,2008535
23-Sep-16,43.60,44.22,43.48,43.87,2414404
22-Sep-16,43.84,43.90,43.42,43.76,1908647
21-Sep-16,42.66,43.62,42.58,43.60,1985104
20-Sep-16,43.01,43.13,42.68,42.70,1395941
19-Sep-16,42.56,42.87,42.41,42.81,1455559
16-Sep-16,41.75,42.41,41.52,42.33,3008133
15-Sep-16,41.60,41.89,41.41,41.88,2108663
14-Sep-16,41.63,41.88,41.42,41.68,2519700
13-Sep-16,41.83,41.85,41.14,41.40,4103458
12-Sep-16,41.32,41.96,41.19,41.86,2203542
9-Sep-16,42.51,42.54,41.26,41.31,2023678
8-Sep-16,42.67,43.04,42.64,42.93,1157454
7-Sep-16,42.75,42.96,42.48,42.84,1829552
6-Sep-16,42.47,42.93,42.38,42.80,1568546
2-Sep-16,41.89,42.42,41.79,42.31,1240812
1-Sep-16,41.95,42.01,41.72,41.85,1476759
31-Aug-16,41.69,42.02,41.49,41.97,1775398
30-Aug-16,42.25,42.52,41.75,41.79,1449728
29-Aug-16,42.08,42.47,42.08,42.33,1423168
26-Aug-16,43.05,43.17,41.90,41.95,1939311
25-Aug-16,42.88,43.04,42.78,42.96,1121906
24-Aug-16,42.81,42.93,42.43,42.86,1383451
23-Aug-16,43.18,43.45,42.82,42.82,1259289
22-Aug-16,43.12,43.38,43.00,43.18,1243069
19-Aug-16,43.35,43.51,42.72,43.06,1971590
18-Aug-16,43.00,43.57,42.96,43.57,2093533
17-Aug-16,42.21,43.11,41.92,43.03,2605621
16-Aug-16,42.93,43.01,42.30,42.30,2873281
15-Aug-16,43.85,44.01,43.00,43.01,1928106
12-Aug-16,43.91,44.24,43.81,43.86,1423601
11-Aug-16,43.68,43.84,43.55,43.72,1648158
10-Aug-16,43.69,43.87,43.59,43.75,1202650
9-Aug-16,43.51,43.90,43.45,43.65,1315839
8-Aug-16,43.74,43.98,43.44,43.55,1683442
5-Aug-16,44.18,44.18,43.62,43.69,2924641
4-Aug-16,44.19,44.64,44.08,44.32,1456635
3-Aug-16,44.79,44.90,43.94,44.13,1975289
2-Aug-16,44.98,45.17,44.68,45.03,1580917
1-Aug-16,45.05,45.37,45.05,45.15,1979250
29-Jul-16,45.00,45.41,44.98,45.18,2330495
28-Jul-16,44.70,45.10,44.46,44.99,2215455
27-Jul-16,44.91,44.98,44.25,44.68,2448003
26-Jul-16,45.65,45.74,44.88,45.00,1957870
25-Jul-16,45.54,45.67,45.23,45.57,1399154
22-Jul-16,45.13,45.61,45.05,45.54,1600257
21-Jul-16,44.71,45.13,44.56,45.11,1578853
20-Jul-16,45.00,45.12,44.72,44.84,1642759
19-Jul-16,44.99,45.12,44.73,45.00,1462268
18-Jul-16,44.85,45.10,44.80,44.93,1206106
15-Jul-16,44.82,45.02,44.61,44.82,1443365
14-Jul-16,44.64,44.90,44.48,44.76,1623687
13-Jul-16,44.89,45.08,44.76,45.03,1836897
12-Jul-16,45.09,45.23,44.55,44.58,1732828
11-Jul-16,45.33,45.55,44.75,45.38,2109620
8-Jul-16,45.19,45.54,44.75,45.51,3010771
7-Jul-16,46.05,46.25,45.16,45.26,2427348
6-Jul-16,46.11,46.19,45.68,46.17,2536616
5-Jul-16,45.76,46.23,45.72,46.08,2536192
1-Jul-16,46.09,46.15,45.22,45.63,3373507
30-Jun-16,44.95,45.86,44.81,45.86,2484813
29-Jun-16,45.12,45.31,44.77,44.84,2452853
28-Jun-16,44.90,44.99,44.25,44.98,2927004
