Date,Open,High,Low,Close,Volume
9-Dec-16,24.01,24.47,23.96,24.43,4378881
8-Dec-16,23.91,24.13,23.75,24.05,4740232
7-Dec-16,23.84,24.09,23.82,24.09,3910851
6-Dec-16,24.06,24.16,23.74,23.78,2609056
5-Dec-16,24.05,24.11,23.82,23.98,3686701
2-Dec-16,23.98,24.19,23.87,24.10,4181472
1-Dec-16,23.80,23.88,23.57,23.80,3533087
30-Nov-16,24.15,24.16,23.86,23.86,4935746
29-Nov-16,24.01,24.42,23.86,24.09,3963224
28-Nov-16,24.00,24.24,23.87,24.17,2567892
25-Nov-16,23.64,23.97,23.64,23.95,1219436
23-Nov-16,23.36,23.73,23.36,23.61,2492951
22-Nov-16,23.58,23.75,23.50,23.62,2525536
21-Nov-16,23.47,23.65,23.42,23.52,2294300
18-Nov-16,23.26,23.48,23.24,23.34,3979824
17-Nov-16,23.14,23.35,23.14,23.22,2409191
16-Nov-16,23.30,23.39,22.95,23.22,2636742
15-Nov-16,23.09,23.58,23.05,23.27,3427591
14-Nov-16,22.54,23.11,22.32,22.96,5035549
11-Nov-16,23.10,23.30,22.77,22.92,3436233
10-Nov-16,23.12,23.23,22.42,23.12,5916947
9-Nov-16,22.95,23.47,22.91,23.21,6024275
8-Nov-16,23.41,23.86,23.40,23.70,3399477
7-Nov-16,23.30,23.66,22.90,23.62,4580764
4-Nov-16,23.01,23.59,22.84,22.93,5814055
3-Nov-16,22.05,22.58,22.02,22.54,3824114
2-Nov-16,22.45,22.45,21.91,22.11,3376392
1-Nov-16,22.83,22.91,22.47,22.50,4955031
31-Oct-16,22.61,23.12,22.60,22.80,4297827
28-Oct-16,22.58,22.75,22.42,22.53,2193263
27-Oct-16,22.59,22.60,22.18,22.57,3835968
26-Oct-16,22.61,22.69,22.35,22.66,2204395
25-Oct-16,22.48,22.78,22.35,22.67,1784425
24-Oct-16,22.82,22.82,22.43,22.55,1819677
21-Oct-16,22.53,22.77,22.44,22.72,2541369
20-Oct-16,22.61,22.79,22.54,22.66,2790600
19-Oct-16,22.55,22.69,22.38,22.63,2464067
18-Oct-16,22.56,22.60,22.26,22.51,1384855
17-Oct-16,22.41,22.54,22.35,22.43,1641993
14-Oct-16,22.32,22.53,22.24,22.37,2499197
13-Oct-16,22.06,22.52,22.00,22.34,2896306
12-Oct-16,21.89,22.13,21.88,22.08,2449740
11-Oct-16,22.10,22.11,21.83,21.84,2752214
10-Oct-16,21.90,22.30,21.90,22.18,2946206
7-Oct-16,22.44,22.63,21.89,21.90,5147408
6-Oct-16,22.23,22.49,22.10,22.30,3201588
5-Oct-16,22.43,22.59,22.28,22.35,3477413
4-Oct-16,22.89,22.93,22.19,22.36,2772198
3-Oct-16,23.18,23.18,22.66,22.90,2697071
30-Sep-16,23.66,23.77,23.13,23.23,5115785
29-Sep-16,24.02,24.12,23.49,23.58,3571312
28-Sep-16,23.95,24.14,23.78,24.12,3150350
27-Sep-16,24.32,24.43,23.87,23.88,3284966
26-Sep-16,24.22,24.37,24.13,24.26,1913201
23-Sep-16,24.06,24.23,24.01,24.19,3008593
22-Sep-16,24.20,24.39,24.04,24.11,3960459
21-Sep-16,23.50,24.08,23.45,24.02,3073468
20-Sep-16,23.45,23.58,23.41,23.47,2935039
19-Sep-16,23.14,23.32,23.04,23.30,2063128
16-Sep-16,22.63,23.10,22.51,23.05,5743400
15-Sep-16,22.43,22.71,22.38,22.65,2506594
14-Sep-16,22.51,22.68,22.27,22.43,2931968
13-Sep-16,22.86,22.87,22.32,22.44,3604336
12-Sep-16,22.51,23.02,22.38,22.95,4185116
9-Sep-16,23.36,23.40,22.61,22.61,5075012
8-Sep-16,23.25,23.66,23.22,23.64,3992539
7-Sep-16,22.78,23.36,22.70,23.29,5334310
6-Sep-16,22.78,22.96,22.68,22.80,5097298
2-Sep-16,22.46,22.81,22.42,22.63,3178118
1-Sep-16,22.41,22.55,22.33,22.44,2641788
31-Aug-16,22.47,22.56,22.32,22.47,2325900
30-Aug-16,22.64,22.70,22.43,22.47,1724441
29-Aug-16,22.36,22.70,22.36,22.67,2742144
26-Aug-16,22.79,22.90,22.29,22.32,2242374
25-Aug-16,22.78,22.83,22.65,22.71,1842659
24-Aug-16,22.81,22.86,22.64,22.76,4070094
23-Aug-16,23.00,23.11,22.84,22.85,2244084
22-Aug-16,22.83,23.02,22.77,22.94,3355608
19-Aug-16,22.74,22.95,22.63,22.83,5258848
18-Aug-16,22.56,22.86,22.49,22.82,5187365
17-Aug-16,22.05,22.67,21.97,22.59,6759771
16-Aug-16,22.45,22.45,22.02,22.13,7131966
15-Aug-16,22.62,22.74,22.42,22.45,5462300
12-Aug-16,22.50,22.72,22.47,22.57,3926670
11-Aug-16,22.67,22.70,22.50,22.70,6784834
10-Aug-16,22.72,22.87,22.55,22.66,4436536
9-Aug-16,22.68,22.87,22.64,22.70,6492335
8-Aug-16,22.60,22.86,22.51,22.71,17377832
5-Aug-16,23.60,23.60,22.18,22.67,12014626
4-Aug-16,23.52,23.67,23.44,23.60,5560768
3-Aug-16,23.46,23.59,23.29,23.50,2869202
2-Aug-16,23.62,23.67,23.36,23.47,5490097
1-Aug-16,23.89,24.01,23.63,23.67,3537422
29-Jul-16,23.78,23.97,23.75,23.92,5192580
28-Jul-16,23.89,23.95,23.65,23.77,5025000
27-Jul-16,24.32,24.36,23.74,23.90,5296836
26-Jul-16,24.53,24.57,24.26,24.32,2983930
25-Jul-16,24.65,24.69,24.37,24.51,3452555
22-Jul-16,24.22,24.71,24.21,24.69,4146062
21-Jul-16,24.07,24.27,24.00,24.24,3345778
20-Jul-16,23.93,24.16,23.84,24.12,5258618
19-Jul-16,23.95,24.02,23.82,23.92,4065282
18-Jul-16,24.09,24.14,23.87,23.95,3871762
15-Jul-16,23.74,24.11,23.68,24.06,4718321
14-Jul-16,23.84,23.92,23.55,23.66,3415990
13-Jul-16,23.86,23.96,23.72,23.94,6518281
12-Jul-16,23.76,23.87,23.66,23.70,4811640
11-Jul-16,23.82,23.89,23.66,23.81,3499228
8-Jul-16,23.55,23.91,23.43,23.90,4040929
7-Jul-16,24.00,24.05,23.48,23.52,8357491
6-Jul-16,24.00,24.11,23.78,24.05,5879797
5-Jul-16,23.82,24.12,23.70,24.05,7099278
1-Jul-16,24.08,24.20,23.93,24.05,3579328
30-Jun-16,24.03,24.11,23.85,24.00,8554291
29-Jun-16,23.73,24.03,23.68,24.00,4266793
28-Jun-16,23.35,23.62,23.15,23.62,4954220
27-Jun-16,23.27,23.42,23.04,23.17,3564848
24-Jun-16,23.13,23.52,22.96,23.34,3324737
23-Jun-16,23.34,23.50,23.21,23.49,2829582
22-Jun-16,23.36,23.49,23.21,23.24,3749640
21-Jun-16,23.23,23.67,23.10,23.50,3439187
20-Jun-16,23.23,23.29,23.02,23.22,4082550
17-Jun-16,22.95,23.13,22.88,23.10,4244052
16-Jun-16,22.92,23.10,22.72,23.04,2692918
15-Jun-16,23.08,23.15,22.86,22.95,4215997
14-Jun-16,22.99,23.08,22.84,23.07,2549601
13-Jun-16,23.07,23.21,22.93,22.97,3358088
10-Jun-16,23.28,23.35,23.02,23.14,3069817
9-Jun-16,23.24,23.42,23.14,23.39,2968424
8-Jun-16,23.13,23.26,23.09,23.26,2915578
7-Jun-16,23.17,23.22,23.03,23.11,3783957
6-Jun-16,22.91,23.13,22.84,23.07,3501487
3-Jun-16,22.75,23.00,22.70,22.91,2809949
2-Jun-16,22.46,22.63,22.35,22.60,1896487
1-Jun-16,22.41,22.59,22.35,22.59,2324187
31-May-16,22.49,22.73,22.40,22.53,3771176
27-May-16,22.38,22.51,22.26,22.51,3541781
26-May-16,22.12,22.36,22.02,22.35,2480132
25-May-16,22.03,22.19,21.94,22.12,2492731
24-May-16,22.02,22.15,21.88,22.03,2923389
23-May-16,22.08,22.14,21.94,21.98,3231662
20-May-16,21.97,22.07,21.81,22.07,2593116
19-May-16,21.40,21.91,21.25,21.89,3391039
18-May-16,21.88,21.92,21.40,21.53,5175997
17-May-16,22.19,22.24,21.87,22.00,4140967
16-May-16,22.03,22.25,21.89,22.24,3817953
13-May-16,22.07,22.25,21.91,22.00,3527576
12-May-16,21.75,22.17,21.72,22.11,4730004
11-May-16,22.14,22.30,21.95,22.01,6102439
10-May-16,21.71,22.12,21.71,22.10,5939077
9-May-16,21.74,21.84,21.65,21.68,3982678
6-May-16,21.63,21.70,21.46,21.63,2181431
5-May-16,21.69,21.89,21.54,21.65,3166193
4-May-16,21.42,21.84,21.32,21.68,3337459
