Date,Open,High,Low,Close,Volume
9-Dec-16,21.76,21.87,20.86,21.30,5453213
8-Dec-16,22.29,22.34,21.52,21.78,4599775
7-Dec-16,21.77,22.31,21.56,22.05,4073238
6-Dec-16,21.39,21.66,21.25,21.61,2380609
5-Dec-16,21.30,21.86,21.05,21.57,4800948
2-Dec-16,20.05,20.98,20.05,20.89,4024224
1-Dec-16,21.26,21.26,20.01,20.20,2807388
30-Nov-16,20.98,21.21,20.26,20.58,5038085
29-Nov-16,19.32,20.75,19.07,20.24,5910640
28-Nov-16,19.78,19.98,19.31,19.74,2839585
25-Nov-16,19.75,19.81,19.51,19.64,1017993
23-Nov-16,19.50,19.99,19.41,19.84,2526864
22-Nov-16,19.40,19.72,19.05,19.66,3070443
21-Nov-16,18.95,19.23,18.76,19.10,3270276
18-Nov-16,18.22,18.56,18.13,18.44,4112815
17-Nov-16,18.62,18.96,17.86,18.09,3082740
16-Nov-16,18.22,18.55,18.00,18.48,3617255
15-Nov-16,18.19,18.72,18.10,18.37,4113892
14-Nov-16,18.12,18.59,18.10,18.43,4109031
11-Nov-16,17.77,18.06,17.29,18.00,4460900
10-Nov-16,19.00,19.33,17.27,17.63,6278545
9-Nov-16,18.66,19.71,17.41,18.50,10783880
8-Nov-16,16.95,17.48,16.84,16.97,5080416
7-Nov-16,17.15,17.24,16.92,17.13,2349139
4-Nov-16,16.64,17.31,16.44,16.80,4814054
3-Nov-16,16.97,17.15,16.48,16.62,4113903
2-Nov-16,18.19,18.22,16.56,16.84,5038374
1-Nov-16,16.79,18.77,16.79,18.43,10265408
31-Oct-16,17.11,17.26,16.51,16.95,6602052
28-Oct-16,16.53,17.31,16.51,16.84,3533188
27-Oct-16,16.45,16.78,16.14,16.69,3426908
26-Oct-16,16.82,17.04,16.20,16.38,4059795
25-Oct-16,16.96,17.31,16.79,17.00,3329778
24-Oct-16,17.64,17.64,16.43,16.79,5341353
21-Oct-16,17.91,17.91,17.26,17.41,3810822
20-Oct-16,17.79,18.18,17.59,18.10,4568962
19-Oct-16,18.72,18.76,17.95,18.00,3432655
18-Oct-16,18.83,18.86,18.29,18.63,4013487
17-Oct-16,18.69,18.92,18.42,18.45,4149120
14-Oct-16,20.04,20.05,18.69,18.70,3238895
13-Oct-16,19.34,20.04,18.94,19.85,2904147
12-Oct-16,19.55,19.93,19.10,19.72,3079379
11-Oct-16,20.18,20.26,19.60,19.69,5188125
10-Oct-16,20.44,20.66,20.20,20.26,2327651
7-Oct-16,20.30,20.38,19.81,20.02,2657138
6-Oct-16,19.97,20.30,19.64,20.21,3442515
5-Oct-16,19.94,20.46,19.85,19.95,5652308
4-Oct-16,19.36,19.88,19.22,19.64,4771561
3-Oct-16,19.30,19.53,19.06,19.46,4125938
30-Sep-16,18.95,19.35,18.77,19.20,3825819
29-Sep-16,19.12,19.26,18.35,18.76,5140583
28-Sep-16,18.39,19.45,18.39,19.24,6795793
27-Sep-16,17.77,18.31,17.43,18.28,3696248
26-Sep-16,17.44,18.45,17.40,18.17,4171622
23-Sep-16,17.43,17.68,17.18,17.40,3199323
22-Sep-16,18.01,18.34,17.50,17.57,4848976
21-Sep-16,17.23,17.94,17.21,17.75,6576885
20-Sep-16,16.76,17.22,16.54,17.00,4288436
19-Sep-16,16.80,16.98,16.58,16.59,3549801
16-Sep-16,16.41,16.78,16.18,16.44,13713974
15-Sep-16,15.60,17.04,15.60,16.61,7365620
14-Sep-16,16.06,16.36,15.74,15.91,4231792
13-Sep-16,17.15,17.19,15.41,16.00,11204814
12-Sep-16,17.62,17.94,17.15,17.51,5648245
9-Sep-16,18.62,18.62,17.62,17.80,5870239
8-Sep-16,18.81,18.98,18.46,18.94,4508683
7-Sep-16,19.31,19.76,18.56,18.62,3847479
6-Sep-16,18.64,19.26,18.35,19.24,3359610
2-Sep-16,18.50,18.85,18.30,18.37,2488350
1-Sep-16,18.19,18.39,17.96,18.19,2299508
31-Aug-16,18.30,18.57,18.05,18.24,2962899
30-Aug-16,18.72,19.08,18.30,18.48,3065939
29-Aug-16,18.07,18.64,17.96,18.54,2454183
26-Aug-16,18.13,18.60,17.95,18.13,3810748
25-Aug-16,17.67,18.04,17.55,18.01,2670525
24-Aug-16,17.91,18.33,17.62,17.69,2457054
23-Aug-16,17.48,18.02,17.31,17.94,2838627
22-Aug-16,17.20,17.73,17.13,17.51,4417662
19-Aug-16,18.10,18.10,17.40,17.46,4776232
18-Aug-16,18.20,18.68,18.14,18.34,3193760
17-Aug-16,17.77,18.06,17.48,18.06,3407265
16-Aug-16,17.96,18.11,17.52,17.86,3530960
15-Aug-16,17.55,18.27,17.36,17.93,5450930
12-Aug-16,17.89,18.05,17.14,17.23,3098696
11-Aug-16,18.00,18.25,17.72,17.76,3750566
10-Aug-16,18.66,18.69,17.80,17.83,4262202
9-Aug-16,19.10,19.15,18.47,18.49,2714198
8-Aug-16,19.21,19.44,18.94,18.96,4261581
5-Aug-16,19.13,19.20,18.89,19.05,2790823
4-Aug-16,18.72,19.21,18.67,18.94,2953564
3-Aug-16,18.50,18.83,18.20,18.82,3128916
2-Aug-16,18.89,19.03,18.02,18.40,4683873
1-Aug-16,19.24,19.28,18.51,18.52,4182070
29-Jul-16,19.20,19.44,18.94,19.38,3252586
28-Jul-16,18.89,19.42,18.83,19.17,6065958
27-Jul-16,18.52,19.62,18.03,18.89,7370626
26-Jul-16,17.07,18.46,16.78,18.35,6419257
25-Jul-16,16.91,17.33,16.81,17.17,6155325
