Date,Open,High,Low,Close,Volume
9-Dec-16,90.61,90.63,89.35,90.45,3428137
8-Dec-16,89.92,91.38,89.08,90.61,3180790
7-Dec-16,87.60,89.79,87.26,89.58,2912294
6-Dec-16,87.00,87.89,85.70,87.84,3407480
5-Dec-16,86.48,87.35,86.39,86.71,4257193
2-Dec-16,86.47,86.62,85.18,86.00,5086842
1-Dec-16,84.45,86.77,84.17,86.61,5276873
30-Nov-16,83.80,84.53,83.32,84.04,3800741
29-Nov-16,83.42,83.55,82.45,82.60,2242735
28-Nov-16,83.91,84.54,83.09,83.24,3390855
25-Nov-16,84.26,84.79,83.94,84.57,1582662
23-Nov-16,82.87,84.80,82.87,84.62,3420168
22-Nov-16,83.40,83.88,82.43,82.59,3812798
21-Nov-16,82.73,83.35,82.07,83.21,3128934
18-Nov-16,81.39,82.39,81.07,82.01,2306450
17-Nov-16,80.25,81.56,79.32,81.56,3073023
16-Nov-16,80.37,81.00,79.44,80.22,3710641
15-Nov-16,82.28,82.69,79.87,82.15,6241548
14-Nov-16,80.98,83.82,80.95,83.76,5506728
11-Nov-16,78.75,81.25,78.73,80.99,4614832
10-Nov-16,76.67,79.69,76.67,79.23,7306081
9-Nov-16,73.65,76.66,73.25,76.30,13256918
8-Nov-16,73.89,73.89,72.30,72.84,6617938
7-Nov-16,74.28,75.00,74.28,74.84,4126470
4-Nov-16,72.40,73.69,71.91,73.10,3646691
3-Nov-16,72.80,73.26,72.14,72.32,5653278
2-Nov-16,73.08,73.34,72.20,72.61,4032226
1-Nov-16,74.43,74.51,72.42,73.23,3967333
31-Oct-16,75.13,75.14,73.84,74.04,3469463
28-Oct-16,74.86,75.09,73.95,74.63,3780450
27-Oct-16,75.70,75.86,74.30,74.80,2693312
26-Oct-16,73.48,76.16,72.95,75.43,4732282
25-Oct-16,75.29,75.78,75.01,75.39,4391838
24-Oct-16,75.42,75.73,75.23,75.40,3107585
21-Oct-16,73.82,75.10,73.70,74.89,3947431
20-Oct-16,73.76,75.24,73.36,74.51,4502801
19-Oct-16,72.10,73.74,72.06,73.62,3347575
18-Oct-16,72.65,72.77,71.66,71.99,3120972
17-Oct-16,71.91,72.36,71.74,71.78,3899908
14-Oct-16,71.71,72.20,71.23,71.53,2872566
13-Oct-16,71.34,71.69,70.50,71.07,4824391
12-Oct-16,71.80,72.43,71.74,72.06,2232007
11-Oct-16,73.25,73.44,71.84,72.16,2254743
10-Oct-16,73.60,73.89,73.24,73.33,1760149
7-Oct-16,73.14,73.71,72.69,73.05,2695101
6-Oct-16,73.63,73.75,72.39,73.04,3262416
5-Oct-16,73.01,74.07,73.01,73.70,3126155
4-Oct-16,72.46,73.23,72.26,72.76,4098415
3-Oct-16,71.60,72.68,71.56,72.13,3557375
30-Sep-16,70.87,72.19,70.63,71.83,3198792
29-Sep-16,71.62,72.00,69.49,70.36,3168951
28-Sep-16,71.78,72.09,70.81,71.75,2498563
27-Sep-16,70.48,71.83,70.15,71.80,2405490
26-Sep-16,71.23,71.65,70.60,70.81,3075322
23-Sep-16,71.74,72.25,71.25,71.28,3099447
22-Sep-16,71.77,72.22,71.66,72.14,3290825
21-Sep-16,70.77,71.78,70.57,71.68,4076364
20-Sep-16,71.45,71.70,70.38,70.56,2514875
19-Sep-16,70.56,71.33,70.42,70.98,3156013
16-Sep-16,70.54,70.61,69.78,70.21,3214883
15-Sep-16,70.48,71.12,69.69,70.99,3097513
14-Sep-16,71.10,71.31,70.28,70.59,2776638
13-Sep-16,71.51,71.96,70.54,71.22,3503958
12-Sep-16,71.12,72.77,70.44,72.50,3288816
9-Sep-16,72.02,72.35,71.61,71.65,4063991
8-Sep-16,71.63,72.43,71.49,72.28,2686057
7-Sep-16,70.61,71.80,70.44,71.77,2523084
6-Sep-16,71.61,71.66,70.54,70.99,2561377
2-Sep-16,71.24,71.92,70.87,71.64,2448155
1-Sep-16,71.60,72.09,70.18,71.08,5574094
31-Aug-16,70.39,71.72,70.38,71.60,6129403
30-Aug-16,69.68,70.61,69.63,70.33,3091201
29-Aug-16,69.13,70.06,68.89,69.63,3015179
26-Aug-16,69.00,69.64,68.75,69.16,2191910
25-Aug-16,68.35,69.10,68.27,68.77,1732465
24-Aug-16,68.86,69.34,68.46,68.62,2025576
23-Aug-16,68.93,69.32,68.79,68.79,1868162
22-Aug-16,68.53,68.81,68.08,68.68,1878159
19-Aug-16,68.04,68.68,67.99,68.56,2473532
18-Aug-16,68.29,68.58,68.11,68.21,2443752
17-Aug-16,68.50,68.66,67.96,68.29,2810221
16-Aug-16,68.27,68.96,68.20,68.62,2657291
15-Aug-16,68.02,68.91,68.02,68.61,2741743
12-Aug-16,67.47,68.06,67.18,68.00,2098839
11-Aug-16,67.04,68.02,66.81,67.94,2660212
10-Aug-16,67.74,67.83,66.62,66.85,2348321
9-Aug-16,68.13,68.20,67.56,67.78,1793520
8-Aug-16,68.23,68.82,67.95,68.17,1749751
5-Aug-16,67.10,68.34,67.10,68.10,3695909
4-Aug-16,66.22,66.65,66.08,66.20,2197445
3-Aug-16,66.15,66.98,66.00,66.55,3965395
2-Aug-16,66.90,67.09,66.00,66.30,4409212
1-Aug-16,67.28,67.52,66.68,67.03,3418505
29-Jul-16,67.19,67.72,67.04,67.08,3632594
28-Jul-16,67.49,67.75,66.78,67.48,3079711
27-Jul-16,67.53,68.49,67.37,67.91,3110074
26-Jul-16,67.30,67.98,66.92,67.69,2997708
25-Jul-16,66.86,67.87,66.75,67.34,4373709
22-Jul-16,66.50,67.33,65.00,67.03,8632888
21-Jul-16,67.44,68.47,67.24,67.99,3549816
20-Jul-16,68.04,68.17,67.16,67.61,2895311
19-Jul-16,67.97,68.11,67.51,67.73,2136019
18-Jul-16,68.45,68.54,67.82,68.12,2240282
15-Jul-16,69.09,69.18,67.72,68.15,5763939
14-Jul-16,69.31,69.50,68.13,68.85,3284823
13-Jul-16,67.74,68.23,66.95,67.94,3611410
12-Jul-16,67.03,68.11,66.99,67.85,4975376
