Date,Open,High,Low,Close,Volume
9-Dec-16,38.64,38.86,38.30,38.58,1711339
8-Dec-16,38.19,38.82,38.00,38.64,2715745
7-Dec-16,37.55,38.27,37.50,38.22,2160163
6-Dec-16,37.57,37.97,37.45,37.86,2888307
5-Dec-16,36.31,37.52,36.31,37.48,4195558
2-Dec-16,36.21,36.76,36.05,36.23,2638268
1-Dec-16,36.39,36.85,36.15,36.28,2720966
30-Nov-16,37.34,37.49,36.29,36.39,3730431
29-Nov-16,37.69,38.05,37.35,37.40,3709671
28-Nov-16,38.30,38.32,37.56,37.83,2206534
25-Nov-16,38.55,38.74,38.19,38.35,1235536
23-Nov-16,38.45,38.77,38.26,38.38,1930612
22-Nov-16,38.30,38.74,38.16,38.48,2662939
21-Nov-16,38.00,38.42,37.94,38.15,2614777
18-Nov-16,37.86,38.20,37.62,38.00,3620320
17-Nov-16,37.76,38.00,37.50,37.97,1690932
16-Nov-16,37.26,37.80,37.24,37.62,1847175
15-Nov-16,37.96,38.37,37.30,37.44,3047976
14-Nov-16,37.32,38.50,37.29,37.98,5247186
11-Nov-16,36.44,37.03,36.33,36.99,3083078
10-Nov-16,36.45,37.30,36.45,36.72,5797266
9-Nov-16,35.39,36.52,34.67,36.36,4709706
8-Nov-16,36.22,36.44,35.82,36.04,3216244
7-Nov-16,35.95,36.34,35.93,36.27,3055535
4-Nov-16,35.34,35.90,35.25,35.34,3211153
3-Nov-16,35.55,35.67,35.06,35.30,3591356
2-Nov-16,36.33,37.04,35.42,35.47,5473332
1-Nov-16,36.99,37.94,36.28,36.68,8531352
31-Oct-16,35.70,36.16,35.58,35.89,6067578
28-Oct-16,35.44,35.89,35.05,35.72,5359703
27-Oct-16,35.81,36.01,35.30,35.52,4901645
26-Oct-16,35.55,36.00,35.47,35.72,2874564
25-Oct-16,35.50,35.84,35.33,35.65,3465315
24-Oct-16,35.70,36.17,35.64,36.00,3877082
21-Oct-16,36.11,36.39,35.52,35.55,4284361
20-Oct-16,35.84,35.98,35.53,35.91,2196142
19-Oct-16,35.27,35.84,35.04,35.83,2737160
18-Oct-16,35.18,35.39,34.99,35.22,2904785
17-Oct-16,35.85,36.02,34.07,34.88,6466873
14-Oct-16,36.52,36.60,35.84,35.86,1950333
13-Oct-16,35.80,36.47,35.38,36.29,4580663
12-Oct-16,36.36,36.62,36.25,36.53,2309974
11-Oct-16,36.67,36.84,36.11,36.25,3322784
10-Oct-16,36.80,37.14,36.62,36.67,1824103
7-Oct-16,36.81,37.01,36.29,36.50,2187084
6-Oct-16,36.37,36.63,35.90,36.57,3552242
5-Oct-16,36.80,37.09,36.64,36.65,3485203
4-Oct-16,36.48,36.82,36.20,36.77,2615796
3-Oct-16,36.35,36.77,36.23,36.54,2304824
30-Sep-16,36.59,37.23,36.54,36.56,4743277
29-Sep-16,36.01,36.88,35.97,36.21,3112431
28-Sep-16,35.72,35.97,35.53,35.90,2627416
27-Sep-16,35.57,35.73,35.36,35.65,2300415
26-Sep-16,35.90,35.98,35.45,35.57,2396631
23-Sep-16,36.49,36.79,36.03,36.04,2305285
22-Sep-16,36.36,36.75,36.13,36.62,4357163
21-Sep-16,35.92,36.10,35.62,36.03,3181106
20-Sep-16,36.21,36.26,35.72,35.84,2230159
19-Sep-16,35.31,36.33,35.27,35.94,4287905
16-Sep-16,35.74,35.74,34.88,35.04,4845822
15-Sep-16,35.45,35.88,35.33,35.87,4268526
14-Sep-16,35.20,35.66,34.55,35.47,7915029
13-Sep-16,36.94,37.18,35.99,36.29,3489536
12-Sep-16,36.25,37.40,36.20,37.25,3115369
9-Sep-16,37.25,37.41,36.43,36.59,3555114
8-Sep-16,37.97,38.23,37.41,37.42,2415461
7-Sep-16,37.87,38.56,37.58,38.53,4912113
6-Sep-16,38.30,38.38,37.60,37.84,3131821
2-Sep-16,38.57,38.69,38.09,38.15,1952180
1-Sep-16,38.10,38.45,38.02,38.39,2441239
31-Aug-16,38.50,38.78,37.90,38.18,2929748
30-Aug-16,38.84,38.96,38.47,38.59,1939100
29-Aug-16,39.11,39.39,38.91,38.99,2865420
26-Aug-16,39.79,40.04,38.64,38.91,3130820
25-Aug-16,39.84,40.32,39.65,39.83,2859939
24-Aug-16,40.27,40.42,39.80,39.87,2522105
23-Aug-16,40.08,40.61,39.81,40.47,3253523
22-Aug-16,40.11,40.33,39.69,39.76,2415106
19-Aug-16,39.47,40.40,39.44,40.31,4848747
18-Aug-16,39.37,39.53,39.21,39.46,2099555
17-Aug-16,39.42,39.58,38.87,39.22,3453744
16-Aug-16,39.59,39.66,39.28,39.45,2851233
15-Aug-16,39.50,39.96,39.27,39.72,4530815
12-Aug-16,39.70,39.95,39.17,39.33,4326333
11-Aug-16,40.23,40.52,39.67,39.87,4375783
10-Aug-16,40.65,40.80,39.32,39.60,6436368
9-Aug-16,40.03,41.90,40.00,40.52,10216000
8-Aug-16,42.16,42.24,41.23,41.45,9343050
5-Aug-16,42.00,42.18,41.61,42.03,4269743
4-Aug-16,41.86,42.27,41.34,41.40,3067485
3-Aug-16,39.47,41.85,39.36,41.75,5847675
2-Aug-16,43.32,43.40,41.59,41.67,4242441
1-Aug-16,43.59,43.59,42.88,43.46,4324516
29-Jul-16,42.78,43.42,42.38,43.11,4887031
28-Jul-16,43.05,43.05,42.48,42.80,3061835
27-Jul-16,43.58,43.71,42.73,43.10,4105574
26-Jul-16,43.11,43.56,42.83,43.13,2576795
25-Jul-16,42.95,43.34,42.87,43.26,2348609
22-Jul-16,42.59,43.02,42.33,42.93,1841113
21-Jul-16,43.04,43.17,42.64,42.72,2171843
20-Jul-16,43.27,43.28,42.98,43.04,1738256
19-Jul-16,43.10,43.28,42.63,43.28,2744587
18-Jul-16,42.76,43.62,42.59,43.37,5029997
15-Jul-16,42.34,42.51,42.16,42.30,2084823
14-Jul-16,42.17,42.48,42.02,42.18,1952743
13-Jul-16,42.41,42.63,41.86,42.01,2105848
12-Jul-16,41.90,42.64,41.90,42.59,3784562
11-Jul-16,41.79,42.24,41.61,41.98,3540141
8-Jul-16,40.77,41.68,40.73,41.56,4975151
7-Jul-16,40.23,40.59,40.11,40.57,2645930
6-Jul-16,39.93,40.08,39.19,40.02,4786797
5-Jul-16,40.60,40.76,39.88,39.97,3336327
1-Jul-16,40.98,41.30,40.62,40.73,3983230
30-Jun-16,39.90,40.74,39.70,40.74,4164584
29-Jun-16,39.06,39.96,39.03,39.86,3783618
28-Jun-16,37.82,38.82,37.82,38.54,2872681
27-Jun-16,38.02,38.08,36.75,37.41,5156740
24-Jun-16,39.04,39.48,38.26,38.48,5180139
23-Jun-16,40.60,40.86,40.29,40.43,2485846
22-Jun-16,40.36,40.71,40.12,40.29,3126917
21-Jun-16,39.50,40.46,39.48,40.41,5426645
20-Jun-16,39.23,39.76,39.20,39.40,2447386
17-Jun-16,38.25,38.85,38.05,38.84,2908278
16-Jun-16,38.19,38.44,37.86,38.29,2201614
15-Jun-16,37.70,38.64,37.56,38.32,3168631
14-Jun-16,37.63,38.11,37.09,37.45,2304119
13-Jun-16,37.68,38.11,37.54,37.80,2316385
10-Jun-16,38.33,38.39,37.53,37.85,3349645
9-Jun-16,38.78,38.82,37.98,38.64,3928570
8-Jun-16,39.24,39.41,38.94,39.22,1833984
7-Jun-16,38.08,39.26,38.01,39.15,2795163
6-Jun-16,38.81,38.91,38.08,38.38,4065144
3-Jun-16,39.56,39.69,38.70,38.80,4713599
2-Jun-16,39.31,39.87,39.00,39.77,3803975
1-Jun-16,39.41,39.81,38.88,39.34,4196115
31-May-16,39.65,39.87,38.88,39.42,4941826
27-May-16,39.39,39.64,39.17,39.60,2664789
26-May-16,39.80,40.06,39.17,39.33,2751727
25-May-16,39.25,39.61,39.01,39.51,2785031
24-May-16,39.01,39.57,38.97,39.48,2641175
23-May-16,39.06,39.48,38.82,38.88,2836295
20-May-16,38.22,39.23,38.01,39.13,4497695
19-May-16,37.59,38.21,37.51,38.10,3315603
18-May-16,37.73,37.83,37.17,37.38,3189342
17-May-16,37.50,38.21,37.10,37.88,4399329
16-May-16,37.41,37.95,37.13,37.65,3503848
13-May-16,37.74,38.02,36.64,37.30,7709343
