Date,Open,High,Low,Close,Volume
9-Dec-16,157.28,159.83,157.26,159.70,2615294
8-Dec-16,156.64,160.90,156.60,157.59,5504300
7-Dec-16,150.60,153.91,150.48,153.85,2811286
6-Dec-16,151.85,152.08,150.42,151.01,2245402
5-Dec-16,152.09,152.22,150.78,151.77,2432110
2-Dec-16,151.99,152.87,151.43,152.09,1829242
1-Dec-16,150.11,152.88,150.11,151.74,2305596
30-Nov-16,151.13,151.54,150.07,150.11,2750474
29-Nov-16,151.62,152.22,151.33,151.48,1496879
28-Nov-16,151.05,152.43,151.01,151.25,1733530
25-Nov-16,151.89,153.42,151.71,151.88,886780
23-Nov-16,152.75,153.34,151.18,151.60,2166990
22-Nov-16,151.93,153.05,151.21,152.67,1954907
21-Nov-16,150.55,151.29,150.12,151.17,1181701
18-Nov-16,150.84,151.20,149.52,150.36,2020489
17-Nov-16,151.23,151.40,149.55,151.20,2096766
16-Nov-16,152.19,152.55,151.80,152.14,2152344
15-Nov-16,151.98,152.00,150.29,151.15,2799914
14-Nov-16,150.92,152.14,149.50,152.00,3891171
11-Nov-16,146.61,149.62,145.38,149.36,3218641
10-Nov-16,147.06,150.00,146.61,146.70,3944245
9-Nov-16,143.54,147.39,143.54,146.79,3170343
8-Nov-16,143.89,146.63,143.80,146.09,3506032
7-Nov-16,143.38,143.66,142.75,143.54,3010110
4-Nov-16,143.00,145.00,142.11,142.24,2702134
3-Nov-16,146.70,146.70,144.14,144.45,2168211
2-Nov-16,146.43,147.34,146.12,146.27,2260450
1-Nov-16,148.48,148.63,146.38,146.66,2112003
31-Oct-16,148.89,149.35,147.10,147.87,3239395
28-Oct-16,150.44,150.86,149.38,149.76,1843867
27-Oct-16,150.83,151.46,149.82,150.86,1993467
26-Oct-16,150.35,151.41,150.28,150.98,2246137
25-Oct-16,149.90,151.97,149.90,150.99,2060648
24-Oct-16,149.35,152.32,149.29,152.12,2432848
21-Oct-16,149.51,150.29,148.50,148.97,2188029
20-Oct-16,149.85,150.78,149.60,150.04,2251749
19-Oct-16,150.70,151.32,149.31,149.45,1812698
18-Oct-16,149.51,149.62,148.41,149.11,1847783
17-Oct-16,150.08,150.20,148.63,148.70,1988411
14-Oct-16,150.18,151.00,149.28,150.15,1745010
13-Oct-16,149.93,151.34,149.72,150.22,1795261
12-Oct-16,150.97,151.49,150.39,150.46,1664505
11-Oct-16,149.67,151.14,149.52,151.01,2596769
10-Oct-16,150.35,150.85,149.75,150.28,1587748
7-Oct-16,149.77,150.19,148.79,149.99,2282456
6-Oct-16,150.23,150.64,149.00,149.47,2465730
