Date,Open,High,Low,Close,Volume
9-Dec-16,58.24,59.30,58.09,59.11,2790771
8-Dec-16,58.27,58.50,57.85,58.28,1525358
7-Dec-16,57.54,58.69,57.54,58.67,2312934
6-Dec-16,57.69,57.95,57.43,57.63,1394210
5-Dec-16,57.65,57.71,57.09,57.54,2578076
2-Dec-16,57.39,58.20,57.16,57.63,3420496
1-Dec-16,56.62,57.20,56.08,57.15,2439007
30-Nov-16,57.22,57.75,56.82,56.89,2372890
29-Nov-16,57.36,57.80,57.25,57.65,2456451
28-Nov-16,57.25,57.85,57.10,57.37,2552700
25-Nov-16,57.00,57.77,56.96,57.52,1217654
23-Nov-16,56.84,57.65,56.60,56.82,2796291
22-Nov-16,57.16,57.84,56.25,57.02,4060637
21-Nov-16,54.02,55.37,53.84,55.04,2810452
18-Nov-16,54.09,54.35,53.62,54.23,3388548
17-Nov-16,54.07,54.45,53.98,54.22,1543760
16-Nov-16,54.98,55.11,54.28,54.45,1485726
15-Nov-16,54.66,55.21,54.66,54.94,2536234
14-Nov-16,53.26,54.50,52.97,54.48,2761807
11-Nov-16,53.28,53.71,52.73,53.50,3254559
10-Nov-16,54.64,54.77,53.12,53.31,4236937
9-Nov-16,54.42,55.20,52.93,54.96,3349692
8-Nov-16,53.85,56.05,53.83,55.61,3413082
7-Nov-16,52.94,53.87,52.77,53.85,1439389
4-Nov-16,52.75,52.99,52.58,52.61,1297335
3-Nov-16,52.96,53.10,52.64,52.73,1479601
2-Nov-16,53.48,53.65,52.84,52.90,1407353
1-Nov-16,54.40,54.53,53.23,53.41,1990845
31-Oct-16,54.22,54.43,54.04,54.34,1641583
28-Oct-16,53.06,54.58,53.06,54.21,1700353
27-Oct-16,53.64,53.75,52.95,53.00,1407816
26-Oct-16,53.53,53.85,53.29,53.66,925450
25-Oct-16,53.14,53.53,53.07,53.44,1887987
24-Oct-16,53.40,53.84,53.00,53.13,1050250
21-Oct-16,53.08,53.46,52.74,53.31,1101949
20-Oct-16,53.48,53.89,52.95,53.19,2223486
19-Oct-16,54.51,54.51,53.21,53.53,2585567
18-Oct-16,54.10,55.20,53.96,54.41,2846307
17-Oct-16,54.28,54.38,53.51,53.68,2018034
14-Oct-16,54.86,55.01,54.33,54.33,2073314
13-Oct-16,54.13,55.00,54.02,54.86,2101352
12-Oct-16,53.91,54.45,53.78,54.35,1241236
11-Oct-16,54.01,54.06,53.58,53.85,1688607
10-Oct-16,54.00,54.44,53.73,54.15,1871959
7-Oct-16,53.58,53.88,53.24,53.87,1987718
6-Oct-16,53.74,54.18,53.59,53.90,2149179
5-Oct-16,53.65,53.91,53.29,53.74,3162969
4-Oct-16,54.53,54.65,53.60,53.65,2648555
3-Oct-16,54.39,54.76,54.09,54.59,2280872
30-Sep-16,54.68,54.90,54.40,54.70,2026879
29-Sep-16,54.93,55.18,54.37,54.38,1181135
28-Sep-16,54.60,55.01,54.51,54.93,1547491
27-Sep-16,54.90,55.00,54.46,54.61,1464513
26-Sep-16,54.74,54.77,54.37,54.58,1707790
23-Sep-16,55.21,55.46,54.89,54.89,2563277
22-Sep-16,55.86,56.17,55.15,55.39,1598403
21-Sep-16,54.96,55.82,54.74,55.70,1847961
20-Sep-16,55.46,55.73,55.02,55.02,1386969
19-Sep-16,54.99,55.42,54.70,55.31,1701956
16-Sep-16,55.58,55.60,55.06,55.38,3821813
15-Sep-16,55.31,55.81,55.24,55.78,1481523
14-Sep-16,55.47,55.79,55.32,55.49,1784832
13-Sep-16,55.80,56.24,55.37,55.44,2110654
12-Sep-16,54.54,56.05,54.54,55.99,2440195
9-Sep-16,55.72,55.76,54.11,54.95,4382944
8-Sep-16,56.90,57.07,56.08,56.16,2189409
7-Sep-16,57.69,57.89,56.90,57.11,1966002
6-Sep-16,57.68,58.00,57.55,57.70,2145733
2-Sep-16,56.70,58.07,56.70,57.73,3420935
1-Sep-16,57.67,58.45,56.67,56.91,7931620
31-Aug-16,60.80,60.90,60.36,60.72,2213598
30-Aug-16,61.01,61.06,60.35,60.73,1419067
29-Aug-16,60.59,61.20,60.57,61.12,1110405
26-Aug-16,60.98,61.38,60.34,60.48,1212523
25-Aug-16,60.64,61.43,60.47,61.13,1401663
24-Aug-16,60.52,60.89,59.93,60.73,1497110
23-Aug-16,61.22,61.49,60.44,60.45,1405859
22-Aug-16,61.09,61.34,60.89,61.31,870491
