Date,Open,High,Low,Close,Volume
9-Dec-16,61.73,61.91,60.46,60.77,1482393
8-Dec-16,61.16,61.96,61.15,61.90,1355589
7-Dec-16,59.49,61.10,59.28,61.07,1963513
6-Dec-16,59.46,59.97,58.61,59.49,1498878
5-Dec-16,59.65,60.17,59.17,59.61,1157105
2-Dec-16,59.41,59.86,58.72,59.17,1441672
1-Dec-16,60.78,61.00,58.72,59.29,2055926
30-Nov-16,61.64,62.56,60.21,60.63,6654244
29-Nov-16,61.05,62.34,61.05,61.69,1704699
28-Nov-16,61.65,62.00,60.60,60.92,1615007
25-Nov-16,62.04,62.68,61.21,61.56,757682
23-Nov-16,60.73,61.77,60.47,61.66,1842045
22-Nov-16,61.80,61.92,60.51,60.60,2398124
21-Nov-16,62.73,63.34,61.46,61.77,4697303
18-Nov-16,62.45,62.76,61.78,62.20,1063330
17-Nov-16,61.60,62.45,61.45,62.35,1822328
16-Nov-16,61.09,62.14,60.94,61.42,1989002
15-Nov-16,60.54,61.31,60.45,61.18,2208001
14-Nov-16,61.06,61.33,59.96,60.53,2004761
11-Nov-16,59.00,61.04,58.80,60.92,2536303
10-Nov-16,58.98,59.62,58.32,59.00,1987022
9-Nov-16,56.94,58.75,56.27,58.59,1860266
8-Nov-16,57.41,58.30,57.34,57.66,1702076
7-Nov-16,56.41,58.01,56.10,57.58,3153350
4-Nov-16,52.28,56.92,51.68,55.66,4665653
3-Nov-16,53.57,54.10,53.27,53.48,2066890
2-Nov-16,53.32,53.67,52.60,53.25,1842462
1-Nov-16,54.60,54.68,52.93,53.27,1823114
31-Oct-16,54.91,55.25,54.32,54.45,1310010
28-Oct-16,54.50,55.16,54.50,54.86,1673619
27-Oct-16,55.40,55.64,54.08,54.48,2529233
26-Oct-16,55.64,56.07,55.05,55.40,1650442
25-Oct-16,56.25,56.26,55.23,55.84,1934382
24-Oct-16,56.94,56.94,55.55,56.21,1584967
21-Oct-16,55.08,55.65,54.61,55.49,1649573
20-Oct-16,55.55,55.98,55.22,55.46,2721460
19-Oct-16,54.82,55.81,54.60,55.56,2133540
18-Oct-16,54.43,54.88,53.78,54.70,1754453
17-Oct-16,54.20,54.55,53.59,53.85,1648410
14-Oct-16,53.33,54.56,52.99,54.19,2608602
13-Oct-16,51.79,53.28,51.22,52.94,2265131
12-Oct-16,50.62,51.69,50.41,51.48,1500453
11-Oct-16,51.15,51.44,50.48,50.50,1239955
10-Oct-16,50.98,51.63,50.98,51.08,821174
7-Oct-16,51.53,51.68,50.68,50.84,2195012
6-Oct-16,51.47,51.86,51.27,51.73,1681100
5-Oct-16,51.75,52.11,51.59,51.63,763367
4-Oct-16,51.83,52.17,51.05,51.45,1220507
3-Oct-16,51.93,52.38,51.68,51.87,1486056
30-Sep-16,52.20,52.95,52.04,52.21,1888253
29-Sep-16,52.94,53.46,51.90,52.25,1131218
28-Sep-16,51.99,52.99,51.63,52.90,1526766
27-Sep-16,51.54,52.13,51.20,52.10,1057872
26-Sep-16,51.08,51.70,50.43,51.56,2479437
23-Sep-16,51.40,51.90,51.21,51.57,1472219
22-Sep-16,51.64,52.04,51.49,51.87,1393692
21-Sep-16,50.14,51.40,49.80,51.36,2135058
20-Sep-16,50.36,50.50,49.28,49.31,1283377
19-Sep-16,49.12,50.89,49.12,49.79,2699067
16-Sep-16,48.32,48.96,47.46,48.89,2700007
15-Sep-16,46.40,49.00,46.27,48.46,2635709
14-Sep-16,45.76,46.32,45.62,46.30,1407939
13-Sep-16,46.84,46.88,45.55,45.83,1328400
12-Sep-16,46.20,47.33,46.20,47.19,2339385
9-Sep-16,46.76,46.86,46.23,46.42,1453927
8-Sep-16,47.63,47.68,46.97,47.10,1382992
7-Sep-16,47.95,48.06,47.72,47.74,1594593
6-Sep-16,49.40,49.40,47.94,48.00,1110849
2-Sep-16,47.99,49.28,47.96,49.08,1765765
1-Sep-16,47.09,48.37,46.87,47.63,2020134
31-Aug-16,46.63,47.10,46.17,47.04,1174075
30-Aug-16,46.73,46.80,46.33,46.80,936856
29-Aug-16,45.92,46.97,45.92,46.61,838514
26-Aug-16,47.08,47.13,46.06,46.11,720215
25-Aug-16,46.67,47.12,46.38,46.96,915950
24-Aug-16,47.34,47.35,46.46,46.80,1497691
23-Aug-16,47.07,47.43,46.87,47.35,1568331
22-Aug-16,45.93,46.78,45.83,46.78,1291025
19-Aug-16,45.67,46.08,45.65,46.04,1597921
18-Aug-16,45.74,46.10,45.37,45.76,2591694
17-Aug-16,46.61,46.63,45.55,45.74,1129543
16-Aug-16,47.10,47.30,46.49,46.77,1961697
15-Aug-16,46.68,47.45,46.68,47.35,1511483
12-Aug-16,46.78,47.22,46.56,46.69,1739886
11-Aug-16,46.89,47.24,46.54,47.03,1119244
10-Aug-16,47.63,47.70,46.25,46.84,1798888
9-Aug-16,48.00,49.20,47.24,47.76,3560216
8-Aug-16,48.47,48.47,47.70,48.02,1271611
5-Aug-16,48.00,48.77,47.64,48.52,773920
4-Aug-16,47.57,48.00,47.56,47.99,817572
3-Aug-16,47.56,48.12,47.30,47.64,1064023
2-Aug-16,47.87,47.88,47.31,47.59,1098751
1-Aug-16,47.84,48.26,47.53,47.84,702364
29-Jul-16,47.73,48.28,47.21,47.83,1692792
28-Jul-16,47.99,48.14,47.69,47.70,733314
27-Jul-16,48.45,48.45,47.82,48.05,690049
26-Jul-16,48.00,48.26,47.77,48.12,850690
25-Jul-16,47.99,48.00,47.76,47.96,644862
22-Jul-16,47.70,48.08,47.37,47.96,804814
21-Jul-16,48.38,48.62,47.61,47.76,1551413
20-Jul-16,48.55,48.85,48.10,48.55,1394220
19-Jul-16,48.64,48.77,47.79,48.22,1989644
18-Jul-16,48.54,48.88,48.54,48.63,575474
15-Jul-16,48.82,49.18,48.39,48.61,1198657
14-Jul-16,49.15,49.33,48.51,48.98,1283334
13-Jul-16,49.40,49.61,48.68,48.69,1395005
12-Jul-16,50.01,50.18,49.10,49.17,1588614
11-Jul-16,49.71,49.95,49.45,49.62,1089472
8-Jul-16,49.34,50.00,49.03,49.54,870188
7-Jul-16,49.19,49.36,48.58,48.80,1437309
6-Jul-16,48.58,49.13,48.24,48.99,1821567
5-Jul-16,49.10,49.42,48.59,48.92,1072506
1-Jul-16,49.58,49.72,49.19,49.43,1077381
30-Jun-16,48.56,49.65,48.56,49.65,2044539
29-Jun-16,48.18,48.73,47.90,48.53,2499036
28-Jun-16,47.38,47.72,47.17,47.59,1722745
27-Jun-16,48.65,48.76,46.86,46.87,3007883
24-Jun-16,50.07,50.46,49.41,49.48,4847079
23-Jun-16,51.58,51.85,51.31,51.81,1456138
22-Jun-16,51.36,51.36,50.89,51.00,1120356
21-Jun-16,51.19,51.38,50.87,51.13,1597402
20-Jun-16,50.97,51.49,50.94,51.13,1925505
17-Jun-16,50.77,50.80,50.16,50.30,2046400
16-Jun-16,51.14,51.27,50.76,51.00,2422822
15-Jun-16,51.73,52.11,51.39,51.67,1219563
14-Jun-16,51.40,51.89,51.20,51.69,1459537
13-Jun-16,51.34,51.79,51.10,51.56,1432425
10-Jun-16,51.79,51.88,51.39,51.65,1387418
9-Jun-16,52.15,52.55,52.05,52.50,1905035
8-Jun-16,51.71,52.42,51.57,52.42,2325281
7-Jun-16,51.50,52.02,51.26,51.71,2016377
6-Jun-16,50.80,51.66,50.74,51.63,2140695
3-Jun-16,50.08,50.87,49.83,50.86,2003885
2-Jun-16,48.91,50.45,48.74,50.43,2246059
1-Jun-16,48.82,49.18,48.72,48.99,1721331
31-May-16,49.24,49.50,49.02,49.20,2564177
27-May-16,48.13,49.36,48.02,49.24,3099253
26-May-16,50.54,51.10,48.08,48.19,10604239
25-May-16,47.41,50.90,46.60,50.65,21567798
24-May-16,35.08,36.02,35.08,35.65,2605379
23-May-16,34.98,35.15,34.78,35.00,913777
20-May-16,34.47,35.06,34.45,35.01,1395508
19-May-16,34.15,34.70,34.11,34.44,1038646
18-May-16,34.01,34.41,33.88,34.18,704600
17-May-16,34.42,34.65,33.93,34.01,1090010
16-May-16,33.84,34.65,33.84,34.39,1315087
13-May-16,33.74,34.04,33.53,33.83,793162
12-May-16,33.96,33.96,33.34,33.72,917728
11-May-16,34.00,34.19,33.65,33.76,926694
10-May-16,33.76,34.12,33.59,34.11,930064
9-May-16,33.61,33.88,33.46,33.58,727594
6-May-16,32.84,33.57,32.67,33.54,624388
5-May-16,32.63,33.34,32.61,33.05,1082567
4-May-16,32.89,32.98,32.62,32.70,796102
3-May-16,33.33,33.37,32.77,33.05,798371
2-May-16,33.16,33.53,33.04,33.52,854585
29-Apr-16,33.28,33.28,32.51,33.13,1189109
28-Apr-16,33.47,33.88,33.26,33.32,798438
27-Apr-16,33.27,33.62,33.05,33.57,864740
26-Apr-16,33.07,33.50,32.92,33.28,842555
25-Apr-16,33.03,33.35,32.80,33.02,1390989
22-Apr-16,32.98,33.29,32.93,33.24,1563810
21-Apr-16,33.04,33.37,32.91,33.08,991314
20-Apr-16,33.14,33.43,32.97,33.14,1796558
19-Apr-16,33.43,33.79,32.92,33.07,1334092
18-Apr-16,33.19,33.50,32.96,33.41,1892058
15-Apr-16,33.54,33.79,33.39,33.43,914332
14-Apr-16,33.26,33.67,33.21,33.44,521116
13-Apr-16,32.87,33.32,32.64,33.32,1094070
12-Apr-16,33.13,33.50,32.94,33.20,721488
11-Apr-16,33.51,33.75,33.08,33.12,551675
8-Apr-16,33.23,33.51,33.08,33.32,668708
7-Apr-16,33.40,33.42,32.72,32.97,934313
6-Apr-16,33.21,33.52,33.06,33.50,623541
5-Apr-16,33.47,33.63,33.17,33.21,1198516
4-Apr-16,34.31,34.39,33.57,33.70,1301264
1-Apr-16,34.08,34.30,33.67,34.27,1561641
31-Mar-16,34.03,34.49,33.90,34.39,1179953
30-Mar-16,33.61,34.19,33.56,34.03,1549206
29-Mar-16,32.30,33.53,32.25,33.48,3250743
28-Mar-16,31.96,32.64,31.83,32.36,1704157
24-Mar-16,31.48,31.87,31.40,31.86,621269
23-Mar-16,31.56,31.90,31.43,31.65,730063
22-Mar-16,31.51,31.73,31.41,31.60,706080
21-Mar-16,31.35,31.65,31.32,31.58,697187
18-Mar-16,31.56,31.77,31.27,31.44,1226485
17-Mar-16,30.91,31.68,30.85,31.59,791852
16-Mar-16,30.81,30.94,30.47,30.89,807236
15-Mar-16,30.49,30.98,30.41,30.90,1164079
14-Mar-16,30.54,30.85,29.98,30.63,843572
11-Mar-16,30.33,30.79,30.31,30.56,806402
10-Mar-16,30.37,30.73,29.66,30.10,1186321
9-Mar-16,30.25,30.39,30.02,30.31,1081049
8-Mar-16,30.53,30.70,29.76,30.03,2040469
7-Mar-16,30.44,30.90,30.27,30.70,1164249
4-Mar-16,30.76,30.79,30.25,30.51,1354759
3-Mar-16,30.25,30.78,30.07,30.77,1388299
2-Mar-16,29.75,30.24,29.61,30.22,1729367
1-Mar-16,29.03,30.00,28.88,29.75,3197307
29-Feb-16,28.44,29.10,28.13,28.81,2178905
26-Feb-16,28.07,28.62,27.65,28.53,2055749
25-Feb-16,27.82,27.92,27.34,27.88,2222361
24-Feb-16,27.10,27.89,27.10,27.79,2157441
23-Feb-16,27.75,28.10,27.61,27.68,1628462
22-Feb-16,27.82,28.10,27.46,27.78,1386411
19-Feb-16,27.20,27.54,26.91,27.45,1874277
18-Feb-16,27.95,28.03,27.38,27.53,2042983
17-Feb-16,27.78,28.06,27.34,28.02,1802473
16-Feb-16,28.10,28.40,27.56,27.64,2124462
12-Feb-16,27.25,27.75,26.91,27.62,2126579
11-Feb-16,27.23,27.95,26.74,27.05,4211233
10-Feb-16,24.27,28.19,24.27,27.72,6942119
9-Feb-16,30.41,31.16,30.39,30.80,2779382
8-Feb-16,30.75,30.88,30.17,30.70,2896816
5-Feb-16,31.86,32.08,31.45,31.49,2333443
4-Feb-16,31.24,32.15,31.24,31.91,1488673
3-Feb-16,31.56,31.75,30.75,31.28,1859420
2-Feb-16,31.51,31.86,31.18,31.31,1880951
1-Feb-16,31.90,32.03,31.58,31.74,1818400
29-Jan-16,30.93,32.08,30.92,32.07,1736381
28-Jan-16,30.82,31.08,30.45,30.76,1240402
27-Jan-16,30.23,31.23,30.18,30.37,1880968
26-Jan-16,29.82,30.48,29.74,30.27,1268587
25-Jan-16,30.31,30.49,29.61,29.79,2071031
22-Jan-16,29.35,30.40,29.35,30.36,3273044
21-Jan-16,29.19,29.45,28.76,28.81,2915706
20-Jan-16,28.32,29.62,28.15,29.22,2067904
19-Jan-16,29.40,29.47,28.71,28.88,1596216
15-Jan-16,28.58,29.12,28.40,29.06,1535090
14-Jan-16,29.00,29.72,28.59,29.46,1573576
13-Jan-16,29.97,30.04,28.68,28.82,1773931
12-Jan-16,29.80,30.00,29.34,29.81,1705807
11-Jan-16,29.53,29.71,29.09,29.57,1941693
8-Jan-16,30.44,30.55,29.46,29.50,2018037
7-Jan-16,30.17,30.76,30.13,30.32,1430590
6-Jan-16,30.61,30.95,30.55,30.74,1719777
5-Jan-16,31.22,31.69,30.96,31.05,2930851
4-Jan-16,31.86,32.16,31.31,31.64,2683546
31-Dec-15,32.95,33.11,32.47,32.68,1439769
30-Dec-15,33.15,33.40,33.01,33.12,1238143
29-Dec-15,33.05,33.66,33.02,33.15,1553362
28-Dec-15,33.09,33.14,32.59,33.06,995127
24-Dec-15,33.00,33.28,32.98,33.17,736206
23-Dec-15,32.25,33.21,32.20,33.04,2003166
22-Dec-15,32.22,32.47,32.10,32.22,1848819
21-Dec-15,31.62,32.36,31.49,32.25,4134099
18-Dec-15,31.28,31.74,31.02,31.51,6667997
17-Dec-15,31.33,31.92,31.06,31.38,4680223
16-Dec-15,30.60,31.48,30.28,31.37,3257331
15-Dec-15,30.22,30.63,29.95,30.31,2727758
14-Dec-15,29.89,30.21,29.51,29.92,2383192
