Date,Open,High,Low,Close,Volume
9-Dec-16,29.98,30.07,29.73,30.06,21361984
8-Dec-16,30.11,30.33,29.92,29.95,21369897
7-Dec-16,29.48,30.04,29.32,29.95,30180093
6-Dec-16,29.42,29.59,29.24,29.33,27352068
5-Dec-16,29.33,29.60,29.29,29.53,20865842
2-Dec-16,29.31,29.56,29.12,29.25,27069499
1-Dec-16,29.84,29.85,29.40,29.45,25996185
30-Nov-16,29.76,29.95,29.68,29.82,26224892
29-Nov-16,29.94,30.10,29.79,29.83,23553735
28-Nov-16,30.08,30.09,29.82,29.92,21468918
25-Nov-16,29.60,30.14,29.55,30.09,17678862
23-Nov-16,29.83,29.95,29.56,29.71,24496763
22-Nov-16,30.08,30.19,29.85,29.89,26769272
21-Nov-16,30.30,30.33,30.01,30.05,27481710
18-Nov-16,30.11,30.36,30.00,30.18,38748563
17-Nov-16,29.91,30.05,29.61,30.05,75252307
16-Nov-16,31.62,31.89,31.51,31.57,27097140
15-Nov-16,31.27,31.85,31.27,31.70,24160155
14-Nov-16,31.43,31.67,31.35,31.37,22917565
11-Nov-16,30.93,31.47,30.92,31.36,23150319
10-Nov-16,31.41,31.76,30.81,31.00,38345220
9-Nov-16,31.04,31.49,30.70,31.36,38564143
8-Nov-16,30.94,31.20,30.72,31.00,19399814
7-Nov-16,30.71,31.06,30.61,30.94,23061116
4-Nov-16,29.98,30.50,29.63,30.19,18524002
3-Nov-16,30.50,30.56,30.24,30.32,15937140
2-Nov-16,30.43,30.68,30.23,30.39,19173984
1-Nov-16,30.85,30.86,30.23,30.48,17542055
31-Oct-16,30.34,30.77,30.32,30.68,23225406
28-Oct-16,30.36,30.80,30.35,30.59,19946832
27-Oct-16,30.60,30.67,30.36,30.38,16926192
26-Oct-16,30.59,30.86,30.32,30.55,18008646
25-Oct-16,30.50,30.51,30.23,30.34,15257768
24-Oct-16,30.34,30.50,30.30,30.46,14115340
21-Oct-16,30.01,30.20,29.92,30.15,15140452
20-Oct-16,30.28,30.37,30.04,30.16,17315335
19-Oct-16,30.44,30.45,30.19,30.35,14830895
18-Oct-16,30.69,30.69,30.43,30.44,14444850
17-Oct-16,30.13,30.42,30.10,30.22,13957529
14-Oct-16,30.35,30.55,30.16,30.18,20545127
13-Oct-16,30.09,30.25,29.86,30.17,24286555
12-Oct-16,30.53,30.63,29.94,30.34,36899871
11-Oct-16,31.52,31.53,30.85,31.04,19412018
10-Oct-16,31.54,31.68,31.44,31.47,12759374
7-Oct-16,31.48,31.60,31.23,31.47,13073224
6-Oct-16,31.57,31.63,31.21,31.48,14077118
5-Oct-16,31.41,31.68,31.41,31.59,11808636
4-Oct-16,31.46,31.63,31.15,31.35,18460433
3-Oct-16,31.31,31.58,31.20,31.50,14070450
30-Sep-16,31.61,31.80,31.56,31.72,30380612
29-Sep-16,31.51,31.57,31.25,31.39,15417082
28-Sep-16,31.44,31.59,31.36,31.50,15840958
27-Sep-16,31.09,31.61,30.96,31.48,18045376
26-Sep-16,31.10,31.16,30.79,31.07,20361549
23-Sep-16,31.71,31.80,31.31,31.34,20442199
22-Sep-16,31.50,31.80,31.49,31.66,20261859
21-Sep-16,31.11,31.38,30.97,31.36,21169350
20-Sep-16,31.08,31.22,31.04,31.10,15878912
19-Sep-16,30.85,31.25,30.82,31.02,16833453
16-Sep-16,31.12,31.14,30.70,30.84,37416316
15-Sep-16,30.63,31.39,30.61,31.31,26021227
14-Sep-16,31.01,31.22,30.80,31.00,24356477
13-Sep-16,31.26,31.35,30.90,31.06,23617915
12-Sep-16,30.61,31.50,30.60,31.44,22612518
9-Sep-16,31.14,31.34,30.85,30.85,25450499
