Date,Open,High,Low,Close,Volume
9-Dec-16,37.20,37.42,36.92,37.27,5703936
8-Dec-16,37.13,37.32,36.78,37.22,6643405
7-Dec-16,36.03,37.15,35.86,37.13,12752830
6-Dec-16,36.24,36.40,35.84,36.05,12799080
5-Dec-16,36.69,36.72,36.30,36.53,12168744
2-Dec-16,36.68,36.69,36.19,36.48,15058018
1-Dec-16,36.07,36.86,36.03,36.62,12083268
30-Nov-16,35.39,36.09,35.35,35.81,11318035
29-Nov-16,34.64,35.19,34.48,34.80,5548572
28-Nov-16,34.79,34.95,34.44,34.67,6822762
25-Nov-16,35.00,35.23,34.83,35.19,2516480
23-Nov-16,35.03,35.22,34.82,34.93,5466012
22-Nov-16,34.61,35.06,34.59,35.02,8761090
21-Nov-16,34.01,34.80,34.01,34.61,7400690
18-Nov-16,33.89,34.14,33.82,34.00,8719796
17-Nov-16,33.91,34.09,33.79,33.96,10944800
16-Nov-16,34.48,34.48,33.83,33.87,12210449
15-Nov-16,34.65,34.77,33.98,34.53,9680461
14-Nov-16,34.72,35.12,34.54,34.78,11102255
11-Nov-16,34.21,34.61,34.06,34.58,12421999
10-Nov-16,34.06,34.75,33.94,34.53,15571903
9-Nov-16,32.40,34.28,32.39,33.88,23753045
8-Nov-16,32.06,32.14,31.63,32.07,10589085
7-Nov-16,31.30,32.07,31.30,32.05,10621664
4-Nov-16,30.94,31.38,30.92,30.92,9336851
3-Nov-16,30.86,31.21,30.64,31.13,12008472
2-Nov-16,30.53,30.88,30.43,30.74,10859406
1-Nov-16,30.64,30.76,30.15,30.41,6559946
31-Oct-16,30.46,30.86,30.38,30.51,5869600
28-Oct-16,30.22,30.68,30.01,30.28,6987267
27-Oct-16,30.40,30.46,30.22,30.31,5938601
26-Oct-16,30.79,30.83,30.34,30.38,8839781
25-Oct-16,30.32,31.02,30.16,30.85,8970343
24-Oct-16,30.56,30.70,30.38,30.41,8805299
21-Oct-16,30.12,30.39,30.04,30.29,7414486
20-Oct-16,30.83,30.94,30.22,30.34,13692057
19-Oct-16,30.51,31.28,30.51,31.07,6244645
18-Oct-16,31.35,31.44,30.95,31.02,6884503
17-Oct-16,31.03,31.20,30.82,31.01,6586874
14-Oct-16,31.45,31.73,31.01,31.02,9925996
13-Oct-16,30.63,31.28,30.26,31.15,15005821
12-Oct-16,30.43,30.44,30.11,30.21,12394219
11-Oct-16,30.81,30.82,30.30,30.47,9900627
10-Oct-16,31.10,31.31,30.76,30.83,9235919
7-Oct-16,30.97,31.15,30.82,31.05,10591620
6-Oct-16,30.78,31.16,30.60,31.06,13303389
5-Oct-16,30.36,30.77,30.24,30.71,5291769
