Date,Open,High,Low,Close,Volume
20-Jun-16,34.88,34.89,34.87,34.87,2502299
17-Jun-16,34.87,34.91,34.87,34.88,7585870
16-Jun-16,34.88,34.89,34.87,34.87,7247900
15-Jun-16,34.73,34.89,34.73,34.86,5933573
14-Jun-16,34.76,34.80,34.71,34.73,3285458
13-Jun-16,34.68,34.79,34.68,34.77,2835164
10-Jun-16,34.70,34.74,34.66,34.68,1658226
9-Jun-16,34.65,34.73,34.65,34.70,2072884
8-Jun-16,34.64,34.75,34.63,34.66,2470522
7-Jun-16,34.66,34.69,34.62,34.63,1963549
6-Jun-16,34.66,34.72,34.64,34.66,3725496
3-Jun-16,34.73,34.75,34.64,34.65,1994872
2-Jun-16,34.72,34.76,34.70,34.74,2744146
1-Jun-16,34.67,34.75,34.67,34.72,2315836
31-May-16,34.68,34.71,34.61,34.68,2529848
27-May-16,34.63,34.69,34.62,34.67,1502157
26-May-16,34.64,34.69,34.61,34.62,1741474
25-May-16,34.62,34.69,34.60,34.64,2790339
24-May-16,34.62,34.69,34.58,34.61,1515935
23-May-16,34.64,34.68,34.58,34.58,2493152
20-May-16,34.55,34.71,34.44,34.64,5754515
19-May-16,34.44,34.63,34.44,34.50,2858005
18-May-16,34.38,34.65,34.35,34.54,6002799
17-May-16,34.47,34.64,34.36,34.39,4996217
16-May-16,34.51,34.54,34.30,34.46,4562401
13-May-16,34.55,34.64,34.55,34.60,3001660
12-May-16,34.60,34.64,34.53,34.56,2073828
11-May-16,34.56,34.61,34.46,34.61,3584356
10-May-16,34.65,34.70,34.57,34.64,3592466
9-May-16,34.50,34.62,34.50,34.60,2251366
6-May-16,34.53,34.60,34.50,34.50,4851662
5-May-16,34.38,34.66,34.28,34.57,8098330
4-May-16,34.35,34.50,34.29,34.45,6693369
3-May-16,33.62,34.09,33.58,33.83,4488424
2-May-16,33.35,33.67,33.25,33.65,2690194
29-Apr-16,33.32,33.54,33.20,33.39,2264391
28-Apr-16,33.30,33.52,33.27,33.38,1959857
27-Apr-16,33.56,33.58,33.17,33.45,2489891
26-Apr-16,33.66,33.72,33.44,33.46,2613038
25-Apr-16,33.62,33.85,33.55,33.77,2538150
22-Apr-16,33.55,33.68,33.45,33.63,2680244
21-Apr-16,33.58,33.67,33.41,33.51,4698952
20-Apr-16,33.60,33.62,33.53,33.56,1980627
19-Apr-16,33.63,33.67,33.55,33.56,2486934
18-Apr-16,33.53,33.72,33.50,33.58,1969631
15-Apr-16,33.00,34.05,33.00,33.59,9280661
14-Apr-16,32.97,33.10,32.94,32.95,4207796
13-Apr-16,33.00,33.10,32.94,32.97,2663183
12-Apr-16,33.00,33.04,32.94,33.00,1815296
11-Apr-16,32.99,33.08,32.92,32.92,2221622
8-Apr-16,32.81,32.96,32.72,32.93,1657275
7-Apr-16,32.85,32.92,32.72,32.76,3122950
6-Apr-16,32.70,32.98,32.68,32.94,1613614
5-Apr-16,32.93,32.96,32.63,32.65,4267599
4-Apr-16,32.96,33.01,32.90,32.97,1934917
1-Apr-16,33.00,33.06,32.87,32.95,2287191
31-Mar-16,33.04,33.07,32.86,33.00,1876882
30-Mar-16,33.00,33.04,32.84,33.00,1980587
29-Mar-16,33.04,33.09,32.89,32.98,3053177
28-Mar-16,33.03,33.18,32.96,33.01,1594896
24-Mar-16,32.95,33.04,32.88,32.96,2599156
23-Mar-16,32.95,33.05,32.90,32.98,1783780
22-Mar-16,33.01,33.04,32.86,32.95,1019682
21-Mar-16,32.94,33.10,32.75,32.99,1752821
18-Mar-16,33.00,33.12,32.75,32.79,7266990
17-Mar-16,33.05,33.19,32.95,33.00,1689367
16-Mar-16,32.95,33.23,32.95,33.05,1548564
15-Mar-16,32.75,33.20,32.73,32.95,2047999
14-Mar-16,32.61,33.02,32.57,32.85,2328638
11-Mar-16,33.15,33.19,32.88,32.89,2234214
10-Mar-16,33.37,33.41,32.98,33.04,3841955
9-Mar-16,33.30,33.31,33.11,33.28,2097849
8-Mar-16,32.86,33.32,32.86,33.25,2133544
7-Mar-16,33.10,33.32,33.02,33.30,2048573
4-Mar-16,33.35,33.45,33.19,33.28,2136739
3-Mar-16,32.81,33.30,32.81,33.25,2800367
2-Mar-16,32.69,32.92,32.57,32.91,1866990
1-Mar-16,32.70,32.75,32.53,32.70,2211151
29-Feb-16,32.51,32.76,32.40,32.53,2659492
26-Feb-16,32.38,32.74,32.36,32.51,2428215
25-Feb-16,32.53,32.63,32.25,32.45,1790883
24-Feb-16,32.34,32.50,32.09,32.37,1866127
23-Feb-16,32.51,32.74,32.08,32.38,1787395
22-Feb-16,32.43,32.60,32.41,32.53,1442559
19-Feb-16,32.35,32.66,32.35,32.44,1588989
18-Feb-16,32.60,32.60,32.27,32.41,1634662
17-Feb-16,32.84,33.00,32.47,32.55,2311838
16-Feb-16,32.50,32.72,32.29,32.69,1655243
12-Feb-16,32.28,32.47,32.00,32.43,1520494
11-Feb-16,31.94,32.25,31.86,32.03,2629847
10-Feb-16,31.85,32.35,31.65,32.23,3029637
9-Feb-16,31.52,31.97,31.42,31.62,2924531
8-Feb-16,31.60,31.82,31.33,31.76,4892592
5-Feb-16,31.97,32.12,31.62,31.68,1881699
4-Feb-16,31.96,32.28,31.77,31.97,1547177
3-Feb-16,31.96,32.05,31.41,32.02,2062748
2-Feb-16,32.00,32.08,31.75,31.91,2925641
1-Feb-16,31.87,32.27,31.58,32.20,1827629
29-Jan-16,31.79,31.99,31.68,31.91,1962433
28-Jan-16,31.15,31.92,31.15,31.61,2166205
27-Jan-16,31.21,31.37,30.88,31.03,2732499
26-Jan-16,31.15,31.50,31.15,31.27,2126633
25-Jan-16,31.44,31.45,31.03,31.10,1316023
22-Jan-16,31.56,31.68,31.08,31.35,1928545
21-Jan-16,31.27,31.74,31.19,31.32,1781718
20-Jan-16,31.12,31.50,30.65,31.34,5637128
19-Jan-16,30.90,31.47,30.88,31.33,2831359
15-Jan-16,30.73,31.04,30.65,30.95,4541423
14-Jan-16,30.98,31.56,30.76,31.20,3885049
13-Jan-16,31.40,31.50,30.69,30.81,4135588
12-Jan-16,30.90,31.47,30.85,31.46,2701739
11-Jan-16,31.13,31.24,30.53,30.78,3207579
8-Jan-16,31.50,31.95,30.99,31.01,6924091
7-Jan-16,31.36,31.80,31.26,31.41,3458380
6-Jan-16,31.36,31.84,31.30,31.59,3721474
