Date,Open,High,Low,Close,Volume
9-Dec-16,89.57,91.23,89.46,91.14,872381
8-Dec-16,88.89,89.96,88.89,89.68,923289
7-Dec-16,88.64,89.12,87.83,88.71,822896
6-Dec-16,88.33,88.99,87.95,88.67,629251
5-Dec-16,88.04,88.49,87.58,88.32,753274
2-Dec-16,87.34,88.83,87.34,88.00,1034076
1-Dec-16,87.39,87.98,86.89,87.45,975804
30-Nov-16,88.56,89.16,87.43,87.46,1422105
29-Nov-16,88.51,89.13,88.23,88.75,844426
28-Nov-16,88.07,88.48,87.77,88.23,1172217
25-Nov-16,87.93,88.34,87.79,88.32,531249
23-Nov-16,86.24,87.88,86.11,87.82,925361
22-Nov-16,87.29,87.59,86.43,86.64,1385577
21-Nov-16,85.66,87.48,85.52,87.29,1602120
18-Nov-16,85.68,86.04,85.24,85.54,2543988
17-Nov-16,84.74,85.89,84.58,85.79,1336293
16-Nov-16,85.05,85.57,84.47,84.69,1116875
15-Nov-16,85.05,85.55,84.77,85.20,1801438
14-Nov-16,83.24,85.62,83.03,85.10,3625311
11-Nov-16,81.37,82.00,80.83,81.46,1543482
10-Nov-16,80.98,81.78,80.52,81.51,1874601
9-Nov-16,82.30,83.00,79.28,80.42,2424793
8-Nov-16,82.40,83.74,82.02,83.52,969705
7-Nov-16,82.20,82.70,81.77,82.47,1115579
4-Nov-16,81.33,81.68,80.94,81.22,1289309
3-Nov-16,81.22,82.07,81.10,81.30,1323161
2-Nov-16,80.59,82.16,80.59,80.98,1034195
1-Nov-16,81.66,81.66,79.64,80.53,1144640
31-Oct-16,80.74,81.50,80.56,81.44,1315520
28-Oct-16,79.65,80.98,79.12,80.44,1048611
27-Oct-16,80.47,80.67,79.64,79.93,1303134
26-Oct-16,82.66,83.00,79.75,80.15,2074390
25-Oct-16,83.81,83.90,82.55,83.17,1066395
24-Oct-16,84.40,84.40,83.55,83.67,744062
21-Oct-16,84.24,84.27,83.49,83.69,661731
20-Oct-16,82.66,84.85,82.29,84.57,1784619
19-Oct-16,83.74,84.01,82.70,82.98,1494227
18-Oct-16,83.80,84.40,83.68,83.70,1029809
17-Oct-16,83.12,83.62,82.98,83.04,639860
14-Oct-16,83.69,83.93,83.17,83.17,581437
