Date,Open,High,Low,Close,Volume
9-Dec-16,122.89,124.16,121.76,123.36,287356
8-Dec-16,124.32,124.62,123.04,123.27,240015
7-Dec-16,121.77,123.91,120.97,123.83,229320
6-Dec-16,122.82,122.87,121.10,121.41,237921
5-Dec-16,122.54,123.40,122.41,122.69,184789
2-Dec-16,120.80,122.59,120.71,121.60,238484
1-Dec-16,121.73,121.74,120.06,120.90,245279
30-Nov-16,123.36,124.75,121.67,121.72,264790
29-Nov-16,122.70,123.53,121.59,123.10,261381
28-Nov-16,122.82,123.55,121.61,122.33,232038
25-Nov-16,124.14,124.15,123.06,123.31,77805
23-Nov-16,123.31,124.48,122.33,123.89,274893
22-Nov-16,122.29,123.98,122.23,123.55,336173
21-Nov-16,122.00,122.84,121.04,122.49,228559
18-Nov-16,121.63,123.05,121.26,121.87,346195
17-Nov-16,118.76,121.69,118.47,121.62,364462
16-Nov-16,116.74,118.32,115.43,118.25,318023
15-Nov-16,116.44,117.07,115.65,116.94,310972
14-Nov-16,117.39,117.95,115.52,116.07,255310
11-Nov-16,115.18,117.49,115.18,117.24,381885
10-Nov-16,117.67,118.97,115.56,115.60,346975
9-Nov-16,117.19,119.68,116.79,117.40,325819
8-Nov-16,118.54,119.51,116.92,118.73,257760
7-Nov-16,118.50,118.72,117.21,118.48,291358
4-Nov-16,116.98,118.57,116.25,116.29,218319
3-Nov-16,118.52,118.89,117.13,117.22,294691
2-Nov-16,123.00,123.99,117.61,118.95,468603
1-Nov-16,125.23,125.23,122.24,123.60,551125
31-Oct-16,124.39,126.08,124.00,124.85,189576
28-Oct-16,123.92,125.23,123.19,123.83,126159
27-Oct-16,125.81,125.81,123.32,123.94,170663
26-Oct-16,125.10,126.48,124.24,125.17,118781
25-Oct-16,126.00,126.26,124.75,125.79,134553
24-Oct-16,125.38,127.40,125.38,126.28,128509
21-Oct-16,124.86,125.35,123.92,125.25,134967
20-Oct-16,124.78,125.48,123.81,125.25,255248
19-Oct-16,125.77,126.52,124.96,125.22,173340
18-Oct-16,126.54,127.13,125.24,125.71,142976
17-Oct-16,126.08,126.43,125.17,125.29,183723
14-Oct-16,126.79,127.64,125.74,126.25,158277
13-Oct-16,127.06,127.39,125.60,126.24,160591
12-Oct-16,127.73,128.57,127.31,128.28,288371
11-Oct-16,129.53,129.53,126.75,127.56,338290
10-Oct-16,130.88,131.75,130.17,130.26,220059
7-Oct-16,132.25,132.25,129.90,130.46,150632
6-Oct-16,132.59,132.84,131.88,132.30,207182
5-Oct-16,133.75,134.26,132.82,133.04,147196
4-Oct-16,135.33,135.99,133.03,133.54,143555
3-Oct-16,136.27,136.94,135.27,135.52,182090
30-Sep-16,135.82,137.58,134.88,136.62,224088
29-Sep-16,135.95,136.49,134.70,134.72,193782
28-Sep-16,135.16,136.13,134.22,135.92,118180
27-Sep-16,134.09,135.62,133.87,135.05,200773
26-Sep-16,134.61,135.33,134.00,134.17,166819
23-Sep-16,135.36,135.76,134.57,135.17,163053
22-Sep-16,134.90,136.06,134.29,135.65,155252
21-Sep-16,133.64,134.04,132.14,133.82,174803
20-Sep-16,134.48,134.54,132.66,132.89,192100
19-Sep-16,134.47,135.46,133.31,133.46,179565
16-Sep-16,134.36,134.60,132.81,133.82,238823
15-Sep-16,133.79,135.50,133.13,135.36,119738
14-Sep-16,134.50,135.89,133.34,133.82,141173
13-Sep-16,134.39,135.25,133.29,134.66,261282
12-Sep-16,132.24,135.11,131.69,134.95,246194
9-Sep-16,135.87,136.22,132.89,132.93,228588
8-Sep-16,137.09,137.58,136.42,137.24,227283
7-Sep-16,137.74,138.55,136.75,137.55,236982
6-Sep-16,139.00,139.70,137.77,138.35,236296
2-Sep-16,138.00,138.53,137.38,138.34,215110
1-Sep-16,137.82,138.27,136.49,137.36,201385
31-Aug-16,137.79,138.36,136.00,137.65,216428
30-Aug-16,138.57,138.83,136.95,137.71,255956
29-Aug-16,137.85,139.31,137.42,138.38,262894
26-Aug-16,137.96,139.20,136.74,137.79,172746
25-Aug-16,137.31,138.97,136.98,137.84,194372
24-Aug-16,138.24,138.77,137.40,137.76,125461
23-Aug-16,139.30,139.86,138.10,138.41,277514
22-Aug-16,138.46,139.15,137.89,138.94,142650
19-Aug-16,138.28,139.72,137.62,138.92,161966
18-Aug-16,138.88,138.97,137.91,138.73,185062
17-Aug-16,138.18,139.08,137.41,138.94,202482
16-Aug-16,139.08,139.43,137.98,138.05,121558
15-Aug-16,139.77,139.77,139.05,139.46,125874
12-Aug-16,139.00,139.47,138.04,138.98,140613
11-Aug-16,139.50,139.82,138.69,138.97,233167
10-Aug-16,139.64,139.64,138.48,139.00,174328
9-Aug-16,140.36,140.44,139.08,139.27,193457
8-Aug-16,140.22,140.38,139.06,139.97,208416
5-Aug-16,140.60,141.56,139.46,140.01,278960
4-Aug-16,140.24,140.55,138.86,139.90,376532
3-Aug-16,138.65,140.75,138.22,140.73,773607
2-Aug-16,135.81,139.88,132.88,138.37,739434
1-Aug-16,128.94,129.61,127.97,128.61,349581
29-Jul-16,130.02,130.09,128.47,129.25,190238
28-Jul-16,131.18,131.18,129.38,130.01,178525
27-Jul-16,131.56,132.44,130.07,131.19,295557
26-Jul-16,131.54,131.78,130.84,131.54,151974
25-Jul-16,131.08,132.08,130.57,131.20,201136
22-Jul-16,129.49,131.12,129.09,131.08,179474
21-Jul-16,129.41,130.93,128.66,129.45,356748
20-Jul-16,128.19,130.20,127.96,129.73,233796
19-Jul-16,127.51,128.23,127.24,128.01,168388
18-Jul-16,127.73,128.53,127.48,128.07,236419
15-Jul-16,127.03,128.10,126.14,127.53,222530
14-Jul-16,128.02,128.24,125.61,126.53,253118
13-Jul-16,126.13,126.94,125.76,126.27,117951
12-Jul-16,124.70,126.40,124.06,125.47,245913
11-Jul-16,124.15,124.52,123.18,123.80,199062
8-Jul-16,124.41,125.38,123.65,123.82,247412
7-Jul-16,123.23,124.53,122.71,123.10,169303
6-Jul-16,121.95,123.40,121.65,123.23,313715
5-Jul-16,122.59,123.06,121.19,122.14,203328
1-Jul-16,121.60,123.46,121.32,123.07,248120
30-Jun-16,119.47,121.85,118.22,121.84,344994
29-Jun-16,119.33,119.85,118.13,119.56,475740
28-Jun-16,119.54,119.54,117.28,118.11,371531
27-Jun-16,120.35,121.29,116.32,116.68,587095
24-Jun-16,123.14,124.79,121.40,121.69,333325
23-Jun-16,128.45,128.45,126.96,127.94,226504
22-Jun-16,127.62,128.82,126.38,126.78,205581
21-Jun-16,127.34,128.50,126.83,127.72,208095
20-Jun-16,126.36,128.55,126.36,127.37,186374
17-Jun-16,125.86,126.50,125.03,125.06,299854
16-Jun-16,124.76,125.87,124.36,125.60,237706
15-Jun-16,125.83,127.26,125.36,125.82,256084
14-Jun-16,125.18,126.28,123.93,125.56,132296
13-Jun-16,125.52,127.06,124.61,125.26,159115
10-Jun-16,125.83,126.66,125.41,125.75,150045
9-Jun-16,127.75,128.05,127.07,127.43,207926
8-Jun-16,127.97,128.55,126.84,128.36,341559
7-Jun-16,128.51,128.66,127.17,127.55,350701
6-Jun-16,127.10,128.87,126.47,128.35,221864
3-Jun-16,126.68,126.97,124.98,126.63,217019
2-Jun-16,126.54,127.09,124.56,127.09,311493
1-Jun-16,126.76,127.25,125.60,126.76,306521
31-May-16,126.60,127.05,125.54,126.90,366420
27-May-16,125.33,126.50,125.33,126.40,189629
26-May-16,126.06,126.40,124.38,125.04,232263
25-May-16,123.37,126.15,123.17,125.90,521983
24-May-16,121.23,123.29,120.63,122.96,208560
23-May-16,119.54,120.87,118.96,120.43,229615
20-May-16,120.13,120.91,119.87,120.24,283740
19-May-16,118.60,119.68,118.32,119.47,164463
18-May-16,119.82,121.70,118.89,119.33,327333
17-May-16,119.96,121.89,119.55,119.93,848896
16-May-16,119.56,121.07,118.42,120.46,552013
13-May-16,117.85,120.00,117.35,119.24,474599
12-May-16,119.46,119.70,117.19,118.34,286952
11-May-16,119.57,120.21,118.58,118.70,457389
10-May-16,112.78,120.08,111.85,119.56,1081830
9-May-16,111.13,112.81,110.68,111.76,385869
6-May-16,109.29,111.50,108.77,111.10,168984
5-May-16,110.79,111.12,109.56,109.71,355082
4-May-16,110.16,111.16,109.54,110.53,226872
3-May-16,110.14,111.53,109.95,110.97,270248
2-May-16,110.86,111.48,110.00,111.40,165108
29-Apr-16,110.66,110.98,109.43,110.41,221637
28-Apr-16,111.51,112.93,110.63,111.00,329120
27-Apr-16,111.11,112.11,110.49,111.95,189963
26-Apr-16,110.47,112.07,110.47,111.46,238111
25-Apr-16,109.74,110.05,108.47,110.01,167051
22-Apr-16,108.77,110.15,108.11,110.01,178571
21-Apr-16,109.37,110.23,108.63,108.96,323178
20-Apr-16,108.77,109.68,108.05,109.37,172306
19-Apr-16,108.03,108.84,107.28,108.65,156628
18-Apr-16,105.76,107.86,105.60,107.64,122891
15-Apr-16,106.82,106.84,104.89,106.34,234806
14-Apr-16,106.55,107.25,105.53,106.51,165322
13-Apr-16,104.53,106.76,103.32,106.72,280020
12-Apr-16,103.17,103.74,100.81,103.58,285719
11-Apr-16,104.07,104.70,102.61,102.71,235503
8-Apr-16,104.54,104.99,102.74,103.57,135903
7-Apr-16,103.88,103.88,102.14,103.38,228883
6-Apr-16,103.74,104.44,102.61,104.38,215622
5-Apr-16,103.44,104.55,102.70,103.53,239054
4-Apr-16,104.18,104.47,102.89,104.02,174852
1-Apr-16,102.25,104.42,102.09,104.30,204037
31-Mar-16,103.51,103.66,102.59,103.08,144637
30-Mar-16,104.03,104.10,102.39,103.52,103686
29-Mar-16,100.93,103.02,100.53,102.88,122748
28-Mar-16,101.83,102.20,100.73,101.52,173373
24-Mar-16,100.56,101.55,100.10,101.52,145529
23-Mar-16,102.20,102.82,101.13,101.14,152814
22-Mar-16,102.32,102.81,101.16,102.21,220704
21-Mar-16,103.32,103.77,102.71,103.34,240670
18-Mar-16,102.54,103.71,102.30,103.27,317403
17-Mar-16,100.88,102.62,100.65,102.20,114255
16-Mar-16,98.50,101.28,98.50,100.83,150827
15-Mar-16,99.08,99.44,98.32,98.82,148432
14-Mar-16,99.68,101.18,99.40,99.89,272253
11-Mar-16,97.80,100.23,97.72,100.00,142213
10-Mar-16,98.81,99.56,96.46,97.15,129762
9-Mar-16,98.49,99.10,97.75,98.38,153972
8-Mar-16,98.85,99.92,97.96,98.16,200845
7-Mar-16,100.25,100.78,98.23,99.39,225649
4-Mar-16,101.23,102.10,98.60,100.90,117691
3-Mar-16,99.53,101.31,99.46,101.16,165283
2-Mar-16,98.25,99.74,98.18,99.66,239855
1-Mar-16,96.71,98.39,96.07,98.34,240023
29-Feb-16,95.98,97.07,95.06,95.79,272664
26-Feb-16,95.66,97.31,95.34,96.16,172633
25-Feb-16,94.03,95.10,93.55,95.09,258808
24-Feb-16,92.55,94.10,91.24,93.70,183089
23-Feb-16,93.86,94.78,93.59,93.65,210229
22-Feb-16,93.52,94.82,93.19,94.49,237350
19-Feb-16,92.89,93.20,91.64,92.59,653773
18-Feb-16,94.92,95.07,93.38,93.52,248502
17-Feb-16,94.75,95.25,93.01,94.49,371652
16-Feb-16,96.17,96.27,90.84,93.78,398510
12-Feb-16,91.21,102.23,89.76,95.45,599570
11-Feb-16,88.56,89.67,86.66,89.34,389630
10-Feb-16,89.35,91.31,89.35,89.86,210786
9-Feb-16,86.63,89.45,85.99,88.66,266999
8-Feb-16,92.59,92.59,86.44,87.91,579662
5-Feb-16,96.85,96.96,93.65,94.07,211334
4-Feb-16,95.74,97.79,95.74,97.26,190115
3-Feb-16,95.33,96.22,92.33,95.81,325686
2-Feb-16,97.63,97.63,94.23,94.29,258069
1-Feb-16,97.76,99.36,97.55,98.97,313375
29-Jan-16,96.14,98.57,95.69,98.42,401393
28-Jan-16,96.82,97.41,95.37,95.71,151236
27-Jan-16,97.10,98.09,95.26,96.07,197264
26-Jan-16,95.30,97.47,95.15,97.44,195175
25-Jan-16,96.65,96.72,94.60,95.03,234003
22-Jan-16,96.68,97.93,96.30,96.93,168933
21-Jan-16,97.39,97.65,94.89,95.47,252737
20-Jan-16,94.48,97.98,92.99,97.28,346458
19-Jan-16,96.47,96.78,94.87,95.97,301930
15-Jan-16,93.52,95.54,92.70,95.39,315109
14-Jan-16,93.34,95.84,91.70,95.31,250929
13-Jan-16,94.97,95.68,92.47,92.85,198105
12-Jan-16,95.40,95.73,93.35,94.60,145040
11-Jan-16,95.56,95.84,93.66,94.54,256342
8-Jan-16,97.10,97.47,94.76,94.95,191865
7-Jan-16,97.76,98.69,95.56,96.46,243427
6-Jan-16,99.88,100.62,98.94,99.78,132852
5-Jan-16,102.36,102.82,100.33,101.24,171387
4-Jan-16,102.75,102.95,100.63,101.88,200857
