Date,Open,High,Low,Close,Volume
9-Dec-16,76.33,76.87,75.94,76.82,845099
8-Dec-16,76.52,76.98,75.87,76.26,1395713
7-Dec-16,74.88,76.73,74.62,76.70,1183080
6-Dec-16,74.20,74.78,73.61,74.72,2118918
5-Dec-16,75.00,75.65,74.38,74.64,1979564
2-Dec-16,75.27,75.68,73.82,74.39,1798562
1-Dec-16,73.36,76.73,73.36,75.53,3584498
30-Nov-16,72.85,74.31,71.97,72.61,2827681
29-Nov-16,70.18,70.18,68.10,69.78,1292873
28-Nov-16,71.84,72.00,70.66,70.73,748341
25-Nov-16,72.28,72.48,71.66,72.28,436575
23-Nov-16,71.86,72.36,71.61,72.24,1168308
22-Nov-16,72.44,72.44,70.73,71.59,1154887
21-Nov-16,70.66,72.98,70.57,72.09,2035375
18-Nov-16,70.14,70.32,69.50,70.16,953094
17-Nov-16,70.70,70.98,69.95,70.14,1155381
16-Nov-16,70.99,71.27,70.07,70.67,930095
15-Nov-16,71.09,71.70,70.76,71.56,1714163
14-Nov-16,71.61,71.81,70.15,71.03,1103293
11-Nov-16,71.16,72.22,70.69,70.94,1862418
10-Nov-16,70.99,72.06,70.99,71.61,2443171
9-Nov-16,67.08,71.33,66.78,70.25,3003173
8-Nov-16,66.71,67.28,66.43,66.78,2526410
7-Nov-16,66.82,67.10,66.19,66.71,3535656
4-Nov-16,66.34,66.68,65.50,65.53,2727367
3-Nov-16,66.33,67.05,65.95,66.36,1707357
2-Nov-16,66.02,66.71,65.50,66.30,3377859
1-Nov-16,66.92,67.11,65.80,66.52,2416055
31-Oct-16,68.17,68.30,66.86,66.89,1629830
28-Oct-16,67.81,68.83,67.60,67.77,1517366
27-Oct-16,68.87,68.94,67.48,67.49,1697768
26-Oct-16,67.68,69.38,67.53,68.58,1043311
25-Oct-16,68.86,69.02,67.91,67.97,1386552
24-Oct-16,69.21,69.44,68.53,68.95,981551
21-Oct-16,67.22,68.77,67.08,68.64,1371552
20-Oct-16,69.30,70.30,68.05,68.20,2097749
19-Oct-16,68.00,70.86,67.76,69.42,2221005
18-Oct-16,68.45,68.45,67.27,67.54,1406822
17-Oct-16,67.86,67.99,67.43,67.62,1087742
14-Oct-16,67.00,68.10,66.80,67.78,1751992
13-Oct-16,66.41,66.72,65.86,66.64,1869984
12-Oct-16,66.96,67.48,66.72,67.29,1562376
11-Oct-16,66.16,68.15,66.16,66.91,2935602
10-Oct-16,68.19,70.37,66.49,66.69,4984193
7-Oct-16,72.55,73.42,71.69,72.24,1159014
6-Oct-16,73.42,73.90,73.15,73.69,879624
5-Oct-16,73.17,74.30,73.08,73.68,937342
4-Oct-16,73.61,73.75,72.24,72.61,1343645
3-Oct-16,73.27,74.23,73.25,73.52,1161903
30-Sep-16,72.36,73.98,72.08,73.64,1565238
29-Sep-16,71.36,72.42,71.24,71.87,1345614
28-Sep-16,69.73,71.55,69.68,71.47,1304120
27-Sep-16,68.44,69.45,68.35,69.45,1628731
26-Sep-16,69.32,69.53,68.82,68.88,1167667
23-Sep-16,71.26,71.53,69.55,69.58,949000
22-Sep-16,71.44,71.66,70.95,71.55,1062153
21-Sep-16,69.33,70.65,69.10,70.54,1190805
20-Sep-16,69.07,69.30,68.76,68.98,1047045
19-Sep-16,68.80,68.83,68.27,68.68,841360
16-Sep-16,68.27,68.36,67.61,67.94,1478914
15-Sep-16,67.65,68.95,67.41,68.60,1415037
14-Sep-16,68.37,68.52,67.10,67.59,2009500
13-Sep-16,69.14,69.45,67.96,68.38,1375610
12-Sep-16,68.59,70.22,68.17,69.98,835508
9-Sep-16,71.85,72.12,69.05,69.05,1374054
8-Sep-16,71.62,72.68,71.33,72.54,1255663
7-Sep-16,71.97,72.16,71.48,71.72,1252898
6-Sep-16,72.85,73.11,71.85,72.19,984111
2-Sep-16,72.97,73.16,72.50,72.75,1137276
1-Sep-16,72.54,72.56,71.70,72.54,891879
31-Aug-16,73.17,73.27,72.27,72.50,727772
30-Aug-16,73.61,73.89,73.10,73.41,542348
29-Aug-16,73.30,73.86,73.05,73.69,566173
26-Aug-16,73.91,74.38,73.17,73.52,670938
25-Aug-16,73.46,73.78,73.30,73.69,538939
24-Aug-16,74.01,74.26,73.41,73.61,885127
23-Aug-16,74.55,74.90,74.10,74.16,878291
22-Aug-16,73.85,74.36,73.72,74.31,627284
19-Aug-16,73.90,74.46,73.30,74.38,764897
18-Aug-16,73.98,74.18,73.76,74.18,722930
17-Aug-16,74.25,74.27,73.62,73.88,825538
16-Aug-16,74.41,74.57,73.98,74.23,777790
15-Aug-16,73.93,74.74,73.93,74.44,827872
12-Aug-16,74.25,74.42,73.48,73.67,466238
11-Aug-16,73.87,74.66,73.63,74.53,979556
10-Aug-16,73.86,74.07,73.19,73.38,726582
9-Aug-16,73.93,74.10,73.15,73.59,1095041
8-Aug-16,72.86,73.84,72.59,73.74,1734170
5-Aug-16,71.38,72.50,71.25,72.50,860802
4-Aug-16,70.60,72.04,70.60,71.15,967981
3-Aug-16,69.70,70.86,69.48,70.66,1174801
2-Aug-16,69.86,70.02,68.56,69.67,2039021
1-Aug-16,71.10,71.18,69.76,69.93,1856088
29-Jul-16,71.41,71.78,70.59,71.43,1347827
28-Jul-16,71.57,71.85,71.27,71.71,1080048
27-Jul-16,72.65,73.21,71.44,71.84,2215743
26-Jul-16,71.63,72.44,71.63,72.35,1956221
25-Jul-16,71.00,71.04,70.29,70.98,794880
22-Jul-16,71.82,71.86,70.25,71.27,1667000
21-Jul-16,71.79,73.24,71.11,71.91,2936011
