Date,Open,High,Low,Close,Volume
9-Dec-16,96.30,97.60,96.11,97.45,873422
8-Dec-16,96.19,96.60,95.17,96.19,1105416
7-Dec-16,95.38,97.06,95.38,96.90,1446511
6-Dec-16,95.24,95.89,94.93,95.19,807302
5-Dec-16,94.67,95.11,93.76,95.08,1499168
2-Dec-16,94.36,95.40,94.05,95.13,1847535
1-Dec-16,92.49,93.66,92.19,93.61,1568463
30-Nov-16,94.47,94.69,93.06,93.09,1260354
29-Nov-16,95.28,96.52,95.22,95.80,765363
28-Nov-16,94.38,96.04,94.16,95.80,1075685
25-Nov-16,92.85,94.24,92.85,94.03,434756
23-Nov-16,92.82,93.87,92.46,92.66,870503
22-Nov-16,93.03,94.25,92.50,93.83,1592547
21-Nov-16,91.57,92.30,91.35,92.28,773393
18-Nov-16,91.63,92.22,90.91,91.22,877234
17-Nov-16,91.55,92.31,91.37,91.68,723526
16-Nov-16,93.45,94.08,91.31,91.96,1269622
15-Nov-16,91.88,93.92,91.86,93.39,1745368
14-Nov-16,90.69,91.79,90.00,91.38,1379953
11-Nov-16,91.06,92.54,90.71,90.97,812703
10-Nov-16,92.20,92.23,89.66,91.28,1757188
9-Nov-16,94.75,94.75,92.26,92.37,1375515
8-Nov-16,95.48,96.78,95.11,96.15,1009438
7-Nov-16,93.61,95.33,92.75,95.29,825063
4-Nov-16,93.85,94.71,93.07,93.09,1069156
3-Nov-16,92.79,93.68,92.44,93.27,706895
2-Nov-16,94.22,94.22,92.45,93.18,907984
1-Nov-16,96.00,96.00,94.15,94.29,949207
31-Oct-16,94.35,96.54,94.17,96.01,1492263
28-Oct-16,93.66,94.42,93.39,93.94,1048267
27-Oct-16,93.43,94.03,93.07,93.69,1655626
26-Oct-16,94.54,94.67,93.08,93.90,1204791
25-Oct-16,92.86,94.02,92.83,93.99,1152508
24-Oct-16,93.11,93.50,92.49,93.14,969780
21-Oct-16,92.16,93.13,92.16,92.75,956871
20-Oct-16,93.00,93.85,92.71,93.11,1181832
19-Oct-16,92.91,93.06,92.16,92.76,826530
18-Oct-16,92.92,93.22,91.80,92.84,1239579
17-Oct-16,92.26,92.66,91.97,92.39,1252096
14-Oct-16,92.48,92.81,91.92,92.00,1144518
13-Oct-16,91.82,93.12,91.66,92.73,1978568
12-Oct-16,91.46,92.20,91.24,91.75,1218700
11-Oct-16,92.16,92.29,91.40,91.60,1520657
10-Oct-16,92.05,92.60,91.91,92.35,1391548
7-Oct-16,92.84,93.44,91.79,91.81,2191820
6-Oct-16,91.44,92.62,90.92,92.22,2443445
5-Oct-16,91.56,92.61,90.75,91.82,2664086
4-Oct-16,92.74,92.78,90.79,91.21,2700123
3-Oct-16,93.45,93.57,91.87,92.84,1872646
30-Sep-16,93.44,94.85,93.44,93.67,3205672
29-Sep-16,94.39,94.39,92.96,93.05,2965100
28-Sep-16,95.44,95.52,94.04,94.88,1298583
27-Sep-16,97.03,97.60,94.95,95.07,1812264
26-Sep-16,96.77,97.25,96.39,96.63,787922
23-Sep-16,96.14,97.25,95.58,96.85,1135841
22-Sep-16,96.13,96.56,95.55,96.16,890972
21-Sep-16,93.79,95.94,93.79,95.85,1241945
20-Sep-16,94.80,95.00,93.88,93.89,744910
19-Sep-16,93.80,94.47,93.61,94.40,939090
16-Sep-16,92.08,93.68,91.57,93.56,1513406
15-Sep-16,91.62,92.44,91.11,92.32,972461
14-Sep-16,91.51,92.44,91.19,92.35,1570008
13-Sep-16,92.39,92.39,90.61,91.35,1023675
12-Sep-16,91.16,92.80,90.92,92.56,1194503
9-Sep-16,94.09,94.09,90.95,91.00,1113548
8-Sep-16,94.07,94.83,93.86,94.50,951481
7-Sep-16,94.05,94.64,93.45,94.54,1005554
6-Sep-16,93.55,94.80,93.47,94.16,818167
2-Sep-16,92.24,93.38,92.02,93.20,837924
1-Sep-16,92.75,92.91,91.97,92.21,878573
31-Aug-16,92.59,93.04,92.24,92.90,1089476
30-Aug-16,93.64,93.98,92.33,92.49,546053
29-Aug-16,92.91,93.71,92.91,93.52,848910
26-Aug-16,95.24,95.64,92.49,92.59,876914
25-Aug-16,94.93,95.38,94.66,95.16,687745
24-Aug-16,94.43,94.97,93.80,94.93,738723
23-Aug-16,95.20,95.57,94.59,94.61,584814
22-Aug-16,94.90,95.41,94.64,95.12,445775
19-Aug-16,96.28,96.54,94.24,94.70,1443409
18-Aug-16,94.94,96.68,94.94,96.68,2067050
17-Aug-16,93.23,95.41,92.68,95.07,1824244
16-Aug-16,94.50,94.50,93.32,93.68,1349869
15-Aug-16,96.38,96.62,94.72,94.76,716601
12-Aug-16,96.22,96.97,96.21,96.38,706888
11-Aug-16,95.64,95.94,95.27,95.88,702895
10-Aug-16,95.60,95.79,95.06,95.57,583395
9-Aug-16,95.18,95.77,94.78,95.30,571872
8-Aug-16,95.24,95.95,94.61,95.09,761138
5-Aug-16,96.68,96.72,94.90,95.10,1101610
4-Aug-16,96.67,97.65,96.52,96.92,587761
3-Aug-16,98.02,98.22,96.24,96.67,891579
2-Aug-16,98.18,98.44,97.62,98.14,1402958
1-Aug-16,97.38,98.26,97.25,98.18,1687085
29-Jul-16,97.02,97.68,97.02,97.52,2480636
28-Jul-16,97.27,97.68,96.94,97.10,1835379
27-Jul-16,98.03,98.11,96.57,97.23,1282678
26-Jul-16,99.18,99.29,97.88,98.00,1255874
25-Jul-16,99.12,99.40,98.53,98.82,1223089
22-Jul-16,98.29,99.70,98.18,99.41,956462
21-Jul-16,97.25,98.48,96.96,98.36,729116
20-Jul-16,98.00,98.29,97.35,97.53,427748
19-Jul-16,98.06,98.40,97.59,98.05,562689
18-Jul-16,97.86,98.40,97.79,97.98,556369
15-Jul-16,97.26,97.80,97.10,97.66,1001317
14-Jul-16,97.49,97.98,96.86,97.09,1159331
13-Jul-16,98.18,98.47,97.87,98.10,965145
12-Jul-16,98.15,98.67,97.32,97.68,712643
11-Jul-16,98.75,99.02,97.66,98.96,497453
8-Jul-16,97.89,99.17,97.02,99.14,841869
7-Jul-16,99.69,100.02,97.94,98.19,752425
6-Jul-16,100.14,100.45,99.34,99.95,1038494
5-Jul-16,99.38,100.26,99.26,100.10,1038717
1-Jul-16,99.64,100.00,98.27,99.28,1142924
30-Jun-16,97.28,99.13,97.06,99.12,1432014
29-Jun-16,97.14,97.57,96.74,97.10,813466
28-Jun-16,96.49,96.90,95.41,96.79,1277754
