Date,Open,High,Low,Close,Volume
9-Dec-16,48.28,48.49,47.74,48.07,3675213
8-Dec-16,48.10,48.41,46.81,47.74,4987316
7-Dec-16,47.15,48.14,46.93,47.55,4936673
6-Dec-16,46.91,47.96,45.78,47.31,5334791
5-Dec-16,48.43,48.91,47.64,47.74,4282096
2-Dec-16,47.24,48.78,47.24,47.85,4454214
1-Dec-16,49.51,49.59,47.55,47.85,7154963
30-Nov-16,46.72,48.71,46.51,48.33,17514187
29-Nov-16,41.24,42.41,40.43,42.16,7671851
28-Nov-16,44.85,44.98,42.55,42.65,5810255
25-Nov-16,44.54,44.81,43.57,44.23,1962350
23-Nov-16,44.10,45.05,43.75,45.04,2926253
22-Nov-16,45.08,45.29,43.59,44.48,4356375
21-Nov-16,44.98,45.30,44.41,44.90,4861870
18-Nov-16,43.35,44.37,43.20,43.82,4769862
17-Nov-16,44.37,44.69,42.75,42.87,6041631
16-Nov-16,44.78,45.05,43.86,43.98,5611309
15-Nov-16,43.49,45.00,43.47,45.00,6640727
14-Nov-16,41.66,42.87,41.18,42.81,4828093
11-Nov-16,42.52,42.80,41.09,41.85,5287922
10-Nov-16,43.52,43.77,42.26,43.14,5621644
9-Nov-16,41.93,44.12,41.81,43.62,6196267
8-Nov-16,41.33,42.32,41.22,41.98,4293301
7-Nov-16,41.03,41.84,40.97,41.82,5336949
4-Nov-16,40.42,40.94,39.63,40.19,5988283
3-Nov-16,39.88,41.00,39.82,40.51,7930334
2-Nov-16,37.33,39.86,37.17,39.55,12156414
1-Nov-16,38.47,38.76,36.64,37.69,6471219
31-Oct-16,39.05,39.06,37.81,37.89,6902386
28-Oct-16,40.44,40.74,38.91,39.18,5872896
27-Oct-16,40.46,41.22,40.20,40.46,4303943
26-Oct-16,40.09,40.72,39.41,40.20,6910631
25-Oct-16,41.42,41.93,40.65,40.67,3670813
24-Oct-16,42.55,42.66,40.95,41.72,4414650
21-Oct-16,42.42,43.04,42.27,42.69,3173744
20-Oct-16,42.26,43.22,41.98,42.94,4258113
19-Oct-16,42.16,43.50,41.95,42.96,5655801
18-Oct-16,42.60,42.74,41.57,41.90,5126712
17-Oct-16,42.94,43.16,41.40,41.77,6840124
14-Oct-16,44.14,44.49,43.07,43.08,3257574
13-Oct-16,44.04,44.76,43.27,43.90,4636294
12-Oct-16,43.93,44.70,43.16,44.56,6757935
11-Oct-16,44.24,44.34,43.65,44.14,4444714
10-Oct-16,43.49,44.50,43.25,44.39,4893540
7-Oct-16,43.75,43.97,42.39,42.81,4907368
6-Oct-16,44.56,44.83,43.16,43.48,5452310
5-Oct-16,44.05,44.94,43.70,44.18,6381711
4-Oct-16,44.27,44.51,42.94,43.28,3923742
3-Oct-16,43.96,44.34,43.39,44.20,4248537
30-Sep-16,43.55,44.25,42.89,44.11,5969774
29-Sep-16,41.75,43.99,41.55,43.04,9428261
28-Sep-16,38.75,41.85,37.98,41.58,10634760
27-Sep-16,39.00,39.00,37.85,38.38,8866374
26-Sep-16,39.81,40.30,39.26,39.64,6357391
23-Sep-16,41.57,41.98,39.19,39.54,8050143
22-Sep-16,42.91,43.11,41.76,41.88,4600155
21-Sep-16,41.24,42.22,41.15,42.17,4746622
20-Sep-16,40.84,41.70,40.47,40.66,3887544
19-Sep-16,41.54,41.85,40.80,40.85,3869178
16-Sep-16,40.00,41.13,39.92,40.99,5589633
15-Sep-16,40.39,41.25,40.26,40.90,4484611
14-Sep-16,40.97,41.80,39.91,40.18,6536056
13-Sep-16,42.39,42.41,40.90,41.14,7034867
12-Sep-16,42.69,43.67,42.02,43.19,5414707
9-Sep-16,44.66,44.87,43.21,43.36,6411616
8-Sep-16,44.80,45.52,44.21,45.28,6448901
7-Sep-16,44.55,44.90,43.77,44.20,4112753
6-Sep-16,44.10,44.63,43.59,44.21,5178824
2-Sep-16,44.18,45.07,44.04,44.27,5095932
1-Sep-16,43.18,43.92,42.83,43.70,6026770
31-Aug-16,43.94,44.17,42.74,43.33,6948615
30-Aug-16,45.28,45.62,44.03,44.44,5286700
29-Aug-16,44.39,45.06,44.22,45.01,5571338
26-Aug-16,44.58,45.22,44.10,44.43,4760459
25-Aug-16,44.51,45.00,43.94,44.38,4122716
24-Aug-16,44.84,45.38,44.31,44.51,4770177
23-Aug-16,43.71,45.45,43.71,45.23,5730883
22-Aug-16,43.65,44.44,43.40,44.10,4682792
19-Aug-16,44.47,44.73,43.86,44.33,4460593
18-Aug-16,43.66,45.01,43.66,44.76,6775394
17-Aug-16,42.47,43.40,42.01,43.31,7074361
16-Aug-16,42.73,42.77,41.58,42.47,7562322
15-Aug-16,42.15,42.68,41.85,41.96,3928831
12-Aug-16,41.57,42.10,41.37,41.67,4589841
11-Aug-16,40.09,41.66,39.60,41.31,7406998
10-Aug-16,40.15,40.42,39.40,39.57,4835252
9-Aug-16,40.50,40.77,39.64,39.90,4907989
8-Aug-16,40.00,41.10,39.84,40.20,9180293
5-Aug-16,38.67,39.68,38.06,39.51,6639501
4-Aug-16,37.80,38.89,37.28,38.61,9601069
3-Aug-16,36.12,38.13,35.54,38.00,11775449
2-Aug-16,36.22,36.85,35.01,36.12,9254105
1-Aug-16,37.74,37.76,35.74,35.91,8791863
29-Jul-16,35.94,38.36,35.61,38.28,10235349
28-Jul-16,36.21,36.64,35.66,36.13,6028512
