Date,Open,High,Low,Close,Volume
9-Dec-16,117.62,118.12,116.91,117.16,618384
8-Dec-16,115.77,118.11,115.55,117.60,874068
7-Dec-16,113.76,116.16,113.29,115.99,762906
6-Dec-16,114.81,114.88,113.13,113.50,834267
5-Dec-16,115.80,115.82,114.04,114.33,1065202
2-Dec-16,111.59,114.08,111.48,114.03,1084719
1-Dec-16,114.45,114.74,110.87,111.54,1964936
30-Nov-16,119.47,120.00,114.21,114.45,2085784
29-Nov-16,119.20,119.85,118.90,119.32,712215
28-Nov-16,119.68,119.93,118.59,119.19,1041239
25-Nov-16,120.14,120.18,118.93,120.06,374502
23-Nov-16,120.18,120.64,119.50,120.07,482869
22-Nov-16,121.60,121.68,119.77,120.24,635799
21-Nov-16,121.37,122.30,121.22,121.60,679545
18-Nov-16,122.03,122.59,121.34,121.56,687909
17-Nov-16,120.00,122.41,119.26,121.81,1231214
16-Nov-16,118.11,119.78,117.70,119.50,1314574
15-Nov-16,115.27,118.36,115.27,118.15,2153610
14-Nov-16,114.64,115.28,113.35,115.14,1561524
11-Nov-16,115.84,116.38,112.73,114.03,2159165
10-Nov-16,122.25,122.53,113.69,116.23,3778876
9-Nov-16,126.44,126.88,121.89,122.53,1270051
8-Nov-16,126.04,127.39,125.09,127.07,421943
7-Nov-16,125.42,126.36,124.82,126.09,454581
4-Nov-16,123.05,124.79,122.90,123.61,640903
3-Nov-16,122.74,123.46,121.87,122.97,396409
2-Nov-16,123.62,124.03,122.32,122.43,547755
1-Nov-16,124.52,124.75,122.80,123.64,714041
31-Oct-16,122.46,124.20,122.34,123.97,928857
28-Oct-16,122.91,124.44,121.80,122.00,969188
27-Oct-16,126.83,127.98,122.63,123.17,1813050
26-Oct-16,129.83,130.73,128.11,128.71,820243
25-Oct-16,131.04,132.49,130.28,130.43,764917
24-Oct-16,130.24,131.63,129.90,131.19,313807
21-Oct-16,128.64,129.92,128.16,129.76,285394
20-Oct-16,129.88,130.30,129.12,129.53,336795
19-Oct-16,130.61,130.61,129.35,130.21,433954
18-Oct-16,130.54,131.30,130.07,130.28,382625
17-Oct-16,130.07,130.45,129.40,129.53,370951
14-Oct-16,129.47,131.77,129.47,130.35,569503
13-Oct-16,129.16,129.78,128.33,128.99,464994
12-Oct-16,128.51,130.25,128.47,130.03,380205
11-Oct-16,130.73,131.00,128.01,128.65,453531
10-Oct-16,130.81,131.66,130.71,131.11,332006
7-Oct-16,132.37,132.48,129.75,130.14,664720
6-Oct-16,131.70,132.53,131.31,132.21,489348
5-Oct-16,133.38,133.81,131.76,132.05,536204
4-Oct-16,133.85,134.56,132.75,133.27,402075
3-Oct-16,134.36,134.56,133.56,133.97,407407
30-Sep-16,134.46,135.00,133.50,134.58,604652
29-Sep-16,134.54,134.58,132.89,133.33,542282
28-Sep-16,133.02,134.66,132.74,134.42,652410
27-Sep-16,131.53,132.82,131.07,132.65,575365
26-Sep-16,131.81,131.81,130.52,131.31,697819
23-Sep-16,133.14,133.92,131.88,132.13,804056
22-Sep-16,133.95,134.08,133.39,133.66,581650
21-Sep-16,132.65,133.32,131.05,133.12,504697
20-Sep-16,132.48,132.74,131.13,131.85,515683
19-Sep-16,133.00,133.17,131.12,131.55,414778
16-Sep-16,134.03,134.20,131.50,132.21,1165988
15-Sep-16,131.86,134.71,131.22,134.35,732905
14-Sep-16,131.19,132.38,131.13,131.90,520654
13-Sep-16,132.16,132.35,131.17,131.46,647085
12-Sep-16,130.38,133.36,130.15,133.08,646915
9-Sep-16,133.46,133.46,131.09,131.09,819790
8-Sep-16,134.77,135.02,134.52,134.68,471855
7-Sep-16,134.77,135.32,134.18,135.19,583975
6-Sep-16,134.34,135.10,133.66,135.10,572646
2-Sep-16,133.76,134.43,133.05,134.16,383266
1-Sep-16,131.87,133.13,131.48,133.09,508884
31-Aug-16,131.75,132.17,131.27,131.90,479761
30-Aug-16,131.93,132.32,130.72,132.10,429712
29-Aug-16,131.67,132.17,131.61,131.89,230083
26-Aug-16,130.62,132.44,130.56,131.47,434923
25-Aug-16,130.32,130.78,129.97,130.49,513686
24-Aug-16,131.35,131.80,130.06,130.42,628956
23-Aug-16,131.91,131.99,131.20,131.29,476376
22-Aug-16,131.31,131.88,131.22,131.57,333601
19-Aug-16,130.92,131.64,130.32,131.42,406126
18-Aug-16,131.00,131.59,130.54,131.41,344829
17-Aug-16,130.24,131.11,129.93,130.98,529057
16-Aug-16,131.37,131.73,130.23,130.31,452753
15-Aug-16,132.28,132.57,131.41,131.56,345998
12-Aug-16,132.60,133.11,132.08,132.36,332959
11-Aug-16,132.74,133.35,132.34,132.69,565181
10-Aug-16,132.55,132.55,131.48,132.39,318455
9-Aug-16,131.46,132.67,131.34,132.22,494073
8-Aug-16,132.71,132.80,131.14,131.36,423192
5-Aug-16,131.77,134.41,131.67,132.84,579618
4-Aug-16,130.48,132.04,130.37,131.28,797267
3-Aug-16,130.82,130.82,129.11,130.37,734148
2-Aug-16,131.91,132.16,130.15,130.82,625698
