Date,Open,High,Low,Close,Volume
9-Dec-16,70.15,70.82,70.04,70.76,1002061
8-Dec-16,69.88,70.68,69.51,70.41,1673709
7-Dec-16,69.49,70.48,69.49,70.44,1137657
6-Dec-16,69.55,69.57,68.87,69.26,1114967
5-Dec-16,68.98,69.40,67.84,69.38,1922432
2-Dec-16,69.36,70.13,68.87,69.28,2052370
1-Dec-16,68.33,68.95,67.99,68.88,1992730
30-Nov-16,70.65,70.65,68.71,68.73,2280607
29-Nov-16,70.31,71.50,70.27,71.40,1857144
28-Nov-16,69.73,70.84,69.67,70.58,1314039
25-Nov-16,68.32,69.76,68.32,69.53,740274
23-Nov-16,67.94,68.56,67.79,68.12,1162025
22-Nov-16,68.09,69.03,67.56,68.41,2100146
21-Nov-16,68.17,68.55,67.94,68.42,1447516
18-Nov-16,68.09,68.43,67.40,67.83,1298358
17-Nov-16,67.93,68.61,67.76,68.18,1204798
16-Nov-16,68.69,68.88,67.58,68.12,1045819
15-Nov-16,68.34,68.81,67.69,68.63,1824700
14-Nov-16,67.15,68.31,66.73,68.03,2131904
11-Nov-16,67.88,68.55,67.12,67.41,1134160
10-Nov-16,68.50,69.29,66.71,67.87,2943356
9-Nov-16,70.36,70.81,68.77,68.85,1696316
8-Nov-16,70.80,71.98,70.79,71.73,1758126
7-Nov-16,71.15,71.57,70.48,71.51,1752554
4-Nov-16,71.70,72.45,70.78,70.82,1229577
3-Nov-16,71.32,71.76,71.09,71.39,1395213
2-Nov-16,71.77,71.83,70.98,71.42,1665304
1-Nov-16,73.54,73.71,71.71,71.93,1920363
31-Oct-16,72.59,73.91,72.41,73.68,2040757
28-Oct-16,72.04,72.71,71.75,72.36,1544256
27-Oct-16,71.55,71.96,70.90,71.88,2170163
26-Oct-16,72.35,72.53,71.25,72.28,1846484
25-Oct-16,73.51,73.74,72.44,72.48,2218357
24-Oct-16,74.05,74.48,73.45,74.07,1153716
21-Oct-16,74.13,74.64,73.90,74.17,976101
20-Oct-16,74.76,75.07,74.36,74.51,782328
19-Oct-16,75.05,75.12,74.31,74.89,958489
18-Oct-16,75.10,75.44,74.12,74.93,944638
17-Oct-16,74.04,74.86,74.00,74.64,1236736
14-Oct-16,74.59,75.02,74.05,74.16,1118736
13-Oct-16,74.10,75.51,73.92,74.88,1781194
12-Oct-16,73.32,74.14,73.25,74.06,1895356
11-Oct-16,73.89,74.14,73.24,73.29,1517282
10-Oct-16,73.37,73.98,73.24,73.89,1444138
7-Oct-16,74.27,74.75,73.12,73.13,1952013
6-Oct-16,73.12,74.40,72.46,73.81,1698204
5-Oct-16,74.08,74.86,73.28,73.35,2578344
4-Oct-16,75.54,75.55,73.58,74.02,1969162
3-Oct-16,76.56,76.56,75.32,75.76,1628281
30-Sep-16,77.57,77.96,75.99,76.73,1753507
29-Sep-16,78.65,78.65,77.25,77.33,1960359
28-Sep-16,79.98,80.07,78.71,78.92,1936365
27-Sep-16,81.30,81.72,79.52,79.60,1066776
26-Sep-16,81.53,81.56,80.92,80.98,1102693
23-Sep-16,81.57,81.83,81.13,81.43,1095226
22-Sep-16,81.42,81.81,81.08,81.73,1032231
21-Sep-16,79.25,81.00,79.25,80.97,953107
20-Sep-16,79.50,79.77,79.16,79.25,1060789
19-Sep-16,78.79,79.28,78.56,79.14,959728
16-Sep-16,77.36,78.56,77.15,78.47,1407811
15-Sep-16,76.84,77.75,76.61,77.63,681922
14-Sep-16,77.16,77.81,76.54,76.94,1273241
13-Sep-16,78.25,78.45,76.51,76.89,1467141
12-Sep-16,77.27,78.86,77.27,78.61,1183891
9-Sep-16,80.33,80.33,77.48,77.56,1188637
8-Sep-16,79.95,81.32,79.95,80.78,1855793
7-Sep-16,79.37,80.32,78.93,80.27,1287409
6-Sep-16,79.39,79.88,79.02,79.57,1004916
2-Sep-16,77.79,79.04,77.77,78.97,883075
1-Sep-16,78.15,78.45,77.53,77.65,1586640
31-Aug-16,77.77,78.27,77.50,78.20,1700975
30-Aug-16,78.17,78.67,77.57,77.71,664610
29-Aug-16,77.50,78.35,77.48,78.33,852358
26-Aug-16,79.07,79.64,77.20,77.26,737028
25-Aug-16,78.87,79.30,78.66,79.08,620038
24-Aug-16,78.72,79.02,78.15,78.83,643931
23-Aug-16,79.25,79.74,78.89,78.91,620534
22-Aug-16,78.58,79.23,78.24,78.95,839388
19-Aug-16,78.93,79.17,77.67,77.99,1066341
18-Aug-16,77.96,79.30,77.86,79.28,1027632
17-Aug-16,77.38,78.33,76.60,78.18,1352766
16-Aug-16,78.18,78.21,76.90,77.33,1290455
15-Aug-16,79.54,79.70,78.19,78.21,720287
12-Aug-16,79.52,80.00,79.46,79.52,803058
11-Aug-16,78.92,79.45,78.73,79.27,1009376
10-Aug-16,78.96,79.26,78.42,78.80,1339082
9-Aug-16,78.90,79.28,78.55,78.86,1258577
8-Aug-16,79.64,80.39,79.45,79.75,1191194
5-Aug-16,79.87,80.04,79.27,79.59,1272518
4-Aug-16,80.33,80.93,79.75,80.01,956178
