Date,Open,High,Low,Close,Volume
9-Dec-16,89.53,92.98,89.30,90.37,4172582
8-Dec-16,85.55,91.34,85.27,89.30,6109007
7-Dec-16,82.99,83.75,81.90,83.73,2547629
6-Dec-16,83.15,83.92,81.85,83.22,2883233
5-Dec-16,83.78,83.94,82.41,82.49,1975862
2-Dec-16,81.44,84.66,81.25,83.35,2324500
1-Dec-16,82.80,83.10,81.12,81.47,2468956
30-Nov-16,84.24,84.25,82.84,82.85,2766277
29-Nov-16,84.56,85.45,83.77,83.90,2774472
28-Nov-16,85.41,85.58,84.01,84.30,3099703
25-Nov-16,86.86,86.87,85.31,85.80,2022939
23-Nov-16,85.01,86.93,84.51,86.86,2208193
22-Nov-16,88.00,88.00,83.42,85.04,4189599
21-Nov-16,89.05,90.11,88.78,89.20,1453537
18-Nov-16,90.81,90.99,88.81,89.03,1716858
17-Nov-16,89.38,90.83,89.01,90.72,1780707
16-Nov-16,88.85,89.72,88.18,89.13,1603053
15-Nov-16,87.55,89.63,87.01,88.91,2252784
14-Nov-16,90.72,91.25,86.54,86.59,4307709
11-Nov-16,92.77,92.95,90.70,91.01,1600143
10-Nov-16,93.42,93.86,92.16,92.85,2801090
9-Nov-16,93.39,93.89,88.80,92.45,2431577
8-Nov-16,91.53,92.32,91.08,91.39,1649780
7-Nov-16,91.11,92.23,90.70,91.34,1670979
4-Nov-16,89.26,91.34,89.17,89.63,1853921
3-Nov-16,89.24,90.95,89.00,89.30,3463985
2-Nov-16,92.18,92.22,88.69,88.71,3631168
1-Nov-16,95.50,95.73,91.57,92.00,3393118
31-Oct-16,94.46,95.49,92.91,95.22,4864236
28-Oct-16,92.36,96.80,92.04,96.16,4749099
27-Oct-16,95.20,95.50,91.32,92.20,4984149
26-Oct-16,99.30,100.86,94.25,94.25,16796619
25-Oct-16,117.01,117.01,113.50,113.68,3975489
24-Oct-16,118.24,118.56,116.92,117.03,1763207
21-Oct-16,117.03,118.17,116.56,117.68,1284656
20-Oct-16,117.45,119.00,117.11,117.86,1711028
19-Oct-16,117.79,118.87,117.62,117.66,1367092
18-Oct-16,116.54,118.50,116.29,118.22,1481062
17-Oct-16,115.88,116.38,114.87,115.55,1875042
14-Oct-16,118.56,119.17,115.95,116.00,2014131
13-Oct-16,117.60,119.08,117.10,118.66,1299821
12-Oct-16,118.39,119.08,117.97,118.16,742491
11-Oct-16,120.74,121.39,117.55,118.25,1406843
10-Oct-16,120.26,121.75,120.17,121.36,640796
7-Oct-16,120.09,120.62,118.97,120.09,730882
6-Oct-16,119.79,120.35,119.00,119.72,692474
5-Oct-16,121.00,121.43,119.32,120.01,1132260
4-Oct-16,120.00,120.45,118.31,119.17,832796
3-Oct-16,119.98,119.98,118.44,119.71,1054691
30-Sep-16,119.66,121.08,119.45,120.56,999053
29-Sep-16,120.09,121.72,118.33,119.26,915044
28-Sep-16,121.08,121.30,119.72,120.46,676085
27-Sep-16,119.09,121.51,118.66,121.22,1016008
26-Sep-16,119.25,119.62,118.62,118.94,766035
23-Sep-16,120.83,120.83,119.20,119.77,977339
22-Sep-16,119.82,121.58,119.55,120.87,1436302
21-Sep-16,117.49,119.39,117.07,119.17,892161
20-Sep-16,117.50,117.63,116.50,117.42,882316
19-Sep-16,116.62,117.72,116.36,116.74,742770
16-Sep-16,117.00,117.17,116.14,116.60,1476041
15-Sep-16,115.07,117.53,114.86,116.97,981958
14-Sep-16,114.64,116.17,114.13,114.72,867953
13-Sep-16,115.72,116.38,113.53,114.25,1102534
12-Sep-16,114.81,116.44,113.90,116.22,899809
9-Sep-16,116.63,117.00,114.58,114.60,1477590
8-Sep-16,115.98,117.43,115.40,117.33,1258636
7-Sep-16,117.05,117.46,115.83,116.47,821642
6-Sep-16,115.72,117.55,115.63,117.54,1129930
2-Sep-16,115.87,116.28,115.23,115.85,928850
1-Sep-16,115.50,115.98,114.50,115.87,1097907
31-Aug-16,115.73,115.73,114.30,115.16,1091961
30-Aug-16,116.10,116.81,115.09,115.33,558692
29-Aug-16,115.19,116.86,115.17,116.10,710004
26-Aug-16,114.87,115.86,114.41,115.26,978114
25-Aug-16,114.17,115.31,113.34,114.77,1166424
24-Aug-16,117.21,117.58,114.17,114.30,1487793
23-Aug-16,117.47,117.92,116.74,117.16,1150261
22-Aug-16,118.59,118.92,116.17,116.99,1361085
19-Aug-16,114.96,118.26,114.94,118.07,3792273
18-Aug-16,112.52,116.37,112.27,114.95,2291584
17-Aug-16,112.92,113.02,111.69,112.71,808446
16-Aug-16,114.20,114.20,112.73,112.75,572983
15-Aug-16,113.87,114.96,113.80,114.19,834501
12-Aug-16,113.71,113.97,113.15,113.60,422874
11-Aug-16,114.13,114.86,113.69,113.92,876710
10-Aug-16,113.21,114.23,112.53,114.03,1094909
9-Aug-16,112.49,114.05,112.28,113.39,924772
8-Aug-16,113.37,113.50,112.00,112.40,770687
5-Aug-16,113.03,113.70,112.62,113.23,882955
4-Aug-16,113.65,113.99,112.59,112.98,732535
3-Aug-16,113.73,114.85,113.03,113.36,901939
2-Aug-16,114.22,114.74,112.96,113.58,1107043
1-Aug-16,114.54,114.89,113.76,114.23,1248623
29-Jul-16,113.00,114.79,112.70,114.52,1385289
28-Jul-16,114.68,115.38,112.66,112.99,1707263
27-Jul-16,116.15,117.46,114.01,114.44,5105030
26-Jul-16,106.51,108.38,106.04,108.35,2266347
25-Jul-16,106.35,106.66,105.57,106.52,1260316
22-Jul-16,106.20,106.50,105.28,106.25,856350
21-Jul-16,106.77,107.13,105.69,106.26,850420
20-Jul-16,106.44,107.13,105.99,106.71,1061682
19-Jul-16,105.40,106.45,105.22,105.91,1014773
18-Jul-16,105.39,106.23,105.11,105.75,954996
15-Jul-16,107.38,107.60,104.92,105.27,1640319
14-Jul-16,107.07,107.56,106.62,107.03,1280956
13-Jul-16,106.82,107.37,106.12,106.49,1789413
12-Jul-16,104.95,106.56,104.62,106.27,1912498
11-Jul-16,104.82,105.81,104.45,104.48,1044877
8-Jul-16,104.42,105.42,103.50,104.72,1330866
7-Jul-16,103.50,105.28,103.10,103.75,2166412
6-Jul-16,99.36,103.62,99.36,103.50,2160596
5-Jul-16,98.33,100.20,98.02,99.63,1337009
1-Jul-16,99.83,99.83,98.28,98.58,1271497
30-Jun-16,97.05,99.74,96.92,99.73,2145150
29-Jun-16,96.19,97.18,95.49,96.91,2390827
28-Jun-16,95.13,95.38,94.13,94.97,2087326
27-Jun-16,95.48,95.93,93.83,94.53,1401090
24-Jun-16,96.05,97.53,95.76,96.04,2346074
23-Jun-16,98.88,99.31,98.55,99.08,1392060
22-Jun-16,98.53,99.00,97.89,98.04,1242923
21-Jun-16,99.44,99.90,98.35,98.57,1246992
20-Jun-16,99.54,100.72,99.12,99.16,1718455
17-Jun-16,99.37,99.64,97.76,98.54,2152527
16-Jun-16,97.25,99.64,96.86,99.31,1629229
15-Jun-16,101.14,101.79,96.79,97.85,3100175
14-Jun-16,100.64,101.14,99.98,100.95,939044
13-Jun-16,101.22,102.55,100.91,101.13,865296
10-Jun-16,101.44,102.00,101.06,101.52,852885
9-Jun-16,102.40,103.87,102.20,102.48,963164
8-Jun-16,101.00,103.30,100.86,102.67,1194741
7-Jun-16,101.46,101.92,100.64,101.50,981090
6-Jun-16,101.30,101.84,100.59,101.45,1052843
3-Jun-16,102.08,102.19,100.39,101.53,1269386
2-Jun-16,100.00,102.27,99.84,102.10,2246217
1-Jun-16,98.54,100.00,98.41,99.84,1440230
31-May-16,100.32,100.66,98.50,98.50,3002675
27-May-16,99.94,100.60,98.97,100.04,1675092
26-May-16,100.00,100.42,99.28,99.43,1513697
