Date,Open,High,Low,Close,Volume
9-Dec-16,123.24,124.72,123.02,124.06,1556917
8-Dec-16,124.22,124.32,122.97,123.00,2163488
7-Dec-16,124.04,124.30,123.36,123.55,1753338
6-Dec-16,124.04,124.40,123.66,123.77,1404705
5-Dec-16,121.27,124.51,121.05,123.69,2633191
2-Dec-16,122.40,122.63,120.52,121.00,1467838
1-Dec-16,123.95,124.31,121.75,122.01,1931124
30-Nov-16,125.82,125.87,123.89,124.05,1622074
29-Nov-16,126.23,126.73,124.78,125.10,983598
28-Nov-16,126.99,127.25,125.69,125.92,1037101
25-Nov-16,125.73,127.38,125.73,127.28,425644
23-Nov-16,127.50,127.87,125.54,126.37,1899685
22-Nov-16,126.54,127.84,126.16,127.57,1391020
21-Nov-16,125.74,126.87,125.74,126.46,1551637
18-Nov-16,126.57,126.64,125.50,125.67,1370303
17-Nov-16,125.40,127.12,125.14,126.58,2114929
16-Nov-16,122.97,125.50,122.92,125.20,1564287
15-Nov-16,122.02,124.76,121.24,123.54,2385098
14-Nov-16,121.37,121.73,117.35,119.16,3185826
11-Nov-16,123.50,123.77,120.32,121.20,3141800
10-Nov-16,125.65,127.16,121.64,123.63,2352077
9-Nov-16,123.98,125.74,123.58,124.75,2162443
8-Nov-16,126.90,127.61,125.83,127.01,2345890
7-Nov-16,126.79,127.47,125.68,126.49,2319485
4-Nov-16,124.64,126.20,123.70,125.21,1587424
3-Nov-16,123.52,126.24,123.02,125.29,2793398
2-Nov-16,126.00,126.00,122.96,123.00,2810054
1-Nov-16,129.79,130.35,124.49,125.99,3124691
31-Oct-16,131.57,131.81,128.84,129.23,2596110
28-Oct-16,128.85,133.55,128.24,131.64,6837190
27-Oct-16,125.98,126.88,124.89,126.42,4204722
26-Oct-16,127.76,127.77,125.35,125.54,2169239
25-Oct-16,127.50,128.75,127.27,127.99,1917950
24-Oct-16,128.11,129.17,127.04,127.69,2583417
21-Oct-16,124.57,127.67,124.10,127.58,2171784
20-Oct-16,126.82,128.02,123.88,124.66,3926278
19-Oct-16,123.57,125.05,122.87,124.69,2752410
18-Oct-16,122.86,124.23,122.15,122.83,3866079
17-Oct-16,121.09,122.00,119.94,121.78,2256815
14-Oct-16,118.77,121.25,118.76,120.80,2235392
13-Oct-16,117.43,119.35,116.58,118.69,1109812
12-Oct-16,118.60,119.42,117.95,118.79,2243446
11-Oct-16,118.16,118.66,116.85,117.72,1874271
10-Oct-16,118.34,119.50,117.90,118.77,1085775
7-Oct-16,118.78,118.78,117.39,117.77,1174179
6-Oct-16,119.04,119.05,117.45,118.53,1203197
5-Oct-16,119.30,119.50,118.48,119.14,1377895
4-Oct-16,118.05,119.12,117.20,119.12,2010456
3-Oct-16,116.38,117.40,115.70,117.02,1542789
30-Sep-16,118.63,118.77,116.58,116.72,2291979
29-Sep-16,115.99,119.15,115.56,118.40,5575621
28-Sep-16,113.52,116.08,112.64,115.99,3446042
27-Sep-16,109.25,113.29,109.25,113.10,2604674
26-Sep-16,109.34,109.59,108.50,109.09,1044240
23-Sep-16,108.97,110.27,108.54,109.91,1675491
22-Sep-16,109.00,109.05,108.35,108.79,1453798
21-Sep-16,107.96,108.20,107.10,108.02,2002976
20-Sep-16,106.99,107.82,105.62,107.65,2680638
19-Sep-16,108.56,108.78,105.74,106.12,4241923
16-Sep-16,110.70,111.00,106.86,107.83,6639243
15-Sep-16,110.94,112.20,110.15,111.90,2163501
14-Sep-16,111.98,112.67,111.03,111.31,873006
13-Sep-16,112.50,113.07,111.12,111.56,1156423
12-Sep-16,109.80,113.95,109.80,113.57,2097995
9-Sep-16,113.04,113.37,111.05,111.10,1696732
8-Sep-16,113.08,114.28,112.35,114.07,1164976
7-Sep-16,113.55,114.39,113.47,113.65,1577631
6-Sep-16,112.10,114.70,112.02,113.91,2165347
2-Sep-16,114.00,114.39,111.87,112.05,1744741
1-Sep-16,109.86,113.25,109.16,113.13,3200351
31-Aug-16,108.72,109.78,108.26,109.12,1915461
30-Aug-16,110.14,110.32,108.70,109.09,1598831
29-Aug-16,111.70,111.74,109.79,109.80,1693972
26-Aug-16,112.61,113.76,110.48,111.36,2270564
25-Aug-16,111.39,112.58,111.34,112.25,1320846
24-Aug-16,113.60,114.12,111.89,111.89,1519241
23-Aug-16,114.00,114.81,113.58,113.60,1585741
22-Aug-16,114.77,115.16,113.95,113.99,1341099
19-Aug-16,114.98,115.29,114.71,115.00,1103106
18-Aug-16,115.64,115.99,115.01,115.44,990729
17-Aug-16,116.07,116.62,115.16,115.42,1342492
