Date,Open,High,Low,Close,Volume
9-Dec-16,196.29,196.99,195.13,196.60,1957386
8-Dec-16,196.75,197.30,193.60,197.07,2951610
7-Dec-16,193.32,196.72,192.28,196.52,1886138
6-Dec-16,194.36,194.46,191.60,193.33,1238329
5-Dec-16,193.70,194.95,193.00,194.50,1409815
2-Dec-16,192.10,193.65,192.10,192.80,1542866
1-Dec-16,192.00,193.88,192.00,192.19,1767563
30-Nov-16,191.50,192.58,190.78,191.67,1533590
29-Nov-16,190.00,191.35,190.00,190.32,1077732
28-Nov-16,190.58,191.15,189.49,190.03,1746550
25-Nov-16,190.62,191.84,190.60,191.53,653169
23-Nov-16,188.75,190.29,188.05,190.12,889156
22-Nov-16,188.50,188.50,187.55,188.08,1162042
21-Nov-16,187.33,188.25,186.74,188.15,1295338
18-Nov-16,184.71,187.33,183.98,187.29,1334442
17-Nov-16,184.13,185.34,183.46,185.08,928392
16-Nov-16,184.89,186.00,182.75,183.82,1262237
15-Nov-16,185.77,185.83,182.98,185.39,1446956
14-Nov-16,184.50,186.53,183.46,186.16,2168098
11-Nov-16,183.00,184.89,182.11,183.69,1560368
10-Nov-16,182.00,185.00,181.23,183.57,2298084
9-Nov-16,178.55,182.40,176.44,181.17,2874179
8-Nov-16,179.28,182.78,178.84,181.31,2012395
7-Nov-16,176.85,180.69,176.85,180.02,2451915
4-Nov-16,173.40,175.73,172.86,174.80,1558754
3-Nov-16,172.71,173.71,172.11,173.65,1264954
2-Nov-16,172.00,173.47,171.60,172.38,1457289
1-Nov-16,174.25,174.32,170.16,171.53,1955591
31-Oct-16,175.14,176.12,174.24,174.32,992888
28-Oct-16,174.57,176.35,173.40,174.25,1502716
27-Oct-16,174.69,175.22,172.74,174.40,1499657
26-Oct-16,170.96,174.24,170.51,173.59,1772668
25-Oct-16,171.34,172.45,171.26,171.93,1132658
24-Oct-16,171.31,172.49,170.30,172.08,1848300
21-Oct-16,168.19,170.25,168.00,170.20,924658
20-Oct-16,170.41,170.62,169.48,169.70,836046
19-Oct-16,171.02,171.18,169.58,170.46,1086825
18-Oct-16,172.09,172.49,170.51,170.74,900285
17-Oct-16,170.94,171.37,170.22,170.84,1051540
14-Oct-16,172.29,172.89,170.87,170.98,803571
13-Oct-16,172.12,172.20,169.66,170.95,1432829
12-Oct-16,174.12,174.49,173.07,173.54,1253264
11-Oct-16,173.80,174.09,173.05,174.08,1462086
10-Oct-16,173.34,174.59,173.14,174.21,1221599
7-Oct-16,172.62,173.24,171.72,173.01,1418184
6-Oct-16,174.33,174.33,172.41,173.09,1260360
5-Oct-16,174.89,175.26,173.84,174.26,1202755
4-Oct-16,174.72,175.12,172.86,173.60,1492742
3-Oct-16,173.86,174.71,173.28,174.30,1454256
30-Sep-16,175.53,176.10,174.37,174.68,1939268
29-Sep-16,175.45,175.97,173.93,175.12,1947429
28-Sep-16,176.87,177.25,174.52,175.45,2280851
27-Sep-16,174.98,177.36,174.47,177.30,2133240
26-Sep-16,174.00,176.16,173.11,175.34,2420820
23-Sep-16,172.69,175.08,172.63,174.39,2472536
22-Sep-16,174.39,175.38,172.80,173.66,3176327
21-Sep-16,170.61,174.32,170.61,173.86,5308138
20-Sep-16,161.75,164.13,161.65,162.65,2689163
19-Sep-16,160.07,162.23,159.55,161.26,1814447
16-Sep-16,159.33,160.07,158.20,158.89,2534399
15-Sep-16,159.00,160.71,158.52,160.07,1403777
14-Sep-16,160.06,160.66,159.05,159.45,1030267
13-Sep-16,161.63,161.98,159.28,160.35,1318193
12-Sep-16,160.20,164.07,160.06,163.26,1325363
9-Sep-16,164.10,165.19,160.82,160.85,1487474
8-Sep-16,163.91,165.86,163.84,165.40,831406
7-Sep-16,164.48,165.42,163.95,165.20,897538
6-Sep-16,167.10,167.10,163.73,164.83,1168987
2-Sep-16,166.22,167.08,165.47,165.49,1594326
1-Sep-16,165.50,166.25,163.85,165.64,1181901
31-Aug-16,164.47,165.05,163.49,164.93,1228839
30-Aug-16,165.52,165.93,164.38,164.93,1004130
29-Aug-16,165.43,165.89,164.64,165.17,1185230
26-Aug-16,166.05,167.08,164.37,164.95,1102685
25-Aug-16,167.26,167.57,165.15,165.53,1319276
24-Aug-16,168.54,169.27,167.77,168.23,859661
23-Aug-16,169.00,169.44,168.22,168.59,850742
22-Aug-16,168.99,169.57,167.23,167.89,946498
19-Aug-16,166.79,169.44,166.64,168.63,1365877
18-Aug-16,166.61,167.66,166.20,167.19,1103982
17-Aug-16,166.99,167.18,165.83,166.45,1101158
16-Aug-16,165.90,167.12,165.59,166.73,913422
15-Aug-16,165.70,167.00,165.70,166.40,1118471
12-Aug-16,165.12,166.00,164.65,165.50,1048295
