Date,Open,High,Low,Close,Volume
9-Dec-16,20.60,20.62,20.38,20.49,3889269
8-Dec-16,20.45,20.76,20.30,20.61,2250426
7-Dec-16,20.36,20.37,20.18,20.28,2978196
6-Dec-16,20.04,20.38,19.86,20.38,2876226
5-Dec-16,19.66,19.91,19.60,19.91,2250244
2-Dec-16,19.40,19.57,19.27,19.41,2133328
1-Dec-16,19.32,19.69,19.26,19.51,2213234
30-Nov-16,19.00,19.18,18.97,19.08,1666363
29-Nov-16,18.61,18.82,18.60,18.72,1286651
28-Nov-16,18.67,18.89,18.50,18.54,1819056
25-Nov-16,18.70,18.77,18.62,18.71,303275
23-Nov-16,19.22,19.26,18.58,18.71,1371122
22-Nov-16,18.57,18.65,18.41,18.57,1653359
21-Nov-16,18.60,18.78,18.36,18.52,1275283
18-Nov-16,18.37,18.53,18.30,18.47,1971135
17-Nov-16,17.96,18.49,17.96,18.36,2682054
16-Nov-16,17.95,18.15,17.92,17.97,2030746
15-Nov-16,18.00,18.29,17.75,18.26,1712588
14-Nov-16,18.17,18.88,18.07,18.21,4056006
11-Nov-16,17.33,18.02,17.33,17.96,3535890
10-Nov-16,16.99,17.67,16.97,17.45,4021195
9-Nov-16,16.02,16.77,15.78,16.70,5272156
8-Nov-16,15.49,15.62,15.30,15.48,1901492
7-Nov-16,15.48,15.59,15.36,15.57,1270178
4-Nov-16,15.04,15.26,14.92,15.11,1520465
3-Nov-16,15.14,15.20,15.03,15.07,1387891
2-Nov-16,15.32,15.36,15.00,15.06,1970536
1-Nov-16,15.50,15.57,15.23,15.43,1540979
31-Oct-16,15.43,15.49,15.31,15.41,1730182
28-Oct-16,15.39,15.49,15.25,15.36,2477947
27-Oct-16,15.45,15.50,15.30,15.34,1901390
26-Oct-16,15.22,15.41,15.21,15.30,2091504
25-Oct-16,15.25,15.32,15.20,15.29,2010052
24-Oct-16,15.43,15.46,15.23,15.25,1854627
21-Oct-16,15.14,15.30,15.09,15.22,2025273
20-Oct-16,15.10,15.39,15.08,15.26,2449613
19-Oct-16,14.78,15.18,14.78,15.15,2171659
18-Oct-16,14.91,14.91,14.60,14.73,2407118
17-Oct-16,14.82,14.92,14.67,14.71,2637742
14-Oct-16,15.15,15.25,14.61,14.81,4880605
13-Oct-16,15.32,15.34,14.98,15.06,3176024
12-Oct-16,15.61,15.66,15.46,15.48,1571453
11-Oct-16,15.71,15.80,15.51,15.58,2201214
10-Oct-16,15.75,15.83,15.68,15.72,1586985
7-Oct-16,15.59,15.68,15.46,15.63,1811983
6-Oct-16,15.69,15.78,15.54,15.64,2651069
5-Oct-16,15.41,15.73,15.38,15.70,3298972
4-Oct-16,15.23,15.43,15.20,15.31,1966314
3-Oct-16,15.07,15.25,15.02,15.14,1678960
30-Sep-16,15.05,15.29,14.97,15.23,1704856
29-Sep-16,15.13,15.24,14.85,14.93,1747513
28-Sep-16,15.04,15.17,14.90,15.17,1494315
27-Sep-16,14.79,14.95,14.75,14.95,2135838
