Date,Open,High,Low,Close,Volume
9-Dec-16,29.54,29.60,29.25,29.55,986086
8-Dec-16,29.17,29.70,28.96,29.56,851203
7-Dec-16,28.44,29.26,28.37,29.06,1219435
6-Dec-16,28.30,28.53,28.16,28.49,863430
5-Dec-16,27.97,28.30,27.84,28.28,981796
2-Dec-16,27.77,27.96,27.64,27.68,967952
1-Dec-16,27.72,28.05,27.54,27.87,1216167
30-Nov-16,27.56,27.64,27.27,27.49,841969
29-Nov-16,27.18,27.45,27.16,27.20,653930
28-Nov-16,27.55,27.69,27.11,27.15,880194
25-Nov-16,27.70,27.85,27.56,27.73,257466
23-Nov-16,27.52,27.74,27.39,27.68,776360
22-Nov-16,27.36,27.61,27.26,27.56,758316
21-Nov-16,26.89,27.39,26.79,27.34,1210224
18-Nov-16,27.60,27.79,27.25,27.37,1572155
17-Nov-16,27.60,27.90,27.17,27.25,1301423
16-Nov-16,28.05,28.37,27.33,27.67,1699961
15-Nov-16,28.62,28.67,28.05,28.30,997873
14-Nov-16,28.50,28.83,28.40,28.82,1810140
11-Nov-16,28.28,28.45,27.82,28.17,1278651
10-Nov-16,26.99,28.41,26.99,28.35,2624914
9-Nov-16,24.87,26.74,24.73,26.59,1815217
8-Nov-16,25.32,25.32,24.88,24.90,1665219
7-Nov-16,25.57,25.64,25.05,25.29,2175863
4-Nov-16,24.91,25.22,24.52,24.95,1599090
3-Nov-16,26.16,26.32,25.93,26.00,1729457
2-Nov-16,26.15,26.26,25.83,25.96,2205817
1-Nov-16,27.13,27.13,26.02,26.22,2314150
31-Oct-16,26.88,27.10,26.48,27.00,1967191
28-Oct-16,26.70,27.37,26.37,26.84,2570875
27-Oct-16,26.75,26.75,26.13,26.18,1338523
26-Oct-16,26.76,26.78,26.35,26.55,1653462
25-Oct-16,27.36,27.48,26.92,26.93,1116753
24-Oct-16,27.89,27.89,27.44,27.56,642451
21-Oct-16,27.56,27.71,27.42,27.44,642855
20-Oct-16,27.71,28.04,27.59,27.83,860689
19-Oct-16,27.99,27.99,27.72,27.76,395916
18-Oct-16,27.84,27.94,27.56,27.78,1165604
17-Oct-16,27.55,27.73,27.39,27.49,567238
14-Oct-16,27.99,28.09,27.60,27.62,600145
13-Oct-16,27.78,27.94,27.36,27.76,825664
12-Oct-16,27.99,28.32,27.91,28.12,804923
11-Oct-16,28.39,28.45,27.92,27.98,1004360
10-Oct-16,28.54,28.78,28.46,28.52,880460
7-Oct-16,28.82,29.19,27.96,28.31,1663745
6-Oct-16,29.22,29.58,28.92,29.49,1029348
5-Oct-16,29.09,29.50,28.86,29.21,3003175
4-Oct-16,29.39,29.58,28.69,28.90,2064651
3-Oct-16,29.56,29.96,29.26,29.30,1163921
30-Sep-16,29.61,29.88,29.43,29.63,959616
29-Sep-16,29.77,29.93,29.17,29.27,711755
28-Sep-16,29.89,29.94,29.44,29.84,955285
27-Sep-16,29.68,30.02,29.49,29.80,1033539
26-Sep-16,31.00,31.11,29.19,29.72,2103967
23-Sep-16,31.39,31.66,31.26,31.40,632514
22-Sep-16,32.26,32.40,31.46,31.59,982932
21-Sep-16,32.04,32.20,31.68,31.99,485449
20-Sep-16,32.18,32.25,31.77,31.78,402633
19-Sep-16,31.95,32.39,31.87,31.94,451070
16-Sep-16,31.79,32.00,31.57,31.82,776828
15-Sep-16,31.65,32.29,31.65,32.12,426095
14-Sep-16,31.49,31.89,31.48,31.66,734953
13-Sep-16,31.73,31.89,31.16,31.54,676974
12-Sep-16,31.38,32.24,31.30,32.13,668281
9-Sep-16,32.66,32.91,31.61,31.61,772710
8-Sep-16,32.80,33.13,32.73,32.93,908092
7-Sep-16,32.54,32.85,32.47,32.84,1077634
6-Sep-16,32.74,32.80,32.34,32.61,573313
2-Sep-16,32.28,32.75,32.12,32.75,586623
1-Sep-16,32.35,32.44,31.74,32.08,598496
31-Aug-16,32.40,32.60,32.07,32.30,633122
30-Aug-16,32.10,32.46,32.10,32.45,380654
29-Aug-16,32.03,32.35,32.03,32.16,336069
26-Aug-16,31.94,32.14,31.77,31.99,411220
25-Aug-16,31.82,31.96,31.72,31.81,326608
24-Aug-16,32.21,32.42,31.84,31.90,447218
23-Aug-16,32.20,32.48,32.14,32.15,393560
22-Aug-16,32.29,32.29,31.98,32.11,261543
19-Aug-16,32.34,32.44,32.12,32.39,424490
18-Aug-16,32.25,32.61,32.22,32.49,303574
17-Aug-16,32.09,32.44,32.07,32.20,507925
16-Aug-16,32.18,32.26,31.99,32.11,431402
15-Aug-16,32.09,32.34,31.97,32.28,381158
12-Aug-16,31.88,32.05,31.77,32.03,240578
11-Aug-16,32.24,32.26,32.00,32.05,400805
10-Aug-16,31.95,32.07,31.71,32.07,689750
9-Aug-16,32.10,32.16,31.87,31.91,551873
8-Aug-16,32.24,32.32,31.97,32.04,570060
5-Aug-16,31.92,32.30,31.79,32.13,474890
4-Aug-16,31.43,31.58,31.29,31.56,317879
3-Aug-16,31.26,31.79,31.26,31.71,513860
2-Aug-16,31.61,31.71,31.12,31.29,438781
1-Aug-16,31.56,31.90,31.43,31.71,623584
29-Jul-16,32.10,32.10,31.23,31.57,719710
28-Jul-16,31.49,31.68,31.24,31.41,452277
27-Jul-16,31.28,31.74,31.27,31.61,479110
26-Jul-16,31.28,31.42,31.07,31.28,375050
25-Jul-16,31.30,31.52,31.18,31.35,388168
22-Jul-16,31.10,31.41,31.10,31.38,203816
21-Jul-16,31.22,31.38,31.08,31.09,271519
20-Jul-16,31.20,31.30,30.87,31.27,279806
19-Jul-16,30.87,31.16,30.63,31.03,459504
18-Jul-16,30.84,31.17,30.82,31.06,559833
15-Jul-16,30.72,30.92,30.44,30.90,555435
14-Jul-16,30.65,30.85,30.39,30.52,522525
13-Jul-16,30.11,30.23,29.88,30.14,415565
12-Jul-16,29.72,30.29,29.72,30.15,470603
11-Jul-16,28.95,29.38,28.93,29.35,464492
8-Jul-16,28.70,28.95,28.63,28.81,407696
7-Jul-16,28.34,28.54,28.03,28.29,604468
6-Jul-16,27.86,28.40,27.69,28.36,564072
5-Jul-16,28.54,28.54,27.75,28.09,597635
1-Jul-16,28.69,29.03,28.51,28.71,705299
30-Jun-16,28.27,28.78,28.03,28.78,753352
29-Jun-16,27.86,28.12,27.45,28.06,622596
28-Jun-16,27.26,27.45,26.88,27.45,1232820
27-Jun-16,27.94,27.94,26.60,26.71,1082317
24-Jun-16,29.20,29.33,28.31,28.32,1243741
23-Jun-16,30.38,30.62,30.12,30.52,2231010
22-Jun-16,29.93,30.08,29.93,29.96,1275241
21-Jun-16,30.12,30.16,29.89,29.89,1101668
20-Jun-16,30.46,30.67,29.97,30.00,1474895
17-Jun-16,30.00,30.17,29.85,29.96,1257398
16-Jun-16,29.99,30.16,29.70,29.99,662861
15-Jun-16,30.33,30.71,30.22,30.28,421747
14-Jun-16,30.42,30.62,30.05,30.15,462211
13-Jun-16,30.67,30.88,30.47,30.54,563566
10-Jun-16,30.95,31.15,30.65,30.86,774969
9-Jun-16,31.68,31.78,31.32,31.46,515666
8-Jun-16,32.00,32.17,31.71,31.84,721749
7-Jun-16,32.26,32.26,31.84,32.04,515779
6-Jun-16,31.88,32.40,31.84,32.17,676446
3-Jun-16,32.00,32.03,31.19,31.82,915081
2-Jun-16,32.30,32.58,32.14,32.37,646525
1-Jun-16,32.06,32.59,31.82,32.47,601265
31-May-16,32.71,32.81,32.23,32.32,717734
27-May-16,32.34,32.71,32.22,32.51,607179
26-May-16,32.45,32.51,32.24,32.33,455858
25-May-16,32.33,32.56,32.14,32.46,415191
24-May-16,31.73,32.19,31.26,32.10,638199
23-May-16,31.47,31.70,31.40,31.44,665658
20-May-16,31.17,31.86,31.17,31.55,558242
19-May-16,31.23,31.45,30.67,31.01,476417
18-May-16,30.81,31.68,30.81,31.35,1045200
17-May-16,31.06,31.47,30.77,30.80,800524
16-May-16,31.26,31.50,30.91,31.09,811227
13-May-16,31.38,31.72,31.12,31.29,1445876
12-May-16,31.29,31.57,31.01,31.41,791731
11-May-16,31.05,31.45,31.03,31.19,934797
10-May-16,30.65,31.25,30.47,31.22,699921
9-May-16,30.44,30.68,30.30,30.44,493175
6-May-16,29.80,30.41,29.80,30.36,485919
5-May-16,29.97,30.24,29.68,30.06,681286
4-May-16,30.21,30.49,29.68,29.80,1365630
3-May-16,31.04,31.22,30.26,30.74,691949
2-May-16,31.61,31.78,31.11,31.44,1053770
29-Apr-16,31.35,31.69,30.87,31.60,1110993
28-Apr-16,31.87,31.87,31.32,31.41,656674
27-Apr-16,31.83,32.32,31.71,32.21,641839
26-Apr-16,31.58,31.87,31.50,31.83,476440
25-Apr-16,31.39,31.63,31.07,31.58,651104
22-Apr-16,31.35,31.75,31.35,31.57,483590
21-Apr-16,31.33,31.58,31.18,31.35,613274
20-Apr-16,30.73,31.39,30.70,31.33,574030
19-Apr-16,30.40,30.74,30.40,30.64,556982
18-Apr-16,30.04,30.40,29.85,30.25,505293
15-Apr-16,30.26,30.40,29.99,30.12,571784
14-Apr-16,30.41,30.66,30.05,30.23,1125509
13-Apr-16,29.42,30.52,29.42,30.41,796065
12-Apr-16,28.39,29.26,28.39,29.10,406119
11-Apr-16,28.48,28.84,28.28,28.42,580701
8-Apr-16,28.30,28.45,28.00,28.16,501099
7-Apr-16,28.93,29.04,27.89,28.13,737388
6-Apr-16,28.56,29.07,28.56,29.05,526217
5-Apr-16,28.78,28.90,28.52,28.59,633323
4-Apr-16,29.32,29.45,28.98,29.10,556058
1-Apr-16,28.58,29.32,28.56,29.29,482857
31-Mar-16,28.87,29.13,28.80,28.85,552511
30-Mar-16,28.86,29.16,28.75,28.95,339034
29-Mar-16,28.14,28.80,27.90,28.78,422744
28-Mar-16,28.30,28.40,28.02,28.28,393221
24-Mar-16,28.07,28.26,27.90,28.22,361932
23-Mar-16,28.59,28.70,28.35,28.35,348885
22-Mar-16,28.53,28.78,28.40,28.61,437639
21-Mar-16,28.87,29.13,28.54,28.86,380067
18-Mar-16,28.78,29.14,28.58,28.87,1539422
17-Mar-16,27.89,28.84,27.89,28.72,448731
16-Mar-16,27.64,28.15,27.59,27.98,486286
15-Mar-16,27.86,27.89,27.56,27.82,511669
14-Mar-16,28.40,28.47,27.65,28.10,664662
11-Mar-16,27.66,28.45,27.66,28.42,586317
10-Mar-16,27.72,27.74,27.12,27.47,440215
9-Mar-16,27.82,27.96,27.39,27.55,609050
8-Mar-16,28.20,28.28,27.68,27.71,574166
7-Mar-16,28.21,28.47,27.92,28.40,973109
4-Mar-16,27.63,28.49,27.57,28.34,1359136
3-Mar-16,27.15,27.68,27.03,27.55,1109466
2-Mar-16,26.96,27.26,26.85,27.20,859813
1-Mar-16,26.35,26.96,26.18,26.94,882696
29-Feb-16,26.04,26.34,25.92,26.17,950176
26-Feb-16,26.04,26.22,25.93,26.09,824095
25-Feb-16,25.51,25.83,25.36,25.78,589747
24-Feb-16,25.02,25.57,24.51,25.48,874982
23-Feb-16,25.35,25.52,25.19,25.41,1199709
22-Feb-16,25.24,25.48,25.18,25.40,790269
19-Feb-16,24.54,24.95,24.42,24.93,1004643
18-Feb-16,24.97,24.97,24.58,24.71,625511
17-Feb-16,24.82,25.32,24.76,24.86,790648
16-Feb-16,24.44,24.70,24.23,24.57,794051
12-Feb-16,23.71,24.08,23.45,24.04,654295
11-Feb-16,23.34,23.47,22.97,23.29,896050
10-Feb-16,23.82,24.40,23.69,23.95,1123653
9-Feb-16,22.88,23.81,22.84,23.58,1271910
8-Feb-16,23.18,23.40,22.76,23.31,1431758
5-Feb-16,23.68,24.00,23.54,23.58,745371
4-Feb-16,23.34,23.87,23.21,23.70,1361852
3-Feb-16,24.14,24.20,22.86,23.67,2015349
2-Feb-16,24.76,24.84,23.80,23.95,1271526
1-Feb-16,25.15,25.43,24.59,25.24,1187713
29-Jan-16,26.04,26.04,25.08,25.29,1694915
28-Jan-16,25.65,25.82,24.97,25.12,980801
27-Jan-16,25.64,25.95,25.16,25.34,608138
26-Jan-16,25.04,25.79,25.00,25.72,712048
25-Jan-16,25.83,25.94,24.90,24.93,843784
22-Jan-16,25.63,25.94,25.42,25.93,849870
21-Jan-16,25.12,25.85,24.98,25.18,1057311
20-Jan-16,25.21,25.39,24.24,25.08,1153286
19-Jan-16,25.71,26.11,25.52,25.71,1332126
15-Jan-16,24.82,25.45,24.81,25.34,874604
14-Jan-16,25.63,26.03,25.08,25.78,838555
13-Jan-16,26.53,26.55,25.39,25.54,966300
12-Jan-16,26.30,26.48,25.94,26.44,901052
11-Jan-16,26.05,26.18,25.47,26.06,1025227
8-Jan-16,26.81,26.99,25.91,25.94,720854
7-Jan-16,26.82,27.00,26.35,26.48,757102
6-Jan-16,27.72,27.73,27.14,27.42,815011
5-Jan-16,28.36,28.50,27.92,28.13,658377
4-Jan-16,27.97,28.28,27.70,28.28,714043
31-Dec-15,28.80,29.01,28.65,28.65,680143
30-Dec-15,28.86,29.01,28.76,28.80,326796
29-Dec-15,29.24,29.30,28.86,29.00,612354
28-Dec-15,28.83,29.01,28.82,29.00,531264
24-Dec-15,29.02,29.12,28.91,28.97,508224
23-Dec-15,28.94,29.12,28.79,29.00,987473
22-Dec-15,28.62,28.83,28.36,28.75,310478
