Date,Open,High,Low,Close,Volume
9-Dec-16,3.69,3.72,3.63,3.67,20546897
8-Dec-16,3.65,3.73,3.63,3.70,18816170
7-Dec-16,3.53,3.69,3.53,3.60,22919133
6-Dec-16,3.46,3.53,3.41,3.53,17303514
5-Dec-16,3.51,3.60,3.35,3.42,30097640
2-Dec-16,3.53,3.55,3.46,3.48,14273991
1-Dec-16,3.63,3.68,3.48,3.51,21100413
30-Nov-16,3.67,3.72,3.64,3.65,18109002
29-Nov-16,3.74,3.76,3.66,3.67,12998870
28-Nov-16,3.67,3.78,3.67,3.74,16108410
25-Nov-16,3.63,3.70,3.62,3.69,5704093
23-Nov-16,3.55,3.62,3.55,3.62,10192795
22-Nov-16,3.54,3.60,3.52,3.59,15493882
21-Nov-16,3.47,3.52,3.45,3.51,16942077
18-Nov-16,3.39,3.44,3.35,3.42,12626808
17-Nov-16,3.46,3.48,3.36,3.36,16905902
16-Nov-16,3.30,3.47,3.28,3.43,24529612
15-Nov-16,3.24,3.30,3.22,3.30,13537456
14-Nov-16,3.15,3.24,3.14,3.24,15433915
11-Nov-16,3.15,3.23,3.11,3.18,18806392
10-Nov-16,3.23,3.26,3.15,3.16,21524607
9-Nov-16,3.19,3.22,3.13,3.21,22316579
8-Nov-16,3.25,3.31,3.21,3.24,27615481
7-Nov-16,3.20,3.29,3.16,3.21,30989417
4-Nov-16,3.17,3.24,3.10,3.12,43146021
3-Nov-16,3.42,3.43,3.12,3.13,54916608
2-Nov-16,3.80,3.80,3.38,3.39,85892107
1-Nov-16,4.04,4.07,3.90,3.93,19346358
31-Oct-16,4.05,4.09,4.00,4.02,23321673
28-Oct-16,4.16,4.24,4.03,4.03,20753528
27-Oct-16,4.10,4.26,4.02,4.17,24739312
26-Oct-16,4.11,4.13,4.05,4.09,7884121
25-Oct-16,4.10,4.14,4.07,4.11,8635332
24-Oct-16,4.09,4.12,4.05,4.10,5841085
21-Oct-16,4.06,4.13,4.06,4.07,11225946
20-Oct-16,4.10,4.12,4.04,4.09,10307159
19-Oct-16,4.12,4.13,4.04,4.09,14172616
18-Oct-16,3.95,4.09,3.93,4.08,20453722
17-Oct-16,3.96,3.98,3.88,3.90,11834914
14-Oct-16,4.01,4.04,3.93,3.94,11454823
13-Oct-16,4.00,4.03,3.94,4.00,14406549
12-Oct-16,4.16,4.19,4.01,4.02,12999769
11-Oct-16,4.10,4.19,4.10,4.15,17771021
10-Oct-16,4.25,4.29,4.14,4.15,17634568
7-Oct-16,3.99,4.36,3.94,4.23,73382215
6-Oct-16,4.00,4.03,3.90,3.99,29323009
