Date,Open,High,Low,Close,Volume
30-Jun-16,65.98,66.00,65.97,65.97,8500560
29-Jun-16,66.00,66.01,65.93,65.99,1176912
28-Jun-16,65.96,66.01,65.85,66.01,836574
27-Jun-16,65.87,66.01,65.83,66.01,968251
24-Jun-16,65.88,66.04,65.78,65.90,1094848
23-Jun-16,65.91,65.98,65.86,65.98,737070
22-Jun-16,65.87,65.94,65.82,65.91,550099
21-Jun-16,65.88,65.94,65.81,65.87,770286
20-Jun-16,65.91,65.91,65.83,65.85,551137
17-Jun-16,65.84,65.96,65.82,65.92,794048
16-Jun-16,65.82,65.92,65.80,65.82,594387
15-Jun-16,65.86,65.98,65.81,65.85,804046
14-Jun-16,65.90,65.95,65.82,65.86,952708
13-Jun-16,65.90,65.98,65.89,65.92,521496
10-Jun-16,65.89,66.00,65.84,65.93,942969
9-Jun-16,65.82,65.95,65.81,65.90,867761
8-Jun-16,65.79,66.05,65.75,65.80,1272249
7-Jun-16,65.71,65.81,65.70,65.79,690113
6-Jun-16,65.74,65.82,65.61,65.73,491380
3-Jun-16,65.80,65.94,65.66,65.74,823059
2-Jun-16,65.58,65.83,65.58,65.79,443186
1-Jun-16,65.79,65.95,65.52,65.56,889119
31-May-16,65.60,65.92,65.47,65.80,1873681
27-May-16,65.60,65.71,65.54,65.64,746274
26-May-16,65.58,65.73,65.57,65.59,740568
25-May-16,65.63,65.78,65.52,65.60,960358
24-May-16,65.61,65.73,65.48,65.60,835239
23-May-16,65.65,65.74,65.54,65.59,605830
20-May-16,65.76,65.78,65.57,65.63,747372
19-May-16,65.55,65.78,65.55,65.62,650271
18-May-16,65.59,65.80,65.55,65.56,916585
17-May-16,65.61,65.72,65.57,65.59,1566802
16-May-16,65.77,65.80,65.53,65.61,530391
13-May-16,65.85,65.85,65.61,65.77,703620
12-May-16,65.73,65.88,65.64,65.85,716761
11-May-16,65.97,65.99,65.54,65.79,538011
10-May-16,66.20,66.32,66.15,66.19,317701
9-May-16,66.17,66.26,66.08,66.19,490001
6-May-16,66.26,66.26,65.91,66.14,643830
5-May-16,66.16,66.38,66.05,66.23,650475
4-May-16,66.37,66.40,66.10,66.21,937351
3-May-16,66.02,66.49,66.00,66.39,975186
2-May-16,65.76,66.10,65.73,66.05,1360742
29-Apr-16,65.64,65.89,65.48,65.86,1180540
