Date,Open,High,Low,Close,Volume
9-Dec-16,4.28,4.32,4.17,4.22,5926271
8-Dec-16,4.31,4.33,4.24,4.28,6324742
7-Dec-16,4.30,4.35,4.27,4.29,3844945
6-Dec-16,4.24,4.34,4.23,4.33,8387595
5-Dec-16,4.16,4.25,4.14,4.22,7074514
2-Dec-16,4.17,4.21,4.03,4.12,7116304
1-Dec-16,4.32,4.38,4.16,4.20,7685347
30-Nov-16,4.28,4.40,4.25,4.28,8157931
29-Nov-16,4.29,4.35,4.25,4.25,7487530
28-Nov-16,4.31,4.36,4.25,4.25,5435052
25-Nov-16,4.40,4.42,4.28,4.36,2671868
23-Nov-16,4.36,4.42,4.33,4.41,3692008
22-Nov-16,4.45,4.46,4.25,4.37,4928988
21-Nov-16,4.42,4.45,4.36,4.44,3077125
18-Nov-16,4.34,4.44,4.33,4.37,7066899
17-Nov-16,4.30,4.35,4.25,4.33,5409299
16-Nov-16,4.32,4.39,4.29,4.31,5073351
15-Nov-16,4.27,4.32,4.15,4.32,5466955
14-Nov-16,4.25,4.37,4.24,4.31,7598020
11-Nov-16,4.07,4.23,4.04,4.21,10008165
10-Nov-16,4.04,4.19,3.94,4.00,11308911
9-Nov-16,3.96,4.24,3.93,3.97,16477576
8-Nov-16,4.06,4.09,3.93,4.04,8250738
7-Nov-16,4.11,4.21,3.96,4.07,10463900
4-Nov-16,4.02,4.29,4.01,4.02,11678112
3-Nov-16,4.15,4.20,4.07,4.11,11072671
2-Nov-16,4.00,4.22,3.99,4.19,13042488
1-Nov-16,4.16,4.19,3.99,4.02,10498846
31-Oct-16,4.04,4.26,3.98,4.14,17690796
28-Oct-16,4.33,4.33,3.94,3.98,19340951
27-Oct-16,4.48,4.48,4.13,4.31,26570207
26-Oct-16,4.51,4.65,4.34,4.44,28310639
25-Oct-16,4.72,4.85,4.55,4.57,30025638
24-Oct-16,4.95,4.99,4.64,4.79,83388600
21-Oct-16,5.12,5.21,5.07,5.21,5194958
20-Oct-16,5.22,5.25,5.09,5.16,4965933
19-Oct-16,5.10,5.24,5.09,5.22,6572866
18-Oct-16,5.09,5.12,5.01,5.09,4990564
17-Oct-16,5.08,5.10,4.99,5.01,5231984
14-Oct-16,5.12,5.19,5.04,5.05,6393044
13-Oct-16,5.10,5.13,4.91,5.03,8893230
12-Oct-16,5.24,5.25,5.14,5.16,7602740
11-Oct-16,5.21,5.27,5.10,5.14,7505760
10-Oct-16,5.15,5.27,5.13,5.21,4878134
7-Oct-16,5.06,5.12,4.99,5.10,7198549
