Date,Open,High,Low,Close,Volume
9-Dec-16,206.32,207.31,200.62,203.29,1097541
8-Dec-16,202.62,207.39,202.13,206.70,898376
7-Dec-16,203.40,204.80,200.54,203.00,2908549
6-Dec-16,210.01,210.69,202.16,204.30,2109006
5-Dec-16,214.00,214.87,204.71,208.83,2856506
2-Dec-16,217.00,217.80,212.57,213.63,1219443
1-Dec-16,211.93,216.92,211.42,216.76,2228542
30-Nov-16,209.65,212.94,208.33,212.64,2125028
29-Nov-16,208.71,211.71,208.16,210.00,1732240
28-Nov-16,207.99,208.60,206.82,208.00,1871598
25-Nov-16,208.68,210.30,207.40,207.88,498477
23-Nov-16,206.66,208.25,203.24,207.93,1787626
22-Nov-16,200.13,205.91,199.18,205.71,1820366
21-Nov-16,199.52,201.91,199.52,199.99,1168934
18-Nov-16,201.99,202.40,199.96,200.16,938035
17-Nov-16,200.45,203.95,199.65,202.06,1792798
16-Nov-16,198.83,201.12,198.39,200.47,954505
15-Nov-16,199.58,201.80,197.40,198.82,1476949
14-Nov-16,193.00,203.48,192.99,198.84,3145970
11-Nov-16,193.91,196.45,192.00,193.19,3204917
10-Nov-16,189.30,194.05,188.20,192.88,3477538
9-Nov-16,179.12,189.06,178.92,186.00,3979900
8-Nov-16,174.73,180.00,174.01,179.03,1498634
7-Nov-16,170.87,175.90,169.62,174.91,1513310
4-Nov-16,165.76,169.90,165.52,167.42,923523
3-Nov-16,168.19,169.66,165.03,165.31,992029
2-Nov-16,169.00,171.17,168.08,168.19,724279
1-Nov-16,172.00,172.12,167.66,168.66,838311
31-Oct-16,171.57,172.77,170.37,171.53,524446
28-Oct-16,174.04,174.27,170.04,171.06,966146
27-Oct-16,175.40,175.98,172.93,174.19,698408
26-Oct-16,174.89,175.49,174.13,174.65,559543
25-Oct-16,176.43,176.50,174.32,174.86,756714
24-Oct-16,176.04,176.61,174.20,176.27,645005
21-Oct-16,173.06,177.37,173.06,175.88,1316111
20-Oct-16,174.26,174.97,173.25,174.55,756433
19-Oct-16,173.69,175.99,172.67,173.90,1219118
18-Oct-16,171.96,174.10,171.00,173.27,908125
17-Oct-16,170.45,171.50,169.44,169.89,525928
14-Oct-16,170.21,172.87,169.88,170.82,1447892
13-Oct-16,168.02,170.46,166.01,169.48,1635324
12-Oct-16,178.00,180.00,163.50,168.44,6326338
11-Oct-16,178.16,178.75,176.63,177.53,1618709
10-Oct-16,177.79,178.71,177.42,178.51,1226822
7-Oct-16,177.92,177.92,176.36,177.74,861509
6-Oct-16,177.86,178.21,176.30,177.23,539430
5-Oct-16,177.29,178.37,176.86,177.80,1040002
4-Oct-16,177.01,177.51,175.78,177.22,963801
3-Oct-16,176.89,177.44,174.86,176.63,895676
30-Sep-16,176.29,177.45,175.63,176.89,825764
29-Sep-16,176.41,176.98,174.95,175.82,367391
28-Sep-16,177.63,177.99,175.37,176.58,488387
27-Sep-16,175.79,178.19,175.33,177.22,620580
26-Sep-16,175.43,176.85,174.92,175.31,673104
23-Sep-16,175.31,176.87,174.81,175.55,502480
22-Sep-16,176.57,176.87,175.68,175.99,452954
21-Sep-16,174.49,176.00,174.30,175.85,677047
20-Sep-16,174.62,175.42,174.28,174.52,394133
19-Sep-16,175.02,175.29,174.12,174.58,690014
16-Sep-16,174.35,177.56,173.53,174.62,2016279
15-Sep-16,174.39,176.54,174.26,174.78,401223
14-Sep-16,175.59,176.05,174.75,174.99,735332
13-Sep-16,175.73,176.88,174.61,175.79,1188326
12-Sep-16,176.50,176.90,175.54,176.78,807450
9-Sep-16,175.33,178.20,174.96,176.50,895732
8-Sep-16,176.13,177.53,174.91,176.42,687684
7-Sep-16,176.20,177.70,175.52,176.16,606909
6-Sep-16,177.18,178.91,175.14,176.78,683948
2-Sep-16,177.14,178.07,176.03,177.33,469449
1-Sep-16,179.23,179.23,176.30,176.53,566140
31-Aug-16,178.48,179.01,177.42,178.71,430524
30-Aug-16,176.52,178.63,176.16,178.47,603884
29-Aug-16,177.33,178.96,176.75,176.93,529350
26-Aug-16,177.59,177.86,175.66,177.38,526350
25-Aug-16,178.44,179.79,176.88,177.29,531620
24-Aug-16,180.00,180.75,178.64,179.31,493387
23-Aug-16,180.75,180.88,179.32,179.86,553598
22-Aug-16,178.56,180.97,178.47,180.42,610121
19-Aug-16,178.96,179.85,177.91,178.00,421116
18-Aug-16,178.47,180.07,178.47,179.48,907489
17-Aug-16,180.34,180.40,178.12,178.88,883066
16-Aug-16,179.42,180.79,177.62,179.63,601224
15-Aug-16,180.86,181.53,178.28,179.63,590770
12-Aug-16,178.93,183.49,178.53,180.86,1247090
11-Aug-16,180.00,180.39,178.90,180.09,946237
10-Aug-16,176.98,180.48,176.39,179.70,1987272
9-Aug-16,177.96,179.11,176.83,177.13,526615
8-Aug-16,178.69,179.21,177.50,177.65,848737
5-Aug-16,174.34,181.71,173.67,178.96,2188455
4-Aug-16,172.18,176.54,171.55,173.83,2383368
3-Aug-16,170.38,173.56,168.81,173.48,1307328
2-Aug-16,171.69,173.00,167.52,169.57,1423371
1-Aug-16,173.00,173.37,170.40,171.18,487143
29-Jul-16,169.85,173.00,169.85,172.55,522024
28-Jul-16,171.36,172.38,170.87,172.21,636137
27-Jul-16,173.11,173.87,171.34,172.07,906549
26-Jul-16,173.22,174.56,171.48,173.96,1456312
25-Jul-16,175.68,176.06,172.47,173.01,1696268
22-Jul-16,171.34,178.20,171.34,176.05,5476568
21-Jul-16,153.75,174.77,153.58,171.53,10429804
20-Jul-16,154.41,160.20,152.81,158.41,3881715
19-Jul-16,158.90,160.32,150.00,153.38,8659958
18-Jul-16,160.19,160.85,156.59,159.64,1853403
15-Jul-16,162.41,162.70,158.89,158.89,1699564
14-Jul-16,162.22,162.44,159.55,161.27,1687912
13-Jul-16,155.00,163.00,153.80,161.30,3056649
12-Jul-16,155.35,155.52,151.30,154.71,3667208
11-Jul-16,159.80,164.95,152.34,154.00,5154561
8-Jul-16,159.76,164.10,157.26,158.15,5565477
7-Jul-16,180.37,180.37,158.60,162.74,9068720
6-Jul-16,176.49,181.49,176.37,179.98,1964861
5-Jul-16,173.68,177.66,172.47,177.21,1381403
1-Jul-16,180.47,181.21,169.98,174.00,4784028
30-Jun-16,183.50,183.50,177.90,179.88,3772832
29-Jun-16,183.87,184.92,183.04,183.65,2122323
28-Jun-16,179.34,182.97,179.03,182.95,2650536
27-Jun-16,181.44,182.00,176.94,176.94,1606389
24-Jun-16,184.69,185.90,182.46,182.90,916985
23-Jun-16,188.85,190.62,185.61,187.31,1396675
22-Jun-16,189.72,191.00,187.32,187.67,1231828
21-Jun-16,190.73,190.76,188.68,190.07,1236560
20-Jun-16,188.71,191.65,188.00,189.90,1935348
17-Jun-16,187.26,187.93,185.40,187.15,844338
16-Jun-16,185.06,187.53,184.34,187.04,682483
15-Jun-16,186.22,187.52,185.24,185.55,717697
14-Jun-16,184.88,187.44,184.50,185.69,813094
13-Jun-16,186.24,187.86,184.63,184.69,545416
10-Jun-16,188.00,188.50,185.98,186.76,324497
9-Jun-16,187.03,188.58,187.00,188.35,621177
8-Jun-16,187.63,189.37,187.48,188.00,1464399
7-Jun-16,189.50,189.90,187.80,188.40,880943
6-Jun-16,186.75,189.82,186.25,189.38,968760
3-Jun-16,186.90,186.99,184.28,186.20,1094643
2-Jun-16,177.81,187.40,175.27,187.36,3518084
1-Jun-16,172.27,177.82,171.53,177.40,1015887
31-May-16,174.50,174.86,171.38,172.51,1279423
27-May-16,174.08,174.98,172.50,173.74,585405
26-May-16,174.67,174.82,172.98,174.25,1020349
25-May-16,170.63,175.14,170.03,174.70,1773792
24-May-16,170.21,171.81,169.55,170.78,1227054
23-May-16,170.00,172.97,169.08,169.59,1160907
20-May-16,168.95,169.99,168.31,169.60,1410221
19-May-16,168.89,169.98,167.34,168.33,898298
18-May-16,170.53,173.42,169.86,170.22,874043
17-May-16,171.43,172.26,168.67,170.80,1244007
16-May-16,164.91,171.96,163.89,171.52,1847681
13-May-16,165.88,166.61,160.65,165.23,2068092
