Date,Open,High,Low,Close,Volume
9-Dec-16,59.40,59.86,59.05,59.66,2170533
8-Dec-16,59.42,59.57,58.86,59.46,3234279
7-Dec-16,58.82,59.42,58.64,59.08,4086555
6-Dec-16,57.80,58.62,57.64,58.56,3809107
5-Dec-16,56.90,57.86,56.85,57.79,4219627
2-Dec-16,56.39,56.74,56.00,56.65,3148203
1-Dec-16,55.50,56.40,55.38,56.35,4136041
30-Nov-16,55.32,55.86,55.26,55.40,5473641
29-Nov-16,54.35,54.94,53.95,54.84,3023153
28-Nov-16,54.66,54.79,54.03,54.08,2151256
25-Nov-16,54.48,54.69,54.20,54.69,735481
23-Nov-16,54.34,54.63,53.91,54.33,2560124
22-Nov-16,55.32,55.32,54.23,54.41,3086697
21-Nov-16,54.94,55.18,54.52,55.18,3315666
18-Nov-16,54.71,55.03,54.70,54.82,3369269
17-Nov-16,54.51,55.16,54.34,54.90,3171854
16-Nov-16,55.10,55.36,54.20,54.45,4521838
15-Nov-16,55.43,55.72,54.91,55.50,2855696
14-Nov-16,56.40,56.49,55.06,55.59,3968830
11-Nov-16,57.20,57.30,55.90,56.25,3415741
10-Nov-16,57.99,58.70,57.12,57.30,3780301
9-Nov-16,55.19,57.57,54.50,57.34,4936999
8-Nov-16,54.48,54.84,54.19,54.62,2192259
7-Nov-16,54.15,54.50,54.03,54.43,3395791
4-Nov-16,53.91,54.02,53.27,53.37,2230413
3-Nov-16,53.28,53.91,53.24,53.89,3707295
2-Nov-16,52.52,53.30,52.52,53.04,3936775
1-Nov-16,53.60,53.92,52.27,52.61,6879725
31-Oct-16,53.65,54.41,53.29,54.08,4055015
28-Oct-16,53.22,53.73,53.07,53.57,2674575
27-Oct-16,53.35,53.48,53.02,53.22,2777780
26-Oct-16,53.19,53.57,53.18,53.26,2019285
25-Oct-16,53.20,53.77,53.20,53.39,1972120
24-Oct-16,53.43,53.43,53.14,53.31,1552570
21-Oct-16,52.74,53.40,52.62,53.27,2494635
20-Oct-16,53.38,53.60,53.00,53.01,2025705
19-Oct-16,53.73,53.83,53.21,53.41,1898985
18-Oct-16,53.67,53.95,53.22,53.53,1899055
17-Oct-16,54.24,54.39,53.15,53.18,2352105
14-Oct-16,53.70,54.50,53.57,54.26,3297085
13-Oct-16,53.17,53.39,52.93,53.31,3073060
12-Oct-16,53.16,53.55,52.91,53.47,2351210
11-Oct-16,53.70,53.83,52.98,53.07,3266390
10-Oct-16,53.77,53.96,53.39,53.68,2680090
7-Oct-16,53.62,53.65,53.16,53.46,1694810
6-Oct-16,53.51,53.68,53.35,53.54,1793760
5-Oct-16,53.59,53.73,53.33,53.66,3207710
4-Oct-16,53.60,54.05,53.48,53.55,2449245
3-Oct-16,53.67,53.92,53.44,53.53,4497090
30-Sep-16,53.97,54.21,53.80,53.87,3410605
29-Sep-16,54.01,54.50,53.42,53.68,2953725
28-Sep-16,54.77,54.88,53.89,54.19,3870825
27-Sep-16,54.68,54.98,54.48,54.71,2403105
26-Sep-16,55.15,55.28,54.66,54.81,2608240
23-Sep-16,56.07,56.07,55.22,55.22,2997735
22-Sep-16,56.65,56.72,55.91,56.14,1952065
21-Sep-16,56.17,56.50,56.00,56.45,1707070
20-Sep-16,56.55,56.77,56.04,56.04,1459140
19-Sep-16,56.45,56.69,56.22,56.45,1802960
16-Sep-16,56.14,56.41,55.84,56.30,3187130
15-Sep-16,55.97,56.52,55.96,56.34,2574015
14-Sep-16,56.16,56.45,55.92,55.96,4206200
13-Sep-16,56.62,56.83,56.13,56.33,4094925
12-Sep-16,55.76,57.15,55.76,57.00,4145260
9-Sep-16,56.34,56.67,56.07,56.45,4113700
8-Sep-16,56.61,56.70,56.32,56.51,2682860
7-Sep-16,56.62,56.79,56.33,56.73,2363815
6-Sep-16,57.14,57.40,56.76,56.97,3947770
2-Sep-16,57.04,57.11,56.70,57.07,1918370
1-Sep-16,56.51,57.29,56.33,56.87,3703655
31-Aug-16,55.85,56.43,55.75,56.40,3155815
30-Aug-16,55.77,56.03,55.36,55.99,2975195
29-Aug-16,55.54,56.08,55.46,55.71,2274290
26-Aug-16,55.56,55.87,55.21,55.54,1678040
25-Aug-16,55.33,55.50,55.21,55.44,1891100
24-Aug-16,55.65,55.75,55.31,55.43,2213810
23-Aug-16,56.26,56.26,55.73,55.78,1542150
22-Aug-16,56.07,56.16,55.82,55.90,1675960
19-Aug-16,56.21,56.38,55.83,56.07,1828335
18-Aug-16,56.28,56.38,56.15,56.27,1989090
17-Aug-16,55.72,56.36,55.67,56.30,2057650
16-Aug-16,55.80,56.12,55.62,55.62,1932345
15-Aug-16,55.93,56.06,55.73,56.00,2393630
12-Aug-16,55.36,55.79,55.26,55.73,1717190
11-Aug-16,55.62,55.75,55.23,55.72,1798230
10-Aug-16,55.35,55.46,55.13,55.37,1937200
9-Aug-16,55.46,55.51,55.20,55.39,1960025
8-Aug-16,55.48,55.48,54.91,55.36,2953070
5-Aug-16,56.01,56.05,55.26,55.61,3286680
4-Aug-16,55.70,56.00,55.35,55.67,3667720
3-Aug-16,54.21,56.65,54.00,55.60,10269435
2-Aug-16,52.85,52.85,52.45,52.79,3098725
1-Aug-16,52.94,53.04,52.67,52.93,2237030
29-Jul-16,52.97,53.23,52.81,52.84,1873575
28-Jul-16,52.71,53.21,52.62,53.05,2935805
27-Jul-16,52.42,52.93,52.42,52.81,1866540
26-Jul-16,52.55,52.73,52.22,52.42,1285935
25-Jul-16,52.59,52.71,52.31,52.68,1520320
22-Jul-16,52.73,52.73,52.52,52.63,1402055
21-Jul-16,52.38,52.51,52.15,52.49,1479755
20-Jul-16,53.00,53.00,52.47,52.54,3431955
19-Jul-16,52.30,53.03,52.25,52.83,1545140
18-Jul-16,52.64,52.89,52.44,52.58,2019875
15-Jul-16,52.70,52.70,52.50,52.61,2297370
14-Jul-16,52.40,52.51,52.11,52.51,1977915
13-Jul-16,52.41,52.41,51.72,51.92,1821450
12-Jul-16,51.91,52.23,51.66,52.10,3095475
11-Jul-16,51.39,51.69,51.12,51.59,1897390
8-Jul-16,50.85,51.71,50.85,51.38,2346395
7-Jul-16,50.97,51.20,50.27,50.79,3344590
6-Jul-16,50.64,51.04,50.45,50.98,3859160
5-Jul-16,50.21,51.06,50.18,50.97,2731475
1-Jul-16,50.98,51.55,50.49,50.55,2740430
30-Jun-16,50.60,51.35,50.32,51.19,4279825
29-Jun-16,50.03,50.72,49.87,50.55,4377025
28-Jun-16,48.82,49.67,48.44,49.67,5460390
27-Jun-16,49.06,49.06,48.15,48.44,4479215
24-Jun-16,49.56,50.44,49.15,49.28,12361620
23-Jun-16,50.83,51.24,50.72,51.21,3844685
22-Jun-16,50.29,50.47,49.92,50.40,3392450
21-Jun-16,50.49,50.69,50.14,50.19,3463780
20-Jun-16,51.13,51.63,50.40,50.44,4078385
17-Jun-16,51.35,51.36,50.66,50.73,3280725
16-Jun-16,50.93,51.45,50.68,51.31,2927065
15-Jun-16,51.64,52.05,51.19,51.31,3974725
14-Jun-16,51.79,52.18,51.41,51.60,3986665
13-Jun-16,52.00,52.55,51.68,52.11,3665735
10-Jun-16,52.22,52.51,52.03,52.26,2980315
9-Jun-16,52.68,52.79,52.27,52.50,3510635
8-Jun-16,52.92,53.03,52.63,52.96,2272570
7-Jun-16,52.90,53.41,52.86,53.06,3856050
6-Jun-16,53.06,53.16,52.35,52.90,4610010
3-Jun-16,53.01,53.18,52.60,53.10,4876045
2-Jun-16,53.57,53.79,53.11,53.45,3801465
1-Jun-16,53.75,53.94,53.21,53.82,3999590
31-May-16,54.24,54.39,53.88,54.22,3266320
27-May-16,53.88,54.14,53.60,54.04,2844665
26-May-16,53.90,54.05,53.42,53.60,3203360
25-May-16,54.16,54.34,53.88,54.00,3890550
24-May-16,52.90,54.29,52.80,54.14,6396455
23-May-16,52.46,52.93,52.30,52.80,3199455
20-May-16,52.45,53.12,52.35,52.60,5795945
19-May-16,52.30,52.60,51.91,52.13,4611660
18-May-16,51.40,52.33,51.24,52.29,3055050
17-May-16,52.20,52.50,51.26,51.52,3748580
16-May-16,52.13,52.62,51.86,52.32,3592380
13-May-16,52.22,52.66,51.98,52.00,3518190
