Date,Open,High,Low,Close,Volume
9-Dec-16,117.58,117.64,116.67,116.98,1174984
8-Dec-16,116.43,117.74,116.13,117.67,999581
7-Dec-16,114.32,116.64,114.22,116.61,942456
6-Dec-16,114.79,114.89,113.70,114.53,852423
5-Dec-16,113.92,115.58,111.48,114.89,1041809
2-Dec-16,113.25,113.83,112.23,113.26,840223
1-Dec-16,113.79,114.20,112.40,113.37,2088867
30-Nov-16,116.16,116.25,113.67,113.68,1696086
29-Nov-16,115.54,116.63,115.33,116.16,1480416
28-Nov-16,115.90,116.50,115.28,115.71,1166174
25-Nov-16,115.90,116.17,115.32,116.07,516816
23-Nov-16,116.32,116.38,115.55,115.82,1497622
22-Nov-16,116.24,116.66,115.62,116.43,1382824
21-Nov-16,115.25,115.98,114.69,115.67,1940584
18-Nov-16,113.74,116.62,113.63,115.98,4870535
17-Nov-16,110.81,113.84,110.22,113.80,1900130
16-Nov-16,110.83,111.02,109.96,110.86,2329975
15-Nov-16,110.46,111.82,110.22,110.90,1405606
14-Nov-16,111.50,112.06,109.92,110.01,1822181
11-Nov-16,109.00,111.52,108.70,111.38,2334510
10-Nov-16,109.60,110.58,107.19,109.23,1515598
9-Nov-16,104.27,109.57,103.22,109.36,2198541
8-Nov-16,107.95,108.93,107.36,108.35,882482
7-Nov-16,106.60,107.99,106.37,107.90,1169794
4-Nov-16,104.61,106.35,104.56,105.28,1035035
3-Nov-16,108.40,108.40,105.48,105.60,1110300
2-Nov-16,107.41,107.64,106.03,106.20,1204449
1-Nov-16,109.03,109.19,106.63,107.39,1048098
31-Oct-16,108.72,109.15,108.28,108.74,1349110
28-Oct-16,107.50,108.66,107.35,108.17,1157772
27-Oct-16,108.37,108.50,107.22,107.31,1245552
26-Oct-16,108.20,108.52,107.67,107.82,980822
25-Oct-16,109.64,109.81,108.09,108.32,1203137
24-Oct-16,109.22,109.99,108.80,109.62,974547
21-Oct-16,107.71,108.89,107.08,108.45,3144137
20-Oct-16,108.00,108.32,107.31,107.90,856715
19-Oct-16,107.82,108.57,107.15,108.19,1234816
18-Oct-16,107.97,108.80,107.08,107.15,897266
17-Oct-16,106.95,107.54,106.63,106.88,740864
14-Oct-16,107.56,108.17,106.94,106.99,1100242
13-Oct-16,106.80,107.30,106.51,106.80,1376199
12-Oct-16,106.96,108.02,106.41,107.53,1628836
11-Oct-16,108.08,108.22,106.54,106.99,1831633
10-Oct-16,108.48,108.84,108.12,108.15,860488
7-Oct-16,109.00,109.00,106.93,107.45,1524274
6-Oct-16,108.39,108.95,107.94,108.84,1251338
5-Oct-16,109.74,109.77,108.52,108.61,1025980
4-Oct-16,109.45,109.92,108.88,109.37,520436
3-Oct-16,109.83,110.12,108.90,109.16,818239
30-Sep-16,109.53,110.33,109.21,110.01,1681411
29-Sep-16,109.78,110.44,108.93,109.31,892674
28-Sep-16,110.03,110.30,109.39,110.18,1129058
27-Sep-16,108.90,110.43,108.58,110.11,1024626
26-Sep-16,109.19,109.49,108.58,108.98,1238374
23-Sep-16,110.17,110.53,109.26,109.90,1264092
22-Sep-16,111.14,111.49,110.59,110.76,1255609
21-Sep-16,109.52,111.00,108.90,110.78,1352855
20-Sep-16,109.75,109.85,108.68,108.97,1087767
19-Sep-16,109.42,109.97,108.95,108.98,1245805
16-Sep-16,109.42,109.48,108.16,109.00,3314060
15-Sep-16,108.14,109.97,107.64,109.76,1536056
14-Sep-16,106.97,108.19,106.72,108.11,1965836
13-Sep-16,107.08,108.22,106.34,106.70,2110337
12-Sep-16,108.92,109.92,108.33,109.54,1462149
9-Sep-16,109.92,110.46,109.24,109.25,1705845
8-Sep-16,111.44,111.98,110.83,110.96,1204246
7-Sep-16,111.44,111.97,110.92,111.97,1526096
6-Sep-16,111.89,112.06,110.40,111.37,2091030
2-Sep-16,112.91,113.10,111.44,112.07,986525
1-Sep-16,111.28,112.35,110.85,112.34,1339907
31-Aug-16,111.11,111.56,110.64,111.45,1413916
30-Aug-16,110.71,111.16,110.11,111.15,1503370
29-Aug-16,110.41,111.14,110.41,110.76,1301927
