Date,Open,High,Low,Close,Volume
9-Dec-16,619.84,627.88,618.80,625.21,289802
8-Dec-16,617.97,623.00,614.38,619.46,300942
7-Dec-16,620.52,622.17,610.71,619.01,621275
6-Dec-16,636.01,636.91,618.89,621.59,440508
5-Dec-16,637.30,638.52,634.29,636.95,293792
2-Dec-16,634.99,643.85,631.12,636.64,422719
1-Dec-16,642.46,644.00,628.11,632.33,447606
30-Nov-16,650.28,653.22,636.76,643.74,888418
29-Nov-16,648.98,654.77,648.00,650.31,313401
28-Nov-16,656.94,658.64,646.77,647.69,385862
25-Nov-16,648.43,661.30,645.75,656.51,245395
23-Nov-16,641.12,646.40,637.49,645.28,368882
22-Nov-16,658.00,658.69,637.58,640.21,667426
21-Nov-16,658.22,663.64,654.98,662.09,426259
18-Nov-16,654.14,658.00,652.70,654.89,263369
17-Nov-16,643.31,656.01,643.31,654.60,278992
16-Nov-16,641.58,645.50,637.00,643.36,293520
15-Nov-16,627.21,642.05,627.21,640.55,332416
14-Nov-16,621.00,632.00,618.68,624.60,598341
11-Nov-16,634.47,642.28,616.80,621.76,706391
10-Nov-16,652.12,654.42,630.64,635.52,786973
9-Nov-16,663.71,667.85,650.74,651.46,874526
8-Nov-16,678.87,688.17,677.07,685.13,217141
7-Nov-16,678.03,682.78,676.84,678.43,236317
4-Nov-16,671.87,678.78,670.58,671.42,342505
3-Nov-16,670.01,674.19,667.75,673.30,291914
2-Nov-16,670.38,674.33,666.02,666.57,265563
1-Nov-16,673.44,673.94,665.25,669.72,257628
31-Oct-16,665.79,673.44,658.37,672.08,292779
28-Oct-16,662.43,675.55,661.77,666.55,345356
27-Oct-16,667.49,669.56,657.72,663.23,328602
26-Oct-16,676.68,676.68,665.07,665.72,293810
25-Oct-16,685.00,685.99,676.59,679.50,252320
24-Oct-16,685.06,687.48,681.79,685.00,304162
21-Oct-16,680.45,682.43,675.92,678.02,408523
20-Oct-16,681.99,689.46,678.02,681.82,560180
