Date,Open,High,Low,Close,Volume
9-Dec-16,33.07,33.20,32.73,32.79,2636911
8-Dec-16,32.88,33.34,32.77,33.16,2687566
7-Dec-16,32.24,32.84,32.14,32.73,2770385
6-Dec-16,31.88,32.33,31.82,32.24,3551862
5-Dec-16,31.82,32.00,31.41,31.72,3345855
2-Dec-16,31.49,31.60,31.26,31.42,2349382
1-Dec-16,31.64,31.92,31.36,31.62,2830063
30-Nov-16,31.53,31.62,31.21,31.31,3269180
29-Nov-16,31.33,31.39,30.88,30.94,2611383
28-Nov-16,31.35,31.52,31.16,31.23,2934522
25-Nov-16,31.69,31.82,31.54,31.66,901828
23-Nov-16,31.76,31.95,31.47,31.67,2013021
22-Nov-16,31.96,31.96,31.41,31.73,2449556
21-Nov-16,31.79,31.80,31.34,31.78,3109603
18-Nov-16,31.91,32.00,31.48,31.52,3687504
17-Nov-16,31.82,32.05,31.63,31.90,3245994
16-Nov-16,31.95,32.30,31.77,31.78,2906436
15-Nov-16,31.59,32.36,31.41,32.31,4422844
14-Nov-16,31.49,32.17,31.35,31.97,5729173
11-Nov-16,30.77,31.24,30.55,31.20,5617432
10-Nov-16,30.14,31.71,30.14,31.00,5508952
9-Nov-16,29.10,30.28,28.57,30.09,5771530
8-Nov-16,28.35,28.61,28.06,28.40,2716905
7-Nov-16,28.58,28.88,28.37,28.48,3775256
4-Nov-16,27.83,28.18,27.58,27.86,4644053
3-Nov-16,27.88,28.00,27.63,27.85,4162511
2-Nov-16,27.95,27.95,27.46,27.67,3535750
1-Nov-16,28.28,28.41,27.68,28.04,3380028
31-Oct-16,28.61,28.62,28.08,28.09,4139975
28-Oct-16,29.16,29.19,28.23,28.54,4924705
27-Oct-16,29.29,29.55,28.55,29.09,6021138
26-Oct-16,29.40,29.79,29.21,29.70,5205995
25-Oct-16,30.09,30.24,29.56,29.58,3044094
24-Oct-16,30.01,30.24,29.97,30.10,3482211
21-Oct-16,29.58,29.98,29.50,29.83,3306218
20-Oct-16,29.70,30.00,29.66,29.82,3297238
19-Oct-16,29.74,29.99,29.70,29.75,3703646
18-Oct-16,30.00,30.00,29.52,29.59,4255085
17-Oct-16,29.97,30.06,29.48,29.57,4071892
14-Oct-16,30.53,30.69,29.90,29.91,4686758
13-Oct-16,30.43,30.43,29.74,30.31,2450514
12-Oct-16,30.59,31.33,30.59,30.80,4767907
11-Oct-16,31.09,31.44,30.37,30.54,5699024
10-Oct-16,31.34,31.64,31.15,31.25,4403204
7-Oct-16,31.79,31.90,30.88,31.13,5942030
6-Oct-16,31.87,31.94,31.62,31.83,3210182
5-Oct-16,31.56,32.03,31.55,31.97,2904565
4-Oct-16,31.54,31.68,31.00,31.39,4063650
3-Oct-16,31.24,31.71,31.15,31.46,3791361
30-Sep-16,30.81,31.43,30.57,31.27,3411362
29-Sep-16,30.84,31.18,30.17,30.44,3077361
28-Sep-16,30.81,31.00,30.52,30.98,2705889
27-Sep-16,30.34,30.72,30.06,30.71,2341580
26-Sep-16,30.28,30.67,30.13,30.28,2780244
23-Sep-16,30.95,31.06,30.50,30.54,2207095
22-Sep-16,31.12,31.37,30.94,31.10,2725894
21-Sep-16,30.74,30.92,30.41,30.84,3189418
20-Sep-16,30.66,30.84,30.38,30.48,3821960
19-Sep-16,30.40,30.84,30.26,30.30,2918131
16-Sep-16,30.37,30.41,29.88,30.18,10348976
15-Sep-16,30.14,30.88,30.07,30.70,3121109
14-Sep-16,30.46,30.76,30.23,30.32,4630808
13-Sep-16,30.92,30.96,30.30,30.51,4887945
12-Sep-16,30.49,31.76,30.07,31.61,5112545
9-Sep-16,31.36,31.47,30.76,30.78,4356940
8-Sep-16,31.46,31.64,31.38,31.49,2572829
7-Sep-16,31.24,31.64,31.19,31.47,2325368
6-Sep-16,31.48,31.65,31.19,31.33,3146130
2-Sep-16,31.30,31.55,31.14,31.48,2063140
1-Sep-16,31.32,31.51,30.79,31.10,2866789
31-Aug-16,31.26,31.49,30.98,31.19,4251613
30-Aug-16,31.10,31.34,31.01,31.19,4325142
29-Aug-16,30.92,31.32,30.92,30.96,3219108
26-Aug-16,30.91,31.18,30.68,30.88,4123007
25-Aug-16,30.55,30.75,30.40,30.74,4308182
24-Aug-16,30.73,30.80,30.55,30.68,2986437
23-Aug-16,30.55,30.72,30.52,30.60,2194789
22-Aug-16,30.14,30.41,30.03,30.28,2947276
19-Aug-16,29.95,30.41,29.91,30.29,2837283
18-Aug-16,29.89,30.17,29.83,30.17,2755698
17-Aug-16,29.67,30.08,29.58,29.95,2851502
16-Aug-16,29.60,29.84,29.52,29.73,2893926
15-Aug-16,29.88,30.15,29.83,29.93,2956285
12-Aug-16,29.24,29.81,29.23,29.76,2502457
11-Aug-16,29.56,29.80,29.41,29.70,2483583
10-Aug-16,29.49,29.58,29.31,29.39,2117859
9-Aug-16,29.68,29.68,29.28,29.48,2842442
8-Aug-16,29.69,29.90,29.50,29.70,3024915
5-Aug-16,29.36,29.88,29.31,29.55,4625635
4-Aug-16,28.93,29.16,28.70,28.92,2102917
3-Aug-16,28.41,29.06,28.35,29.02,2935396
2-Aug-16,28.96,29.20,28.15,28.27,6407573
1-Aug-16,29.22,29.37,28.84,29.04,3295863
29-Jul-16,28.69,29.24,28.66,29.18,4163098
28-Jul-16,28.82,29.56,28.52,28.92,4375140
27-Jul-16,28.37,28.73,28.34,28.61,4071867
26-Jul-16,28.42,28.66,28.24,28.37,3993055
25-Jul-16,28.31,28.54,28.26,28.41,3370303
22-Jul-16,28.11,28.48,28.04,28.45,3587456
21-Jul-16,28.00,28.19,27.96,28.11,2984705
20-Jul-16,27.84,28.11,27.54,28.01,4118573
19-Jul-16,27.41,27.74,27.07,27.60,2674470
18-Jul-16,27.55,27.83,27.43,27.68,2759474
15-Jul-16,27.35,27.54,27.16,27.42,3314867
14-Jul-16,27.48,27.62,26.95,27.16,5162566
13-Jul-16,26.86,26.90,26.44,26.68,4238231
12-Jul-16,26.40,27.00,26.28,26.86,6744595
11-Jul-16,25.94,26.12,25.62,25.82,4797293
8-Jul-16,25.71,25.90,25.49,25.63,5498274
7-Jul-16,24.97,25.42,24.82,25.16,4623607
6-Jul-16,24.51,25.05,24.34,24.99,4403255
5-Jul-16,24.94,24.98,24.48,24.77,4958440
1-Jul-16,25.48,26.01,25.26,25.33,4681605
30-Jun-16,25.00,25.54,24.76,25.54,8218470
29-Jun-16,24.44,24.86,24.22,24.85,6766525
28-Jun-16,23.77,24.18,23.49,23.99,10607110
27-Jun-16,24.97,24.97,23.02,23.16,10717555
24-Jun-16,27.45,27.50,25.55,25.57,13759694
23-Jun-16,29.28,29.64,29.25,29.62,3043204
22-Jun-16,28.80,29.15,28.70,28.77,3621701
21-Jun-16,28.73,28.84,28.51,28.65,4109077
20-Jun-16,28.44,28.82,28.44,28.63,7407030
17-Jun-16,27.57,28.06,27.49,27.73,8511496
16-Jun-16,27.04,27.54,26.82,27.51,4305107
15-Jun-16,27.58,28.02,27.36,27.40,4708450
14-Jun-16,27.82,28.05,27.23,27.40,4759492
13-Jun-16,28.20,28.71,27.90,27.95,6005947
10-Jun-16,28.60,28.66,28.29,28.42,4298159
9-Jun-16,29.35,29.35,28.71,29.07,5232422
8-Jun-16,29.84,30.13,29.54,29.59,6012284
7-Jun-16,30.65,30.70,29.84,29.85,5261566
6-Jun-16,30.49,30.86,30.36,30.61,6585285
3-Jun-16,30.40,30.55,30.01,30.41,5252854
2-Jun-16,31.00,31.00,30.56,30.83,2800729
1-Jun-16,31.06,31.40,30.65,31.31,2468663
31-May-16,31.56,31.66,31.19,31.40,3503794
27-May-16,31.17,31.56,31.00,31.45,2535672
26-May-16,31.34,31.40,31.07,31.10,3212046
25-May-16,30.98,31.43,30.89,31.37,4559661
24-May-16,30.07,30.86,30.03,30.73,4962852
23-May-16,29.42,29.96,29.42,29.87,4309371
20-May-16,29.04,29.62,28.96,29.54,5756587
19-May-16,28.67,29.00,28.38,28.79,4260057
18-May-16,28.41,28.99,28.35,28.99,5730721
17-May-16,28.35,28.81,28.08,28.41,5230794
16-May-16,28.44,28.69,28.27,28.45,5191260
13-May-16,28.97,29.41,28.35,28.38,3396990
12-May-16,29.33,29.56,28.89,29.06,2679666
11-May-16,29.45,29.65,29.02,29.05,3557016
10-May-16,29.73,30.06,29.68,29.99,2768399
9-May-16,29.65,29.79,29.43,29.54,2314923
6-May-16,29.28,29.70,29.08,29.66,2937560
5-May-16,29.81,29.99,29.36,29.47,3499701
4-May-16,29.81,30.04,29.49,29.72,2744766
3-May-16,30.61,30.61,29.64,30.13,5191492
2-May-16,30.83,31.43,30.68,31.06,3829715
29-Apr-16,31.16,31.35,30.50,31.01,3873870
28-Apr-16,31.91,32.12,31.32,31.49,5301508
27-Apr-16,32.31,32.86,32.23,32.73,3289408
26-Apr-16,32.04,32.45,31.82,32.43,2610263
25-Apr-16,32.17,32.34,31.68,31.82,3400403
22-Apr-16,32.40,32.70,32.14,32.36,2326430
21-Apr-16,32.35,32.58,32.04,32.31,3097628
20-Apr-16,31.92,32.50,31.77,32.38,2848600
19-Apr-16,31.71,31.99,31.55,31.79,2045012
18-Apr-16,31.07,31.66,30.99,31.53,2792691
15-Apr-16,31.29,31.38,31.07,31.24,2289216
14-Apr-16,31.19,31.55,30.98,31.31,2388849
13-Apr-16,30.58,31.22,30.52,31.22,3525587
12-Apr-16,29.84,30.23,29.50,30.08,4574143
11-Apr-16,29.88,30.18,29.59,29.62,4315158
8-Apr-16,29.96,30.08,29.51,29.60,3786871
7-Apr-16,30.43,30.84,29.50,29.60,6151160
6-Apr-16,30.54,31.13,30.49,30.76,3341459
5-Apr-16,30.47,30.86,30.18,30.69,4782510
4-Apr-16,31.34,31.56,30.98,31.09,4567565
1-Apr-16,30.49,31.46,30.39,31.38,4467407
31-Mar-16,31.19,31.41,30.49,30.77,7779606
30-Mar-16,31.22,31.54,31.03,31.26,3257180
29-Mar-16,30.25,30.92,29.93,30.87,2288810
28-Mar-16,30.33,30.64,30.07,30.49,1709994
24-Mar-16,30.02,30.34,29.82,30.33,2046969
23-Mar-16,30.82,30.82,30.18,30.40,3095605
22-Mar-16,30.60,30.98,30.37,30.82,2349378
21-Mar-16,31.07,31.14,30.68,30.97,2671611
18-Mar-16,31.12,31.46,30.62,31.01,8769844
17-Mar-16,30.12,31.17,30.11,30.92,3753769
16-Mar-16,29.41,30.25,29.27,30.13,3576550
15-Mar-16,29.62,29.71,29.15,29.60,3047463
14-Mar-16,29.74,30.09,29.54,29.96,4225681
11-Mar-16,29.12,30.08,28.86,30.00,4966612
10-Mar-16,28.49,28.61,27.68,28.33,4979455
9-Mar-16,28.48,28.50,27.67,28.19,3549404
8-Mar-16,28.66,28.82,28.09,28.20,3098363
7-Mar-16,28.75,29.21,28.60,29.01,2979888
4-Mar-16,28.75,29.39,28.46,29.09,4655809
3-Mar-16,28.20,28.65,28.10,28.60,3506936
2-Mar-16,27.95,28.23,27.73,28.22,4453112
1-Mar-16,27.07,27.88,26.99,27.88,5321346
29-Feb-16,26.96,27.21,26.70,26.74,3209201
26-Feb-16,27.17,27.46,26.96,27.10,3336008
25-Feb-16,26.23,26.90,26.04,26.88,4098632
24-Feb-16,25.95,26.22,25.31,26.17,3047640
23-Feb-16,27.10,27.16,26.20,26.34,3838552
22-Feb-16,26.79,27.29,26.67,27.18,3987007
19-Feb-16,26.75,26.89,26.10,26.30,5984159
18-Feb-16,27.44,27.49,26.78,27.04,4279222
17-Feb-16,27.20,27.72,27.03,27.45,3538389
16-Feb-16,26.80,27.00,26.41,26.70,4522262
12-Feb-16,26.20,26.83,25.46,26.50,4904316
11-Feb-16,25.40,25.60,24.90,25.38,6546310
10-Feb-16,25.89,26.72,25.76,26.31,6798415
9-Feb-16,25.03,25.94,24.92,25.65,5428547
8-Feb-16,26.42,26.42,25.43,25.78,5939903
5-Feb-16,27.97,28.27,26.92,27.08,6467684
4-Feb-16,27.57,28.50,27.49,27.96,5238424
3-Feb-16,28.03,28.11,26.75,27.57,8697551
2-Feb-16,28.40,28.40,27.63,27.79,5397803
1-Feb-16,29.68,29.69,28.81,29.12,5086827
29-Jan-16,28.87,30.02,28.75,29.93,7500771
28-Jan-16,29.27,29.85,28.28,28.55,6279945
27-Jan-16,29.13,29.88,28.76,28.98,5147282
26-Jan-16,28.77,29.28,28.76,29.18,3814313
25-Jan-16,29.27,29.35,28.53,28.65,5241081
22-Jan-16,28.96,29.54,28.89,29.48,4155949
21-Jan-16,28.48,29.00,28.10,28.43,3936472
20-Jan-16,28.20,28.54,27.36,28.21,5575213
19-Jan-16,29.13,29.30,28.53,28.82,3336296
15-Jan-16,28.57,29.25,28.34,28.76,4472624
14-Jan-16,29.16,29.96,28.38,29.63,3891807
13-Jan-16,30.01,30.12,28.88,29.09,6477489
12-Jan-16,30.25,30.38,29.20,29.80,4515214
11-Jan-16,30.23,30.31,29.26,29.93,5870140
8-Jan-16,31.78,31.83,30.06,30.13,5357376
7-Jan-16,31.51,31.89,31.32,31.51,6252232
6-Jan-16,32.28,32.78,32.18,32.53,5198781
5-Jan-16,33.34,33.54,32.68,33.10,4698739
4-Jan-16,32.59,33.21,32.37,33.19,7023680
31-Dec-15,33.13,33.69,33.06,33.48,3688748
30-Dec-15,33.36,33.78,33.27,33.38,2735074
29-Dec-15,33.21,33.61,33.17,33.57,3070847
28-Dec-15,32.75,33.00,32.58,32.96,2162476
24-Dec-15,33.07,33.19,32.73,32.92,1728108
23-Dec-15,32.01,33.22,31.94,33.12,4146272
22-Dec-15,31.78,31.99,31.31,31.73,2925697
21-Dec-15,31.05,31.66,30.94,31.65,3504237
18-Dec-15,31.00,31.05,30.68,30.74,6382760
17-Dec-15,32.09,32.12,31.16,31.19,3060987
16-Dec-15,31.68,31.96,31.04,31.90,4141565
15-Dec-15,30.77,31.44,30.50,31.34,5530208
14-Dec-15,31.45,31.67,30.12,30.39,6079569
