Date,Open,High,Low,Close,Volume
9-Dec-16,43.68,43.85,43.50,43.73,5066927
8-Dec-16,44.07,44.23,43.53,43.65,5674174
7-Dec-16,44.35,44.50,43.72,44.27,6694691
6-Dec-16,44.48,44.48,43.41,44.10,9801836
5-Dec-16,45.39,45.90,44.55,44.63,6506377
2-Dec-16,45.67,45.78,44.98,45.32,4771381
1-Dec-16,45.10,45.81,45.10,45.73,6192050
30-Nov-16,45.55,45.82,44.98,44.98,4012877
29-Nov-16,44.92,45.87,44.92,45.38,5292583
28-Nov-16,45.73,46.17,44.96,44.97,6220382
25-Nov-16,45.65,45.89,45.53,45.89,1412617
23-Nov-16,45.25,45.64,45.21,45.61,3651303
22-Nov-16,44.93,45.35,44.76,45.25,4480011
21-Nov-16,44.78,45.03,44.64,44.85,4570030
18-Nov-16,44.62,44.86,44.55,44.71,4641822
17-Nov-16,44.67,45.00,44.54,44.74,4806489
16-Nov-16,44.52,44.59,44.20,44.51,4424378
15-Nov-16,44.26,44.60,44.11,44.50,5239604
14-Nov-16,44.26,44.38,43.27,44.07,6311338
11-Nov-16,45.03,45.27,43.93,44.16,6603748
10-Nov-16,44.11,45.31,44.11,45.25,9670984
9-Nov-16,43.70,44.38,42.89,43.84,10083782
8-Nov-16,43.00,44.38,42.33,43.94,12196069
7-Nov-16,41.60,42.03,41.27,41.57,7389754
4-Nov-16,40.97,41.18,40.64,40.88,5362540
3-Nov-16,41.49,41.64,40.62,40.81,4515132
2-Nov-16,41.24,41.49,41.08,41.35,7198554
1-Nov-16,40.81,41.58,40.81,41.26,8530978
31-Oct-16,39.29,40.65,39.16,40.32,16630562
28-Oct-16,43.98,44.20,43.55,43.76,6006887
27-Oct-16,44.22,44.41,43.84,44.01,4656699
26-Oct-16,43.72,44.19,43.63,44.09,3890415
25-Oct-16,44.27,44.35,43.75,43.91,3972577
24-Oct-16,44.57,44.72,44.19,44.39,3601973
21-Oct-16,43.87,44.16,43.46,44.06,3719124
20-Oct-16,44.37,44.58,44.17,44.19,5724810
19-Oct-16,44.19,44.80,43.99,44.38,4714125
18-Oct-16,44.23,44.27,43.85,43.97,7937693
17-Oct-16,43.89,44.82,43.66,43.74,10730111
14-Oct-16,43.80,44.30,43.66,43.88,5328612
13-Oct-16,43.79,43.93,42.89,43.49,5997073
12-Oct-16,44.23,44.44,44.02,44.19,3606127
