Date,Open,High,Low,Close,Volume
9-Dec-16,61.53,61.77,59.96,60.75,2761231
8-Dec-16,59.60,61.85,59.57,61.49,4141110
7-Dec-16,57.38,60.10,57.00,60.09,3345504
6-Dec-16,57.33,57.57,56.58,57.26,1870523
5-Dec-16,57.04,57.99,56.64,57.20,2702570
2-Dec-16,56.12,57.05,55.84,56.54,2088123
1-Dec-16,55.77,57.67,55.30,56.04,3454799
30-Nov-16,56.21,56.66,55.55,55.92,4235695
29-Nov-16,56.21,56.89,55.90,56.35,2858180
28-Nov-16,57.82,57.82,55.83,56.06,4388517
25-Nov-16,58.86,59.08,57.74,57.85,1147145
23-Nov-16,57.32,58.56,57.05,58.53,2428421
22-Nov-16,58.07,58.59,57.86,57.90,2472357
21-Nov-16,58.47,58.94,57.50,57.73,3210878
18-Nov-16,57.81,59.50,56.79,58.94,4053673
17-Nov-16,58.50,59.00,57.67,58.50,2659232
16-Nov-16,58.25,58.81,57.61,58.30,4020206
15-Nov-16,59.74,59.74,57.85,58.30,4644271
14-Nov-16,59.06,62.82,59.06,59.55,10520540
11-Nov-16,57.50,59.18,55.05,58.72,11523462
10-Nov-16,53.99,57.33,53.99,56.03,10673493
9-Nov-16,50.99,52.65,50.18,52.29,5374946
8-Nov-16,51.81,52.57,51.16,52.05,2984622
7-Nov-16,51.29,51.85,51.24,51.82,1724500
4-Nov-16,50.39,50.92,50.11,50.39,2274747
3-Nov-16,51.11,51.60,50.11,50.21,2218615
2-Nov-16,50.77,51.47,50.39,50.94,3006996
1-Nov-16,51.97,52.22,50.11,50.86,3285116
31-Oct-16,52.14,52.80,51.70,52.00,2638624
28-Oct-16,52.48,53.30,51.73,52.70,3375961
27-Oct-16,54.49,54.54,52.41,52.50,3564285
26-Oct-16,53.94,55.12,53.94,54.03,2968513
25-Oct-16,54.22,54.64,53.79,54.14,2748588
24-Oct-16,54.49,55.11,54.28,54.79,2161800
21-Oct-16,52.77,54.38,52.59,54.13,3270696
20-Oct-16,53.31,53.45,52.82,53.11,1678001
19-Oct-16,53.31,53.64,53.02,53.43,2621161
18-Oct-16,53.87,53.89,53.10,53.27,2082090
17-Oct-16,53.57,54.27,53.01,53.27,1762277
14-Oct-16,52.88,54.10,52.55,53.63,3297810
13-Oct-16,54.10,54.11,53.17,53.68,2144176
12-Oct-16,54.16,54.89,53.92,54.54,2351355
11-Oct-16,54.35,54.86,53.93,54.14,2308662
10-Oct-16,54.99,55.20,53.58,54.27,2319426
7-Oct-16,54.30,55.23,54.14,54.83,3613632
6-Oct-16,52.86,54.60,52.40,53.94,3292862
5-Oct-16,51.86,53.33,51.76,53.00,2433500
4-Oct-16,51.12,51.78,50.87,51.65,2108310
3-Oct-16,51.62,51.71,50.95,51.11,2156232
30-Sep-16,52.16,52.60,51.39,51.88,2607114
29-Sep-16,51.70,52.62,51.42,51.48,1995633
28-Sep-16,51.43,51.94,51.16,51.78,1460340
27-Sep-16,51.47,52.28,51.33,51.71,1676257
26-Sep-16,51.12,51.99,51.04,51.50,3213237
23-Sep-16,51.05,52.05,50.97,51.57,2541844
22-Sep-16,51.12,51.55,49.98,50.49,3744267
21-Sep-16,49.94,51.08,49.94,51.07,2245939
20-Sep-16,50.63,50.91,49.66,49.76,1729178
19-Sep-16,51.43,51.52,50.39,50.63,2533088
16-Sep-16,51.23,51.78,51.00,51.28,4126298
15-Sep-16,49.31,52.00,48.87,51.70,5178833
14-Sep-16,49.23,49.94,48.46,49.41,2979554
13-Sep-16,49.86,50.13,48.83,49.17,3256769
12-Sep-16,49.42,50.45,49.30,50.30,2543381
9-Sep-16,49.71,50.39,49.56,49.70,2759221
8-Sep-16,50.77,50.84,49.85,50.07,1980869
7-Sep-16,49.88,51.17,49.39,50.97,2991569
6-Sep-16,51.69,51.78,49.84,50.02,4010920
2-Sep-16,51.27,52.39,51.12,51.87,3054255
1-Sep-16,50.76,51.11,50.43,51.03,2538917
31-Aug-16,51.60,51.87,50.23,50.46,3024551
30-Aug-16,51.99,52.30,51.02,51.45,2187232
29-Aug-16,51.49,52.51,51.39,52.45,2128235
26-Aug-16,51.62,52.08,50.98,51.26,1970149
25-Aug-16,51.85,52.42,51.24,51.56,1775212
24-Aug-16,52.65,52.80,52.20,52.29,1908849
23-Aug-16,52.63,53.27,52.32,52.89,2473198
22-Aug-16,52.64,52.73,51.61,52.14,2840277
19-Aug-16,52.40,52.88,51.85,52.64,2897435
18-Aug-16,52.13,52.39,51.62,52.07,2490553
17-Aug-16,52.03,52.46,51.24,51.74,3962045
16-Aug-16,52.70,53.71,52.26,52.66,4351068
15-Aug-16,51.73,53.25,51.64,52.96,5845683
12-Aug-16,51.00,52.09,50.26,51.38,14787146
11-Aug-16,47.00,48.91,46.66,47.56,13944024
10-Aug-16,43.81,45.40,43.52,44.23,4407736
9-Aug-16,44.61,44.70,42.95,43.52,4771835
8-Aug-16,43.66,45.08,43.66,44.77,3428293
5-Aug-16,42.37,44.08,42.22,43.55,3112485
4-Aug-16,41.50,42.34,41.10,42.00,2248767
3-Aug-16,39.88,41.82,39.05,41.61,4205549
2-Aug-16,43.02,43.31,40.55,40.74,5563524
1-Aug-16,43.93,44.27,43.38,43.74,3159212
29-Jul-16,42.86,44.41,42.63,44.23,3292494
28-Jul-16,42.67,43.36,41.77,43.27,2311973
27-Jul-16,44.06,44.44,42.25,42.78,3398932
26-Jul-16,43.97,45.15,43.86,43.93,6290802
25-Jul-16,41.08,42.88,40.95,42.74,4274260
22-Jul-16,41.23,41.42,40.68,40.86,2357502
21-Jul-16,41.14,41.68,41.01,41.24,2067050
20-Jul-16,40.65,41.30,40.33,41.20,1604355
19-Jul-16,41.08,41.08,40.32,40.46,2305086
18-Jul-16,40.69,41.41,40.51,41.11,1988023
15-Jul-16,41.07,41.34,40.63,40.64,2130734
14-Jul-16,41.48,41.80,40.68,40.87,2087602
13-Jul-16,41.57,41.89,40.60,41.10,2534832
12-Jul-16,41.14,41.78,41.06,41.62,3198094
11-Jul-16,40.40,41.11,40.12,40.96,3070011
8-Jul-16,39.46,40.60,39.46,40.32,3937573
7-Jul-16,38.34,39.54,38.34,39.15,4460093
6-Jul-16,37.29,38.41,36.82,38.33,3656254
5-Jul-16,38.23,38.23,36.79,37.46,2728943
