Date,Open,High,Low,Close,Volume
9-Dec-16,26.30,26.56,25.86,25.98,3947182
8-Dec-16,25.87,26.44,25.86,26.34,3145893
7-Dec-16,25.94,26.24,25.85,26.21,4008904
6-Dec-16,25.84,26.07,25.62,25.88,3773919
5-Dec-16,25.21,25.73,25.14,25.71,5460570
2-Dec-16,25.28,25.67,25.09,25.20,3065478
1-Dec-16,25.46,25.59,25.04,25.15,3364334
30-Nov-16,25.85,25.94,25.46,25.54,5373771
29-Nov-16,26.00,26.37,25.79,26.04,5859379
28-Nov-16,26.31,26.62,26.12,26.25,3132759
25-Nov-16,26.26,26.59,26.08,26.35,1557209
23-Nov-16,25.89,26.10,25.71,26.07,2156095
22-Nov-16,25.78,26.19,25.66,26.09,3276712
21-Nov-16,25.79,26.04,25.63,25.69,2952023
18-Nov-16,25.62,25.80,25.45,25.65,5528883
17-Nov-16,26.09,26.29,25.59,25.61,3040987
16-Nov-16,25.97,26.20,25.85,26.12,2365367
15-Nov-16,26.20,26.51,25.86,26.07,4467438
14-Nov-16,25.58,26.30,25.31,26.16,3469096
11-Nov-16,25.61,26.07,25.48,25.57,3267441
10-Nov-16,25.50,26.03,24.90,25.66,5048738
9-Nov-16,25.50,25.66,24.76,25.48,4575484
8-Nov-16,25.44,26.02,25.38,26.00,3913764
7-Nov-16,25.41,25.77,25.26,25.49,5662928
4-Nov-16,25.02,25.19,24.79,25.08,10655576
3-Nov-16,25.23,25.50,24.96,25.00,10665171
2-Nov-16,25.35,25.63,25.21,25.24,10669225
1-Nov-16,26.50,26.54,25.68,25.86,3385623
31-Oct-16,26.45,26.64,26.30,26.61,3287776
28-Oct-16,26.46,26.62,25.96,26.31,5370176
27-Oct-16,27.26,27.26,26.37,26.43,2755822
26-Oct-16,27.52,27.52,27.00,27.26,2719052
25-Oct-16,27.78,27.86,27.66,27.67,2526334
24-Oct-16,28.19,28.38,27.78,27.89,2845323
21-Oct-16,27.86,28.07,27.78,28.00,1458023
20-Oct-16,28.08,28.21,27.78,28.04,1498160
19-Oct-16,28.01,28.10,27.82,28.05,1335739
18-Oct-16,28.09,28.22,27.99,28.00,1554446
17-Oct-16,28.11,28.35,27.93,27.93,2332646
14-Oct-16,28.35,28.52,28.07,28.09,1789607
13-Oct-16,28.01,28.50,27.99,28.35,2982356
12-Oct-16,28.09,28.28,28.06,28.18,2739003
11-Oct-16,27.84,28.11,27.67,28.00,4508927
10-Oct-16,27.95,28.18,27.95,28.09,2455487
7-Oct-16,27.87,28.33,27.77,27.89,4101950
6-Oct-16,27.69,27.92,27.31,27.69,4745632
5-Oct-16,28.45,28.64,27.53,27.81,7950885
4-Oct-16,29.23,29.23,28.04,28.41,11854648
3-Oct-16,28.63,28.63,28.00,28.10,2441388
30-Sep-16,29.50,29.63,28.94,28.95,2840572
29-Sep-16,29.88,29.96,29.23,29.31,1985509
28-Sep-16,29.84,30.00,29.65,29.98,1309071
27-Sep-16,30.23,30.24,29.70,29.76,1818551
26-Sep-16,29.92,30.24,29.80,30.13,1899062
23-Sep-16,29.78,30.12,29.61,29.95,2399155
22-Sep-16,29.56,29.93,29.52,29.92,2283632
21-Sep-16,28.98,29.36,28.48,29.33,2382220
20-Sep-16,29.16,29.26,28.97,28.98,2092395
19-Sep-16,28.74,28.98,28.68,28.91,1697097
16-Sep-16,28.47,28.71,28.34,28.64,2858424
15-Sep-16,28.61,28.76,28.41,28.70,2175393
14-Sep-16,28.73,28.84,28.54,28.63,1941990
13-Sep-16,29.30,29.36,28.59,28.65,2363390
12-Sep-16,28.92,29.61,28.91,29.49,2814739
9-Sep-16,30.03,30.03,28.96,28.96,2793516
8-Sep-16,30.41,30.50,30.22,30.32,3690093
7-Sep-16,30.58,30.67,30.46,30.58,2499405
6-Sep-16,30.18,30.70,30.01,30.68,4140976
2-Sep-16,30.04,30.40,29.99,30.16,2095189
1-Sep-16,30.06,30.06,29.72,30.00,1794076
31-Aug-16,29.90,30.15,29.83,30.05,3639428
30-Aug-16,30.05,30.05,29.60,29.98,2031486
29-Aug-16,29.65,30.00,29.65,30.00,1655022
26-Aug-16,29.96,30.15,29.35,29.55,3062568
25-Aug-16,29.75,30.10,29.68,29.83,1733465
24-Aug-16,29.69,29.77,29.38,29.68,1377787
23-Aug-16,30.00,30.05,29.69,29.70,1610870
22-Aug-16,29.67,29.97,29.59,29.88,2889760
19-Aug-16,29.83,30.01,29.54,29.64,2473297
18-Aug-16,29.91,30.03,29.72,29.96,2166770
17-Aug-16,29.57,30.00,29.32,30.00,4835987
16-Aug-16,30.38,30.46,29.50,29.56,4242488
15-Aug-16,30.50,30.54,30.38,30.46,2394589
12-Aug-16,30.42,30.71,30.41,30.50,2824740
11-Aug-16,31.10,31.18,30.29,30.42,3321184
10-Aug-16,31.25,31.34,30.93,31.07,2308766
9-Aug-16,31.16,31.19,30.89,31.16,2468783
8-Aug-16,31.15,31.31,31.02,31.16,1643187
5-Aug-16,31.29,31.34,31.03,31.15,1603765
4-Aug-16,31.50,31.50,31.21,31.22,1912190
3-Aug-16,31.63,31.63,31.29,31.45,1953460
2-Aug-16,32.04,32.10,31.52,31.65,3107227
1-Aug-16,32.07,32.20,31.93,32.17,2333035
29-Jul-16,31.73,32.24,31.67,32.10,2815378
28-Jul-16,31.12,32.11,30.44,31.83,2882203
27-Jul-16,31.18,31.30,30.92,31.12,2098916
26-Jul-16,31.37,31.46,31.13,31.25,2154620
25-Jul-16,31.50,31.65,31.18,31.34,2675757
22-Jul-16,31.43,31.68,31.29,31.47,2106786
21-Jul-16,31.29,31.45,31.09,31.44,1546062
20-Jul-16,31.51,31.51,31.25,31.37,1681947
19-Jul-16,31.29,31.44,31.12,31.40,2268083
18-Jul-16,31.31,31.39,31.18,31.23,1988075
15-Jul-16,31.35,31.38,31.08,31.29,1972799
14-Jul-16,31.57,31.59,31.20,31.31,1720273
13-Jul-16,31.55,31.74,31.42,31.57,1970140
12-Jul-16,31.76,31.79,31.16,31.40,2351558
11-Jul-16,31.61,31.79,31.28,31.72,4111328
8-Jul-16,31.44,31.60,31.16,31.54,2651021
7-Jul-16,31.39,31.42,30.84,31.22,3399177
6-Jul-16,31.61,31.80,31.35,31.51,4014462
5-Jul-16,31.25,31.73,31.25,31.71,2931913
1-Jul-16,31.10,31.40,30.95,31.23,3039711
30-Jun-16,30.92,31.38,30.70,31.38,3124148
29-Jun-16,30.72,31.07,30.72,30.92,4808416
28-Jun-16,30.23,30.59,29.96,30.57,3041848
27-Jun-16,29.49,30.05,29.43,29.99,3754626
24-Jun-16,28.94,29.84,28.91,29.56,3628331
23-Jun-16,29.80,29.96,29.63,29.73,1730866
22-Jun-16,29.65,29.76,29.51,29.68,1674503
21-Jun-16,29.45,29.77,29.38,29.66,1839019
20-Jun-16,29.58,29.71,29.44,29.47,1991535
17-Jun-16,29.37,29.38,29.04,29.33,3622998
16-Jun-16,29.27,29.46,29.10,29.44,2170558
15-Jun-16,29.21,29.47,29.09,29.36,2788388
14-Jun-16,29.21,29.28,28.99,29.14,2388292
13-Jun-16,29.32,29.64,29.06,29.20,2150571
10-Jun-16,29.13,29.42,29.10,29.27,2088403
9-Jun-16,29.22,29.43,29.08,29.28,1881945
8-Jun-16,28.81,29.25,28.75,29.22,1724008
7-Jun-16,28.70,28.95,28.67,28.86,1699648
6-Jun-16,28.85,28.99,28.50,28.71,2285839
3-Jun-16,28.95,29.31,28.70,28.88,2459559
2-Jun-16,28.38,28.77,28.32,28.76,2904071
1-Jun-16,28.04,28.46,28.02,28.44,2830225
31-May-16,28.12,28.25,27.89,28.18,3295536
27-May-16,28.01,28.18,27.86,28.11,1878834
26-May-16,27.71,28.11,27.66,28.01,2991512
25-May-16,27.77,27.84,27.40,27.75,3388248
24-May-16,27.45,27.90,27.20,27.78,3528765
23-May-16,27.38,27.48,27.11,27.29,3284233
20-May-16,27.36,27.51,27.20,27.31,9273002
19-May-16,27.00,27.22,26.79,27.17,3182280
18-May-16,27.79,27.88,27.10,27.32,3962238
17-May-16,29.06,29.06,27.81,27.93,5577326
16-May-16,28.74,29.26,28.69,29.12,3699954
13-May-16,28.99,28.99,28.58,28.68,2000575
12-May-16,29.30,29.38,28.90,29.12,3131522
11-May-16,29.67,29.67,29.01,29.29,3271957
10-May-16,29.87,29.97,29.63,29.73,2092273
9-May-16,29.69,29.90,29.62,29.66,2803912
6-May-16,29.19,29.59,29.04,29.59,3131269
5-May-16,28.94,29.32,28.73,29.21,3804115
4-May-16,28.28,29.02,28.25,28.99,2948494
3-May-16,28.42,28.56,28.28,28.51,2312693
2-May-16,28.14,28.59,28.14,28.54,1794621
29-Apr-16,28.26,28.35,27.76,28.12,3722062
28-Apr-16,28.03,28.61,27.87,28.42,4746718
27-Apr-16,28.51,28.81,28.36,28.72,2442859
26-Apr-16,28.51,28.76,28.28,28.57,2298394
25-Apr-16,28.10,28.44,28.00,28.44,1966547
22-Apr-16,27.94,28.29,27.79,28.22,2485878
21-Apr-16,28.21,28.35,27.73,27.89,2470432
20-Apr-16,28.70,28.70,28.27,28.28,2529219
19-Apr-16,28.71,28.76,28.55,28.66,3212059
18-Apr-16,28.64,28.74,28.41,28.64,1441773
15-Apr-16,28.57,28.71,28.51,28.65,1769403
14-Apr-16,28.61,28.76,28.43,28.52,1522340
13-Apr-16,28.73,28.73,28.32,28.69,2811890
12-Apr-16,28.49,28.65,28.31,28.63,1712609
11-Apr-16,28.21,28.48,28.11,28.35,1920493
8-Apr-16,28.23,28.35,28.16,28.18,1623980
7-Apr-16,28.31,28.35,28.04,28.09,1775958
6-Apr-16,28.14,28.42,28.04,28.40,2264522
5-Apr-16,28.27,28.36,28.09,28.15,1746182
4-Apr-16,28.64,28.68,28.23,28.40,1922811
1-Apr-16,28.49,28.81,28.35,28.63,2283193
31-Mar-16,28.74,28.80,28.48,28.78,2831158
30-Mar-16,28.86,28.90,28.64,28.66,1923888
29-Mar-16,27.94,28.82,27.94,28.81,2265254
28-Mar-16,27.83,28.03,27.78,28.01,2046162
24-Mar-16,27.67,27.89,27.52,27.80,2072877
23-Mar-16,27.99,28.03,27.76,27.79,1832972
22-Mar-16,27.89,28.23,27.82,28.00,2383028
21-Mar-16,28.32,28.48,27.85,27.88,2179959
18-Mar-16,28.99,28.99,28.47,28.49,4907566
17-Mar-16,28.33,29.11,28.21,29.05,5462867
16-Mar-16,27.92,28.40,27.82,28.36,2884162
15-Mar-16,27.66,28.13,27.65,28.09,2217297
14-Mar-16,27.68,27.85,27.63,27.80,1828310
11-Mar-16,27.60,27.80,27.39,27.78,2816043
10-Mar-16,27.41,27.56,26.97,27.33,2479199
9-Mar-16,27.38,27.60,27.25,27.37,2036154
8-Mar-16,27.33,27.47,27.19,27.33,2545490
7-Mar-16,27.35,27.49,27.11,27.45,1867835
4-Mar-16,27.60,27.63,27.35,27.61,1967226
3-Mar-16,27.43,27.63,27.31,27.63,1434535
2-Mar-16,27.26,27.50,27.23,27.50,1829656
1-Mar-16,27.02,27.39,26.89,27.39,2394979
29-Feb-16,26.69,26.87,26.58,26.75,4733893
26-Feb-16,27.15,27.15,26.65,26.69,3745206
25-Feb-16,26.79,27.13,26.78,27.12,2661427
24-Feb-16,26.78,26.86,26.35,26.56,2462145
23-Feb-16,26.96,27.19,26.86,26.89,2152207
22-Feb-16,27.15,27.29,26.88,27.07,2063900
19-Feb-16,26.79,27.12,26.54,26.90,2148239
