Date,Open,High,Low,Close,Volume
9-Dec-16,113.50,114.71,113.35,114.61,1854133
8-Dec-16,113.95,114.34,113.35,113.40,1470565
7-Dec-16,113.79,114.37,113.42,114.34,1870507
6-Dec-16,113.63,114.46,113.53,114.39,1458850
5-Dec-16,114.32,114.60,113.09,113.63,2130245
2-Dec-16,114.21,114.87,113.56,114.11,1433303
1-Dec-16,115.07,115.30,113.29,114.01,1985586
30-Nov-16,116.12,116.84,114.66,115.61,5053930
29-Nov-16,117.16,117.41,115.91,116.50,2011496
28-Nov-16,115.67,117.18,115.37,117.17,2108097
25-Nov-16,114.78,116.30,114.65,115.84,996853
23-Nov-16,114.19,115.00,114.00,114.56,1975309
22-Nov-16,113.90,114.99,113.78,114.54,1426914
21-Nov-16,113.41,114.19,113.22,113.80,1710116
18-Nov-16,112.25,113.41,112.19,113.11,1603769
17-Nov-16,113.40,113.83,111.91,112.36,2098001
16-Nov-16,114.00,114.41,113.02,113.34,1758039
15-Nov-16,113.07,114.10,113.03,113.87,2587137
14-Nov-16,112.54,113.58,112.31,113.09,2241162
11-Nov-16,112.15,113.78,111.72,112.91,1531092
10-Nov-16,114.41,114.44,111.30,112.15,2987297
9-Nov-16,112.86,116.35,112.08,115.37,2439429
8-Nov-16,113.95,116.09,113.89,115.48,1869529
7-Nov-16,113.33,114.18,113.07,113.98,1575627
4-Nov-16,113.73,114.05,112.26,112.35,1536801
3-Nov-16,113.98,114.14,113.48,113.65,1443822
2-Nov-16,114.02,114.86,113.52,113.55,1586888
1-Nov-16,114.31,114.97,113.28,114.00,1787928
31-Oct-16,114.57,114.77,113.65,114.41,2435905
28-Oct-16,114.25,114.99,113.85,114.55,2581179
27-Oct-16,113.88,114.27,113.14,113.82,2046816
26-Oct-16,112.96,114.27,112.64,113.66,2294146
25-Oct-16,113.94,115.00,113.41,113.73,3420785
24-Oct-16,117.29,118.41,113.56,113.91,5582877
21-Oct-16,119.00,120.46,118.52,119.58,2217355
20-Oct-16,120.01,120.30,119.00,119.17,2158840
19-Oct-16,120.64,120.65,119.88,120.21,1947465
18-Oct-16,121.35,121.63,120.24,120.54,1869888
17-Oct-16,120.86,121.30,120.52,120.69,1235474
14-Oct-16,121.82,121.99,120.49,120.50,1894775
13-Oct-16,121.16,122.04,120.68,121.63,1689201
12-Oct-16,121.73,122.51,121.43,121.88,1532944
11-Oct-16,121.97,122.16,120.87,121.39,1753015
10-Oct-16,123.12,123.69,121.91,122.16,1036092
7-Oct-16,123.89,124.09,122.12,123.01,1397899
6-Oct-16,122.38,123.96,122.06,123.23,1521523
5-Oct-16,123.38,123.58,121.95,122.63,1954602
4-Oct-16,125.08,125.08,122.77,123.03,1701873
3-Oct-16,125.52,125.76,124.31,124.76,1512336
30-Sep-16,125.71,126.86,125.70,126.14,1920039
29-Sep-16,126.11,126.50,125.05,125.22,1229730
28-Sep-16,126.04,126.59,125.20,126.48,1422434
27-Sep-16,125.74,126.23,125.37,125.69,1134949
26-Sep-16,126.48,127.13,125.43,125.51,1336850
23-Sep-16,127.36,127.36,126.42,126.73,1367641
22-Sep-16,125.35,127.42,125.35,127.23,1785104
21-Sep-16,123.34,125.35,123.18,124.94,1733662
20-Sep-16,122.77,124.38,122.61,123.47,1360596
19-Sep-16,121.90,122.54,121.44,122.17,1025535
16-Sep-16,121.95,122.81,121.20,121.81,2134535
15-Sep-16,121.87,122.96,121.75,122.44,1166309
14-Sep-16,122.32,122.98,121.45,121.87,1686367
13-Sep-16,123.30,123.56,122.35,122.39,1585546
12-Sep-16,122.36,123.92,122.03,123.63,1820637
9-Sep-16,125.17,125.17,122.91,122.96,2305092
8-Sep-16,126.95,127.09,125.56,125.91,1650360
7-Sep-16,127.98,128.42,126.94,127.08,1434811
6-Sep-16,128.82,129.63,128.37,129.26,917242
2-Sep-16,128.01,129.46,128.01,128.82,815121
1-Sep-16,128.01,128.34,127.38,128.12,1726068
31-Aug-16,128.03,128.62,127.79,128.06,1073575
30-Aug-16,128.72,129.05,127.93,128.15,989399
29-Aug-16,128.40,129.17,128.07,128.72,1486851
26-Aug-16,128.51,129.84,127.89,128.24,1454835
25-Aug-16,128.45,129.46,128.29,128.40,1556138
24-Aug-16,128.65,128.77,127.50,128.64,1416578
23-Aug-16,127.66,128.74,127.46,128.65,1726482
22-Aug-16,126.78,127.72,126.37,127.39,1213029
19-Aug-16,126.97,127.39,126.33,126.78,1785379
18-Aug-16,127.58,127.91,127.24,127.45,1350714
17-Aug-16,127.70,127.97,126.81,127.55,2158517
16-Aug-16,128.80,129.05,127.52,127.53,1443679
15-Aug-16,128.91,129.48,128.62,128.97,1221506
12-Aug-16,129.30,129.36,128.43,128.82,2333312
11-Aug-16,130.76,130.87,128.83,128.94,1608894
10-Aug-16,129.89,130.55,129.76,130.25,971609
9-Aug-16,129.62,130.47,129.27,129.99,863984
8-Aug-16,129.37,130.05,128.54,129.56,1476663
5-Aug-16,130.24,130.67,128.85,129.40,1560180
4-Aug-16,129.30,130.35,129.06,130.13,1291711
3-Aug-16,131.10,131.21,128.47,128.89,2278512
2-Aug-16,130.84,131.45,130.08,130.81,1730772
1-Aug-16,129.22,131.25,128.91,130.81,2611499
29-Jul-16,130.25,131.06,129.55,129.55,1827786
28-Jul-16,130.67,131.01,129.49,130.15,2267931
27-Jul-16,132.19,132.19,129.80,130.50,1683830
26-Jul-16,132.59,134.62,132.05,132.28,2819715
25-Jul-16,133.00,133.75,131.50,132.59,2448743
22-Jul-16,133.80,134.65,133.57,134.63,1768082
21-Jul-16,133.79,134.01,133.02,133.36,1502874
20-Jul-16,135.27,135.73,133.67,133.68,2081179
19-Jul-16,135.00,135.22,134.53,135.16,1576985
18-Jul-16,136.29,136.34,135.05,135.11,1105621
15-Jul-16,136.26,136.67,135.52,136.17,1095464
14-Jul-16,135.94,136.87,135.64,135.89,1040736
13-Jul-16,134.81,135.92,134.79,135.72,1086358
12-Jul-16,135.60,135.93,134.34,134.81,1420698
11-Jul-16,135.80,136.35,134.69,136.14,1002638
8-Jul-16,134.83,136.09,134.02,135.96,1519615
7-Jul-16,136.79,136.80,133.54,134.22,3703462
6-Jul-16,137.78,137.80,135.90,136.75,1984370
5-Jul-16,137.00,138.87,136.76,137.94,1542943
1-Jul-16,137.00,137.77,136.72,137.00,1470042
30-Jun-16,134.76,137.48,134.26,137.48,1767244
29-Jun-16,133.91,134.86,133.53,134.70,1455383
28-Jun-16,131.33,133.54,130.70,133.52,1781454
27-Jun-16,130.82,131.19,129.79,130.75,1631177
24-Jun-16,131.65,133.30,130.87,131.08,2260710
23-Jun-16,133.39,134.01,133.20,133.96,937556
22-Jun-16,132.85,134.02,132.80,133.16,1092347
21-Jun-16,133.31,133.71,133.00,133.04,984395
20-Jun-16,133.28,133.68,132.69,132.88,1464546
17-Jun-16,133.00,133.00,131.09,132.40,1964368
16-Jun-16,131.58,133.10,131.28,133.05,1050328
15-Jun-16,132.81,132.84,131.64,132.04,1413774
14-Jun-16,130.21,132.80,129.32,132.41,1951558
13-Jun-16,130.62,131.54,130.12,130.25,1077574
10-Jun-16,129.83,131.14,129.29,130.98,1238410
9-Jun-16,129.32,130.78,129.29,130.69,794906
8-Jun-16,128.98,130.00,128.77,129.78,1019121
7-Jun-16,130.24,130.78,129.93,130.20,1088935
6-Jun-16,129.80,130.74,129.28,130.17,1416066
3-Jun-16,128.11,130.17,128.00,130.08,1872105
2-Jun-16,127.88,128.00,127.04,128.00,1298826
1-Jun-16,126.88,128.05,126.85,127.98,1333332
31-May-16,128.56,128.94,126.71,127.04,4531109
27-May-16,127.93,129.13,127.64,128.45,1292925
26-May-16,127.27,128.12,127.12,127.92,1312256
25-May-16,127.36,127.91,126.61,127.21,2527162
24-May-16,126.04,127.27,125.60,126.76,1573242
23-May-16,126.14,126.30,125.66,125.95,1421414
20-May-16,127.12,127.41,125.73,126.06,1843004
19-May-16,125.73,126.87,125.41,126.80,1137278
18-May-16,126.32,126.77,125.01,126.12,1647256
17-May-16,129.23,130.00,125.92,126.42,1637056
16-May-16,128.82,129.95,128.78,129.58,922677
13-May-16,129.83,130.70,129.10,129.19,1390738
12-May-16,129.56,130.57,129.24,130.06,1038686
11-May-16,129.38,129.63,128.45,128.83,1301228
10-May-16,128.10,129.30,128.02,129.23,1156809
9-May-16,128.00,128.96,127.77,128.13,1388886
6-May-16,127.50,128.12,126.91,127.92,1455613
5-May-16,127.90,129.20,127.08,127.36,2166175
4-May-16,125.95,128.33,125.57,127.93,2423958
3-May-16,124.80,127.19,124.70,126.13,1846241
2-May-16,124.88,125.99,123.83,125.22,1887815
29-Apr-16,125.74,126.25,123.91,125.19,3108886
28-Apr-16,125.16,126.83,125.00,126.24,2388261
27-Apr-16,124.28,126.12,123.99,125.70,3312007
26-Apr-16,126.65,126.86,123.52,123.81,3306381
25-Apr-16,125.92,126.32,124.35,126.21,3736528
22-Apr-16,125.52,127.24,123.78,126.88,5697609
21-Apr-16,135.38,135.49,131.74,131.75,2983660
20-Apr-16,137.00,137.48,135.59,135.65,1558815
19-Apr-16,136.84,137.84,136.04,137.11,1656283
18-Apr-16,136.26,137.06,135.76,136.65,1259040
15-Apr-16,136.13,136.83,135.76,136.47,1418641
14-Apr-16,135.98,137.55,135.74,136.04,2040401
13-Apr-16,138.39,138.39,135.49,135.66,1989811
12-Apr-16,137.53,138.20,136.76,138.13,1471941
11-Apr-16,137.62,138.76,137.08,137.25,1685828
8-Apr-16,137.31,137.60,136.52,137.49,1047971
7-Apr-16,136.55,136.99,136.00,136.65,1009981
6-Apr-16,136.06,137.31,135.73,137.27,1309059
5-Apr-16,136.18,136.97,135.90,136.25,1368698
4-Apr-16,136.18,136.90,135.61,136.26,1155525
1-Apr-16,133.33,136.39,133.02,136.20,1392029
31-Mar-16,135.27,135.87,134.40,134.51,1215559
30-Mar-16,135.50,136.32,135.10,135.71,1129650
29-Mar-16,134.02,135.17,133.74,134.99,1326010
28-Mar-16,133.88,135.05,133.84,134.24,1286591
24-Mar-16,133.66,133.87,132.82,133.55,1098012
23-Mar-16,133.73,135.38,133.66,133.98,2202965
22-Mar-16,134.92,134.97,132.85,133.64,1930528
21-Mar-16,136.08,136.08,134.20,135.26,1773527
18-Mar-16,135.91,136.50,134.89,135.54,4558698
17-Mar-16,135.18,136.61,134.97,136.01,1314776
16-Mar-16,134.29,135.70,133.39,135.23,1447271
15-Mar-16,134.24,135.05,133.51,134.63,1456145
14-Mar-16,133.22,134.78,132.84,134.72,1883813
11-Mar-16,132.25,133.27,131.70,133.15,1707689
10-Mar-16,132.69,133.07,130.46,131.88,1840518
9-Mar-16,132.50,133.50,131.52,131.97,1942285
8-Mar-16,131.13,133.97,130.81,132.35,2908423
7-Mar-16,131.65,132.57,130.80,131.59,1798415
4-Mar-16,131.63,132.89,130.88,132.54,1808436
3-Mar-16,131.11,131.71,130.17,131.63,1526417
2-Mar-16,130.03,131.60,128.77,131.57,1660797
1-Mar-16,130.99,131.94,130.35,131.64,1697712
29-Feb-16,131.20,132.12,130.24,130.30,1900315
26-Feb-16,133.31,133.73,130.71,131.30,1584211
25-Feb-16,132.50,133.53,131.88,133.50,1170605
24-Feb-16,130.53,132.60,129.72,132.35,1431899
23-Feb-16,131.29,131.91,130.91,131.53,991468
22-Feb-16,131.80,132.66,130.74,131.37,1615173
19-Feb-16,129.69,130.64,128.56,130.43,1208880
18-Feb-16,130.36,130.99,129.40,129.75,1505636
17-Feb-16,128.84,131.27,128.76,130.50,1754812
16-Feb-16,129.92,129.94,127.40,128.71,1702354
12-Feb-16,127.15,129.41,126.33,128.63,2119053
11-Feb-16,127.95,128.28,124.65,126.42,2473810
10-Feb-16,131.11,132.43,129.63,129.96,1508406
9-Feb-16,128.33,131.59,127.64,130.79,2269067
8-Feb-16,127.86,129.83,126.72,129.43,2005725
5-Feb-16,128.75,129.60,128.19,129.15,1823972
4-Feb-16,129.58,130.25,128.07,128.75,2583864
3-Feb-16,129.17,130.88,127.85,130.37,2470173
2-Feb-16,128.45,129.24,127.28,128.01,2064226
1-Feb-16,127.38,129.55,127.38,129.01,2001223
29-Jan-16,126.97,129.33,125.85,128.42,3440385
28-Jan-16,124.64,126.79,123.70,126.27,1505920
27-Jan-16,124.83,126.25,123.80,124.20,2466510
26-Jan-16,122.77,126.50,122.56,124.89,2219788
25-Jan-16,123.22,125.54,121.50,122.69,5114700
22-Jan-16,125.79,127.28,124.59,126.72,2372431
21-Jan-16,123.99,125.34,123.01,124.95,2244359
20-Jan-16,124.37,124.89,121.71,123.69,2928298
19-Jan-16,126.15,127.37,125.05,125.88,2616527
15-Jan-16,125.41,126.29,124.30,125.36,3032962
14-Jan-16,125.93,127.83,125.55,127.21,2384621
13-Jan-16,126.62,127.53,125.38,125.46,1912542
12-Jan-16,126.32,127.17,125.25,126.13,1586209
11-Jan-16,125.52,126.44,124.28,125.71,1929083
8-Jan-16,127.20,127.50,124.95,125.23,2660640
7-Jan-16,126.92,128.93,126.60,126.86,3168834
6-Jan-16,127.84,129.73,127.60,129.02,3930164
5-Jan-16,127.00,130.05,126.64,129.08,3237232
4-Jan-16,125.91,126.57,124.56,126.48,2731310
31-Dec-15,128.50,129.28,127.29,127.30,1438197
