Date,Open,High,Low,Close,Volume
9-Dec-16,21.20,21.23,21.02,21.09,12323294
8-Dec-16,21.29,21.29,21.01,21.20,11873619
7-Dec-16,21.16,21.29,20.94,21.29,17175223
6-Dec-16,21.27,21.34,20.61,21.12,24964361
5-Dec-16,21.22,21.65,21.16,21.46,15722988
2-Dec-16,21.45,21.70,21.34,21.36,11264323
1-Dec-16,22.40,22.45,21.45,21.49,14679858
30-Nov-16,22.31,22.55,21.88,22.20,29390259
29-Nov-16,21.28,21.41,21.05,21.40,12272929
28-Nov-16,21.80,21.81,21.38,21.43,11102391
25-Nov-16,21.80,21.83,21.58,21.81,3624877
23-Nov-16,21.75,22.03,21.75,21.80,8195867
22-Nov-16,22.01,22.04,21.70,21.89,13254586
21-Nov-16,21.96,22.04,21.86,22.03,13686542
18-Nov-16,21.42,21.76,21.40,21.67,11044374
17-Nov-16,21.45,21.61,21.34,21.38,8721611
16-Nov-16,21.67,21.71,21.10,21.29,9342434
15-Nov-16,21.50,21.85,21.34,21.83,15888564
14-Nov-16,20.60,21.07,20.58,20.97,13175719
11-Nov-16,21.70,21.76,20.48,20.65,16703735
10-Nov-16,21.49,21.98,21.41,21.53,22993199
9-Nov-16,20.31,21.46,20.23,21.32,24256425
8-Nov-16,20.02,20.50,20.00,20.41,8925404
7-Nov-16,20.07,20.32,20.02,20.17,9773353
4-Nov-16,19.88,20.18,19.79,19.87,9441040
3-Nov-16,19.74,19.94,19.57,19.93,11487391
2-Nov-16,19.95,19.96,19.42,19.71,18047682
1-Nov-16,20.62,20.65,19.96,20.20,13665073
31-Oct-16,20.40,20.60,20.30,20.43,14300786
28-Oct-16,20.81,20.99,20.37,20.43,19638831
27-Oct-16,21.60,21.65,20.97,20.97,15569045
26-Oct-16,21.15,21.62,20.95,21.49,14410254
25-Oct-16,21.67,21.73,21.29,21.32,17869638
24-Oct-16,21.30,21.64,21.12,21.62,19785143
21-Oct-16,21.06,21.17,20.57,21.11,23122112
20-Oct-16,21.40,21.45,20.90,21.19,32863605
19-Oct-16,20.37,20.74,20.22,20.71,25777369
18-Oct-16,20.39,20.46,19.97,20.18,13857677
17-Oct-16,20.36,20.57,20.14,20.19,13060446
14-Oct-16,20.82,21.06,20.36,20.36,15661846
13-Oct-16,20.65,20.78,20.29,20.55,22102334
12-Oct-16,20.77,21.08,20.72,20.75,16214053
11-Oct-16,21.35,21.38,20.79,20.82,18770425
10-Oct-16,21.84,21.96,21.37,21.42,14998918
7-Oct-16,22.17,22.17,21.57,21.68,15421948
6-Oct-16,22.49,22.63,22.06,22.09,11033324
5-Oct-16,22.57,22.69,22.37,22.38,11127828
4-Oct-16,22.67,22.94,22.21,22.26,12860899
3-Oct-16,23.18,23.36,22.86,23.01,9525917
30-Sep-16,22.89,23.19,22.60,23.13,15056338
29-Sep-16,22.72,23.20,22.48,22.76,15824773
