Date,Open,High,Low,Close,Volume
9-Dec-16,63.95,64.06,62.69,62.80,2252321
8-Dec-16,62.87,64.88,62.77,64.16,2630073
7-Dec-16,60.34,62.98,60.34,62.80,2005607
6-Dec-16,58.66,60.56,58.66,60.50,2160323
5-Dec-16,58.55,58.89,58.04,58.08,1956660
2-Dec-16,59.16,59.27,57.90,57.99,2162841
1-Dec-16,58.15,59.38,57.76,59.10,2332673
30-Nov-16,57.56,58.04,57.35,57.79,1408609
29-Nov-16,57.73,58.07,56.96,57.51,1141598
28-Nov-16,58.28,58.61,57.32,57.37,1407885
25-Nov-16,58.36,58.86,58.24,58.38,455528
23-Nov-16,57.62,58.41,57.47,58.40,1383478
22-Nov-16,57.06,57.86,57.00,57.80,1797496
21-Nov-16,55.95,56.85,55.52,56.57,1736887
18-Nov-16,55.66,56.20,55.15,55.23,1697280
17-Nov-16,55.29,56.16,54.17,55.70,1997425
16-Nov-16,56.08,56.31,55.13,56.00,2019277
15-Nov-16,57.21,57.21,55.97,56.24,3479434
14-Nov-16,54.48,58.16,54.41,56.89,4188571
11-Nov-16,52.65,54.97,52.50,54.78,3068070
10-Nov-16,50.89,53.51,50.88,52.73,3013440
9-Nov-16,47.65,50.95,47.50,50.62,3231823
8-Nov-16,49.91,50.40,48.47,48.68,4727840
7-Nov-16,51.35,51.60,50.79,51.51,2654831
4-Nov-16,49.58,51.84,49.38,50.51,3398984
3-Nov-16,48.83,49.83,48.83,49.62,2777144
2-Nov-16,48.48,49.20,48.34,48.73,1743567
1-Nov-16,49.89,49.89,48.02,48.65,2226637
31-Oct-16,49.81,50.07,49.36,49.94,1813181
28-Oct-16,49.69,49.95,48.79,49.77,3640348
27-Oct-16,51.50,51.53,50.51,50.59,2881340
26-Oct-16,50.63,51.89,50.51,51.54,2474659
25-Oct-16,51.13,51.28,50.60,50.93,1877631
24-Oct-16,52.37,52.75,50.51,51.50,4061216
21-Oct-16,50.45,50.54,49.84,50.05,2866737
20-Oct-16,51.58,51.78,50.60,50.83,2469251
19-Oct-16,51.19,51.94,51.03,51.76,1254643
18-Oct-16,51.74,51.93,50.76,51.04,2122544
17-Oct-16,51.25,51.44,50.95,51.11,1432155
14-Oct-16,51.79,52.14,50.93,51.25,2190185
13-Oct-16,51.11,51.62,50.61,51.51,1603959
12-Oct-16,51.37,51.79,50.96,51.60,1689638
11-Oct-16,52.44,52.48,50.93,51.14,1932918
10-Oct-16,52.75,53.33,52.62,52.64,974932
7-Oct-16,53.13,53.17,51.97,52.33,1800514
6-Oct-16,52.77,53.09,52.58,52.78,1361992
5-Oct-16,52.32,53.95,52.00,53.10,2837792
4-Oct-16,52.68,52.84,51.52,51.65,2174396
3-Oct-16,52.84,52.84,51.57,52.52,2194819
30-Sep-16,52.29,53.64,51.85,53.35,2289997
29-Sep-16,52.94,53.30,52.07,52.17,1498735
28-Sep-16,53.68,53.89,52.78,53.12,1802415
27-Sep-16,53.57,54.11,53.45,53.70,1545405
26-Sep-16,53.48,54.13,53.22,53.59,2371025
23-Sep-16,53.95,54.40,53.51,53.74,2616640
22-Sep-16,55.15,55.50,54.29,54.35,2636407
21-Sep-16,53.98,54.89,53.23,54.62,5553454
20-Sep-16,56.82,57.15,55.66,55.76,3982102
19-Sep-16,57.16,57.70,56.56,56.58,4379121
16-Sep-16,56.61,56.76,55.89,56.50,4607136
15-Sep-16,56.74,57.32,56.51,56.90,2353182
14-Sep-16,56.58,57.06,55.95,56.73,1285913
13-Sep-16,56.23,56.76,55.72,56.43,1860252
12-Sep-16,54.94,57.11,54.72,56.80,2433020
9-Sep-16,58.19,58.72,55.22,55.23,3490578
8-Sep-16,60.30,60.54,59.94,60.17,1488520
7-Sep-16,59.66,60.81,59.52,60.60,3740857
6-Sep-16,59.99,60.10,59.24,59.52,2411799
2-Sep-16,59.52,60.12,59.44,60.06,1028309
1-Sep-16,59.03,59.48,58.39,59.01,1139066
31-Aug-16,59.52,59.53,58.26,58.95,1471908
30-Aug-16,59.19,59.73,58.88,59.50,830158
29-Aug-16,58.70,59.69,58.58,59.48,1039443
26-Aug-16,58.55,59.55,58.41,58.70,1510493
25-Aug-16,57.90,58.78,57.90,58.38,1260942
24-Aug-16,58.96,59.31,58.09,58.22,1311584
23-Aug-16,59.40,59.78,59.02,59.09,1703553
22-Aug-16,59.20,59.25,58.32,58.93,2371242
19-Aug-16,58.93,59.55,57.92,59.30,2963562
18-Aug-16,59.15,59.51,58.23,59.15,3130666
17-Aug-16,60.08,60.15,58.51,58.82,1990309
16-Aug-16,60.34,60.49,59.71,60.16,1181304
15-Aug-16,59.68,60.53,59.48,60.51,1452823
12-Aug-16,59.17,60.34,59.13,59.56,1433362
11-Aug-16,58.91,59.81,58.55,59.17,2089834
10-Aug-16,58.77,58.79,58.14,58.36,968925
9-Aug-16,58.54,59.65,58.54,58.74,2154715
8-Aug-16,58.79,58.94,58.34,58.68,1323159
5-Aug-16,58.18,59.59,58.16,58.85,3296179
4-Aug-16,56.27,57.74,56.27,57.52,2649787
3-Aug-16,55.57,56.21,54.86,56.20,2001507
2-Aug-16,57.97,58.16,55.25,55.57,3079239
1-Aug-16,58.07,58.38,57.61,58.14,1226698
29-Jul-16,58.33,58.48,57.72,58.26,1904036
