Date,Open,High,Low,Close,Volume
9-Dec-16,49.87,49.89,49.58,49.82,682127
8-Dec-16,49.51,49.98,49.38,49.97,585967
7-Dec-16,48.78,49.70,48.61,49.70,798742
6-Dec-16,48.45,48.70,48.17,48.63,454438
5-Dec-16,48.22,48.52,48.22,48.49,507295
2-Dec-16,47.74,48.29,47.74,48.04,439925
1-Dec-16,48.12,48.50,47.49,47.69,698718
30-Nov-16,48.55,48.59,48.06,48.06,1128909
29-Nov-16,48.62,48.84,48.39,48.57,548556
28-Nov-16,49.38,49.45,48.49,48.54,772924
25-Nov-16,49.19,49.53,49.10,49.53,281335
23-Nov-16,49.17,49.50,48.81,49.08,650167
22-Nov-16,49.21,49.38,49.01,49.25,612580
21-Nov-16,48.96,49.20,48.52,49.20,560975
18-Nov-16,48.82,49.15,48.71,48.86,480266
17-Nov-16,48.93,49.44,48.77,48.79,815570
16-Nov-16,48.95,49.10,48.55,48.79,542330
15-Nov-16,49.43,49.81,48.74,48.99,1038088
14-Nov-16,48.21,49.45,48.21,49.44,1368544
11-Nov-16,47.51,48.09,47.51,47.88,960671
10-Nov-16,46.99,47.76,46.53,47.62,987455
9-Nov-16,45.83,47.03,45.16,46.80,1233762
8-Nov-16,45.66,46.68,45.30,46.49,1002475
7-Nov-16,45.66,45.98,45.42,45.72,810525
4-Nov-16,44.97,45.56,44.93,45.05,959052
3-Nov-16,45.27,45.48,44.77,44.89,1029507
2-Nov-16,45.56,45.69,44.91,45.06,944628
1-Nov-16,45.99,46.38,45.20,45.55,1209929
31-Oct-16,45.90,46.03,45.41,45.88,2765120
28-Oct-16,44.58,46.30,44.58,45.67,2002797
27-Oct-16,45.13,45.20,44.02,44.39,1927210
26-Oct-16,44.77,45.35,44.77,44.84,1129699
25-Oct-16,44.85,45.14,44.06,45.10,1628232
24-Oct-16,45.21,45.59,44.99,45.04,801350
21-Oct-16,44.88,45.09,44.68,44.93,1411947
20-Oct-16,45.53,45.69,44.75,45.38,1033993
19-Oct-16,45.97,46.11,45.48,46.00,581862
18-Oct-16,46.06,46.11,45.70,45.77,593544
17-Oct-16,45.75,46.02,45.61,45.65,565647
14-Oct-16,45.93,46.15,45.68,45.73,652626
13-Oct-16,45.40,45.86,45.34,45.72,617771
12-Oct-16,45.70,46.00,45.56,45.78,659947
11-Oct-16,45.87,45.90,45.39,45.59,959765
10-Oct-16,46.06,46.18,45.71,45.91,905462
7-Oct-16,46.25,46.38,45.66,45.75,828212
6-Oct-16,45.63,46.22,45.46,46.07,1053103
5-Oct-16,45.22,45.91,45.22,45.82,1811453
4-Oct-16,45.37,45.78,45.04,45.17,1109112
3-Oct-16,45.44,46.05,44.90,45.43,2069779
30-Sep-16,45.72,45.88,45.11,45.58,2911906
29-Sep-16,46.42,46.60,45.69,45.71,1193572
28-Sep-16,47.75,47.91,45.86,46.58,2481500
27-Sep-16,48.14,48.61,48.06,48.32,700757
26-Sep-16,48.30,48.34,47.54,48.10,1189897
23-Sep-16,49.26,49.45,48.63,48.65,700349
22-Sep-16,49.89,50.04,49.20,49.36,588323
21-Sep-16,48.78,49.62,48.62,49.53,886521
20-Sep-16,48.85,49.11,48.42,48.51,646918
19-Sep-16,48.62,49.09,48.57,48.81,666037
16-Sep-16,49.03,49.06,48.40,48.53,961568
15-Sep-16,49.06,49.35,48.79,49.26,687428
14-Sep-16,49.04,49.45,48.98,49.06,581156
13-Sep-16,49.18,49.67,48.86,49.14,897080
12-Sep-16,49.02,50.20,49.01,50.06,1053142
9-Sep-16,51.74,51.74,49.41,49.41,1251621
8-Sep-16,52.41,52.65,52.01,52.04,558300
7-Sep-16,52.36,52.65,52.19,52.63,500042
6-Sep-16,52.02,52.34,51.77,52.34,447675
2-Sep-16,52.04,52.17,51.62,51.84,494031
1-Sep-16,52.56,52.58,51.60,51.79,754256
31-Aug-16,52.32,52.65,52.15,52.48,1143427
30-Aug-16,52.22,52.45,52.04,52.39,491644
29-Aug-16,51.73,52.35,51.73,52.26,554473
26-Aug-16,52.46,52.53,51.55,51.70,657065
25-Aug-16,52.10,52.73,51.84,52.49,738322
24-Aug-16,51.92,52.17,51.62,52.15,1381200
