Date,Open,High,Low,Close,Volume
9-Dec-16,62.76,62.85,62.30,62.45,1039264
8-Dec-16,62.35,62.69,62.35,62.65,1808572
7-Dec-16,61.67,62.40,61.61,62.39,1727076
6-Dec-16,61.81,62.01,61.56,61.79,2169389
5-Dec-16,62.00,62.00,61.53,61.61,2632997
2-Dec-16,61.42,61.76,61.23,61.67,1613024
1-Dec-16,62.63,62.63,61.15,61.43,4215030
30-Nov-16,62.57,62.72,62.38,62.53,4271484
29-Nov-16,62.47,62.68,62.25,62.57,2776150
28-Nov-16,62.36,62.52,62.15,62.44,1212643
25-Nov-16,62.29,62.47,62.14,62.46,534336
23-Nov-16,61.96,62.39,61.96,62.20,2052381
22-Nov-16,61.52,62.52,61.52,62.06,3371276
21-Nov-16,61.17,61.35,61.00,61.25,3094122
18-Nov-16,60.46,61.01,60.46,61.00,1808224
17-Nov-16,60.59,60.88,60.53,60.81,1363012
16-Nov-16,60.86,60.86,60.57,60.58,1077004
15-Nov-16,60.71,61.14,60.59,61.02,2264101
14-Nov-16,60.21,60.68,60.06,60.59,1773851
11-Nov-16,59.73,60.33,59.73,60.21,1852470
10-Nov-16,59.90,60.19,59.46,59.80,2437740
9-Nov-16,59.27,60.05,58.90,59.90,2690811
8-Nov-16,59.47,60.06,59.33,59.85,4148658
7-Nov-16,60.02,60.13,59.88,59.96,2777778
4-Nov-16,59.95,60.00,59.67,59.72,2420551
3-Nov-16,59.83,59.94,59.71,59.86,3724095
2-Nov-16,60.01,60.05,59.72,59.76,4321681
1-Nov-16,60.16,60.20,59.76,59.89,5361702
31-Oct-16,60.33,60.38,60.02,60.06,6608821
28-Oct-16,60.25,60.38,60.09,60.22,1947022
27-Oct-16,60.31,60.39,60.03,60.14,1356928
26-Oct-16,60.18,60.24,60.01,60.10,2732388
25-Oct-16,60.20,60.34,60.16,60.32,1803400
24-Oct-16,60.13,60.41,60.08,60.25,1933185
21-Oct-16,59.77,60.06,59.74,60.01,2235228
20-Oct-16,59.31,60.22,59.11,60.15,4535966
19-Oct-16,58.83,59.40,58.74,59.31,2336381
18-Oct-16,59.23,59.37,58.94,58.94,8576163
17-Oct-16,59.00,59.21,58.90,58.98,1848194
14-Oct-16,58.91,59.29,58.79,59.09,2074315
13-Oct-16,58.54,58.87,58.47,58.75,2244578
12-Oct-16,59.16,59.16,58.74,58.80,2574489
11-Oct-16,59.45,59.49,59.00,59.11,1715176
10-Oct-16,59.71,59.80,59.35,59.50,988926
7-Oct-16,59.72,59.73,59.41,59.53,1261157
6-Oct-16,59.50,59.71,59.37,59.62,1002611
5-Oct-16,59.48,59.68,59.38,59.57,1519615
4-Oct-16,59.29,59.53,59.27,59.42,1610180
3-Oct-16,59.21,59.43,59.20,59.32,1333965
30-Sep-16,59.02,59.49,59.02,59.29,1880780
29-Sep-16,59.22,59.33,58.91,59.11,1426180
28-Sep-16,59.14,59.24,58.98,59.22,1514768
27-Sep-16,58.65,59.10,58.53,59.08,1639033
26-Sep-16,58.76,58.99,58.63,58.72,1667523
23-Sep-16,58.99,59.16,58.84,58.87,2612006
22-Sep-16,59.21,59.33,58.91,59.03,883348
21-Sep-16,58.57,58.97,58.42,58.93,1892880
20-Sep-16,58.85,58.85,58.21,58.48,2162534
19-Sep-16,58.62,58.90,58.47,58.66,856056
16-Sep-16,58.67,58.68,58.20,58.39,3485472
15-Sep-16,58.10,58.58,57.98,58.55,2560342
14-Sep-16,57.94,58.26,57.90,58.14,1264434
13-Sep-16,58.16,58.39,57.85,57.95,2569123
12-Sep-16,57.65,58.40,57.50,58.37,1359335
9-Sep-16,58.25,58.29,57.67,57.70,2286597
8-Sep-16,58.40,58.59,58.17,58.51,1557796
7-Sep-16,58.89,59.02,58.29,58.47,1258696
6-Sep-16,58.85,59.07,58.65,58.91,1517269
2-Sep-16,58.88,58.93,58.52,58.76,1163106
1-Sep-16,58.38,58.69,58.11,58.66,1416882
31-Aug-16,58.37,58.57,58.23,58.24,2481255
30-Aug-16,58.49,58.71,58.38,58.42,1340576
29-Aug-16,58.60,58.75,58.42,58.44,1690861
26-Aug-16,58.50,58.77,58.18,58.54,1483406
25-Aug-16,58.79,58.79,58.42,58.47,1589700
24-Aug-16,58.76,58.79,58.52,58.67,1108169
23-Aug-16,58.70,59.20,58.68,58.76,1386313
22-Aug-16,58.85,58.97,58.64,58.86,1062390
19-Aug-16,58.79,59.04,58.74,58.91,1325173
18-Aug-16,58.59,58.94,58.54,58.93,1725134
17-Aug-16,58.87,58.87,58.48,58.61,1822905
16-Aug-16,58.87,58.94,58.57,58.73,3096674
15-Aug-16,58.94,59.00,58.83,58.97,2518740
12-Aug-16,58.77,58.99,58.52,58.78,2079417
11-Aug-16,58.64,58.99,58.64,58.87,1593227
10-Aug-16,59.09,59.10,58.67,58.70,3079922
9-Aug-16,58.95,59.32,58.95,59.16,3055275
8-Aug-16,59.20,59.20,58.86,58.99,2778877
5-Aug-16,58.78,59.22,58.78,58.93,4642588
4-Aug-16,59.17,59.36,59.01,59.12,2682793
3-Aug-16,58.99,59.31,58.70,59.22,2981780
2-Aug-16,59.49,59.58,59.17,59.17,3437047
