Date,Open,High,Low,Close,Volume
9-Dec-16,43.04,43.08,42.17,42.44,3613151
8-Dec-16,43.21,43.79,42.67,43.07,4230558
7-Dec-16,42.56,43.23,42.35,43.18,4518899
6-Dec-16,41.80,42.68,41.33,42.40,6825860
5-Dec-16,42.62,43.00,41.52,41.91,7201829
2-Dec-16,42.49,43.04,42.25,42.48,3662473
1-Dec-16,42.01,43.45,41.90,42.42,5248235
30-Nov-16,42.39,42.66,41.58,42.20,6986774
29-Nov-16,43.27,43.61,42.39,42.49,5770546
28-Nov-16,43.75,44.00,42.86,43.13,7049142
25-Nov-16,45.15,45.41,44.09,44.14,3061509
23-Nov-16,44.21,45.16,44.19,44.91,5411744
22-Nov-16,43.74,44.68,43.48,44.46,6643895
21-Nov-16,43.14,43.60,42.85,43.19,3919340
18-Nov-16,42.72,43.22,41.96,43.03,5055445
17-Nov-16,41.94,43.09,41.68,43.05,6277021
16-Nov-16,41.79,42.06,41.20,41.84,5874239
15-Nov-16,41.57,41.79,40.45,41.39,7689786
14-Nov-16,41.10,43.94,41.10,41.56,13391242
11-Nov-16,40.49,41.37,40.17,41.36,9285733
10-Nov-16,39.99,42.00,39.60,40.53,18878735
9-Nov-16,37.19,38.91,36.75,38.38,11462487
8-Nov-16,37.71,38.24,37.48,37.87,5347968
7-Nov-16,37.23,37.80,37.10,37.77,4792338
4-Nov-16,36.97,37.46,36.80,36.85,4210241
3-Nov-16,37.04,37.46,36.81,36.89,5952334
2-Nov-16,36.86,37.09,36.56,36.89,5097251
1-Nov-16,36.44,37.35,36.42,36.84,7156028
31-Oct-16,36.02,36.56,35.80,36.49,6991042
28-Oct-16,35.32,35.90,35.24,35.56,4083239
27-Oct-16,36.00,36.17,35.13,35.30,5347221
26-Oct-16,35.82,36.38,35.76,35.95,3899398
25-Oct-16,36.24,36.35,35.81,35.93,4082318
24-Oct-16,36.69,37.04,36.40,36.64,2991949
21-Oct-16,35.76,36.52,35.59,36.51,3349076
20-Oct-16,35.60,36.06,35.48,35.87,3277901
19-Oct-16,35.15,35.61,34.90,35.59,3200765
18-Oct-16,35.25,35.35,34.80,35.20,4659079
17-Oct-16,35.53,36.21,34.88,35.09,7208845
14-Oct-16,35.97,36.27,35.19,35.57,7822320
13-Oct-16,37.29,37.34,36.39,36.80,4712896
12-Oct-16,37.24,37.74,36.97,37.54,3730443
11-Oct-16,37.53,37.72,37.14,37.24,3830653
10-Oct-16,38.22,38.48,37.44,37.54,4378288
7-Oct-16,37.89,38.37,37.55,38.04,6688988
6-Oct-16,37.17,37.86,36.73,37.68,6813617
5-Oct-16,36.76,37.58,36.57,37.36,5997801
4-Oct-16,36.31,36.60,36.08,36.56,5100909
3-Oct-16,36.97,37.23,36.17,36.28,4269351
30-Sep-16,36.39,37.22,36.39,37.05,5363227
29-Sep-16,36.00,36.48,35.81,36.05,3813891
28-Sep-16,36.19,36.66,35.70,36.10,4994340
27-Sep-16,36.21,36.64,36.05,36.60,3590052
26-Sep-16,36.40,37.06,36.20,36.24,6223807
23-Sep-16,36.22,36.81,36.21,36.62,4698826
22-Sep-16,36.18,36.86,36.00,36.26,8357443
21-Sep-16,35.80,36.07,35.48,36.01,7009324
20-Sep-16,35.30,35.50,34.85,34.96,4226918
19-Sep-16,35.56,35.80,35.15,35.22,4416236
16-Sep-16,35.37,35.73,35.19,35.54,9439931
15-Sep-16,35.11,35.88,35.06,35.56,5818549
14-Sep-16,35.45,35.83,34.82,35.21,10992955
13-Sep-16,34.96,35.25,34.31,34.68,6029655
12-Sep-16,35.27,35.73,34.81,35.65,6999500
9-Sep-16,35.87,36.05,35.47,35.48,5026150
8-Sep-16,37.14,37.17,35.95,36.00,7557632
7-Sep-16,36.40,37.37,36.24,37.19,6638722
6-Sep-16,36.51,36.56,35.73,36.15,8188208
2-Sep-16,36.43,36.92,36.11,36.64,5428104
1-Sep-16,36.32,36.62,36.03,36.34,6773971
31-Aug-16,38.25,38.52,36.08,36.18,16085863
30-Aug-16,38.49,38.68,38.03,38.19,3644199
29-Aug-16,38.64,39.01,38.35,38.69,7557057
26-Aug-16,39.25,39.48,38.43,38.56,6257098
25-Aug-16,39.52,40.29,39.07,39.25,8484615
24-Aug-16,39.88,40.11,39.62,39.73,4083058
23-Aug-16,39.65,40.18,39.48,40.00,5603472
22-Aug-16,40.30,40.34,39.30,39.35,5598434
19-Aug-16,40.10,40.42,39.92,40.30,4863516
18-Aug-16,40.44,40.60,39.83,40.25,5013015
17-Aug-16,40.46,40.86,39.89,40.41,5798299
16-Aug-16,40.08,40.98,39.96,40.70,7633289
15-Aug-16,39.98,40.60,39.88,40.46,11196549
12-Aug-16,39.23,39.92,38.94,39.82,15747658
11-Aug-16,38.90,40.39,38.40,39.81,40540673
10-Aug-16,33.99,34.79,33.90,34.00,10848207
9-Aug-16,34.50,34.54,33.47,33.78,8427636
8-Aug-16,34.71,35.21,34.60,34.75,8447720
5-Aug-16,33.97,34.35,33.74,34.11,5181782
4-Aug-16,33.46,34.00,33.14,33.69,4681659
3-Aug-16,31.92,33.51,31.02,33.43,10820139
2-Aug-16,34.97,34.97,32.33,32.76,13392612
1-Aug-16,35.92,35.98,35.22,35.32,4821340
29-Jul-16,35.83,35.92,35.00,35.83,6623028
28-Jul-16,35.58,35.88,34.78,35.87,5052688
27-Jul-16,36.95,37.00,35.53,35.70,5423122
26-Jul-16,37.04,37.42,36.62,36.82,8192603
