Date,Open,High,Low,Close,Volume
9-Dec-16,97.99,100.19,97.74,99.77,956354
8-Dec-16,97.80,98.62,97.28,98.07,1150050
7-Dec-16,97.18,98.44,96.43,97.90,2022207
6-Dec-16,97.29,97.45,96.08,96.91,1286914
5-Dec-16,98.39,98.75,96.70,96.83,1270217
2-Dec-16,97.12,97.98,96.22,97.62,1053743
1-Dec-16,100.68,101.13,97.01,97.25,1266178
30-Nov-16,101.65,102.06,100.46,100.50,861752
29-Nov-16,101.04,101.50,100.31,101.09,714458
28-Nov-16,100.49,101.55,100.35,100.89,862719
25-Nov-16,100.87,101.57,100.87,101.02,307288
23-Nov-16,101.23,101.96,100.36,100.86,556271
22-Nov-16,101.21,101.82,100.51,101.66,673380
21-Nov-16,100.90,101.25,100.62,101.13,545061
18-Nov-16,100.97,101.46,99.75,100.56,1029271
17-Nov-16,98.45,101.20,98.32,101.20,1305519
16-Nov-16,98.65,99.12,98.10,98.68,1137495
15-Nov-16,99.73,99.97,98.53,99.29,1013682
14-Nov-16,100.92,101.18,99.56,100.06,1220516
11-Nov-16,99.69,100.65,99.69,100.44,818445
10-Nov-16,101.39,102.66,99.20,100.27,1142790
9-Nov-16,99.67,101.45,98.73,100.67,1792747
8-Nov-16,99.55,100.38,98.87,99.68,744488
7-Nov-16,99.68,100.00,99.04,99.58,888253
4-Nov-16,98.33,98.67,97.58,97.61,1253602
3-Nov-16,98.11,98.82,97.73,98.06,1556119
2-Nov-16,99.04,99.36,97.85,97.96,755155
1-Nov-16,101.02,101.12,98.62,99.04,1467664
31-Oct-16,101.35,101.66,100.41,100.52,1216056
28-Oct-16,102.56,102.86,100.79,101.17,816638
27-Oct-16,102.69,103.19,101.96,102.16,1350366
26-Oct-16,102.45,103.17,101.63,102.13,1271762
25-Oct-16,102.92,103.58,102.54,102.77,1017119
24-Oct-16,102.98,103.51,102.65,102.84,1619046
21-Oct-16,104.61,105.81,101.94,102.24,3985071
20-Oct-16,108.23,108.98,107.86,108.09,1401137
19-Oct-16,108.21,108.75,107.54,108.40,744130
18-Oct-16,107.87,108.28,106.96,107.80,1252523
17-Oct-16,106.96,107.38,106.50,106.70,657663
14-Oct-16,107.84,108.31,106.96,107.08,692509
13-Oct-16,106.88,107.25,105.83,106.61,938619
12-Oct-16,107.70,108.52,107.51,108.26,553329
11-Oct-16,109.00,109.00,106.95,107.58,632484
10-Oct-16,109.33,109.98,109.05,109.15,429409
7-Oct-16,108.93,108.95,107.85,108.26,515218
6-Oct-16,108.24,108.92,107.70,108.86,580162
5-Oct-16,108.46,109.50,108.46,108.49,718574
4-Oct-16,109.66,110.00,107.92,108.38,722286
3-Oct-16,107.92,109.47,107.30,109.28,1455645
