Date,Open,High,Low,Close,Volume
9-Dec-16,57.08,57.41,56.76,57.39,5053683
8-Dec-16,57.00,57.78,56.82,57.19,5862068
7-Dec-16,55.85,56.86,55.49,56.76,4977312
6-Dec-16,55.90,55.95,55.15,55.67,4631130
5-Dec-16,55.92,56.37,55.50,55.67,5117837
2-Dec-16,56.04,56.22,55.40,55.66,5367966
1-Dec-16,55.43,56.49,55.39,56.27,6404351
30-Nov-16,54.70,55.34,54.61,55.01,6891308
29-Nov-16,54.64,54.85,54.15,54.19,4458230
28-Nov-16,54.50,55.18,54.13,54.38,6605187
25-Nov-16,55.21,55.45,55.03,55.45,2307669
23-Nov-16,55.07,55.49,54.73,55.35,4978801
22-Nov-16,54.83,55.08,54.44,54.81,4964860
21-Nov-16,54.93,55.06,54.30,54.78,5593390
18-Nov-16,54.58,55.12,54.12,54.81,5920668
17-Nov-16,53.77,54.46,53.26,54.46,5597708
16-Nov-16,53.96,54.24,53.26,53.78,7108507
15-Nov-16,53.82,54.49,53.07,54.47,8127816
14-Nov-16,53.97,55.30,53.91,54.50,12749308
11-Nov-16,53.19,53.90,52.87,53.69,10845665
10-Nov-16,52.25,54.98,52.21,53.74,23697217
9-Nov-16,48.53,51.68,48.40,51.28,18344250
8-Nov-16,47.90,48.10,47.15,47.88,5572460
7-Nov-16,47.66,48.14,47.65,47.97,5802225
4-Nov-16,47.21,47.68,46.65,46.82,5999498
3-Nov-16,45.22,48.05,45.22,47.06,8477685
2-Nov-16,46.56,46.73,45.95,46.34,6964960
1-Nov-16,47.16,47.51,46.20,46.79,5415903
31-Oct-16,47.14,47.46,46.90,46.96,5598237
28-Oct-16,47.77,47.85,46.73,46.98,7515418
27-Oct-16,47.44,48.24,47.04,47.69,8509714
26-Oct-16,46.06,47.21,46.06,46.90,4799321
25-Oct-16,46.58,46.76,46.14,46.29,5118334
24-Oct-16,46.69,46.96,46.48,46.64,5721001
21-Oct-16,46.22,46.56,45.92,46.38,7635891
20-Oct-16,46.84,47.05,46.22,46.69,4227108
19-Oct-16,46.98,47.16,46.63,46.85,5998953
18-Oct-16,47.21,47.36,46.74,46.80,5929218
17-Oct-16,47.00,47.22,46.57,46.67,4721937
14-Oct-16,47.33,47.65,46.72,46.89,7848618
13-Oct-16,46.90,46.90,46.03,46.68,6326637
12-Oct-16,47.31,47.85,47.26,47.52,4181571
11-Oct-16,47.72,48.04,47.00,47.31,7242612
10-Oct-16,47.63,47.80,47.32,47.58,5256101
7-Oct-16,46.88,47.36,46.42,47.22,9248369
6-Oct-16,47.43,48.15,46.52,47.15,13761122
5-Oct-16,45.12,46.18,45.04,45.99,9419622
4-Oct-16,44.40,45.07,44.26,44.87,6230598
3-Oct-16,44.25,44.43,44.00,44.37,4790195
30-Sep-16,43.92,44.69,43.79,44.43,9717801
