Date,Open,High,Low,Close,Volume
9-Dec-16,91.30,92.50,91.30,92.43,889639
8-Dec-16,91.96,92.14,91.11,91.42,551304
7-Dec-16,90.61,92.00,90.28,91.92,773774
6-Dec-16,90.87,91.36,89.26,90.38,842212
5-Dec-16,89.06,90.12,89.03,89.59,917924
2-Dec-16,89.08,89.70,88.79,89.05,711671
1-Dec-16,90.86,91.27,88.64,88.78,1383665
30-Nov-16,92.76,93.01,91.16,91.20,934477
29-Nov-16,92.41,93.31,92.17,93.13,551432
28-Nov-16,92.17,92.91,92.00,92.38,562943
25-Nov-16,91.28,92.30,91.28,92.30,328454
23-Nov-16,92.20,92.85,90.95,91.08,489205
22-Nov-16,92.41,92.99,92.06,92.84,837793
21-Nov-16,91.12,92.26,91.10,91.88,550146
18-Nov-16,91.30,91.88,91.04,91.20,579638
17-Nov-16,91.98,91.98,90.82,91.40,717413
16-Nov-16,91.83,92.44,91.62,91.87,480174
15-Nov-16,92.37,92.97,91.80,92.06,615628
14-Nov-16,91.40,92.44,90.78,91.91,564108
11-Nov-16,91.56,92.15,90.66,91.52,602325
10-Nov-16,94.19,94.41,91.46,91.57,888707
9-Nov-16,93.52,94.85,91.53,94.55,790013
8-Nov-16,94.24,96.13,94.24,95.77,742709
7-Nov-16,94.10,94.27,92.92,94.24,760253
4-Nov-16,94.76,95.02,93.34,93.35,521380
3-Nov-16,94.84,95.00,94.56,94.86,562217
2-Nov-16,94.77,95.24,94.52,94.80,465698
1-Nov-16,95.89,96.43,94.59,94.81,675697
31-Oct-16,95.60,96.03,95.19,95.87,864702
28-Oct-16,94.55,95.83,94.54,95.40,520837
27-Oct-16,95.38,95.69,94.36,94.53,511842
26-Oct-16,95.81,95.88,95.23,95.44,499073
25-Oct-16,97.42,97.42,95.53,95.91,1213171
24-Oct-16,93.77,94.40,93.39,93.88,574718
21-Oct-16,93.59,93.77,92.86,93.54,503495
20-Oct-16,94.37,94.37,93.43,93.65,888034
19-Oct-16,95.00,95.33,93.95,94.21,564012
18-Oct-16,94.91,95.26,94.63,94.85,593210
17-Oct-16,94.43,94.66,94.08,94.33,364589
14-Oct-16,94.72,95.12,94.41,94.44,392539
13-Oct-16,94.11,94.91,93.98,94.61,568109
12-Oct-16,94.01,94.68,94.01,94.41,479114
11-Oct-16,94.96,95.45,93.89,94.16,598471
10-Oct-16,95.75,96.79,95.09,95.32,684416
7-Oct-16,95.41,95.95,94.73,95.56,1100113
6-Oct-16,94.98,95.32,94.28,95.23,851288
5-Oct-16,96.44,96.63,95.59,95.83,1890822
4-Oct-16,97.98,97.98,96.17,96.47,1036455
3-Oct-16,98.16,99.90,96.93,96.93,1391074
30-Sep-16,100.04,100.83,98.69,99.92,2215726
29-Sep-16,97.54,98.32,97.12,97.39,801458
28-Sep-16,97.42,97.88,97.22,97.77,531967
27-Sep-16,97.12,97.74,96.61,97.55,708996
26-Sep-16,96.47,96.83,96.10,96.66,478678
23-Sep-16,97.13,97.30,96.52,96.71,488264
22-Sep-16,97.17,97.55,96.69,97.20,546379
21-Sep-16,96.35,96.59,95.51,96.47,913041
20-Sep-16,96.74,97.03,96.19,96.23,459174
19-Sep-16,95.75,96.67,95.49,96.38,612472
16-Sep-16,95.70,96.53,95.10,95.86,1348245
15-Sep-16,96.72,98.14,96.39,98.05,617395
14-Sep-16,97.64,97.77,96.61,96.90,474990
13-Sep-16,97.45,98.46,97.25,97.35,817674
12-Sep-16,96.18,98.17,96.12,98.04,545686
9-Sep-16,98.91,98.91,96.16,96.18,712798
8-Sep-16,100.18,100.44,99.35,99.60,538693
7-Sep-16,101.74,101.74,100.04,100.59,449765
6-Sep-16,101.86,102.22,101.28,101.98,345698
2-Sep-16,101.33,102.03,101.27,101.86,429107
1-Sep-16,101.85,101.85,100.50,101.16,347952
31-Aug-16,101.40,102.06,101.12,101.96,633244
30-Aug-16,101.92,102.18,101.12,101.37,314403
29-Aug-16,101.58,102.23,101.38,102.20,353385
26-Aug-16,101.38,102.41,101.11,101.30,358895
25-Aug-16,101.62,102.47,101.32,101.64,386784
24-Aug-16,102.21,102.56,101.20,101.64,395439
23-Aug-16,102.80,102.91,101.85,102.41,566918
22-Aug-16,101.89,102.62,101.66,102.53,625795
19-Aug-16,101.34,101.87,100.89,101.86,513301
18-Aug-16,101.25,101.70,101.05,101.46,413297
17-Aug-16,100.55,101.14,100.18,101.11,438857
16-Aug-16,101.30,101.49,100.31,100.36,363598
15-Aug-16,101.65,101.65,100.80,101.19,396005
12-Aug-16,101.64,102.00,101.52,101.78,401290
11-Aug-16,101.79,101.90,101.17,101.59,496775
10-Aug-16,100.88,101.55,100.78,101.52,383475
9-Aug-16,100.62,101.02,100.00,100.89,406462
8-Aug-16,100.57,100.89,100.17,100.72,547902
5-Aug-16,100.84,101.25,100.01,100.32,426879
4-Aug-16,100.48,100.90,100.22,100.63,363774
3-Aug-16,101.49,101.57,100.01,100.26,477402
2-Aug-16,102.10,102.29,101.21,101.42,398335
1-Aug-16,102.16,102.31,101.34,102.18,523528
29-Jul-16,102.01,102.60,101.64,102.25,696449
28-Jul-16,101.72,102.12,101.02,101.96,375029
27-Jul-16,103.50,103.50,101.29,101.58,643334
26-Jul-16,104.52,104.82,103.41,103.47,434372
25-Jul-16,104.27,104.70,103.73,104.36,495720
22-Jul-16,103.85,104.56,103.66,104.26,506186
21-Jul-16,104.03,104.03,103.43,103.82,583475
20-Jul-16,105.34,105.34,104.00,104.03,506287
19-Jul-16,104.73,105.01,104.43,105.01,501873
18-Jul-16,105.14,105.57,104.56,104.89,296340
15-Jul-16,105.11,105.32,104.70,105.02,688081
14-Jul-16,104.75,105.64,104.68,104.86,650560
13-Jul-16,104.95,105.76,104.62,105.26,649664
12-Jul-16,105.77,106.04,104.64,104.76,786258
11-Jul-16,106.86,106.98,105.84,105.94,604579
8-Jul-16,106.19,107.03,105.16,106.96,868341
7-Jul-16,106.69,107.39,105.50,105.91,951959
6-Jul-16,106.48,107.34,106.18,106.67,1263030
