Date,Open,High,Low,Close,Volume
9-Dec-16,69.25,69.66,69.09,69.47,3119180
8-Dec-16,69.57,69.64,68.92,69.33,2622548
7-Dec-16,68.91,69.56,68.65,69.43,2677315
6-Dec-16,68.76,68.94,68.36,68.78,2675016
5-Dec-16,68.94,69.41,68.49,68.69,1894084
2-Dec-16,69.13,69.13,68.23,68.39,1560533
1-Dec-16,69.39,69.47,68.64,68.90,2267353
30-Nov-16,69.38,69.76,69.00,69.31,2927113
29-Nov-16,69.12,69.22,68.83,68.98,1772373
28-Nov-16,69.33,69.74,68.87,68.91,2043053
25-Nov-16,69.42,69.77,69.21,69.77,928184
23-Nov-16,69.51,69.60,68.87,69.46,1967969
22-Nov-16,69.32,69.58,69.03,69.40,1876559
21-Nov-16,69.41,69.69,68.95,69.21,1924604
18-Nov-16,69.05,69.43,68.83,69.23,2058586
17-Nov-16,67.75,69.16,67.75,69.07,1960739
16-Nov-16,67.56,68.03,67.42,67.70,1789487
15-Nov-16,67.42,67.83,67.32,67.73,1777412
14-Nov-16,68.10,68.34,67.26,67.61,2803903
11-Nov-16,67.65,68.34,67.38,67.78,2424910
10-Nov-16,67.48,68.28,66.85,67.80,3746610
9-Nov-16,65.79,67.14,64.50,66.91,4302414
8-Nov-16,65.04,65.68,64.85,65.38,2020880
7-Nov-16,64.91,65.11,64.50,65.09,2202190
4-Nov-16,63.96,64.27,63.47,63.90,2361480
3-Nov-16,63.21,64.00,63.15,63.64,1963409
2-Nov-16,62.95,63.43,62.87,62.96,3108312
1-Nov-16,63.60,63.65,62.61,62.86,2652123
31-Oct-16,63.69,63.78,63.04,63.39,1804173
28-Oct-16,63.37,64.22,63.25,63.45,2350215
27-Oct-16,63.42,63.57,62.86,63.18,2804517
26-Oct-16,62.46,63.50,62.41,63.22,3427322
25-Oct-16,64.22,64.56,62.33,62.70,5327185
24-Oct-16,65.38,65.59,64.91,64.97,1748986
21-Oct-16,64.66,65.17,64.37,65.03,1617385
20-Oct-16,65.55,65.57,65.04,65.22,1585393
19-Oct-16,65.34,65.81,65.16,65.80,2297071
18-Oct-16,66.00,66.03,65.09,65.14,2493340
17-Oct-16,66.13,66.13,65.28,65.33,1803177
14-Oct-16,66.17,66.69,65.99,65.99,1914442
13-Oct-16,65.80,66.10,65.44,65.68,1866749
12-Oct-16,65.70,66.34,65.66,66.17,1503569
11-Oct-16,66.10,66.37,65.39,65.53,1596000
10-Oct-16,67.00,67.23,66.41,66.43,1499308
7-Oct-16,66.49,66.87,66.22,66.65,2029271
6-Oct-16,65.97,66.61,65.60,66.39,2253729
5-Oct-16,66.53,66.92,66.19,66.32,2128696
4-Oct-16,66.92,66.96,66.11,66.33,2244489
3-Oct-16,67.02,67.10,66.64,66.96,1392513
30-Sep-16,66.57,67.48,66.57,67.25,2597202
29-Sep-16,67.27,67.43,66.28,66.40,1832274
